,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10,zgv200_cluster11
1970-02-01,-0.25970277,0.25276175,0.3623791,-0.4532686,0.46741265,-0.9608873,1.0022722,0.35216388,-0.10202141,-0.4634838,-0.45405436
1970-03-01,0.2727994,0.05736246,0.063779734,0.23023579,-0.1646225,-1.3391131,0.52516824,0.6574424,0.10372398,-0.29192019,-0.788276
1970-04-01,0.2418916,0.22800939,0.36290294,-0.23193836,-0.14497781,-0.4378147,-0.1953992,0.51259553,0.03391981,-0.30645722,-0.21792516
1970-05-01,0.4378147,-0.048718847,-0.44174367,-0.30554047,0.110272214,-0.5563377,0.09756861,-0.015453815,-0.47893763,0.059196066,0.31719628
1970-06-01,0.17575452,0.31208867,-0.2906105,0.29519424,0.30161145,-0.25525007,0.17509964,0.35989076,-0.2458206,0.09088941,-0.13607228
1970-07-01,-0.15060933,0.020954419,-0.26926327,0.27974042,0.1692063,0.15624078,0.27423993,-0.0468853,-0.013751268,0.11367728,-0.4583761
1970-08-01,-0.9349564,0.29964715,-0.4388624,1.125379,0.035360526,0.5841022,0.4090026,-0.46112663,1.0928997,0.6290231,-0.60256815
1970-09-01,-0.43820754,0.17876673,-0.8084446,0.34024605,0.17575455,-0.04976654,0.19330378,-0.097175695,-0.020299435,0.38791722,0.060767554
1970-10-01,0.07988842,0.19277993,-0.62457025,0.5133813,-0.29283696,-0.3974776,-0.24857083,0.28916985,0.41568175,-0.1885891,-0.0036670207
1970-11-01,0.04295645,0.08001938,-0.49334374,0.41607457,-0.31981558,0.0639107,0.16134842,0.16003878,-0.010084247,0.044527985,-0.20705509
1970-12-01,-0.23259315,0.21019824,-0.013751316,0.23403378,0.8525797,0.00065479276,-0.08329346,-0.05356455,-0.07203053,0.61278343,0.089055955
1971-01-01,-0.23278046,0.04045229,0.099043176,-0.6296733,1.1060311,-0.7949373,0.53552467,0.3433404,-0.44886175,0.28115046,-0.36939687
1971-02-01,-0.33830184,-0.009069348,0.5101879,0.23465195,0.29453853,0.12668324,0.29165936,-0.21766491,-0.23925857,-0.6332723,0.11977325
1971-03-01,-0.09558825,-0.00028791427,0.023465205,0.23105296,0.4749182,-0.07082744,-0.057583332,-0.19938214,-0.54920065,0.09501243,0.21492966
1971-04-01,-0.5507841,-0.053120613,-0.061326217,0.007773757,-0.37141228,-0.18153134,0.16267279,0.42798787,-0.047362257,-0.05470419,-0.46210593
1971-05-01,-0.420502,0.13532075,-0.052832603,0.18153134,0.07687368,-0.46081033,0.6339921,0.14798908,0.0030231238,-0.47088736,-0.15964964
1971-06-01,0.22615841,0.13791199,-0.5897967,0.24084215,0.34161282,0.13517685,-0.0106528755,0.1592178,0.039732456,0.20485258,-0.18728963
1971-07-01,-0.34406012,-0.25955668,-0.19218417,0.3208829,0.19031277,0.050673295,0.5833187,-0.029655362,0.18340273,0.15763426,-0.33009622
1971-08-01,-0.48082048,0.02418499,-0.2988572,0.5635965,0.27078542,-0.2052844,0.49924707,0.25120705,0.10508951,0.036133528,-0.30447167
1971-09-01,-0.18153124,0.050241422,-0.47016764,0.42237344,0.115310505,-0.38955098,0.15950568,0.41172057,0.223999,0.16123323,-0.1502924
1971-10-01,-0.46368942,0.3252016,-0.94782096,0.31929937,0.43792087,-0.12020512,0.05772724,-0.27524814,0.10077076,0.3292325,-0.08220015
1971-11-01,0.42971534,-0.035845615,-0.20211735,0.11113586,0.8697957,-0.15590668,-0.4635455,0.26689857,-0.6158532,0.12725917,0.33225554
1971-12-01,0.05772724,0.23882666,0.32419395,0.77636683,0.33830184,-0.18844132,0.122076586,0.1381998,-0.27323273,-0.048081994,-0.22471885
1972-01-01,-0.2007062,0.2767273,0.25449973,0.17071863,-0.14717579,-0.19373551,-0.07496891,-0.032486536,0.29763967,0.5595046,-0.4429741
