,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5
1975-03-01,0.37582296,-0.33314022,0.05449431,0.0100667,-0.49890488
1975-04-01,1.0074741,-0.25019073,0.26696855,-0.26482096,-0.2610627
1975-05-01,0.19677016,-0.54816467,0.20428665,-0.08576818,0.0022817613
1975-06-01,0.33528775,-0.6042696,-0.057581462,0.03167651,0.37246743
1975-07-01,-0.39461407,0.2217355,-0.009395575,-0.122545145,-0.30428237
1975-08-01,0.14791322,-0.4532694,-0.022146702,0.052212548,-0.28267258
1975-09-01,0.0069795726,-0.79647624,0.045098733,0.10174064,-0.52615213
1975-10-01,-0.23448667,-0.12455843,0.056373455,0.11086776,-0.52668905
1975-11-01,-0.009664011,0.23878181,-0.033421375,0.070198394,0.2658948
1975-12-01,0.113149546,-0.91835034,0.039998293,-0.17999236,-0.41421062
1976-01-01,0.758996,0.18089852,0.019578338,-0.45325208,-0.3949193
1976-02-01,0.5547644,-0.0018773556,0.1277956,-0.2203234,-0.21777554
1976-03-01,0.58386374,-0.19243097,0.17097525,-0.08233633,-0.058601
1976-04-01,0.45043597,-0.97972184,0.17875294,-0.083006814,-0.20356111
1976-05-01,0.19296737,-0.47591466,0.20838866,-0.019578343,-0.27771744
1976-06-01,-0.054443885,-0.38405734,0.06530585,0.17097525,0.10379203
1976-07-01,-0.07710649,-0.104998924,-0.12055433,0.12565005,-0.50689137
1976-08-01,-0.13946216,0.27114668,-0.022394395,-0.007911789,-0.24352238
1976-09-01,-0.06396489,-0.22126207,0.028831124,-0.013141632,-0.19310145
1976-10-01,0.5484618,-0.8023098,0.053505193,0.048677664,-0.39223737
1976-11-01,0.802578,-0.039290786,0.1834464,-0.12752743,-1.2437611
1976-12-01,0.5384044,-0.38097307,0.09279598,-0.30681676,-1.0375181
1977-01-01,0.92935926,-0.163099,0.19888094,-0.3488044,-0.85141563
1977-02-01,0.48943573,-0.0147010805,-0.14409854,-0.3252272,-0.9089719
1977-03-01,0.17890963,0.17169777,0.012065982,-0.56821144,-0.37030143
1977-04-01,0.15339074,-0.33174562,0.18417983,-0.0069344877,-0.31954092
1977-05-01,0.6604401,-0.60191303,0.022051668,-0.12939744,0.35033005
1977-06-01,0.36669537,-0.6906744,-0.07461505,0.06351985,-0.79441416
1977-07-01,0.11941178,-0.56807274,-0.092783354,0.22051652,-0.029679585
1977-08-01,-0.06754186,-0.4257772,-0.12010522,0.04243902,-0.1177475
1977-09-01,0.21899095,-0.07211862,0.07059302,-0.06768054,-0.003051138
1977-10-01,0.24908657,-0.56418943,-0.014701101,0.10276902,-0.10318508
1977-11-01,-0.28251076,-0.17405547,0.13494505,0.057278823,-0.026489735
1977-12-01,0.3070588,-0.34339553,-0.028708745,-0.21802011,-0.48361078
1978-01-01,1.0908811,-0.7592329,0.17070818,-0.3096702,-0.59992063
1978-02-01,0.25989977,0.20303574,0.10489015,0.046863355,-0.8510989
1978-03-01,0.5518944,-0.017326642,0.060933985,-0.4129324,-0.74830186
1978-04-01,0.51596195,-0.39479178,0.24013105,-0.023954963,0.041281603
1978-05-01,0.047212213,-0.7462088,0.1739642,-0.058143117,-0.11919341
1978-06-01,0.5313118,-0.7997004,0.05895715,0.024652679,-0.3150194
1978-07-01,-0.12942657,0.25710887,0.002907157,-0.0034885884,-0.23350272
1978-08-01,-0.22199042,-0.52863723,-0.0794235,0.026978409,-0.17908077
1978-09-01,0.11116962,-0.33385774,0.010233199,0.021164095,0.16117272
1978-10-01,0.1455904,-0.077097796,0.2693189,0.06558542,-0.28362212
1978-11-01,0.23187475,0.15966101,0.12733343,-0.20257063,-0.08023743
1978-12-01,0.054305665,0.07070203,-0.04395621,-0.26303944,-0.10919275
1979-01-01,-0.004312992,-0.28153643,0.36735076,-0.6769963,-0.44781104
1979-02-01,0.040750645,0.23959596,-0.05725913,-0.26963845,-0.68339145
1979-03-01,0.13162164,-0.39932665,0.09220948,-0.030934805,-0.02632432
1979-04-01,0.44394416,-0.116897866,0.010708213,0.0059489966,-0.47041717
1979-05-01,0.049228,-0.3962034,0.29670638,0.17177738,-0.18873206
1979-06-01,-0.32362565,-0.4971877,0.04194045,0.12998566,-0.007882404
1979-07-01,0.11451826,-0.6253886,0.24405774,0.06142342,-0.49852625
1979-08-01,0.09845598,-0.39932662,0.10633838,-0.040453203,-0.1838241
1979-09-01,-0.19438359,-0.43963113,0.22650819,0.041791726,-0.6078391
1979-10-01,0.31797406,-0.6478461,0.04684838,0.16567966,-0.4036397
1979-11-01,-0.4420107,0.36958164,0.14024767,0.0028257729,-0.11987238
1979-12-01,0.3178253,0.026324326,0.25833535,0.21327166,-0.3817771
1980-01-01,0.38657612,-0.011453104,0.06535008,-0.5198364,-0.3763357
1980-02-01,0.98900974,-0.13635941,0.43171486,-0.20157476,-0.6121351
1980-03-01,0.52872944,-0.3371257,-0.004985464,-0.3321402,-0.6602381
1980-04-01,-0.03355093,-0.0036380528,-0.0121268155,0.2777042,-0.5795273
1980-05-01,0.31489316,-0.44074258,0.021963025,-0.022097766,0.06238576
1980-06-01,0.08542673,-0.93160945,-0.034359336,0.14511764,0.15293273
1980-07-01,-0.01724704,0.14969888,0.10968037,0.10590758,-0.112509966
1980-08-01,0.10765924,-0.31987864,0.08623519,0.09243333,0.0092972275
1980-09-01,0.09903571,-0.6601033,0.15589705,0.068988144,-0.16128674
1980-10-01,0.2515642,-0.3868456,0.054301213,0.10968037,-0.68556964
1980-11-01,0.30882975,0.057804514,-0.086774155,-0.010240436,-1.055842
1980-12-01,0.82354605,-0.05807402,0.2503515,-0.1135879,-0.25142938
1981-01-01,1.3701147,-0.15387897,0.2394143,-0.4555776,-1.0630614
1981-02-01,0.23983698,-0.2491374,0.17656632,-0.25477394,-0.54238117
1981-03-01,0.11794577,0.68414146,0.17543888,0.10610881,-0.85577565
1981-04-01,0.22969118,-1.0796893,0.27238837,0.06270714,-0.20996304
1981-05-01,0.28577518,-0.5845146,-0.06482081,0.017050695,0.13415089
1981-06-01,0.027055645,-0.31170353,0.037765168,0.010145903,-0.306067
1981-07-01,-0.011273193,-0.31452185,0.054534007,0.08130784,-0.27478385
1981-08-01,0.1903759,-0.53589904,0.18798037,0.009018516,-0.044529103
1981-09-01,0.21447234,-0.20559473,0.10779981,0.12104583,-0.34073204
1981-10-01,0.4536047,-0.607061,-0.010004997,0.09103088,-0.08299875
1981-11-01,0.7192292,0.15641555,0.113436416,0.0085958,-0.05833874
1981-12-01,0.5278669,-0.2929619,-0.04847469,-0.24575543,-0.4822105
1982-01-01,0.45040998,-0.02927332,-0.043510795,-0.3530096,-0.3840128
1982-02-01,0.25693995,0.011842346,0.18335745,-0.108311296,-0.729571
1982-03-01,0.67075825,-0.2529481,0.1335928,-0.11562963,-0.08502569
1982-04-01,0.22646908,-0.3020475,0.15714452,-0.23831144,-0.22101359
1982-05-01,0.010245705,-0.18774848,0.075977564,0.14756414,0.6484041
1982-06-01,-0.0191607,-0.026612114,0.17204729,0.21183243,0.022620296
1982-07-01,0.10125909,-0.8201853,0.075977564,0.15980573,-0.02208805
1982-08-01,0.32919177,-0.6203283,0.047502615,0.024483155,-0.42419714
1982-09-01,-0.26492357,-0.30178136,0.12866955,0.06400211,-0.366848
1982-10-01,0.31415597,-0.3173495,-0.133992,0.1089766,0.1575437
1982-11-01,0.2115663,-0.586664,0.10857739,0.14290707,0.16366443
1982-12-01,0.33344975,-0.09700112,0.29699117,0.0795702,-0.30244675
1983-01-01,0.7065073,-0.3667346,-0.24480271,0.04131465,-0.8316585
1983-02-01,0.585112,-0.28370288,0.11991979,-0.1467475,-0.64185256
1983-03-01,0.8110012,-0.36271042,0.01971836,-0.46478978,-0.024815619
1983-04-01,0.38712364,-0.72354287,0.090945885,0.047887433,-0.13105328
1983-05-01,0.067874074,-0.8539255,0.101006284,0.243193,0.08920208
1983-06-01,0.2938974,-0.45687562,0.15251544,0.06800821,0.20295152
1983-07-01,0.3507721,-0.7631138,-0.035546683,0.13413848,-0.27739838
1983-08-01,-0.024681484,-0.53011525,-0.015157652,-0.002548635,-0.6250853
1983-09-01,0.08316586,0.046277773,-0.018242836,0.029644608,-0.131724
1983-10-01,0.22266984,-0.40925655,-0.10932286,0.057545405,0.0826293
1983-11-01,-0.18457451,0.17116065,-0.04587536,-0.116700456,0.17317286
1983-12-01,0.51133585,-0.23044994,-0.012072462,-0.1843063,-0.3649908
1984-01-01,0.99901104,-0.38350028,0.14273486,-0.39623505,-0.5487863
1984-02-01,0.44186777,-0.02082653,-0.13477564,-0.36055136,-0.28401047
1984-03-01,0.48405153,-0.20760223,0.04974494,-0.3105411,-0.42634735
1984-04-01,0.4312555,-0.13225523,0.13822463,-0.037408162,0.04762249
1984-05-01,0.3698371,-1.1023481,0.17894915,0.15268378,-0.4377555
1984-06-01,0.42687798,-0.770715,-0.024010217,0.033561252,0.1433981
1984-07-01,-0.14989808,0.29701057,-0.00915308,0.06314292,-0.64124554
1984-08-01,-0.08184705,-0.40976572,0.0646021,0.09272458,-0.48444948
1984-09-01,0.154143,-0.30390844,0.16913281,0.051734734,-0.02891841
1984-10-01,0.2190104,0.13305113,0.068316385,0.06579597,0.77907217
1984-11-01,0.3785921,-0.39716378,0.14445932,-0.09458171,0.26676553
1984-12-01,0.078398034,-0.25097984,0.13716337,-0.18505117,0.004642868
1985-01-01,0.619466,-0.013367844,0.31267396,-0.22618401,-0.72400266
1985-02-01,-0.06389828,-0.1838079,0.04611907,-0.30465326,-0.19677477
1985-03-01,0.7844253,-0.3926137,0.08395009,-0.32737857,-0.15105665
1985-04-01,0.24195802,-0.35184184,0.02700305,-0.16429083,-0.08127651
1985-05-01,0.2342047,-0.5565035,0.09598114,0.043178152,0.22564927
1985-06-01,-0.09036665,-0.2185643,-0.15065563,0.17418306,-0.28740877
1985-07-01,-0.10172935,-0.5975429,0.11763706,0.11269095,-0.41360122
