experiment,model,n_clusters,n_features,R_mlp,R_mlp_noFS,R_pi-mlp,R_pi-mlp_noFS,R_lgbm,R_lgbm_noFS,R_pi-lgbm,R_pi-lgbm_noFS,R_S_mlp,R_S_mlp_noFS,R_S_pi-mlp,R_S_pi-mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_pi-lgbm,R_S_pi-lgbm_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_pi-mlp,R_Y_pi-mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_pi-lgbm,R_Y_pi-lgbm_noFS
test3_lgbm_Anc5_nv8_nd9,lgbm,5,18,0.8362520602163176,0.8503691233329703,0.3934936684583758,0.4605507043905306,0.8374488415790926,0.8371305243151544,0.8365647148645431,0.8372563253675943,0.9873866102325328,0.9978284355775754,0.813394919290076,0.9429903794066808,0.9943200496532566,0.9982873453866704,0.9904362161702808,0.9938338507020366,0.3510962248840654,0.4136866720830364,-0.3620552587747283,-0.1944724405820533,0.2372605484278434,0.2090659276255288,0.1821845685686875,0.1059232403022159
test4_lgbm_nc5_nv8_nd9,lgbm,5,14,0.8200926165456894,0.8422569066209236,0.4749787576889766,0.3704105997892973,0.8348889425004503,0.842249336762036,0.850133163227656,0.8379401357746723,0.9675042986914606,0.9966976851037443,0.8665351453697296,0.8741548214522824,0.9875034992098696,0.9965211117744802,0.9862649119743968,0.989588490398003,0.3954292153456662,0.4632037948385405,0.0105637959251839,-0.3863374083268153,0.3487591261229822,0.3080220614509024,0.43904246385807,0.2469780696033089
test4_lgbm_Anc5_nv8_nd9,lgbm,5,17,0.8207186962323458,0.8498935426816582,0.5230317489336034,0.5807304281929835,0.844793094086746,0.8371305243151544,0.8467504704109947,0.8372563253675943,0.9766611159871932,0.9977376634999442,0.939673726636606,0.9359543479970313,0.9938446373023336,0.9982873453866704,0.9871215170484844,0.9938338507020366,0.3409222104849611,0.445234893954086,-0.3720654913023568,-0.0831956049949788,0.3050078487968453,0.2090659276255288,0.4122126919828757,0.1059232403022159
test5_lgbm_nc5_nv8_nd9,lgbm,5,11,0.8243097433536499,0.8367524023319768,0.6693407112390056,0.3940533276699433,0.8539771983494293,0.842249336762036,0.8454145997585788,0.8379401357746723,0.978663195289002,0.9968026567793196,0.8745323246661799,0.9232787871417194,0.9927689612506346,0.9965211117744802,0.9918594612460696,0.989588490398003,0.3347506344210984,0.4843744501874666,-0.2393536758240741,-0.4525927143625989,0.4045241774128331,0.3080220614509024,0.3212005588923291,0.2469780696033089
test5_lgbm_Anc5_nv8_nd9,lgbm,5,17,0.8250200217388121,0.8510260449191471,0.3815349995221948,0.2861790787707527,0.8420494869594073,0.8371305243151544,0.8461238167424755,0.8372563253675943,0.9814848822948664,0.9980605860263184,0.9329250806285776,0.8369720495044553,0.9947224555751506,0.9982873453866704,0.9931692134957972,0.9938338507020366,0.385676496325226,0.44748419710598,-0.4087760091113632,-0.2504054485456626,0.3058076445628406,0.2090659276255288,0.1718425987879065,0.1059232403022159
test1_pi-lgbm_nc5_nv8_nd9,pi-lgbm,5,22,0.8332713737672605,0.8405495405079495,0.5242478431235876,0.3175870576724064,0.8494222468856563,0.842249336762036,0.853641673605987,0.8379401357746723,0.985553177084518,0.9979317959147668,0.9566060047587128,0.7791432899989057,0.9958049338023036,0.9965211117744802,0.9905410444825452,0.989588490398003,0.3916145901653866,0.4644166692605839,-0.4596378892133276,-0.3315486346434351,0.490346589219703,0.3080220614509024,0.5726022439773708,0.2469780696033089
test1_pi-lgbm_Anc5_nv8_nd9,pi-lgbm,5,14,0.8079376468908243,0.8565258779323277,0.4482608253379154,0.4555551834493602,0.8365008866239818,0.8371305243151544,0.8451107578025631,0.8372563253675943,0.95591332215226,0.9976559968517904,0.856917520454475,0.8483114397955502,0.9935979198268317,0.9982873453866704,0.9936621854932576,0.9938338507020366,0.0870664233564767,0.4881209278149202,-0.2745169055450179,-0.2247059618220881,0.2464819337559837,0.2090659276255288,0.1490119145351035,0.1059232403022159
test2_pi-lgbm_nc5_nv8_nd9,pi-lgbm,5,14,0.8022671312485717,0.8428510346872629,0.5488016723093663,0.3694011756173397,0.836220462049397,0.842249336762036,0.8503805169604252,0.8379401357746723,0.9562345323532104,0.9975569886018004,0.8814471633384815,0.7901014780770631,0.990112966146373,0.9965211117744802,0.9882347617667848,0.989588490398003,0.2452673842558898,0.4872560330930559,-0.3222576663809148,-0.2068531868592144,0.2952730031816688,0.3080220614509024,0.3908001978358761,0.2469780696033089
test2_pi-lgbm_Anc5_nv8_nd9,pi-lgbm,5,18,0.8364820445014896,0.8507803536388352,0.5618381782217902,0.4901886091433407,0.8433101240454403,0.8371305243151544,0.8493460334514699,0.8372563253675943,0.986854845963937,0.9970349152267864,0.9281074390615388,0.8887633410336832,0.9928145060963184,0.9982873453866704,0.988970524912893,0.9938338507020366,0.1998602353110434,0.4655782980667019,-0.2651689561395175,-0.2477203078683057,0.2185143943534039,0.2090659276255288,0.23283117238401,0.1059232403022159
test3_pi-lgbm_nc5_nv8_nd9,pi-lgbm,5,14,0.8321080585643912,0.8404814167620197,0.4846331698049559,0.4509066353917927,0.8468690966866291,0.842249336762036,0.846111971271071,0.8379401357746723,0.9904031294229794,0.9971994758605685,0.9060001419742428,0.9432605392630712,0.9951301564449108,0.9965211117744802,0.9888241781682888,0.989588490398003,0.2747614871571267,0.508968802609674,-0.4241745666143677,-0.3217258543532195,0.4483910876726614,0.3080220614509024,0.4710719543374339,0.2469780696033089
test3_pi-lgbm_Anc5_nv8_nd9,pi-lgbm,5,13,0.8192336033434865,0.8541317342005156,0.4687051182464829,0.4280578324599154,0.8411753039430105,0.8371305243151544,0.8492374378664003,0.8372563253675943,0.976142724186854,0.9975746676466096,0.9415919978665872,0.962493588555515,0.9985223989927005,0.9982873453866704,0.9922716472302074,0.9938338507020366,0.3452298931950991,0.502039665557576,-0.3608180741158609,-0.5225232679979575,0.1393917900705026,0.2090659276255288,0.249318533340723,0.1059232403022159
test4_pi-lgbm_nc5_nv8_nd9,pi-lgbm,5,11,0.8171422187743429,0.8381146251876964,0.4744967901772996,0.3363209921959759,0.8373768988508056,0.842249336762036,0.8469233301310048,0.8379401357746723,0.953013122559498,0.9971020291833556,0.7950348483632397,0.8974230253744035,0.9861206713790728,0.9965211117744802,0.9867635250204532,0.989588490398003,0.3302942402926986,0.4688004305788628,-0.2096941032216149,-0.3351457137344809,0.3630639376546464,0.3080220614509024,0.4473051046061237,0.2469780696033089
test4_pi-lgbm_Anc5_nv8_nd9,pi-lgbm,5,18,0.8337370892697539,0.8510561370808423,0.494349201681097,0.4248856220205435,0.8407350708128415,0.8371305243151544,0.845600302845647,0.8372563253675943,0.9921530661825408,0.9979046342090204,0.9663717862529811,0.9417822171778972,0.9941285484582983,0.9982873453866704,0.9893589195538872,0.9938338507020366,0.2468779533785548,0.4387354897459773,-0.5159055914199727,-0.2807037336096434,0.2996013128190757,0.2090659276255288,0.2352222956750418,0.1059232403022159
test5_pi-lgbm_nc5_nv8_nd9,pi-lgbm,5,16,0.8299487241651239,0.8415903729039129,0.5671302989520626,0.3981920503883646,0.8488518706710093,0.842249336762036,0.8523499081204073,0.8379401357746723,0.982714972532594,0.997764567743746,0.9377133131816956,0.8156820368886678,0.9952193764355584,0.9965211117744802,0.9894546537347978,0.989588490398003,0.3915065928123734,0.4772189317086553,-0.2083988392048412,-0.2655179667700519,0.4844649068163647,0.3080220614509024,0.5420326291945492,0.2469780696033089
test5_pi-lgbm_Anc5_nv8_nd9,pi-lgbm,5,18,0.826986815030096,0.85476831828566,0.4748835528091678,0.4381165970002009,0.8372702382879943,0.8371305243151544,0.8469110932667056,0.8372563253675943,0.98248652251174,0.9977162748829016,0.964875894763218,0.7433285057508248,0.9934865776925658,0.9982873453866704,0.9888162406506152,0.9938338507020366,0.3648560984492784,0.4887453206421629,-0.4162768353009592,-0.1963010892850141,0.2606195540724286,0.2090659276255288,0.2089925540322005,0.1059232403022159
