,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10,zgv50_cluster11,zgv50_cluster12
1969-06-01,-0.009084868,-0.004239619,-0.026800394,0.018623997,0.0333112,-0.0062080147,0.022712195,0.0042396067,-0.0052995207,-0.06056585,0.0062079905,0.023015033
1969-07-01,-0.04724138,-0.036945175,-0.0092363,0.0034825443,0.051329553,0.04421308,-0.013324487,-0.0039367797,-0.018775415,-0.006662226,0.017715503,0.051178157
1969-08-01,-0.00075707433,-0.057689,0.0077221394,0.018775415,-0.004996681,0.060717262,0.0046938537,-0.027557457,-0.03497678,0.037248015,0.008479213,0.04905834
1969-09-01,0.02362069,0.023015022,-0.04663571,0.027254641,0.021046627,0.012718832,-0.03255415,0.0569319,-0.0063594105,0.04648429,-0.0057537556,-0.012264585
1969-10-01,-0.04436449,-0.07283044,0.06768235,-0.06692529,-0.0068136575,0.06677387,-0.0024226427,0.021955121,0.030282926,-0.11007843,-0.019229675,0.034673966
1969-11-01,-0.01680702,0.067530915,0.01816976,0.100842156,0.03285699,-0.009690535,0.07434459,-0.00030282736,-0.013627315,-0.04163902,-0.09433131,-0.0402763
1969-12-01,-0.00015140772,0.006965065,0.0060565947,-0.007873535,-0.102961995,0.12552273,0.21833995,0.024226343,-0.22106537,0.086760595,0.060414433,0.021046638
1970-01-01,0.048194982,0.19631596,-0.069542214,-0.048194982,-0.03811071,-0.02684772,-0.018335056,0.016370583,-0.12402351,0.054743193,-0.07412596,0.0214782
1970-02-01,0.11616564,0.032872103,-0.09193716,-0.047671128,-0.008512711,0.061946295,0.054612257,-0.07870972,-0.30095667,0.14589457,0.06875644,-0.08866303
1970-03-01,0.21438909,0.06836347,-0.017156387,-0.025930976,-0.042039633,-0.09350872,0.003797972,0.050552346,0.0019644736,-0.101890445,-0.18911287,-0.03706298
1970-04-01,0.07792397,-0.25210693,0.15152606,-0.031300545,-0.14157276,0.10005696,0.13685803,-0.004976654,-0.0694112,-0.14995448,-0.059981775,0.0039289473
1970-05-01,0.039420366,-0.057362486,0.010215235,0.035360456,-0.03509853,0.054088403,-0.014798999,-0.01545384,0.012834501,-0.0006548405,-0.011524868,-0.054743193
1970-06-01,0.00026192665,-0.039420344,-0.033003043,0.027633524,0.007595944,0.058279276,-0.0068101883,0.006679201,-0.02265687,0.034181762,-0.026585817,-0.011917782
1970-07-01,-0.005893397,-0.016108643,-0.005107641,-0.05644574,-0.028026437,0.038241673,-0.01846602,0.03077669,0.025014257,0.062077235,0.13581033,-0.06731582
1970-08-01,0.011001038,-0.0007858038,-0.036408186,0.017549252,-0.0170254,0.044920873,0.0073340177,-0.01741829,-0.0474092,0.08119805,0.055398036,0.016370583
1970-09-01,-0.042563487,-0.027109671,-0.04138484,0.007072091,-0.02776451,0.038896512,-0.011131978,0.025538111,-0.019513702,0.061815284,0.009167528,-0.002488327
1970-10-01,-0.014144182,-0.013620329,0.09887829,-0.0027502538,-0.087484375,0.00039286615,0.11223669,0.038110685,-0.0965209,-0.08381736,-0.031038618,0.055529
1970-11-01,0.022133017,0.17588547,0.08290057,0.11603465,0.05749347,-0.11983259,0.022918796,0.05356455,-0.11289151,-0.037063025,-0.02344265,-0.029990887
1970-12-01,-0.03300309,-0.10280721,0.059195995,0.10673616,-0.10870065,0.11420114,0.23861754,-0.0027502538,-0.14039409,0.013882255,0.020561457,-0.0030121803
1971-01-01,-0.0015835285,-0.092277244,-0.030087184,-0.033542275,-0.08018474,-0.037141226,0.10005097,0.013244152,-0.22659028,0.18743363,-0.017850816,0.040596224
1971-02-01,0.03642144,-0.13128991,0.20902736,-0.06578891,-0.0005758405,-0.035557676,-0.02202561,-0.012380409,-0.18181925,-0.07716161,-0.01381998,-0.040884137
1971-03-01,-0.016123319,0.0051825047,-0.12308431,0.11689408,0.07658577,0.037141226,0.0731308,-0.019434357,-0.22011213,-0.010508919,0.00086374284,-0.04678645
1971-04-01,-0.013388109,-0.04462706,-0.1235162,0.19290403,0.23825088,0.16871905,-0.026776314,0.04765017,-0.1878655,0.067372456,-0.010077071,-0.02807188
1971-05-01,0.00028791427,-0.051537037,-0.05182495,0.12697117,0.027783941,0.026920175,-0.0067660334,0.0279279,-0.012668324,0.019434357,-0.017131042,0.031526852
1971-06-01,0.025912475,-0.059886623,-0.004174805,0.034693934,-0.024616849,0.07399454,0.05902288,0.09904327,-0.04318745,0.038724758,-0.045346834,0.028071856
