,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vo850_cluster10,vo850_cluster11
1968-12-01,-4.628583e-05,-1.2543605e-05,1.0487838e-05,-2.6703274e-06,1.4334582e-06,4.191461e-07,9.084199e-05,1.5823462e-06,6.7187066e-05,7.016839e-06,-2.6796333e-06
1969-01-01,-4.4652654e-05,-1.1377051e-05,3.509398e-06,8.321091e-06,-5.400805e-06,2.8413633e-06,0.00010650487,2.1733213e-06,1.1092554e-05,4.123278e-06,6.569746e-06
1969-02-01,-3.3801516e-05,-7.5764474e-06,-4.3987457e-06,7.147508e-06,-3.1078016e-06,-9.411888e-07,8.481164e-05,2.1733213e-06,2.170897e-05,1.9656873e-06,8.934967e-06
1969-03-01,-3.5950077e-05,-1.455759e-06,1.911525e-06,9.365467e-07,9.58495e-06,-8.9604873e-07,5.660953e-05,2.3448447e-06,1.7231298e-05,5.630878e-06,1.1760592e-05
1969-04-01,-2.5171168e-05,-3.9834777e-06,4.845482e-06,9.094656e-07,2.489287e-06,-2.4036563e-06,4.7428497e-05,1.6858321e-06,5.7030993e-06,9.133571e-06,7.4634736e-06
1969-05-01,-3.409943e-05,-4.570269e-06,4.9447845e-06,2.2106182e-05,2.7330316e-06,-1.4647885e-06,7.7779165e-05,3.0038573e-06,1.4748719e-05,2.9406656e-06,6.434333e-06
1969-06-01,-1.5692225e-05,-2.3404573e-06,4.0059167e-06,1.6689643e-05,4.9447845e-06,4.6468704e-06,4.8304173e-05,5.9107333e-06,3.4654495e-05,5.7482393e-06,6.8377267e-07
1969-07-01,-2.9272487e-06,-2.9453076e-06,9.455762e-07,1.8754145e-06,5.3329713e-06,3.3739852e-06,5.3440854e-05,1.1983429e-06,6.5336353e-06,2.0198495e-06,2.6156704e-06
1969-08-01,-1.7768565e-05,-1.916167e-06,2.5885893e-06,2.2494369e-05,9.726573e-07,4.4663248e-06,4.5144523e-05,4.0420273e-06,-1.0224394e-06,7.108538e-07,-6.551272e-08
1969-09-01,-1.0654847e-05,4.5808702e-07,8.014154e-06,2.6240807e-05,8.33012e-06,2.2004024e-06,3.2114913e-06,-6.4328196e-07,4.6652127e-05,2.4531764e-06,-2.286295e-06
1969-10-01,-2.211985e-05,-4.9883965e-07,3.2385724e-06,1.48209365e-05,-7.2785406e-06,1.5865298e-06,6.017542e-05,4.385074e-06,-9.725009e-06,-3.1828677e-07,-1.0043805e-06
1969-11-01,-5.1287912e-05,-5.906346e-06,3.689951e-06,3.319823e-06,-1.1939628e-06,6.019065e-06,0.000112950554,5.2246396e-06,2.9292121e-05,3.021909e-06,-3.4536788e-07
1969-12-01,-5.6605146e-05,2.3899847e-06,7.6169417e-06,-5.581358e-06,6.0100356e-06,4.592708e-06,0.00015254546,8.167623e-06,2.6502606e-05,8.600946e-06,-1.7536659e-06
1970-01-01,-3.697721e-05,5.1908137e-06,1.21224e-06,-1.1538359e-06,-6.919654e-07,2.9138719e-06,9.455883e-05,-1.5716796e-07,6.7709007e-06,8.602179e-06,6.074042e-06
1970-02-01,-3.8443854e-05,1.1430127e-05,-1.9641375e-06,3.7322752e-06,1.6903177e-06,1.8199644e-06,9.788916e-05,1.58498e-06,-2.9770126e-06,5.863363e-06,7.0545066e-06
1970-03-01,-2.9960014e-05,3.48108e-06,-2.7060742e-07,6.3738516e-06,3.7808932e-06,1.3661993e-06,8.479471e-05,-1.2753808e-06,3.793505e-05,6.341441e-06,1.6802418e-05
1970-04-01,-2.8768867e-05,-5.999431e-06,3.2704047e-06,5.3528747e-06,3.8700273e-06,7.7820005e-08,3.0212886e-05,2.1683954e-06,8.010658e-06,2.6140588e-06,4.015881e-06
1970-05-01,-3.0065348e-05,-8.641011e-06,8.197028e-06,1.2459208e-05,8.585972e-06,2.5978552e-06,1.821234e-05,2.3871762e-06,3.8332095e-05,3.5215962e-06,7.503695e-07
1970-06-01,-6.2668296e-06,2.2575296e-06,7.799983e-06,1.8260958e-05,-2.9851144e-06,3.3028155e-06,-6.177699e-06,1.9253057e-06,3.9571856e-05,8.780444e-06,4.1004387e-07
1970-07-01,5.6688914e-06,-9.443207e-06,4.9072114e-06,2.1729044e-05,1.6065045e-05,5.9200866e-06,2.7709058e-05,2.6869857e-06,2.4832494e-05,6.4503183e-07,6.30903e-06
1970-08-01,1.1231059e-06,-1.3656769e-05,1.0096664e-06,2.3868237e-05,5.8066435e-06,1.9009967e-06,-1.1687738e-05,-2.9283947e-06,1.6413474e-05,-3.4956029e-06,-4.386933e-06
1970-09-01,-1.5731137e-05,-1.4096076e-07,-2.4422152e-06,1.3382951e-05,-1.0971162e-06,2.9219736e-06,1.2045955e-05,-7.973031e-07,2.9094674e-05,-5.894093e-06,-5.4160155e-06
1970-10-01,-1.7983773e-05,-1.3239987e-06,5.3366675e-06,1.3828616e-05,-8.243962e-06,2.3871762e-06,4.355853e-05,-1.105218e-06,4.935218e-05,5.7823345e-06,-9.702504e-06
1970-11-01,-4.6587375e-05,6.5602217e-06,1.1231059e-06,3.926747e-06,-9.516134e-06,3.8214057e-06,0.00010522238,-4.0466075e-06,2.766044e-05,7.799983e-06,-2.5151421e-06
1970-12-01,-4.2535874e-05,-2.8878785e-06,8.63459e-06,3.8052021e-06,2.8490467e-06,4.3435284e-07,0.00013136267,5.012549e-06,7.6999626e-05,1.273471e-05,1.1231059e-06
1971-01-01,-3.393102e-05,-7.0153837e-06,6.0029597e-06,7.769144e-06,-3.615689e-06,2.4457186e-06,6.258716e-05,-9.539763e-07,3.5721278e-05,1.0240143e-05,-3.7566533e-06
1971-02-01,-1.847485e-05,1.3926438e-06,9.004645e-06,1.1355914e-06,-2.4216497e-06,1.1936354e-06,5.2205654e-05,-2.570905e-06,1.1210301e-05,9.079271e-06,-9.622672e-07
1971-03-01,-3.2380434e-05,-8.060171e-06,-2.9357507e-06,-3.2425523e-06,6.649734e-06,-5.6425415e-07,9.3209295e-05,-2.8611212e-06,2.8656543e-05,1.667469e-05,4.759171e-06
1971-04-01,-1.8947489e-05,-7.0236783e-06,1.571425e-07,3.7309692e-06,-1.8412138e-06,-2.3257599e-07,6.044784e-05,5.4888624e-06,6.6248576e-06,1.4941674e-05,1.14507675e-05
1971-05-01,-4.273706e-05,-8.959323e-07,3.8221806e-06,3.6314668e-06,5.4971533e-06,2.7525202e-06,6.864857e-05,2.3213397e-06,6.66668e-05,8.954892e-06,3.6065903e-06
1971-06-01,-2.3168082e-05,6.9316593e-06,4.7425856e-06,-1.4846592e-06,-2.3221473e-06,5.7127436e-06,2.4518864e-05,1.4672696e-06,3.2877142e-05,8.98806e-06,1.0240143e-05
1971-07-01,9.062689e-06,-1.4511301e-05,3.341247e-06,1.9941712e-05,1.7702889e-05,4.7425856e-06,5.6301873e-05,9.080759e-08,2.646747e-05,-2.977209e-06,2.8603172e-06
1971-08-01,1.7810686e-05,-4.809728e-06,3.0759074e-06,2.6135793e-05,2.1969608e-06,3.863639e-06,-1.0534786e-06,3.893183e-07,1.3026234e-05,-6.5095774e-06,-1.7251259e-06
1971-09-01,-5.5477103e-06,-1.14515715e-05,4.0128944e-06,2.8598499e-05,-1.708544e-06,3.6563433e-06,1.0721076e-05,-3.615689e-06,3.5721278e-05,-7.0402602e-06,-1.0203112e-06
1971-10-01,-1.9254287e-05,-8.997158e-06,5.0493873e-06,6.3761e-06,-4.8843576e-06,2.7608112e-06,6.208135e-05,-1.7582934e-06,5.7089608e-05,3.2002863e-06,-4.453177e-06
1971-11-01,-2.7720358e-05,-3.99712e-06,6.9648268e-06,3.2749122e-06,-1.0257536e-05,3.797304e-06,7.6940516e-05,5.0908493e-06,8.262049e-05,1.8158946e-05,-4.2541687e-06
1971-12-01,-4.258781e-05,-7.5709468e-06,1.9979525e-06,-1.4763682e-06,6.201968e-06,2.8022732e-06,0.0001494867,8.258368e-06,7.337498e-05,1.0704491e-05,-1.4266188e-06
1972-01-01,-9.875883e-06,9.350093e-06,1.5562619e-06,-5.015878e-06,6.4162596e-06,2.974135e-06,3.9669354e-05,2.4301698e-06,4.055218e-05,1.3104334e-05,2.8849608e-06
1972-02-01,-2.301125e-05,2.1130021e-05,6.199334e-07,7.789546e-06,-4.8642833e-06,2.7066126e-06,4.2166233e-05,-2.7419374e-06,3.5192803e-05,1.4254685e-05,7.9054735e-06
1972-03-01,-9.055475e-06,3.3129982e-06,5.57513e-07,-7.931878e-06,1.1722135e-05,-1.4696707e-07,3.018121e-05,-2.5992558e-06,2.7693248e-05,8.708041e-06,7.3525953e-06
1972-04-01,-2.28329e-05,-6.68344e-06,9.944633e-07,6.4341e-06,2.6620255e-06,-1.2616438e-06,6.48165e-05,2.1983215e-06,-4.266818e-06,8.146242e-06,7.263421e-06
1972-05-01,-3.4327466e-05,-9.858042e-06,5.7831276e-06,1.8445873e-05,7.218834e-06,-1.2527235e-06,2.8674163e-05,5.8723017e-06,3.212521e-05,8.467272e-06,3.428926e-06
1972-06-01,-1.9693965e-05,-4.632435e-06,-4.5907655e-07,1.6430535e-05,5.506685e-06,4.2939137e-06,3.8777613e-05,4.802205e-06,3.0900628e-06,1.886212e-06,2.8403738e-06
1972-07-01,2.721572e-07,-9.171403e-06,4.927053e-06,3.9910123e-05,1.440334e-06,5.016227e-06,2.5276626e-05,1.4905658e-05,1.3354023e-05,2.269655e-06,1.226319e-06
1972-08-01,5.7534635e-07,-1.2221164e-05,-3.892288e-06,1.981916e-05,6.255752e-06,1.6989434e-06,7.566901e-05,6.5411077e-06,1.7982169e-05,-1.9572035e-06,-8.3331615e-06
