,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11,zgu250_cluster12
1969-05-01,-0.10316734,0.1399891,-0.12671967,0.28594932,0.2769924,-0.7832092,0.19936867,-0.021562576,0.13003731,0.12705155,-0.069662854,0.34665567
1969-06-01,-0.13070068,0.12307091,0.19339752,0.009288025,0.044783402,-0.4478325,0.38480455,-0.21396407,0.31315118,-0.063027956,-0.21993561,0.30187225
1969-07-01,0.053739928,0.32044905,0.1353447,-0.4047081,-0.41101074,0.3247612,0.039144136,-0.030519104,-0.107811354,-0.0096206665,-0.16884995,0.298555
1969-08-01,0.02288971,0.4209625,0.2680359,-0.60308075,-0.59843713,1.4373764,0.052413177,0.27467042,-0.14363822,0.01890869,-0.051085662,-0.0069664
1969-09-01,-0.1449646,0.43390045,0.09752808,0.1894165,0.5921341,0.25144958,-0.2577526,0.17714271,-0.051086046,-0.4043762,-0.17117158,-0.14297485
1969-10-01,-0.26372376,0.008956909,0.27102128,-0.071984865,0.5642689,-0.5218075,0.30386275,0.187426,0.15292625,-0.3144783,-0.29424247,-0.06800423
1969-11-01,-0.12506142,0.010947418,0.03848038,0.58052367,0.24979095,-1.0890625,0.43622208,0.13202743,-0.00530777,-0.29391098,0.1728302,-0.07994652
1969-12-01,-0.23652191,0.04113388,-0.49891853,0.4975914,-0.34499663,-0.44152984,0.34002075,-0.1894165,0.121744156,-1.0084522,0.20434418,-0.20832482
1970-01-01,-0.1946846,0.101169586,-0.49153632,0.7830639,0.06788979,-0.24227372,0.47123605,-0.10948944,0.39269638,-0.13844223,-0.13511428,-0.18902664
1970-02-01,-0.28154334,-0.046923827,-0.7537781,0.75444376,-0.020633316,-1.5108845,0.29518813,-0.50651246,0.4070076,-0.0053245546,0.070552066,-0.17138901
1970-03-01,-0.20167312,-0.12513046,-0.5377949,0.7501175,-0.06922112,-0.43229923,0.1663971,-0.04226456,0.6432907,-0.09983826,-0.035941698,0.060235597
1970-04-01,-0.18503341,-0.013644409,-0.377721,0.2119896,0.07354736,0.21032563,0.029951477,-0.094846345,0.15741158,-0.44827348,0.3124935,0.20034179
1970-05-01,-0.008985901,0.1740509,-0.20233917,0.1031662,-0.2519249,-0.4602541,0.12346649,0.48721045,0.16573143,0.043263245,-0.07354736,0.102833554
1970-06-01,0.15208665,0.11448135,-0.109156035,0.12246819,-0.11381531,-0.09684296,-0.021631623,0.11381531,-0.10449715,-0.34444124,-0.26457062,0.14776078
1970-07-01,0.0059906007,0.23694916,-0.04126663,0.06256523,-0.03361206,0.54944265,0.364077,0.10050354,-0.13012275,-0.24893036,-0.12146988,0.08685913
1970-08-01,-0.110154726,0.2881996,0.3101639,-0.35575637,-0.52614707,1.0453056,0.15574722,-0.15840988,0.38737184,-0.25125962,-0.1254631,0.3454399
1970-09-01,0.013977814,0.4602539,0.069554135,-0.25625116,-0.18736267,0.12845841,-0.0029953003,-0.071883395,0.1098217,-0.17704621,-0.27388915,0.04093323
1970-10-01,0.17671356,0.28520432,0.13012238,-0.009650802,0.48787612,0.34477463,0.3161541,0.17238769,0.33778572,-0.28786698,-0.190691,0.097509004
1970-11-01,-0.1381092,0.47722664,-0.76542586,0.24693337,0.96576804,0.14243583,0.340448,-0.02595749,0.14942436,-0.3101639,-0.07155037,-0.0575737
1970-12-01,-0.27854842,0.21032563,-1.4589685,0.6293133,0.18935966,0.13844223,0.08153458,-0.12978896,0.23861313,-0.40700683,0.17238732,-0.18370208
1971-01-01,0.25705147,-0.023190308,-1.5697443,0.7881382,-0.107785225,-0.23745385,0.2371273,-0.0032661438,0.3808407,-0.41546327,-0.15906486,0.17506942
1971-02-01,-0.030049134,0.21491699,-0.23059464,0.555257,0.24496612,-0.76756096,-0.05519905,-0.11889038,0.20283203,0.25639802,-0.08916779,0.067610934
1971-03-01,-0.16004486,0.13424149,-0.85117644,0.62090796,-0.34589234,-0.47588807,0.33348083,-0.31257707,0.68917197,-0.3534046,0.20381203,-0.0450737
1971-04-01,0.016984558,0.232555,-0.51671565,0.49352568,0.90016955,0.8194939,0.13848762,-0.29493943,0.5330467,-0.24594612,0.15449218,-0.062711336
1971-05-01,-0.25313187,0.13097534,-0.24235344,-0.12411614,0.5823666,-0.060425185,-0.17506905,-0.14436683,-0.06173134,-0.0538929,-0.2871006,-0.15187912
1971-06-01,-0.019924164,0.12052345,-0.2802414,0.13195534,0.2890602,-0.1420807,-0.14142723,-0.24365997,0.22863503,-0.3560173,-0.008492279,0.16461715
1971-07-01,0.17604904,0.25574493,0.47882766,-0.1786621,0.16363735,0.43277398,0.030049134,-0.16527061,0.020903777,-0.6003311,-0.015351105,-0.013718414
1971-08-01,0.016984558,0.18258134,0.04082794,-0.43538666,-0.46510926,0.33936024,-0.15645142,0.32498854,-0.22112274,-0.33413392,-0.17376252,-0.092760466
1971-09-01,-0.025803376,0.09374084,0.07185669,-0.17376289,-0.17898902,-0.29787904,-0.7146484,0.0199234,0.5634228,-0.22961502,-0.027436066,0.09994583
1971-10-01,-0.049973298,0.3831272,0.009798432,0.2371273,0.43930587,-0.6009842,-0.27860832,0.23157462,-0.08688164,-0.073163606,-0.24006692,-0.009798432
1971-11-01,-0.31747666,-0.013391495,-0.6725143,-0.117910385,-0.09798622,-0.39129296,0.02253685,-0.42068902,0.4138298,-0.48797303,0.26750335,-0.0058792112
1971-12-01,0.052912522,0.24365997,-0.78781164,0.16037102,0.500058,0.5980442,0.15579852,-0.08198204,0.2733822,-0.16886368,-0.12378959,-0.0163311
1972-01-01,-0.1469017,0.014345932,-0.64068604,0.6016653,0.3999626,-0.19998112,-0.015493584,-0.19223443,0.15665665,0.32737237,-0.08320598,-0.05709648
1972-02-01,0.057957076,0.03959427,-1.1786556,0.6251923,-0.37815705,-0.3285202,0.667943,-0.246175,0.5196072,0.11132393,-0.012911225,-0.37356606
1972-03-01,-0.18047103,0.16669846,-0.92329943,0.2292469,0.66392595,-0.4940712,0.34516144,-0.28749084,0.32134706,0.011763764,-0.01635437,-0.49980965
