,r200_cluster1,r200_cluster2,r200_cluster3,r200_cluster4,r200_cluster5,r200_cluster6,r200_cluster7,r200_cluster8,r200_cluster9,r200_cluster10,r200_cluster11,r200_cluster12
1972-08-01,42.263283,35.97339,78.973854,78.13521,15.007061,84.54212,79.51671,16.226032,30.621284,41.90897,79.7475,65.7797
1972-09-01,32.704914,52.90085,61.009453,75.81915,30.977224,77.403824,84.25282,14.740513,35.87912,41.03781,70.098114,48.39065
1972-10-01,40.069134,56.981968,44.088493,66.92554,43.505013,55.446064,79.2014,27.682749,40.192657,59.569443,58.81368,33.247765
1972-11-01,49.14804,48.213493,45.95758,76.33112,54.30023,62.608746,79.658104,39.391384,44.44118,61.687202,74.73021,16.952541
1972-12-01,64.57373,39.638428,23.587002,68.41106,60.13342,58.50812,72.68396,52.149963,38.645374,57.058357,64.35594,17.98948
1973-01-01,46.647224,24.22905,9.805283,66.51172,48.534153,44.029495,48.837967,47.48312,36.50641,75.92338,40.707253,9.023579
1973-02-01,76.36514,29.159044,16.605785,69.879944,53.64315,37.43756,48.875736,24.463888,47.732742,77.260155,51.913876,17.625614
1973-03-01,56.85208,37.360374,22.360184,83.75684,39.961678,40.753235,57.6305,34.39778,45.318653,70.942474,55.64011,19.663631
1973-04-01,69.26247,49.94812,68.00615,71.6667,47.808285,53.88292,69.45953,47.88711,52.11751,79.65289,59.95591,28.016047
1973-05-01,54.34767,69.866806,81.93725,71.359604,27.132524,56.341347,88.00367,25.992811,37.92202,68.59079,59.216904,24.19292
1973-06-01,57.802937,57.656776,66.34421,82.80927,14.190056,86.060905,82.70253,25.634804,32.74076,50.63786,33.8854,26.528181
1973-07-01,42.2838,49.45052,80.26545,74.61287,6.527378,81.09642,78.76937,17.727432,34.4569,49.322426,69.85367,52.71857
1973-08-01,42.69436,45.716072,74.25651,81.29349,10.944996,82.17866,84.633804,10.422764,42.67958,42.98011,70.68464,58.269333
1973-09-01,51.449123,37.550873,63.696922,76.10238,21.223755,74.7344,85.25785,16.884968,40.079918,44.256126,67.86821,51.192932
1973-10-01,48.980843,65.67418,44.812843,68.613785,36.302773,72.17415,75.703316,21.448742,41.06526,65.9008,51.059914,29.439867
1973-11-01,56.106506,57.57138,36.701836,78.738174,46.98224,68.684395,60.533978,16.96215,34.621124,71.055786,54.62685,14.620323
1973-12-01,49.42753,44.497536,33.98886,76.535934,49.307648,43.84721,56.31507,27.515165,35.346992,67.94704,55.157295,12.845066
1974-01-01,71.64513,42.477356,9.052586,81.98357,28.352888,26.026077,55.94741,45.116505,48.18036,71.47821,65.80165,7.469429
1974-02-01,66.25611,20.025616,8.65432,85.85057,41.204884,16.81303,47.72921,15.552124,41.26603,81.884415,47.38878,15.193516
1974-03-01,67.416214,46.19728,27.371265,78.21572,41.613068,42.310448,62.8667,13.978882,42.36664,71.987206,62.361015,26.925072
1974-04-01,66.58497,61.419052,61.728085,78.9792,47.26649,55.48965,70.1165,47.978745,47.947346,67.71202,56.42335,30.876354
1974-05-01,51.792866,67.4096,65.808266,81.453094,36.75783,48.282818,81.054825,37.068512,53.15623,48.300995,55.137657,34.87887
1974-06-01,39.834908,66.14208,79.26014,76.87549,27.614191,83.82783,79.09323,23.84965,41.580017,44.362934,45.233837,46.916145
1974-07-01,52.675335,52.91165,73.547226,85.767944,17.323673,78.80403,87.75928,21.48648,51.072346,31.312632,70.39248,61.78262
