,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7,mgv600_cluster8,mgv600_cluster9,mgv600_cluster10,mgv600_cluster11,mgv600_cluster12
1974-12-01,0.14565358,-0.15659861,-0.059776925,-0.11155547,-0.20360628,-0.038167417,0.42938334,-0.21553358,-0.061039794,-1.0974534,-0.38153374,0.5346244
1975-01-01,0.19905193,-0.19958885,-0.080667734,0.080130816,-0.31663084,0.092076614,0.7096343,-0.024294281,-0.080265045,-0.7779535,-0.45555115,0.29394722
1975-02-01,0.047917414,-0.26213652,0.123484656,-0.10872023,-0.18831415,0.19730707,0.49179125,0.11744466,-0.08536551,-0.74788773,-0.36535358,0.37756783
1975-03-01,0.20643418,-0.36951452,-0.07650681,-0.10523043,-0.094089985,0.12267935,0.37528604,0.17153633,0.08858685,-0.4763556,-0.2609285,0.4284382
1975-04-01,0.030736947,0.044830322,-0.30468503,0.052480984,-0.16039589,0.17167059,0.4692418,0.034897853,0.04630675,-0.42870665,-0.28012234,0.5693718
1975-05-01,-0.0013422251,-0.056507636,-0.28173304,-0.03610585,0.026576066,0.07086949,0.32575792,0.23650002,0.35300514,-0.39850655,-0.35971624,0.46561784
1975-06-01,0.031139612,-0.056910373,-0.53662145,0.15623498,0.04147475,0.053554773,0.6524555,0.17851591,0.45273247,-0.37327275,-0.2905917,0.08617084
1975-07-01,-0.025233816,0.081741475,-0.393943,0.018522691,0.15717456,0.035703182,0.45689335,0.043890763,0.3849501,-0.33676422,-0.17167059,0.13851759
1975-08-01,0.12012913,-0.12012911,-0.17636839,0.06992991,0.22509113,-0.17677101,0.59514254,0.11623664,0.3585083,0.26240498,-0.1603959,-0.1510003
1975-09-01,-0.0009395361,0.03234763,-0.31515437,0.038656067,0.06684277,-0.1361016,0.39166123,0.03315296,0.23180223,-0.27555874,-0.16844921,0.08066769
1975-10-01,0.12603495,-0.08603664,-0.21703777,0.0710037,-0.054360103,0.05006497,0.44615546,0.15368477,0.19193813,-0.42937773,-0.31783882,0.21274266
1975-11-01,0.17663682,-0.1688519,-0.24428496,-0.18334791,-0.047648955,-0.10174064,0.47608718,-0.005100441,-0.028052498,-0.4376995,-0.3352878,0.15569803
1975-12-01,0.14965808,0.030602718,-0.035837412,0.028455162,-0.2091186,0.054896973,0.4309884,0.048454307,0.050736092,-0.37421227,-0.3717963,0.042682745
1976-01-01,0.16909787,-0.31191248,-0.039290786,-0.059003234,-0.3796321,0.027221942,0.5157418,0.22582145,-0.18867621,-0.9817332,-0.2971617,0.15823594
1976-02-01,0.24566796,-0.2435224,-0.03486552,-0.16172247,-0.1527379,0.28898168,0.31526494,0.13342777,0.19404013,-0.57997483,-0.22541913,0.36877012
1976-03-01,0.032451767,-0.2050362,-0.21603227,-0.07026748,-0.23856077,0.1973926,0.4241527,0.10043957,0.40739045,-0.7455862,-0.30976695,0.60947645
1976-04-01,0.07509501,-0.021723915,-0.17955753,0.02266261,-0.1893467,0.14938542,0.3981377,0.08971172,0.056455355,-0.5469867,-0.29099315,0.4748419
