,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7,vo1000_cluster8,vo1000_cluster9,vo1000_cluster10,vo1000_cluster11,vo1000_cluster12
1969-03-01,4.549533719205306e-05,5.741405643665437e-06,-0.0006288876951051255,4.032075491805341e-06,-9.113256282944349e-05,3.931758524855718e-06,0.00016814905862819643,-5.381548362493049e-05,1.2202240719084834e-05,-1.98472933059173e-06,-6.886052726345421e-06,0.0026655472538550384
1969-04-01,3.736794996757043e-05,5.412650708259765e-06,-0.0006042995664756745,1.5423186520517145e-06,-0.001429406984243542,3.007764961712026e-05,0.000199829317411528,-4.403365372646866e-05,-1.4832853088996166e-05,-5.510610932069512e-07,-7.423844728233895e-06,0.0026728825105237775
1969-05-01,2.8884198957359885e-05,4.94076305119094e-06,-0.0004689000585737328,-1.497322086386317e-06,-0.0031879724701866508,5.736322183271541e-05,0.00021411272633310046,-3.2733071618297664e-05,-4.353461109632108e-05,3.2852456068944475e-07,-6.55874970307893e-06,0.0012971649084647652
1969-06-01,2.6737066323508146e-05,4.9891362873256395e-06,-0.00045874330680817366,-4.145665906724554e-06,-0.0035932884202338755,8.362314438986062e-05,0.00020659072399740257,-2.507034001350153e-05,-6.644508243038284e-05,1.4682723986476018e-06,-5.8968751008063255e-06,-3.1967493896445376e-05
1969-07-01,2.659913120992683e-05,6.078532928845673e-06,-0.0005758742190664634,-6.082843776422317e-06,-0.00400367789552547,0.00010677295173153135,0.0002528914445710759,-2.6117904131492e-05,-8.323178109195497e-05,2.5760828752265674e-06,-7.022324257313668e-06,-0.0011223297406104393
1969-08-01,2.8867112747435496e-05,5.981395596010877e-06,-0.0005564329209543455,-5.481247361179461e-06,-0.0044014141167281196,8.779314549767649e-05,0.0002416808603166212,-2.4573077033502546e-05,-7.417066054013385e-05,1.876348046477962e-06,-5.94427815183657e-06,-0.000513448230776703
1969-09-01,3.3417163977319755e-05,5.5961679567665285e-06,-0.0006524302686254184,-4.58276732925614e-06,-0.0034535791201051325,6.904454351694999e-05,0.0001970635850973908,-3.263531717883389e-05,-5.01727097596611e-05,1.7940421938413535e-06,-6.002902912635486e-06,-0.0006777185262762941
1969-10-01,4.0092555200890845e-05,5.7340400324932154e-06,-0.0005860491000930779,-1.2709191285907626e-06,-0.003460574589553289,1.998524906001894e-05,0.00015279285669807466,-4.3339861934198e-05,-2.3014173941057243e-05,3.268457806192114e-07,-5.786076376697437e-06,0.0014960416592657566
1969-11-01,3.959472074334904e-05,5.883392307756201e-06,-0.0007108394129318185,2.1450357950475958e-06,-0.002074704570986796,-5.465456382023381e-06,0.0001408658135915175,-5.4224752992532945e-05,1.878704046652678e-06,-9.048882698086161e-07,-5.93312369703158e-06,0.0021658204786945134
1969-12-01,4.740184784430574e-05,5.78429715461862e-06,-0.0008047848192897316,5.630899598448499e-06,0.00048039519242593087,-3.309424024408537e-05,0.00012084856280125678,-6.201019979406347e-05,3.01952342043579e-05,-1.6995892590012944e-06,-7.77518070232989e-06,0.0028663474950008094
1970-01-01,4.1207421999970064e-05,5.878316590165091e-06,-0.0006844351446488872,6.6698183934821635e-06,0.0008969197551778052,-3.379066708707707e-05,0.00012106084473235833,-6.67213238817307e-05,3.030023368342814e-05,-2.602974148291244e-06,-6.375053654580725e-06,0.0028773541998816654
