,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8,mgu250_cluster9,mgu250_cluster10,mgu250_cluster11,mgu250_cluster12
1969-08-01,-0.4949375,-1.983732,-1.8603294,-1.7501957,-2.0573757,1.8789062,-1.1202446,1.2028446,0.5413796,-3.5173087,1.397569,-0.59080696
1969-09-01,-0.7208446,-1.4669001,-0.6176769,-1.7876809,-2.1844273,0.27632943,-0.5894802,4.536045,1.3932564,-3.0031314,-0.8114063,-0.6276291
1969-10-01,-0.2892662,-0.4687313,-0.2769928,0.99717367,-2.2723353,-0.12738343,-1.826493,0.70724374,-0.7812191,-1.4377079,-1.4698856,-0.45114976
1969-11-01,-1.6102066,-1.8732665,-0.6465374,0.75633925,-2.0523994,-1.2141235,-0.90628016,-0.27599755,-0.41598663,-1.4931065,-1.7223305,-0.42626992
1969-12-01,-2.201345,-2.0849087,0.5685812,-0.044119645,-1.2118012,-1.6563165,-0.93116,0.69762343,-0.16520004,-2.3459783,-1.7432293,-0.48034135
1970-01-01,-1.4409977,-0.74579126,-0.79937136,-1.2988949,-0.5144993,-1.6067289,-1.5481575,0.40833816,-0.44394723,-2.6027813,-1.8566574,-0.22796325
1970-02-01,0.2346199,-1.3305099,-1.511883,-1.9395231,-0.2908619,0.30317497,-0.75144863,-1.044973,-1.4912498,-1.6979145,-1.3295116,-0.37073287
1970-03-01,-0.20999297,-1.8536621,-2.5365555,-1.1674411,-1.4240249,-0.21631584,0.023628235,-0.36041564,0.19202194,-1.7022407,0.04093361,-0.75877035
1970-04-01,-1.1052086,-2.7049491,0.24926262,0.16573143,-1.9119011,0.07787361,1.5628006,0.21997681,0.091185376,-2.4899642,-1.4556408,-0.5800598
1970-05-01,0.18969269,-2.7655177,-1.1275063,-0.7581047,-2.383803,1.7964214,0.7461239,2.8816628,0.9737549,-3.302647,0.6023571,-0.013311768
1970-06-01,-0.0612339,-2.6257439,-2.3901258,-4.3223276,-1.8769577,1.3211914,1.0253384,1.4762733,3.394165,-4.326987,2.3355477,-0.16406707
1970-07-01,-0.30350798,-2.5625129,-1.844011,-2.6041121,-2.5388846,2.3222358,-1.4766067,1.0143554,1.0892341,-3.4138005,0.9318234,-0.437957
1970-08-01,-0.007321167,-2.6333985,0.27289122,-3.4996605,-2.0160656,1.9608219,-1.8496685,1.1840805,1.5335144,-4.163252,1.1504685,-0.437957
1970-09-01,-2.2323823,-1.9498394,-1.0183494,-2.0330384,-2.3042653,1.82005,-1.3767685,4.1010194,1.785772,-4.462101,2.2190697,-0.7953774
1970-10-01,-0.27987975,-1.5637985,-1.0210117,-1.3474827,-1.5301864,0.42164993,-1.2726036,0.082200624,0.062232208,-2.9209323,-1.3065491,-0.25924683
1970-11-01,-2.514258,-1.2073761,0.7211645,0.38470954,-1.6766155,-1.4433273,-1.0928953,0.2888649,-0.28653526,-2.146521,-1.798418,-0.44594383
1970-12-01,-1.3884163,-0.9401428,-1.1963942,-1.7611454,-0.2881996,-0.21931115,-1.1118647,-0.06223259,-0.5867157,-2.5741608,-0.72149736,-0.5218212
1971-01-01,-1.498214,-0.8609749,-0.18846074,-2.6397572,0.009145355,-0.26325703,-0.8312523,-0.9674538,0.25313187,-2.4284327,-1.8947331,0.02449646
1971-02-01,-0.114644244,-0.51769525,-0.1296688,-2.417654,0.3455658,-0.96124804,-1.7219498,-0.081328966,-0.48993263,-2.0720887,-1.6033863,-0.50528413
1971-03-01,-0.08328857,-1.4508541,-0.87828577,-2.0717616,-0.5712616,0.024169922,-0.6352793,-1.468818,-0.36026382,-2.2745938,-0.073163226,-0.62515414
1971-04-01,-0.7283665,-1.2823172,1.5266304,-1.4194984,-1.1895565,1.1170464,-1.7784554,2.370294,0.42591476,-3.3246827,-0.06630421,0.30996436
1971-05-01,-0.93577117,-2.1393726,0.9984829,0.61862105,-2.3431842,0.6953777,1.373771,2.4878783,0.26946297,-3.8985572,-0.4099102,-0.3648365
1971-06-01,-0.14273377,-2.485918,-2.459462,-3.192728,-1.7634308,0.8854721,-0.56407624,2.3043168,1.0353912,-2.8621864,0.4066437,-0.18094864
1971-07-01,0.4559639,-2.0364869,-1.831694,-3.54254,-2.0185227,2.1031175,-0.9772522,2.2327857,1.0723,-3.6385665,-0.025803376,-0.3641838
1971-08-01,0.15775833,-2.6018689,-1.422438,-2.9996948,-2.556142,3.791099,-0.15122604,4.4263787,2.6149337,-4.334597,0.8786129,-0.4745819
1971-09-01,-0.1708229,-2.0247283,-1.974755,-3.568669,-2.1001782,-0.21654968,-1.8979992,2.1802,2.7792249,-3.6225624,0.45465773,-0.37953416
1971-10-01,-0.9583084,-0.34327966,-1.5527604,-3.0134125,-1.8058918,2.5744328,-0.75416946,0.5007111,2.6766658,-3.5565846,1.176492,-0.259338
1971-11-01,-0.8057758,-1.5246704,0.2844879,-1.0687058,-2.3343656,0.31910935,0.11921692,3.017006,1.3133461,-2.6067681,-0.36940956,0.30277824
1971-12-01,-0.81818694,-1.7248898,-0.17180309,-1.9959857,-0.8005501,-0.73881835,-1.2930958,0.22275582,0.63854563,-2.8690457,-1.7931535,-0.66663516
1972-01-01,-3.416322,-0.5844501,0.19682522,-1.4150751,-0.4940712,-0.7462715,-0.33827534,0.0507843,-0.48689842,-1.7676966,-2.9139304,-1.0934414
1972-02-01,-2.770472,-0.46796188,-0.36754093,-0.6140026,-0.7956215,-0.584737,-0.41975975,0.29896775,-0.5764164,-1.6004236,-2.2976322,-0.25162658
1972-03-01,-1.1413562,-0.5414127,-0.8925991,-2.9434829,-0.55202866,-0.07861519,-0.44902533,-0.17903595,-0.34716988,-1.9759982,-0.53682214,-0.14690132
