,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1968-06-01,5.967699592104138e-06,6.7019003757235156e-06,1.0648206873818046e-05,-1.0596228785801378e-05,2.6881387067084424e-06,1.154091212190063e-05,9.85686232441155e-06,5.724180510063006e-05,-1.0009894047433758e-05,-8.886904563006087e-06
1968-07-01,1.2748969985060049e-05,9.988716028865252e-06,2.8468636994691588e-06,1.6586233907449716e-06,2.3250011252567496e-06,1.2736192241768218e-05,1.4105920218726963e-05,3.3654746265242324e-05,1.824702329551136e-05,-3.869596791143219e-06
1968-08-01,2.2065838762770268e-05,9.38339458050483e-06,6.245728228976361e-07,-4.52261900418179e-06,3.3303995254352273e-06,-4.8574110024208316e-06,3.4417729852755e-06,5.3971835410321184e-05,6.94420457281866e-06,8.72442244287288e-06
1968-09-01,1.6761303548399288e-05,1.0711949510985743e-05,3.886514475327983e-06,9.36919409660975e-07,2.5905169636552573e-06,4.812929502094915e-07,9.958667866617228e-06,3.1367243068278626e-05,1.6594274906570457e-06,7.407041658891602e-06
1968-10-01,1.2603567045988272e-05,1.2762165420428865e-05,3.4015063458544127e-06,5.752386180536402e-06,-9.208485833662187e-07,1.6673784113841176e-05,1.2788018907883172e-05,3.5796942525352776e-05,8.387932750189735e-06,6.926729481932068e-07
1968-11-01,1.5112061857036207e-06,8.829004835443694e-06,1.0172692333520451e-05,9.543960068569991e-06,-3.284543214591248e-06,2.9539496165121023e-05,5.7863823902824025e-06,3.3330323993030824e-05,4.08309757886502e-06,4.665221864592704e-06
1968-12-01,2.029165544728231e-05,8.718190814682243e-06,2.5836559327760733e-06,8.511513852412669e-06,-1.7100507080466674e-06,1.5045032164269333e-05,-1.7686896762714822e-06,1.7560215024842005e-05,2.5527181290327668e-05,1.8349173307583172e-05
1969-01-01,2.9870382907877986e-05,9.302807418440564e-06,3.904068608943663e-06,1.3622470568163767e-05,-4.046951869517118e-06,2.9530259248198626e-05,8.885608710522664e-07,1.3849414630606065e-05,2.8836303518263016e-05,1.613824697058447e-05
1969-02-01,2.1087859109953838e-05,8.064834864985576e-06,1.222388488843405e-06,1.2081566215066476e-05,1.0884658627066725e-06,1.9904298480424786e-06,4.628580568660077e-06,-1.4398187197388545e-05,2.4301871049754816e-05,1.3653835576762646e-05
1969-03-01,1.1123717269112132e-05,6.06962888580882e-06,4.617867217619916e-06,6.356167688582119e-06,-9.439761485535677e-07,2.5305829384284686e-05,4.992528063455202e-06,3.696126179530631e-06,1.972864956027182e-05,7.300719499100666e-06
1969-04-01,1.2410267421122018e-05,7.764934259509007e-06,2.921396494988963e-06,8.815880737785565e-06,-1.700273914205342e-07,1.9920132284069707e-05,3.7066187254363417e-06,3.823312812473335e-06,1.3177466417819604e-05,1.0069494665538728e-05
1969-05-01,9.371457828685244e-06,3.9610955829393e-06,4.205057021780786e-06,-2.8930331532585987e-06,1.1022831625836408e-06,1.0193062047530874e-05,1.4071383923436267e-05,3.0274826933622755e-05,1.1629934269134241e-05,2.341585950846053e-06
1969-06-01,2.17013793930905e-06,6.405058440472256e-06,6.585169221462029e-06,4.113880556398957e-06,1.0716252559452198e-06,1.0820613391754195e-05,1.2236251651187364e-05,1.7037742013185792e-05,9.493003150909113e-06,1.5777625410955092e-06
1969-07-01,1.0091758263620754e-05,1.0015105215353433e-05,1.453660589303782e-06,1.0080723185778815e-06,-1.787785800086372e-07,2.6232575647754415e-05,1.3171680417780434e-05,2.4258916351810154e-05,2.337470245298131e-05,6.1628194695610245e-06
1969-08-01,3.5646739551911766e-06,8.64369924428225e-06,3.0372489931465537e-06,5.083220329793157e-06,3.106472850171693e-06,1.3857638028950044e-05,2.4369755401141128e-05,1.165589117480329e-05,2.375686655833139e-05,1.978768674841073e-06
1969-09-01,1.3331483656926407e-05,1.0833844208863795e-05,3.1321069282175695e-06,-3.4427554491115406e-06,4.168665913580573e-07,1.5815563492984307e-07,6.56967316793721e-07,3.607847798830886e-05,6.47649274618075e-06,1.8341005688496663e-05
1969-10-01,9.887046164496698e-06,1.3896754788457539e-05,5.8545733086897855e-06,3.3004140841256515e-06,4.7071920708798486e-07,1.0187715993308258e-05,4.873012126286659e-06,1.908338163048029e-05,4.879684545775657e-06,1.5525350974320307e-05
1969-11-01,1.7984109069436306e-05,1.3755736975893514e-05,5.6464821020860905e-06,8.402399467279754e-06,-2.2365494846140155e-06,2.733469467252357e-05,6.926917830268509e-06,2.743933939861811e-05,1.0039899948145719e-05,9.472471135143446e-06
1969-12-01,2.0917047583713645e-05,7.424196682868701e-06,3.7943064770925874e-06,2.62523147758772e-06,-2.158180969953469e-06,1.353978737691849e-05,-2.0946055091045105e-06,2.3647405186872646e-05,2.1230119514535657e-05,1.5513085279106983e-05
1970-01-01,1.8994325256682242e-05,9.908700925787318e-06,-1.6343396846541391e-06,2.9891180660547755e-06,-3.937063698173225e-06,4.5169961195802545e-05,-1.9268192168011824e-06,3.2719355768869825e-05,2.0349169953616943e-05,1.277721554181292e-05
1970-02-01,1.6462923600489308e-05,3.6821051174268615e-06,-1.855849038659105e-06,1.0582887395211286e-05,-6.988108645063581e-07,1.7867756557789995e-05,-8.88576875510004e-06,5.487592344169653e-06,1.181923352658264e-05,1.8975005528487848e-05
1970-03-01,4.008733480144723e-06,2.41855862744463e-06,4.339675230424633e-06,1.2386207229828358e-05,-1.7023070321001126e-06,2.776666694510978e-05,-2.649779852710655e-06,1.0195856592679664e-05,1.0531157942973458e-05,6.014855381520236e-06
1970-04-01,2.1461799540837224e-05,5.78265628618006e-06,3.992371981061674e-06,4.5471513427836615e-06,1.0421658870709873e-06,1.8962795942703764e-05,-9.070783597812761e-07,1.799714179166282e-05,1.2593340661438487e-05,9.135748555041465e-06
1970-05-01,5.594369701645552e-06,5.780672533243584e-06,7.306218392770532e-06,1.6703666005923878e-06,5.928800633136533e-07,3.2882259646856523e-06,5.1165404254312055e-06,2.4895860295862693e-05,6.0738914596316e-06,4.466901194902283e-06
1970-06-01,5.916836943032211e-06,7.994961286886541e-06,5.1008621857386944e-08,8.838146064769883e-07,5.893948368885204e-07,3.3943045464849737e-05,1.7743407357839422e-05,4.589202503804258e-05,1.7793836934510997e-05,-1.443228546693218e-05
1970-07-01,1.4947132782523381e-05,1.3177389295036109e-05,1.8049595618995463e-06,6.092759448761108e-06,7.827779790503754e-07,1.4139491546169356e-05,9.96308081989942e-06,3.190753252993366e-05,1.6483854593314725e-05,2.963649564537941e-06
1970-08-01,9.689013798682328e-06,1.158970812009985e-05,-1.2942716428180764e-06,-3.8500363835980904e-07,4.44225595905383e-07,3.061035740978607e-05,1.1542874248228595e-05,3.184209852020792e-05,1.8490806853930864e-05,4.250276052677209e-06
