,r100_cluster1,r100_cluster2,r100_cluster3,r100_cluster4,r100_cluster5,r100_cluster6
1976-01-01,12.222897,93.58896,58.11308,32.013355,56.81744,17.81874
1976-02-01,17.523533,89.38387,61.083206,33.85677,67.820526,14.013828
1976-03-01,17.561253,91.27977,55.595604,34.719437,73.85918,13.592335
1976-04-01,15.324226,86.1333,52.78784,32.036316,75.474625,8.654152
1976-05-01,14.917496,76.83259,28.559414,29.653326,60.97988,8.103096
1976-06-01,15.670277,60.500988,25.845135,56.75512,64.041855,10.789494
1976-07-01,29.06127,59.328354,20.833149,72.42906,52.37947,5.971035
1976-08-01,26.914446,65.33421,27.509785,73.1064,62.63797,6.661495
1976-09-01,25.366241,72.73575,22.97997,59.43332,71.74188,7.2683105
1976-10-01,34.040455,85.10007,33.87973,32.082237,67.98617,6.389244
1976-11-01,35.96915,87.5995,39.495255,26.801283,76.82603,13.138042
1976-12-01,21.82866,90.34166,41.45183,27.189974,57.80967,15.835922
1977-01-01,19.762657,84.41157,47.376038,25.787954,66.98709,9.32357
1977-02-01,26.049501,79.73948,56.6666,32.271366,66.75317,10.761257
1977-03-01,17.589066,86.50069,40.72368,23.874285,60.77985,11.531277
1977-04-01,15.886581,83.43361,37.84343,28.520376,80.412025,16.154625
1977-05-01,11.4159355,78.13284,32.39158,26.622952,74.802605,10.977318
1977-06-01,18.984516,63.11914,30.973383,60.867577,70.57888,9.767059
1977-07-01,29.230288,75.68796,33.43776,70.055786,70.6861,8.706257
1977-08-01,31.347021,74.43059,39.890305,69.97944,53.94555,11.974766
1977-09-01,23.486027,83.57657,32.601143,67.06507,76.88847,9.853157
1977-10-01,30.416178,93.872696,36.400864,51.30572,85.89961,8.555176
1977-11-01,21.180851,88.368866,30.281343,29.620169,72.43245,12.416634
1977-12-01,19.957596,93.07344,44.970142,23.037664,67.708374,8.378105
1978-01-01,16.618721,86.14827,62.110565,26.8389,68.57184,9.667984
1978-02-01,25.055279,90.75622,55.354664,22.924755,58.023758,8.408676
1978-03-01,21.039755,81.1253,54.423252,41.440517,72.35767,8.421349
1978-04-01,25.425943,88.57025,46.484077,33.304924,62.05037,9.118324
1978-05-01,17.594482,77.05275,29.137333,32.430534,72.34025,9.701248
1978-06-01,18.498966,68.20909,25.101215,70.483765,57.551716,7.756054
1978-07-01,30.737206,64.020905,22.03136,79.45097,52.897827,11.475365
1978-08-01,27.692694,81.25994,27.735462,81.01283,55.026768,9.446217
1978-09-01,26.862661,79.0914,31.912558,66.124504,76.911766,9.17218
1978-10-01,28.331059,74.7464,33.75637,55.294468,75.757,10.144775
1978-11-01,32.87565,90.74988,37.03849,34.011402,75.327736,9.226036
1978-12-01,24.052586,86.68684,50.128937,32.728333,71.46269,9.067635
1979-01-01,16.721752,92.93396,38.963795,19.807198,59.30474,9.4134445
1979-02-01,25.80334,88.26616,67.2667,48.867306,82.59845,11.589596
1979-03-01,20.087101,86.960464,44.215683,37.76327,73.57511,9.356819
1979-04-01,16.603642,89.35989,43.24329,37.326424,64.80255,8.568874
1979-05-01,14.870811,80.91416,30.053713,39.80837,72.16102,10.037975
1979-06-01,14.725197,65.676254,40.439373,58.01361,75.64124,6.3749237
1979-07-01,26.903551,59.777184,27.301569,69.00439,65.14394,6.921795
1979-08-01,30.129755,70.14343,25.295303,81.19569,66.85736,10.0751915
1979-09-01,20.1049,75.599174,35.414,57.494247,87.32289,8.11261
1979-10-01,34.29761,94.43381,38.759933,35.305595,75.46165,7.7485695
1979-11-01,29.38226,89.50551,39.994434,30.123283,79.52272,7.65958
1979-12-01,21.357197,90.7028,43.439064,23.467012,67.606476,11.759483
1980-01-01,16.164326,85.14307,53.090855,24.082857,70.51521,10.8011055
1980-02-01,18.80112,83.82793,51.247707,27.782192,75.64702,17.74347
1980-03-01,13.899094,86.36042,59.01957,32.42836,71.067665,9.987904
1980-04-01,13.631828,90.926735,30.321207,27.01462,58.550224,12.932705
1980-05-01,13.731239,82.30582,34.258472,30.83455,69.306,9.451744
1980-06-01,13.990356,68.26953,23.505957,58.42963,72.984146,7.4635544
1980-07-01,25.404514,70.22676,21.918663,78.97642,59.19068,5.7165565
1980-08-01,28.90177,65.313324,25.676666,72.651695,63.851517,6.8622093
1980-09-01,28.759989,78.51034,33.939056,68.63621,74.27484,7.517334
1980-10-01,25.212214,80.88964,40.79342,56.897747,83.59488,6.806801
1980-11-01,38.440186,85.26529,33.174744,36.083694,73.38667,9.728786
1980-12-01,22.115854,86.3865,46.503757,35.0016,64.33064,12.978336
1981-01-01,15.844513,88.19993,64.15984,37.541298,67.944145,11.554855
1981-02-01,17.015327,84.37059,59.771786,28.314867,62.622105,14.882175
1981-03-01,28.6501,82.117355,53.208878,34.746017,71.49162,14.760422
1981-04-01,15.159035,85.99339,46.649307,36.757416,69.827126,10.075493
1981-05-01,16.77349,80.20269,34.866096,37.39953,70.57098,10.602524
1981-06-01,14.571957,66.29466,22.185596,57.982204,70.34582,8.145813
1981-07-01,29.865948,52.441677,38.96395,80.70137,58.110626,6.6614456
1981-08-01,26.598671,67.39043,29.235508,69.06159,70.63269,7.1701355
1981-09-01,29.005348,82.202415,33.53684,62.176796,66.89342,7.050049
1981-10-01,29.135439,84.8626,37.29279,41.64916,80.00588,6.2544975
1981-11-01,27.157394,89.92446,39.275837,43.410385,72.764175,8.5027275
1981-12-01,21.580173,83.53001,29.77922,30.718208,61.424603,9.05645
1982-01-01,16.835861,80.979614,65.770485,31.814962,60.873966,13.218166
