,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8,sstGLB_cluster9,sstGLB_cluster10,sstGLB_cluster11,sstGLB_cluster12,sstGLB_cluster13,sstGLB_cluster14,sstGLB_cluster15,sstGLB_cluster16,sstGLB_cluster17,sstGLB_cluster18
1985-01-01,297.78433,289.08713,295.9748,290.2407,298.88193,301.25916,293.1791,293.86377,286.4563,298.24716,295.9113,301.2647,294.81567,280.6264,299.29688,288.7443,300.39752,289.21014
1985-02-01,297.53323,288.6253,296.34387,290.94354,300.05115,301.62924,291.79007,293.99637,285.98538,298.75235,295.00223,301.73663,295.0002,279.30493,299.6594,289.5404,300.87045,288.58444
1985-03-01,297.44855,288.50732,296.37262,290.82556,299.9624,301.721,291.86066,293.51437,285.3521,297.79037,295.33044,302.07846,294.55905,279.735,299.9967,288.96814,300.6022,288.5053
1985-04-01,297.59778,288.54312,295.6007,290.65717,299.09067,301.80872,292.2882,292.59778,285.39145,296.99326,295.3612,302.21762,293.8789,282.2176,300.636,288.68732,300.46307,289.4562
1985-05-01,298.58145,289.17334,294.3478,289.43854,298.4201,301.76688,293.94345,291.3272,286.2153,296.30405,296.61765,302.3956,292.71725,286.44772,300.8185,287.89777,300.3461,291.6499
1985-06-01,300.397,291.4573,293.68228,288.2144,297.90683,300.77313,295.6355,290.09045,288.33136,295.57196,298.61874,302.36182,291.77695,292.07947,301.2718,286.82486,299.80914,295.42926
1985-07-01,300.66525,294.00998,292.5907,287.03912,296.24,299.67856,297.83676,289.33014,290.455,294.53333,299.65033,301.75177,290.7449,297.30484,301.23346,285.4706,298.49017,297.10468
1985-08-01,300.51196,295.7459,291.90552,286.61713,295.3738,299.16782,298.8048,288.4236,291.121,294.03217,299.96393,301.65344,290.335,299.29486,301.07816,284.97247,297.7561,298.1428
1985-09-01,301.21933,296.1891,291.1578,286.91965,295.63852,299.61804,298.65607,288.5542,291.06403,293.64447,300.48877,301.80368,289.9372,297.95374,300.65112,284.3619,298.05255,297.34567
1985-10-01,300.638,294.59988,291.1185,287.12082,296.64285,299.94778,296.33075,289.0241,290.75546,293.93488,298.86075,302.02905,289.83633,292.76315,300.7454,284.82373,298.8315,294.9866
1985-11-01,299.14813,292.78937,292.64517,287.93506,297.38904,300.97632,293.7826,290.00323,288.95755,294.39114,296.5299,302.18585,291.46838,287.985,300.26794,286.24554,299.5903,293.2058
1985-12-01,298.31976,290.7091,295.27197,289.1683,298.20734,300.90573,292.36838,291.42505,287.3714,295.3254,295.9259,301.86066,293.44077,283.6994,299.972,287.33307,299.83435,291.51074
1986-01-01,297.6168,289.27695,297.07962,291.14133,299.06622,301.2548,292.3101,293.8912,286.46777,297.48828,295.3658,301.68338,295.27032,281.63477,299.52313,288.12756,300.08392,289.4763
1986-02-01,297.20343,288.4502,297.4075,291.7687,299.99316,301.69965,292.14276,294.56372,285.4952,297.4316,294.7746,301.4573,295.63965,280.44186,299.9082,288.9307,300.74805,288.67105
1986-03-01,297.322,288.35995,297.09955,291.03903,300.3053,301.95197,292.3935,293.9851,285.29166,298.03806,295.07413,301.5192,295.93552,279.7431,299.88354,288.96637,300.95264,288.6338
1986-04-01,297.6399,288.372,296.44437,290.22433,299.7587,302.52325,292.35153,292.799,285.40707,297.5166,294.8837,302.2578,294.88162,282.39752,299.9129,288.4607,300.68826,289.92374
1986-05-01,298.54794,289.876,295.73825,289.2958,299.3836,302.02438,294.1005,291.88464,285.95,296.5115,296.15216,302.22476,294.07898,286.0518,300.56445,286.99814,300.49625,291.9392
1986-06-01,299.41245,291.10983,293.43585,288.05884,297.99344,300.73547,296.22192,290.17032,287.67328,295.48645,297.9751,302.55472,291.9434,291.76767,301.26373,286.03918,299.3988,295.70993
1986-07-01,300.08813,293.6289,291.82748,287.23734,296.56396,299.59082,298.5684,288.79117,289.9211,294.48764,299.90662,301.76102,290.51022,295.6879,301.2758,285.43854,298.6455,297.60107
1986-08-01,300.67355,295.66113,291.5164,286.451,296.07504,299.09088,299.72354,288.10135,293.34772,293.82037,300.09283,301.6388,290.19443,298.91516,300.98358,284.80643,298.16815,299.1444
1986-09-01,301.21127,295.2866,291.9182,287.02383,295.8012,299.3002,298.97287,288.0069,294.04123,293.53027,300.68457,301.4153,290.10577,295.67007,301.2826,284.42505,298.2358,297.95935
1986-10-01,301.024,293.78366,291.977,287.23,296.48108,299.55148,297.23962,288.91183,292.25552,294.00555,299.77075,302.16757,290.53857,292.64688,300.96994,284.6653,298.677,295.53473
1986-11-01,299.8489,292.52884,292.50052,287.87943,296.8063,300.14215,295.9439,289.62527,289.8776,294.37958,298.79346,302.22318,291.10092,288.62173,300.85718,285.42227,298.98492,292.98575
1986-12-01,298.73523,290.96924,294.4929,289.59167,297.941,300.363,294.2925,291.00073,287.6649,295.20792,297.05078,302.09833,292.9889,284.8447,300.71344,286.3403,299.21573,290.85803
1987-01-01,297.9964,290.01398,296.67972,291.17303,299.02087,301.20236,293.11554,292.77576,285.90637,296.7268,295.69055,301.70743,294.93372,283.10773,299.7608,287.2394,299.7071,289.26022
1987-02-01,297.7835,289.16605,297.06094,290.85782,300.33243,301.82257,291.95804,293.47684,284.77545,298.0706,294.97415,301.60764,295.79443,281.4349,299.93582,287.64008,300.35748,288.4486
1987-03-01,297.6305,289.36768,297.01337,290.2903,300.55246,302.42435,292.0788,292.6166,284.78006,298.26196,294.78683,302.16644,295.7223,280.63815,300.12363,287.89136,301.2172,288.1861
1987-04-01,298.04602,289.38403,296.54205,289.18857,300.04788,302.76465,292.72562,291.55173,284.7166,297.68475,295.121,302.4484,294.968,282.08377,300.12515,287.24042,301.17114,288.78787
1987-05-01,298.83972,290.39728,295.6184,288.4696,298.9523,302.25394,293.658,290.41107,285.6326,296.14087,295.56467,302.6316,294.14157,285.96777,300.50693,286.69904,300.44345,290.3604
1987-06-01,299.84833,292.7691,294.56528,287.69586,298.33875,301.34155,295.50735,289.6834,286.2313,295.15427,297.8623,302.32407,292.78293,291.9263,301.40192,285.83472,300.12262,294.18353
1987-07-01,300.7244,295.01456,293.26755,286.8781,297.30658,300.33496,297.89252,288.6318,288.65994,294.33704,300.12723,301.9991,291.5763,296.213,301.60867,285.13007,299.30383,297.30658
1987-08-01,301.40244,296.0068,292.28912,286.50763,296.43973,299.87186,298.7824,288.4394,290.299,293.98138,301.10767,301.8067,290.60043,297.9621,302.00677,284.9443,298.70975,298.66214
1987-09-01,301.8502,295.9587,292.43802,286.69904,296.33585,299.83655,298.656,288.04077,291.57013,293.90002,301.50275,301.84814,290.17056,296.73242,301.52115,284.8082,298.61404,297.81216
1987-10-01,301.37274,293.7634,293.07974,286.5844,297.13055,300.314,297.15665,288.76895,290.82352,294.36978,299.5111,302.98776,290.6951,293.2015,301.68594,284.5426,299.3023,295.8323
1987-11-01,300.46954,291.92734,293.95786,287.97528,297.89713,301.2392,295.10156,289.8369,288.73825,295.61328,297.98514,302.4617,291.9693,289.22745,301.4792,285.5973,299.89438,293.0214
1987-12-01,299.13498,290.65927,295.4219,288.78943,298.78445,301.59894,293.83145,290.96988,286.34595,296.2852,296.91818,302.26776,293.49423,284.42902,300.9122,287.1877,300.05405,291.06863
1988-01-01,298.16034,289.49707,296.15512,290.2255,299.7978,301.48328,292.53827,292.57315,285.02228,297.75513,295.799,302.55164,294.86417,282.9756,300.6289,288.13177,300.35828,289.33975
1988-02-01,297.71112,288.3928,298.14008,291.1254,300.54593,302.11966,292.41028,293.62988,284.75012,298.5276,295.20615,301.9689,296.14752,281.1616,300.50244,288.58804,301.0715,288.49548
1988-03-01,297.52396,288.5425,297.571,290.13696,300.69568,302.28354,291.9712,292.83066,284.54626,298.77798,294.67804,301.9603,295.33765,280.765,300.5014,288.7818,301.31128,288.4535
