,ssta20GLB_cluster1,ssta20GLB_cluster2,ssta20GLB_cluster3,ssta20GLB_cluster4,ssta20GLB_cluster5,ssta20GLB_cluster6,ssta20GLB_cluster7,ssta20GLB_cluster8,ssta20GLB_cluster9,ssta20GLB_cluster10,ssta20GLB_cluster11,ssta20GLB_cluster12,ssta20GLB_cluster13,ssta20GLB_cluster14,ssta20GLB_cluster15,ssta20GLB_cluster16,ssta20GLB_cluster17,ssta20GLB_cluster18
1985-11-01,-0.7110596,-7.069824,-7.21402,-11.924133,-2.4701538,1.1171265,-6.076599,-9.855957,-10.901642,-5.468048,-3.3292847,2.3266602,-8.390808,-11.874207,0.40875244,-13.613647,-0.26889038,-6.6533813
1985-12-01,-1.516571,-9.127228,-4.5643616,-10.66803,-1.6289978,1.069397,-7.4679565,-8.411285,-12.464935,-4.5109253,-3.910431,2.0243225,-6.395569,-16.136932,0.13565063,-12.503265,-0.0019836426,-8.325592
1986-01-01,-2.1166382,-10.456482,-2.6538086,-8.592102,-0.6672058,1.5213623,-7.42334,-5.842224,-13.2656555,-2.2451477,-4.3676147,1.9499512,-4.4631042,-18.098663,-0.21029663,-11.6058655,0.35049438,-10.257141
1986-02-01,-2.8259888,-11.579224,-2.6219177,-8.260712,-0.036254883,1.670227,-7.8866577,-5.4656982,-14.53421,-2.5978088,-5.254822,1.427887,-4.3897705,-19.587555,-0.12121582,-11.098724,0.7186279,-11.358368
1986-03-01,-3.011139,-11.973175,-3.2335815,-9.294098,-0.027832031,1.6188354,-7.939636,-6.3480225,-15.041473,-2.2950745,-5.2590027,1.1860657,-4.3976135,-20.590027,-0.44958496,-11.36676,0.61950684,-11.699341
1986-04-01,-2.9643555,-12.232239,-4.1598816,-10.379913,-0.84555054,1.9190063,-8.252716,-7.805237,-15.197174,-3.0876465,-5.7205505,1.6535645,-5.7226257,-18.206726,-0.6913452,-12.143555,0.08401489,-10.680511
1986-05-01,-2.0549622,-10.726898,-4.8646545,-11.307098,-1.2192993,1.4214783,-6.502411,-8.718262,-14.652893,-4.0914,-4.4507446,1.6218567,-6.523926,-14.551117,-0.03845215,-13.604767,-0.106658936,-8.663696
1986-06-01,-0.7369385,-9.039551,-6.7135315,-12.090546,-2.1559448,0.5860901,-3.9274597,-9.979065,-12.476105,-4.6629333,-2.174286,2.4053345,-8.205994,-8.381714,1.1143494,-14.110199,-0.75057983,-4.439453
1986-07-01,0.38183594,-6.0773926,-7.8788147,-12.468964,-3.142334,-0.115478516,-1.1379089,-10.915131,-9.785187,-5.2186584,0.20031738,2.054718,-9.196075,-4.018402,1.5694885,-14.267761,-1.060791,-2.1052246
1986-08-01,1.1683044,-3.8441162,-7.988861,-13.05426,-3.4302063,-0.41436768,0.21829224,-11.4039,-6.1575317,-5.6848755,0.58758545,2.133545,-9.310822,-0.5900879,1.4783325,-14.698822,-1.3370972,-0.36083984
