,zgu200GLB_cluster1,zgu200GLB_cluster2,zgu200GLB_cluster3,zgu200GLB_cluster4,zgu200GLB_cluster5,zgu200GLB_cluster6,zgu200GLB_cluster7,zgu200GLB_cluster8,zgu200GLB_cluster9,zgu200GLB_cluster10,zgu200GLB_cluster11,zgu200GLB_cluster12,zgu200GLB_cluster13,zgu200GLB_cluster14,zgu200GLB_cluster15,zgu200GLB_cluster16,zgu200GLB_cluster17,zgu200GLB_cluster18
1984-05-01,-0.18716812,0.04843521,-0.12627792,0.3708763,-0.4618656,0.26466483,-0.31240806,-0.50649565,0.3034134,-0.6888199,-0.3705307,0.18751374,0.014184952,-0.19962311,-0.26224288,0.38090935,0.44802704,0.61928064
1984-06-01,-0.08372345,0.0598526,-0.62343293,-0.37952575,-0.19789353,0.58157045,-0.3286686,-0.49404067,0.5545853,-0.95902026,0.026639175,-0.32693863,0.10828781,0.22695427,-0.233181,0.38817483,-0.6971237,0.42726898
1984-07-01,-0.16710205,0.36084288,0.6251625,-0.3234787,-0.28507614,0.14668998,-0.121780396,-0.1591446,0.37502822,-0.81371385,0.8645714,-0.027677918,0.05985222,-0.27019995,-0.030445099,-0.027677154,-0.44352952,-0.42346343
1984-08-01,-0.084415436,0.17748109,-0.15879898,-0.2612053,-0.3359337,0.1895897,-0.08718338,0.102752686,-0.0245636,-1.1437668,0.82270926,-0.16917801,0.26881638,-0.3300522,0.060890198,0.8503868,-0.550087,-1.3087928
1984-09-01,-0.21103974,0.3300522,-0.12731552,-0.12005005,-0.44214553,0.09341087,-0.3220951,-0.032174684,-0.009687042,-0.45114058,0.2854229,-0.3885208,0.2311058,-0.09029732,-0.3290142,0.31828994,-0.45529252,-0.52794534
1984-10-01,0.31067848,0.20619659,-0.2539398,0.2006607,-0.36810914,0.49715424,-0.2196888,-0.050165176,0.014530945,0.5220642,-0.20308247,-0.030445099,0.32590103,0.52829134,-0.13907853,0.1511879,0.058122635,0.38160133
1984-11-01,-0.7946857,-0.16675568,-0.080956265,0.06850128,-0.5365944,0.24494477,0.6199726,-0.08234024,-0.032521058,0.08925934,-0.055355072,0.11970444,0.7981453,0.46982306,-0.26881638,0.08233948,-0.088221356,0.6414223
1984-12-01,-0.6770569,-0.11209297,-0.5348644,0.07576676,-0.4241554,0.11347656,0.3476967,-0.038402557,-0.026293183,0.66148835,-0.28715247,-0.2625885,0.18613052,0.31863555,0.003805542,0.41446838,-0.07230683,0.98393023
1985-01-01,-1.0809791,-0.4981018,0.16146088,0.08301697,0.02603073,-0.026734162,0.96771014,-0.08020286,0.10130844,-0.13296738,-1.81195,-0.018995667,0.5005638,1.1682174,-0.65921056,0.09673538,0.11713829,-0.37603837
1985-02-01,-0.72463953,0.061558913,0.497398,-0.1400032,-0.3018158,0.14844513,0.45588952,-0.76474077,0.15020446,0.8864517,-0.19628564,-0.30040893,0.40066224,0.5040817,-0.3380478,0.56458586,-0.0868866,0.27789593
