,r900GLB_cluster1,r900GLB_cluster2,r900GLB_cluster3,r900GLB_cluster4,r900GLB_cluster5,r900GLB_cluster6,r900GLB_cluster7,r900GLB_cluster8,r900GLB_cluster9,r900GLB_cluster10,r900GLB_cluster11,r900GLB_cluster12,r900GLB_cluster13,r900GLB_cluster14,r900GLB_cluster15,r900GLB_cluster16,r900GLB_cluster17,r900GLB_cluster18
1984-08-01,84.849495,36.430984,81.574646,75.065994,22.62081,84.94963,82.145905,53.64569,76.6911,82.19679,42.77385,22.935982,70.96381,60.599205,53.192627,33.272682,31.40955,75.363106
1984-09-01,85.42239,33.01825,81.75029,74.39953,22.6323,86.38597,72.442825,54.779987,78.8136,85.47492,45.14586,18.947067,66.508705,64.10879,56.97635,39.006542,27.366467,70.8604
1984-10-01,82.768036,38.578102,82.11143,76.530235,25.001024,82.462715,51.674213,67.22113,69.64238,72.731735,29.933817,26.132038,48.46995,73.46386,63.0221,28.945618,39.684494,78.25384
1984-11-01,84.12066,55.27737,79.58019,78.55752,25.765976,80.33366,35.99434,55.42839,35.61022,65.18892,29.89442,58.238686,51.2507,75.43041,68.83147,22.679905,59.558475,62.273563
1984-12-01,84.66565,51.697197,79.7148,69.87712,25.56407,70.00844,38.67988,70.11678,24.416641,48.463387,35.431293,62.780792,43.817863,82.182014,81.62225,30.96798,68.69686,71.290474
1985-01-01,82.32284,37.537033,75.38325,80.09659,29.00281,67.02293,53.516144,65.89585,21.723621,58.588776,28.266197,42.900043,39.40892,75.84917,78.30509,20.36359,70.855286,78.743126
1985-02-01,83.10539,45.854702,75.16341,74.73358,13.850544,70.643654,24.409225,55.488106,12.501999,49.455746,21.9533,38.321224,41.09214,85.82873,80.1983,34.44785,72.79279,67.73821
1985-03-01,83.63529,32.480812,80.40666,74.05767,24.699606,67.85961,18.575375,63.67125,41.61548,50.272747,17.83384,26.706018,51.452312,76.838425,77.90971,39.536884,66.11897,58.798767
1985-04-01,83.725525,26.840544,78.255875,78.15909,18.142265,77.647224,23.339577,57.484673,50.879757,42.934494,15.031754,22.781784,55.958946,74.46945,75.33075,34.234573,52.269314,57.96208
1985-05-01,88.640656,24.414148,77.61442,76.51688,18.611465,85.36281,29.939573,59.47632,68.499435,70.74209,40.01101,17.479477,54.439785,73.64261,64.55879,39.052917,46.829197,62.179974
1985-06-01,88.0074,26.625631,81.840515,75.762215,18.183277,84.20129,62.334187,43.110035,72.69764,82.95282,54.011597,16.539433,65.397125,65.2872,62.813232,51.663944,40.166862,68.47482
