,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12,mslGLB_cluster13,mslGLB_cluster14,mslGLB_cluster15,mslGLB_cluster16,mslGLB_cluster17,mslGLB_cluster18
1982-10-01,101312.74,101701.37,101189.37,101081.62,101370.25,102104.77,101195.62,101415.26,101216.35,101922.99,101484.484,101451.734,101539.66,101764.766,101067.98,101444.88,102035.61,102041.375
1982-11-01,101164.25,101513.39,101179.87,101006.38,101851.6,102024.85,101336.59,101326.74,101173.86,101960.85,101504.375,101480.22,101302.766,102192.51,102162.64,102021.6,101654.61,101994.02
1982-12-01,100895.266,101394.34,101366.52,101054.516,102065.66,101853.52,101674.5,101284.13,101214.84,102168.11,101707.85,101721.5,101207.516,102616.66,101618.734,102153.51,101419.23,101962.66
1983-01-01,100879.84,101244.805,101537.53,101178.29,102364.82,101837.2,101756.164,101202.58,101213.055,102101.586,101586.82,101666.7,101278.67,102848.805,101043.72,102846.555,100442.06,101426.29
1983-02-01,100982.54,101307.336,101444.67,101254.445,102085.72,101939.32,101595.18,101278.414,101174.56,101782.7,101726.086,101563.17,101181.055,102384.55,101322.055,102111.04,100183.46,101800.695
1983-03-01,101100.66,101352.64,101345.89,101253.03,101782.38,101985.52,101430.15,101230.984,101107.41,101925.5,101882.766,101489.66,101360.35,102001.27,102102.49,101888.74,100956.125,102133.14
1983-04-01,101138.7,101443.96,101123.664,101109.08,101514.46,101805.07,101040.18,101226.164,101081.95,101821.07,101925.055,101429.95,101552.19,101269.805,101785.92,101651.086,102740.71,101896.45
1983-05-01,101296.48,101567.03,100952.4,101068.78,101019.875,101976.66,100646.75,101281.24,101108.24,102112.77,101889.516,101466.91,101679.75,100912.74,101927.625,101335.87,102361.734,102199.14
1983-06-01,101521.98,101805.65,100760.76,101049.24,101153.35,102194.0,100115.6,101533.74,101313.375,102120.61,101881.734,101505.53,101924.28,100591.61,101387.48,101489.266,102222.34,102174.73
1983-07-01,101628.086,101770.05,100626.445,101027.2,100869.945,102272.79,99992.79,101611.95,101328.09,102214.44,101813.3,101443.58,102012.58,100471.44,101568.57,101438.82,102622.91,102276.33
1983-08-01,101622.62,101871.516,100684.6,101094.23,100920.91,102490.84,100122.34,101736.5,101397.88,102191.625,101821.78,101477.125,102031.99,100704.66,101784.63,101475.39,102683.766,102415.4
1983-09-01,101299.11,102002.37,100796.62,101013.38,101150.4,101975.76,100478.12,101589.84,101294.09,102036.49,101665.23,101397.5,101742.86,101057.6,101962.97,101619.15,102276.13,102253.9
1983-10-01,101056.19,101795.69,101119.3,100973.28,101601.8,102310.71,101026.69,101482.586,101263.19,101947.805,101734.95,101399.17,101586.695,101850.95,102301.45,101961.69,102259.94,102196.19
1983-11-01,100935.56,101732.96,101438.18,100989.67,101729.05,102183.08,101609.19,101432.33,101294.29,101714.195,101762.914,101556.43,101421.79,102445.54,102219.71,101793.95,101380.53,102341.3
1983-12-01,100839.61,101605.14,101432.266,100935.11,101984.24,101905.64,101630.266,101336.64,101237.35,102082.76,101443.26,101662.4,101210.62,102710.375,101816.38,102066.63,100914.23,101922.87
1984-01-01,100729.91,101492.76,101349.51,100876.5,102103.14,101709.39,101541.516,101194.53,101133.13,102463.73,101725.91,101678.89,100923.01,102626.516,101441.484,102223.74,101079.6,101863.15
1984-02-01,100685.47,101351.7,101324.81,100811.43,101795.305,101652.96,101532.03,101079.47,100981.56,101985.305,101803.555,101438.58,100949.32,102525.195,101811.81,101877.08,101577.56,102134.16
1984-03-01,100969.055,101460.96,101234.836,100982.79,101381.95,101748.55,101240.71,101043.16,101025.555,101906.81,101821.3,101420.91,101366.54,101834.195,101938.93,101406.33,101278.695,101949.32
1984-04-01,101141.97,101634.06,101022.45,100943.32,101303.914,101858.96,100797.305,101155.445,101050.06,101916.164,102068.44,101400.59,101535.97,101366.8,101593.945,101374.54,102406.84,101642.96
1984-05-01,101336.23,101764.734,100862.51,100943.125,101031.36,101951.9,100515.14,101238.125,101036.77,102051.734,101859.86,101395.11,101720.36,100997.76,101712.1,101088.5,102179.89,102189.76
1984-06-01,101576.47,101842.58,100722.555,100994.66,101055.54,102126.42,99821.81,101467.664,101226.84,102215.42,101827.805,101455.93,102091.59,100368.414,101584.21,101596.2,102221.55,102042.445
1984-07-01,101483.59,101731.65,100711.78,100948.61,100820.65,102263.47,99994.85,101535.64,101239.61,102031.484,101656.51,101292.37,102000.85,100356.35,101869.15,101553.64,102272.24,102154.28
1984-08-01,101320.555,101916.555,100840.836,101000.2,100974.54,102215.94,100054.96,101605.43,101260.31,102058.96,101618.84,101366.664,102000.72,100411.945,101822.71,101539.45,102161.96,102066.83
1984-09-01,101211.945,101863.664,101023.81,101020.84,101154.93,101895.66,100684.56,101463.41,101176.21,101853.54,101569.95,101275.92,101625.68,101216.586,101191.695,101556.414,102052.83,101660.83
1984-10-01,101110.81,101803.555,101293.21,100956.93,101491.59,102204.78,101147.96,101375.055,101147.836,101956.67,101577.305,101355.055,101547.06,101845.09,101435.42,101771.31,101365.055,102179.305
1984-11-01,100933.195,101780.664,101322.94,100921.586,101720.81,102072.57,101526.94,101307.914,101150.67,102008.72,101780.664,101489.914,101411.43,102216.71,102253.086,101840.96,102088.82,102361.18
1984-12-01,100444.38,101428.77,101267.6,100690.76,101908.1,101802.66,101488.625,101083.016,101042.125,102005.875,101546.35,101486.24,101138.87,102576.53,102141.38,102030.39,101563.51,101980.59
1985-01-01,100737.53,101574.555,101362.04,100875.414,101680.45,101634.945,101614.16,101070.96,101103.18,101995.83,101498.07,101590.16,101162.92,102580.78,101371.92,101681.46,100595.06,102096.67
1985-02-01,100517.984,101384.13,101178.11,100683.39,101944.13,101683.61,101179.9,101147.85,101118.61,102174.99,101551.14,101599.39,100909.73,101870.39,101595.875,102109.35,101746.625,102219.6
1985-03-01,100728.3,101323.086,101174.95,100838.79,101487.414,101807.44,101163.94,101074.17,100998.83,102082.91,101908.22,101462.58,101276.805,102328.305,101426.96,101457.81,102868.17,102157.06
