,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12,vo500GLB_cluster13,vo500GLB_cluster14,vo500GLB_cluster15,vo500GLB_cluster16,vo500GLB_cluster17,vo500GLB_cluster18
1982-01-01,1.0071355e-05,4.6586865e-06,-1.0632721e-06,-3.12797e-05,0.00016587882,-3.5204503e-06,6.3254483e-06,7.777417e-06,4.3329183e-05,1.6516497e-06,3.3613687e-06,6.3168554e-06,5.8647885e-05,2.5108093e-06,7.115872e-06,-1.9981831e-05,5.0038943e-07,-9.955511e-06
1982-02-01,9.616004e-06,8.602205e-06,3.4300974e-06,-2.749083e-05,0.00022906956,-1.2172124e-05,1.3069803e-05,2.2864151e-05,4.639636e-05,-4.602982e-06,1.3165845e-06,5.277281e-06,7.336518e-05,1.6258782e-06,1.115389e-05,-1.6940423e-05,-2.8589056e-06,-2.3435627e-05
1982-03-01,4.830523e-06,1.34306465e-05,4.5555935e-06,-1.771366e-05,0.00019025299,-7.292132e-06,9.066145e-06,1.8009934e-05,3.911933e-05,5.9044614e-06,1.7375714e-06,1.0122905e-05,7.299575e-05,-3.1338277e-06,-2.0918305e-05,-1.6235921e-05,2.107001e-06,-1.814324e-05
1982-04-01,7.871924e-06,-7.2819967e-07,8.258543e-06,-8.005234e-06,0.00014655647,7.065828e-07,4.0658706e-06,1.8250495e-05,4.7315654e-05,7.7860095e-06,-3.0307347e-06,7.949246e-06,3.193681e-05,-1.947493e-05,-9.80086e-06,-2.1115913e-05,5.105452e-06,-1.7937047e-05
1982-05-01,-2.3848406e-07,-9.328331e-06,8.799809e-06,-1.1149736e-05,9.1510505e-05,2.3905232e-06,1.2794873e-05,-5.3918484e-07,5.263381e-05,1.8104442e-05,7.9402525e-08,1.5571495e-06,2.942808e-05,-1.4070851e-05,-1.6303093e-06,-2.9877774e-06,5.689675e-06,-1.0883392e-05
1982-06-01,-6.9226953e-06,-1.22666315e-05,4.632915e-06,-2.048014e-05,6.1611965e-05,1.7375714e-06,9.890933e-06,1.5939375e-05,4.1490595e-05,2.0140633e-05,2.5108093e-06,-9.706353e-06,3.189385e-05,-1.4895639e-05,-3.1210962e-05,-1.9019579e-05,4.5985507e-06,-4.0273517e-06
1982-07-01,-9.104944e-06,-8.563678e-06,1.0303327e-05,-1.3967758e-05,4.1378906e-05,3.3714605e-07,7.210372e-06,1.474515e-05,5.228156e-05,1.7245286e-05,9.986979e-07,-5.230162e-06,1.8293453e-05,-6.7422734e-06,-2.075507e-05,-1.0015647e-05,3.7393984e-06,5.0898234e-07
1982-08-01,-4.5514316e-06,-9.534524e-06,1.2013043e-05,8.18276e-07,-2.5239846e-05,6.6362554e-07,2.3046086e-06,-6.295515e-06,6.044352e-05,1.6661063e-05,-4.6186324e-07,-3.9758015e-06,1.3095269e-07,-8.22002e-06,-1.7266902e-05,-8.976072e-06,3.876863e-06,6.3082625e-06
1982-09-01,-5.419177e-06,-7.3952324e-06,1.3310364e-05,-1.0599877e-05,5.8467464e-05,-1.9739746e-06,8.189811e-06,-9.517338e-06,0.00010881385,1.822472e-05,-1.587352e-06,-2.1973538e-06,3.1627515e-05,-1.023044e-05,-5.187205e-06,-5.238755e-06,-7.1960676e-07,-1.1405937e-06
1982-10-01,-2.9877774e-06,-5.134134e-07,6.0934763e-06,-1.8186198e-05,9.472374e-05,-4.5858033e-06,6.222348e-06,1.0277552e-05,3.9299754e-05,1.5002897e-05,-3.0221418e-06,-5.821421e-07,2.2846965e-05,-1.9380423e-05,-1.3553872e-06,-1.2060438e-05,5.433467e-07,-5.874528e-06
1982-11-01,-5.134134e-07,1.6403315e-05,-1.5959449e-06,-2.8538998e-05,0.00012962255,-2.077075e-06,4.1431995e-06,-9.086216e-07,3.4668916e-05,-1.1663724e-06,-1.2265082e-06,1.3939061e-06,3.2374977e-05,-8.872972e-06,-9.345509e-06,-9.001851e-06,3.172354e-06,-1.4337194e-05
1982-12-01,-3.2439857e-07,1.3920362e-05,-2.8159411e-06,-3.215603e-05,0.00021763422,3.199675e-07,9.7534685e-06,1.1239805e-05,3.613807e-05,1.0036991e-05,-1.827917e-06,4.589958e-06,6.2548446e-05,-8.477764e-06,-6.9828384e-06,-1.6596765e-05,6.8924855e-06,-1.8650142e-05
1983-01-01,4.332276e-06,1.5641563e-05,1.4236502e-07,-3.674973e-05,0.00021473196,-8.350467e-06,8.617812e-06,1.6893322e-05,4.612709e-05,-2.5523914e-06,-5.095935e-07,4.7495305e-06,5.0734256e-05,-1.2314365e-05,2.018788e-05,5.3319454e-06,-4.1779385e-06,-1.4696187e-05
1983-02-01,7.0739407e-07,-1.2571691e-06,-6.533679e-06,-3.4220135e-05,0.00026071668,-8.289619e-06,1.3398832e-05,3.924242e-05,3.9729217e-05,-3.9658698e-07,-1.8795981e-07,4.593061e-06,4.725715e-05,-6.6727625e-06,2.8854567e-05,2.2195909e-05,1.4236502e-07,-1.7295319e-05
1983-03-01,3.784633e-06,-3.9866973e-06,-5.8034857e-06,-1.9138188e-05,0.00023340402,-1.1505941e-05,7.461673e-06,1.6562997e-05,6.364301e-05,2.1851629e-06,1.7418351e-06,4.393125e-06,7.028428e-05,-7.45511e-06,1.1295182e-05,-1.2571691e-06,-4.922076e-07,-1.9051262e-05
1983-04-01,-2.908797e-06,-3.8476137e-06,5.114627e-06,-8.706873e-06,0.0001811779,-6.551065e-06,7.5051357e-06,-3.699839e-06,6.141766e-05,6.4620035e-06,-2.9870316e-06,4.1931926e-06,4.3580112e-05,-1.7277936e-05,2.8979703e-06,-8.593863e-06,2.3155553e-06,-1.003686e-05
1983-05-01,4.097572e-06,-7.794133e-06,1.2851186e-05,-1.4018147e-05,0.00010026563,-2.1525266e-06,1.3833469e-05,-3.2704338e-07,4.6752968e-05,8.226634e-06,-3.795456e-06,1.7766033e-06,2.137879e-05,-1.6060945e-05,-1.4418019e-05,-1.3939916e-05,4.9007576e-07,-5.0732924e-06
1983-06-01,4.987669e-07,-1.5939248e-05,4.4192057e-06,-2.5492602e-05,9.2546456e-05,2.6719608e-06,1.1634198e-05,1.9483767e-05,6.8936904e-05,1.4711437e-05,-1.0920085e-06,-3.2651988e-06,3.5982634e-05,-7.2551775e-06,-2.5431746e-05,7.2095827e-06,1.6114427e-06,-7.2551775e-06
1983-07-01,-1.0254185e-05,-1.7782117e-05,6.879258e-06,-5.116759e-06,4.110267e-05,1.5418991e-06,4.306199e-06,1.1886288e-05,6.8006775e-05,1.9301217e-05,1.7070633e-06,-6.0468847e-06,1.5050457e-05,-5.1949937e-06,-1.7651724e-05,-6.1338105e-06,3.289144e-06,-1.9352046e-06
1983-08-01,-4.395257e-06,-9.045889e-06,1.1364726e-05,-6.66063e-07,-1.1306005e-05,1.8374521e-06,4.7321446e-06,-1.0914835e-05,8.448826e-05,1.8631876e-05,-1.4104444e-08,-6.811846e-06,1.9156869e-06,-5.5687815e-06,-3.6042184e-06,-4.1397288e-07,1.0377189e-06,1.0811818e-06
1983-09-01,-6.159891e-06,-4.9776754e-06,6.027367e-06,-4.560421e-06,3.760818e-05,2.6198031e-06,3.0718256e-06,-1.0659278e-06,5.219464e-05,1.8918738e-05,-3.8789221e-07,-3.3173565e-06,9.782641e-06,-7.1769427e-06,-1.8929564e-05,1.1420343e-06,4.1758067e-06,-4.922076e-07
1983-10-01,-2.4741566e-06,1.828761e-06,1.1312568e-05,-4.612579e-06,6.489477e-05,-2.2133754e-06,4.7582216e-06,1.1894983e-05,4.4075598e-05,1.5041762e-05,-4.4004992e-07,-1.0572367e-06,2.631628e-05,-1.3974688e-05,-2.0250864e-05,-1.02194135e-05,1.5505939e-06,-9.828236e-06
1983-11-01,-6.8553127e-06,-9.098043e-06,6.4098494e-06,-2.9769439e-05,0.00013602767,-4.577807e-06,3.509922e-07,2.5786021e-05,2.4386485e-05,5.384103e-06,4.4365916e-06,-2.8653303e-06,2.5194913e-05,-1.2618617e-05,-1.3548739e-05,-1.02194135e-05,-1.1702432e-06,-1.1132153e-05
1983-12-01,-2.595858e-06,5.705733e-06,1.4115067e-06,-3.222949e-05,0.00025088515,-2.3698449e-06,5.9404374e-06,2.1170163e-05,4.4032135e-05,2.5502595e-06,1.9069957e-06,7.5572934e-06,5.8279576e-05,-1.9352046e-06,7.6703e-06,-9.1675865e-06,6.8131703e-07,-1.2757697e-05
1984-01-01,-7.0285605e-06,3.0498923e-05,1.7199272e-06,-3.9972714e-05,0.00028030222,-6.28244e-06,1.6011036e-05,3.3712986e-05,5.5719487e-05,1.1017757e-05,6.2212566e-06,1.7199272e-06,9.4854e-05,-7.684488e-06,3.3147244e-05,-5.0853632e-06,1.0475997e-06,-1.8499159e-05
1984-02-01,-1.666318e-06,-3.8472936e-06,2.7694186e-06,-2.7985567e-05,0.00025713144,-1.1849654e-05,1.6437389e-05,3.3827775e-05,4.3273187e-05,8.123461e-06,-2.1746673e-06,9.894473e-06,8.3014434e-05,-1.2677767e-05,-3.7085556e-07,-4.798392e-06,1.1787852e-06,-1.4875142e-05
1984-03-01,3.4171535e-06,-4.118483e-07,1.6133417e-06,-2.7755996e-05,0.00016603078,-7.668095e-06,6.0080783e-06,3.5008452e-05,7.214237e-05,6.959177e-06,5.1881652e-06,4.327252e-06,7.363462e-05,-1.7761238e-05,4.638823e-06,-5.134556e-06,1.8839128e-06,-2.233636e-05
1984-04-01,-1.3465542e-06,-2.9289877e-06,4.597823e-06,-1.3448487e-05,0.00015682312,-7.0859533e-06,8.721996e-06,7.574119e-06,4.1567764e-05,1.1468706e-05,1.1541852e-06,3.6877245e-06,4.725797e-05,-8.160037e-06,-1.8171195e-05,-1.1316712e-05,4.130474e-06,-1.228421e-05
1984-05-01,-3.6423153e-06,-1.1989039e-05,1.1289376e-07,-1.6457576e-05,6.99122e-05,-1.4127727e-07,1.2255827e-05,1.3969446e-05,6.181965e-05,1.2509998e-05,1.1289376e-07,-1.8548963e-06,2.2406366e-05,-2.3385852e-05,-1.4875142e-05,-3.8308935e-06,1.9331055e-06,-8.037052e-06
1984-06-01,-3.9046863e-06,-3.994879e-06,3.81891e-06,-4.839385e-06,1.81832e-06,2.367662e-06,9.1401525e-06,-6.9711677e-06,7.672569e-05,7.4019335e-06,2.850793e-07,-4.0932646e-06,2.0774736e-05,-7.397517e-06,-1.0865755e-05,5.8024307e-07,2.941597e-06,1.0967924e-06
1984-07-01,-4.495021e-06,-1.4989928e-05,5.3111507e-06,-2.6994094e-06,4.9602924e-05,-3.4701297e-06,8.066061e-06,-1.3481287e-05,7.3232855e-05,9.623902e-06,-1.3301542e-06,-2.4124383e-06,2.3357468e-05,-6.6923967e-06,-3.3225442e-06,8.795789e-06,5.7867e-06,-2.4698384e-06
1984-08-01,-1.0660777e-05,-1.3989629e-05,1.1001357e-05,-5.150956e-06,-1.7138103e-05,3.2859607e-06,4.966787e-06,-1.6383783e-05,5.298917e-05,1.2223027e-05,-1.7155107e-06,-9.201329e-06,-6.0043385e-07,-4.4130356e-06,-1.3120523e-05,-4.806592e-06,-1.9867002e-07,-2.6174166e-06
1984-09-01,-2.510831e-06,-1.4383193e-05,1.0755386e-05,1.7445273e-06,7.393798e-05,-1.6171252e-06,3.6959245e-06,-1.7187296e-05,5.5079952e-05,1.796243e-05,-1.2317614e-06,2.9088042e-06,2.5349858e-05,-7.791081e-06,-1.6383783e-05,-3.7817008e-06,-3.945679e-06,-2.6666166e-06
1984-10-01,-9.783471e-06,1.9488652e-07,7.951276e-06,-1.3489487e-05,0.00011225259,-1.9047002e-07,6.0326784e-06,1.0124051e-05,5.9105732e-05,1.2764176e-05,-1.7155107e-06,-9.5211e-06,4.6651236e-05,-4.4376284e-06,-1.4055222e-05,-2.00406e-05,3.79431e-06,-1.1677475e-05
1984-11-01,-2.5354311e-06,2.8924042e-06,1.9822983e-06,-2.762481e-05,0.00012917562,-6.21684e-06,-5.9284503e-08,2.2938693e-06,4.9799706e-05,9.295938e-06,3.6385245e-06,-1.0677832e-06,3.4942856e-05,-1.0980548e-05,-1.5481877e-05,-1.274336e-05,3.4247205e-07,-1.5424484e-05
1984-12-01,2.5398404e-06,1.3969446e-05,-3.109366e-06,-3.4815457e-05,0.00022851644,-3.1831587e-06,1.0353622e-05,1.5937243e-05,6.0048635e-05,6.7705987e-06,-1.8291757e-08,8.262847e-06,8.701562e-05,4.376452e-06,1.2115779e-06,-2.1729626e-05,2.6047928e-07,-1.8113802e-05
1985-01-01,-6.3454136e-06,1.7936836e-06,3.5217308e-06,-2.9872761e-05,0.00021498269,-6.9847883e-06,7.841845e-06,1.4218334e-05,4.6809273e-05,-5.092581e-06,6.9950984e-06,3.746376e-06,6.258633e-05,1.4826364e-06,2.3247372e-05,-1.2039323e-05,-5.478214e-07,-2.156086e-05
1985-02-01,2.761386e-06,3.3316392e-06,3.5044504e-06,-3.2343865e-05,0.00021531103,-3.857029e-06,8.64538e-06,3.0643405e-05,4.8001624e-05,4.1611056e-06,2.2256936e-06,9.79453e-06,7.568492e-05,-7.831535e-06,1.7764032e-06,-1.7188904e-05,8.144249e-06,-2.837478e-06
1985-03-01,7.06422e-06,1.3146942e-05,2.6058624e-06,-1.6601363e-05,0.00019495464,-5.8874793e-06,5.4571356e-06,-4.366804e-06,4.4761542e-05,-5.532638e-08,-3.0966912e-06,4.8609654e-06,8.773804e-05,-1.3231678e-05,-2.1068365e-05,-1.5374455e-05,3.1620584e-07,-1.33008e-05
1985-04-01,-6.8638255e-06,6.704504e-07,1.0805437e-05,-8.1339385e-06,0.00014366624,-8.2203405e-06,2.5108238e-06,9.814976e-07,4.1089443e-05,-7.89747e-07,-1.0143922e-06,-2.7942806e-06,2.7213235e-05,-1.446723e-05,-1.0026153e-05,-6.6046196e-06,2.9428338e-06,-1.2747827e-05
1985-05-01,-5.749236e-06,-9.792864e-06,2.0442458e-06,-6.967508e-06,8.86107e-05,-4.668982e-08,4.3684704e-06,4.662237e-06,3.866154e-05,1.4365214e-05,-3.3386168e-06,-4.4618428e-06,1.898774e-05,-2.7583097e-05,-1.7275306e-05,-2.5696354e-06,2.730012e-07,-1.1443146e-05
1985-06-01,-1.1771481e-05,-1.2920631e-05,1.0917764e-05,-1.4588193e-05,6.1540864e-05,-5.9101876e-07,4.61904e-06,1.1842269e-05,5.867231e-05,1.3121025e-05,-4.7037684e-06,-7.0971146e-06,1.9722156e-05,-1.1235781e-05,-2.2433524e-05,-7.4945638e-06,1.8714418e-06,-1.7660932e-06
