,mgu850GLB_cluster1,mgu850GLB_cluster2,mgu850GLB_cluster3,mgu850GLB_cluster4,mgu850GLB_cluster5,mgu850GLB_cluster6,mgu850GLB_cluster7,mgu850GLB_cluster8,mgu850GLB_cluster9,mgu850GLB_cluster10,mgu850GLB_cluster11,mgu850GLB_cluster12,mgu850GLB_cluster13,mgu850GLB_cluster14,mgu850GLB_cluster15,mgu850GLB_cluster16,mgu850GLB_cluster17,mgu850GLB_cluster18
1983-09-01,0.089802936,-0.18513718,-0.30194625,0.2079132,-0.49847183,1.3229668,-0.46137887,-0.56354636,0.2746151,-0.8118057,0.69825095,0.7164715,-1.0695012,1.2234027,0.79065627,0.01887169,-0.18806572,0.84629554
1983-10-01,0.18904153,-0.35140306,-0.2814476,0.1343792,-0.40801772,0.68100584,-0.24858475,-0.6250412,0.3849163,0.26648027,1.1095226,0.6292717,-1.089349,-0.17602691,0.7366444,-0.122340396,-0.7525879,0.7577942
1983-11-01,0.34326857,-0.4275402,-0.47472,-0.23296699,-0.21832505,0.5443493,0.39305076,-0.5420715,0.50270116,0.38849562,1.5071281,0.36018792,-0.7337162,-0.27071038,0.52092206,-0.10900001,0.35888594,1.0141876
1983-12-01,0.3491253,-0.66050756,-0.85345346,-0.21116714,-0.069955446,-0.7763401,0.4773224,-0.635128,0.7223282,0.45324478,0.8973789,0.21344452,-1.0346863,-1.09911,0.055638887,-0.22873726,0.7008537,0.8781818
1984-01-01,0.25186387,-0.7500561,-0.717535,-0.31310004,-0.07438278,-1.2437512,0.087529756,-0.6926262,0.87737197,0.33731765,0.7936481,0.17575112,-0.740023,-0.8330883,-0.09410324,-0.17090759,0.87391245,0.89813006
1984-02-01,0.35530815,-0.90747106,-0.6151291,-0.24148484,-0.09341125,-0.53071326,0.42692298,-0.3549614,1.0174885,0.5570065,0.96213377,0.2501339,-1.0721512,-0.64661217,0.1269699,-0.1089798,1.1918557,1.088412
1984-03-01,0.37883377,-0.7161514,-0.47328264,-0.2183052,-0.018336106,-0.4570221,0.28369293,-0.48573723,0.87079847,0.44871902,1.0673077,0.114861295,-1.312944,-0.6649483,0.6860523,-0.103098296,0.75316966,1.0420525
1984-04-01,0.18578415,-0.51445276,-0.4546005,0.059160613,-0.21622925,0.3172516,0.3715683,-0.49611664,0.6130535,0.24632835,0.8157898,0.06227417,-0.8849834,-0.5538929,0.68397677,-0.0480896,0.4850456,0.98946494
1984-05-01,0.110709384,-0.29337996,-0.6151291,0.11901283,-0.37952575,0.9721672,-0.42830697,-0.5905651,0.43315047,-0.41550598,1.052777,0.058122255,-0.8306667,0.22903022,0.9185417,-0.044283677,0.037364196,0.5109932
1984-06-01,0.051549148,-0.004497528,-0.7106155,0.31552163,-0.49058074,1.2949543,-0.43453485,-0.8351639,0.134235,-1.0960228,0.41550636,0.31137007,-0.7721985,1.8474633,0.9181965,0.021796037,-0.7012749,0.7220333
1984-07-01,-0.021103669,0.07092323,-0.55873644,0.2549774,-0.44733506,1.1178192,-0.49750024,-0.8448513,0.054662704,-1.1956615,0.34838867,0.35253984,-0.89778364,1.4461415,0.81924975,-0.04151573,0.280579,0.83654785
1984-08-01,0.08925934,0.26847038,-0.5857216,0.27954102,-0.53105927,1.0116069,-0.39336434,-0.71061593,-0.1331974,-1.0157589,0.8320503,0.439032,-0.98808175,1.4803921,0.8227089,0.009687042,-0.3961319,0.7209946
1984-09-01,0.021796037,-0.27054635,-0.32451707,0.2657028,-0.39371032,0.6815548,-0.99292487,-1.0147209,0.36637917,-0.5604664,0.25290185,0.63069725,-1.0828762,0.41585198,0.75213164,-0.11693649,-0.030445099,0.6684078
