,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8,zgv250GLB_cluster9,zgv250GLB_cluster10,zgv250GLB_cluster11,zgv250GLB_cluster12,zgv250GLB_cluster13,zgv250GLB_cluster14,zgv250GLB_cluster15,zgv250GLB_cluster16,zgv250GLB_cluster17,zgv250GLB_cluster18
1983-02-01,0.14768644,0.31911546,-0.02079153,0.2755204,0.20040289,0.0030852319,0.51254314,0.21717033,0.43474275,-0.5389684,1.0410488,-0.054191876,0.06009402,0.26988658,0.18497697,0.15868583,-0.16230753,-0.24480267
1983-03-01,0.068142414,0.097652815,0.51723796,0.46975288,0.3995985,0.33910197,-0.013011431,0.11388357,0.024815608,-0.41126862,-0.52662766,0.38216048,-0.06613026,0.39530602,0.10865221,-0.2327303,0.06425233,-0.105164625
1983-04-01,0.0512409,0.01703558,0.1424551,0.088665485,-0.10744492,0.35506454,-0.4164999,-0.5703567,-0.25325346,0.77116215,0.14218673,0.42441416,0.7729058,-0.07927585,0.08021478,-0.11442013,0.44453487,-0.013816262
1983-05-01,-0.028839756,0.12676086,0.11696875,-0.13467503,0.4558026,-0.6042937,-0.8083183,-0.1947691,-0.09228726,-0.015828347,0.33869964,-0.017169666,0.9953073,0.7884659,0.05674057,0.10583526,1.2791445,-0.89752066
1983-06-01,-0.25218028,-0.0025486469,-0.1541251,-0.28839767,0.16431963,-0.3327975,-0.51053107,-0.10784731,-0.07109346,-0.00093889236,-0.96928465,0.30288467,-0.0068410872,-0.13641879,0.009389686,0.008450794,0.17572156,0.43648657
1983-07-01,-0.17223379,-0.09979906,0.14205265,-0.07337375,-0.05513086,-0.8429262,-0.3207251,0.28598318,0.25016823,1.1144224,1.4697553,-0.15157643,1.018111,-0.966736,-0.16619758,0.042790126,0.097787,0.057679582
1983-08-01,-0.45727807,0.02226696,0.039168455,-0.031924963,0.19731769,0.68075275,-0.13118744,0.80898917,-0.2603628,0.8245492,0.014486981,-0.04627781,0.022803497,-1.5936991,-0.08397074,0.014352798,-0.060898878,0.06210611
1983-09-01,-0.011938381,0.16646585,-0.6615709,-0.3580156,0.23366924,0.03044958,-0.35640594,-0.4476201,0.90919054,1.2847784,0.22454786,0.3869894,0.09725039,-1.1722361,-0.03380289,-0.09456768,0.17290449,0.21515808
1983-10-01,-0.2968484,0.042790174,0.27002072,0.03219328,-0.5488946,0.13655297,-0.64788884,-0.032595634,-0.18511124,-0.45888776,0.8304513,-0.016364884,1.4228066,0.3401752,0.008182431,-0.12246843,0.3162984,-0.20013459
1983-11-01,-0.5212621,-0.0063045085,-0.30140916,0.26841107,0.30771366,-0.2849101,-0.16445379,0.5187135,-0.22414532,-0.3059699,0.24520512,0.052984715,0.07270308,1.07351,-0.17022172,0.016499031,0.5514432,0.05942334
1983-12-01,-0.16284409,0.019315947,0.032059096,0.20536605,0.14205265,0.5558699,-0.35050383,0.9644556,1.488937,-1.0228058,-0.48826408,0.18712315,0.5404439,0.17639217,0.0279008,0.24466857,-0.16244164,0.36901492
1984-01-01,-0.051602077,-0.1382246,0.15175514,0.118989944,-0.22431655,0.643766,-0.15241852,-0.22378597,0.3190309,-1.1501032,0.66485786,0.288786,0.17019406,1.188838,-0.073887825,-0.13650012,-0.3328268,0.3143879
1984-02-01,-0.023081636,-0.001326561,0.25429615,0.42780653,-0.11328582,0.9146439,-0.38602084,-0.49585763,0.43244952,0.091928676,0.3633371,0.15546966,-0.6319598,0.10134716,-0.026928568,-0.04709196,-0.88983744,0.4656126
1984-03-01,-0.076010324,0.14326549,0.044704128,0.27883682,-0.42541876,1.2611339,0.36559218,0.11859188,0.13384707,-0.64403117,-0.16926546,0.15228584,0.09352045,1.2541033,0.085561275,-0.18465324,-0.2125105,-0.58088833
1984-04-01,-0.119918585,0.08158171,0.040193893,-0.21569404,-0.025734711,-0.3074901,-0.41321468,0.044571497,-0.2879901,0.08741836,0.119520426,0.022285735,0.50646985,0.3244697,0.052000046,-0.08635726,0.5372454,-0.18571445
1984-05-01,-0.15546954,0.031438805,-0.18690833,-0.37633705,0.14658174,0.102806285,0.94382745,-0.2340002,0.1670104,-0.25668392,-0.31292892,0.1416736,0.3488779,0.13185726,0.08264293,0.03846941,-0.55515367,-0.3499391
1984-06-01,0.012071419,0.051336765,-0.2369186,0.04603064,0.3975616,0.11965313,-0.0923266,0.17351036,-0.11209194,0.88519466,-0.8565415,0.21410222,0.6981538,-0.1455206,0.009949016,0.22511244,0.03647957,0.07985721
1984-07-01,-0.11235724,-0.062347006,-0.060755156,-0.0065000057,0.13397971,-0.33282685,-0.07295923,1.1145521,-0.27552068,0.304439,-0.55303115,0.28759202,0.10147953,-0.9566949,-0.07959189,0.044571497,-0.11195926,0.02825513
1984-08-01,-0.19592874,0.09378586,0.44836777,-0.19208181,0.1189899,-0.4833882,-0.06990824,0.4304596,0.15467362,1.537981,-0.47675562,0.2844084,-0.45314336,-1.1437356,-0.15586758,-0.16953078,-0.24845943,0.06407151
1984-09-01,0.15852055,-0.102540925,0.07547967,-0.10439806,0.09564295,0.36983708,0.16130634,-0.35909215,0.27724534,0.5279597,0.26066354,0.02255106,0.6896638,-0.5974699,0.0030509948,-0.03223474,-0.5916332,0.16647978
1984-10-01,-0.29170427,0.11753068,-0.8825418,-0.048153114,0.42382687,1.0821847,-0.10877566,2.1753795,-1.3323686,-0.9630621,0.6152455,0.06354086,-0.26000017,2.282298,-0.18398996,0.052928638,0.060887814,0.051336814
1984-11-01,0.0078265425,0.13013278,-0.17868385,0.66392916,-0.12031643,0.77177626,-0.0068979263,-0.13729592,-0.111693956,-0.30152065,0.51217395,0.1700614,0.62148035,0.40034732,0.041785765,-0.07070415,0.2369186,-0.34503093
1984-12-01,-0.36466363,-0.032234717,0.32871458,-0.39358202,0.20057161,0.2663676,0.063275576,0.21529612,-0.3739493,1.1742456,-0.71990883,0.22418384,0.40339833,1.0434501,-0.018969392,0.08343883,-0.23346964,-0.19221458
1985-01-01,-0.19022445,0.058551215,-0.06817603,0.2851362,0.084752165,0.7661114,0.2518503,0.45798245,0.6205355,-1.2216876,0.305188,0.14236757,0.63630944,0.95032036,0.057214357,-0.1412982,-0.4367276,-0.4757617
1985-02-01,0.10467033,-0.14530846,0.070715904,0.23848239,0.17204423,0.54941857,0.009491349,0.46894413,0.87225217,-0.42670172,-0.05841751,0.08595524,0.71491253,1.5255387,-0.066972926,-0.05133257,0.31868953,0.7413809
1985-03-01,-0.18313952,0.0,-0.4137349,-0.37777537,-0.2352741,-0.15413126,0.21294975,-0.6543562,-0.15266085,0.95312756,0.47001353,0.16148362,-0.1038682,0.3070596,-0.24316113,0.043311883,-0.40290695,-0.22284201
1985-04-01,-0.19329901,-0.06630453,0.1670981,-0.035959434,-0.082613304,-0.31628323,-0.17779239,-0.886021,0.18755093,-0.55182475,0.8894966,0.1323417,1.2643311,0.75167406,0.053471386,-0.0001336813,0.22270837,-0.25425646
1985-05-01,-0.05561018,-0.08141019,0.11843915,0.23086281,-0.24035391,0.17672291,-0.3424843,0.23968554,-0.30425215,0.9118209,0.17872813,0.30612373,0.66879344,-0.4094572,-0.18220377,0.08595526,1.0775822,-0.47455844
1985-06-01,0.2689611,0.12926713,-0.5819025,-0.15560175,0.09477806,0.39608926,-0.24075496,-0.48298034,-0.102798656,-0.40036708,0.20867214,0.059887957,0.21401918,0.53925896,-0.11269097,-0.07846923,0.10293236,0.34221685
