,mgv600GLB_cluster1,mgv600GLB_cluster2,mgv600GLB_cluster3,mgv600GLB_cluster4,mgv600GLB_cluster5,mgv600GLB_cluster6,mgv600GLB_cluster7,mgv600GLB_cluster8,mgv600GLB_cluster9,mgv600GLB_cluster10,mgv600GLB_cluster11,mgv600GLB_cluster12,mgv600GLB_cluster13,mgv600GLB_cluster14,mgv600GLB_cluster15,mgv600GLB_cluster16,mgv600GLB_cluster17,mgv600GLB_cluster18
1982-06-01,0.16579346,-0.24509752,0.29579362,0.22567073,0.09686808,-0.54142344,-0.102589704,0.2842174,0.36671495,-0.060409497,-0.24882326,-0.13944745,0.07424779,0.83389056,-0.08915057,-0.33651012,-0.40170985,-0.24323472
1982-07-01,-0.27796346,0.13758461,0.062139273,0.1507576,-0.03499491,-0.37083977,-0.18814763,0.10205746,0.39266172,0.13984665,-0.09287627,-0.31987756,0.17537382,0.87966347,-0.108444355,-0.19480065,-0.35686842,-0.90747297
1982-08-01,-0.15967265,0.007185268,0.09034815,0.06746173,0.24336776,-0.2647905,-0.23258987,0.095670536,0.40330657,0.04497447,-0.21076794,-0.21422751,0.17550687,0.8199191,-0.19772796,-0.1507576,-0.26532274,-0.2601334
1982-09-01,0.17963174,-0.46863928,-0.003991795,0.12587528,-0.09394076,-0.4993763,-0.08462653,0.2796933,0.4606557,0.197728,-0.25228283,-0.14463682,0.28089085,0.63496506,-0.31162784,-0.34555826,-0.33025628,-0.9214443
1982-10-01,-0.17563996,-0.2118324,-0.024749279,0.14796333,0.108178236,-0.074114725,-0.056417704,0.41115713,0.1586082,0.12002063,-0.01743095,-0.07823958,-0.012507701,0.59345007,-0.037789203,-0.010245657,-0.30683765,-0.6948422
1982-11-01,0.13332668,-0.5186701,0.10618229,0.22633603,0.17723668,0.08475957,0.0412488,0.8145968,-0.08622322,-0.017031718,0.009314227,0.08475957,-0.23964207,0.67568153,0.05881276,-0.16007185,-0.21768706,-0.8458659
1982-12-01,0.17351094,-0.8392129,-0.06293764,0.17657137,0.34369543,0.00319345,0.2361825,0.4412288,-0.10950885,-0.14357236,-0.14956006,0.09154568,-0.050696086,0.58386976,0.045506716,-0.013971329,-0.28248757,-1.2350682
1983-01-01,0.8602301,-0.7204577,0.2583507,0.10543283,0.3604301,0.03514428,0.1144201,0.48169127,-0.014755231,0.011804188,-0.1423209,-0.092555545,-0.5738443,0.41046372,0.09550657,0.3963792,-0.25875312,-0.54996777
1983-02-01,0.42521897,-0.5954407,0.2280354,0.15734443,0.13534573,-0.13346776,-0.010999357,0.29832396,0.09671384,-0.11187148,-0.15640546,0.14634506,-0.2515096,0.39302573,0.0036217333,0.24386378,-0.33762652,-1.2930949
1983-03-01,0.42964554,-0.69175214,-0.13789435,-0.018913519,0.044399835,-0.11911497,0.006438649,0.45513186,0.12743154,0.045472942,-0.115761496,0.1778676,-0.05982576,0.52072555,-0.13588227,0.012474919,-0.36351526,-0.70301974
