,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5
1994-04-01,28.219055,28.871277,28.406403,14.694305,10.59668
1994-05-01,28.872253,29.778473,28.744263,16.966736,14.429016
1994-06-01,29.401367,29.746124,29.042908,18.482513,18.885132
1994-07-01,29.475433,29.268494,29.29889,22.870941,23.930664
1994-08-01,29.934418,28.946777,29.651947,26.024109,28.023895
1994-09-01,29.565155,28.801636,29.378326,25.864746,26.20456
1994-10-01,29.574982,29.061066,28.857056,23.776184,22.295746
1994-11-01,29.163055,28.30194,28.323517,20.760834,18.499207
1994-12-01,28.97229,27.773315,27.987122,18.869934,15.303375
1995-01-01,28.997375,27.549164,27.42804,16.566803,12.178284
1995-02-01,28.799072,27.05487,27.173065,15.492279,10.53421
1995-03-01,28.759491,28.057129,27.232178,14.707855,10.353973
1995-04-01,28.858154,29.287018,27.896454,15.360382,10.491241
1995-05-01,29.32022,29.68753,28.56607,16.698212,13.996216
1995-06-01,29.046204,30.50418,28.74826,18.690521,18.125885
1995-07-01,29.222534,29.852112,29.144379,20.787842,22.878815
1995-08-01,29.268433,29.493622,29.74173,24.421753,26.950836
1995-09-01,29.147308,29.22644,29.59961,25.152435,24.577087
1995-10-01,29.328522,29.51413,29.554169,22.839233,21.279694
1995-11-01,28.876251,28.94168,29.264038,20.445923,17.818665
1995-12-01,28.707245,27.640015,28.94754,17.462097,14.407471
1996-01-01,28.693848,26.437286,28.228027,15.259552,11.852051
1996-02-01,28.286713,26.242737,27.576385,14.643921,9.447784
1996-03-01,28.384003,27.513062,27.593903,14.4122925,8.923798
1996-04-01,28.540466,29.157104,28.26355,14.441132,9.82663
1996-05-01,28.63208,29.655365,28.835907,16.24524,13.426086
1996-06-01,28.88379,29.792267,29.265717,17.216003,17.770874
1996-07-01,29.063934,29.97345,29.651245,22.42862,21.713684
1996-08-01,29.470062,29.309967,29.900879,25.61734,26.165527
1996-09-01,29.386688,29.290924,30.03009,24.83496,24.156036
1996-10-01,29.376892,29.137024,29.711975,22.419373,21.088806
1996-11-01,29.092255,28.860107,28.553345,20.806213,18.026184
1996-12-01,29.15506,27.446167,28.403046,19.152924,15.02121
1997-01-01,29.075348,26.67807,28.313904,17.360596,13.14386
