,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7
1975-01-01,17.863338,36.642097,18.523483,40.816986,19.998524,40.884483,18.027962
1975-02-01,9.668312,18.86261,30.605305,31.369164,44.32679,41.646698,33.906036
1975-03-01,33.22778,32.987427,22.588074,42.92089,63.299805,55.896626,29.283367
1975-04-01,31.082716,37.185364,26.081413,61.17944,57.379894,72.13852,22.237423
1975-05-01,28.055265,63.60107,18.870842,42.028625,48.967564,57.108265,21.4357
1975-06-01,16.345497,71.67427,28.409208,48.880314,57.895172,62.203407,16.72578
1975-07-01,17.264103,69.3794,47.56002,49.26883,31.48934,65.09751,26.774483
1975-08-01,14.42268,71.14583,47.336132,29.499025,35.42552,67.23763,23.274559
1975-09-01,13.334507,83.31161,25.635279,26.703695,50.055733,66.304214,14.695957
1975-10-01,25.566137,71.95414,30.947725,28.284094,43.32093,66.95612,18.711155
1975-11-01,21.978962,57.30746,37.257797,34.55301,22.459663,60.953903,16.175934
1975-12-01,20.331066,30.878582,34.263268,26.690525,22.517284,50.56278,27.358902
1976-01-01,21.021755,25.904177,65.617935,50.67874,28.42493,32.597214,21.91558
1976-02-01,29.285955,26.583157,25.65489,40.059433,38.99012,53.104374,33.081024
1976-03-01,22.651962,26.328949,29.500803,55.843254,43.618336,67.6188,20.851189
1976-04-01,29.031748,45.028778,39.36241,64.046776,53.430744,79.29758,26.369951
1976-05-01,17.477612,54.79034,33.299152,55.551323,72.10269,66.79057,20.979115
1976-06-01,23.654032,79.32382,15.701439,64.82252,66.38548,58.342686,21.474407
1976-07-01,14.038429,61.352173,37.787964,68.502785,59.751488,70.979256,25.723772
1976-08-01,21.810616,67.33999,46.403137,56.210625,54.38197,63.720406,22.356754
1976-09-01,20.621582,71.53359,31.549223,49.202698,41.261585,63.092266,29.243315
1976-10-01,24.715141,70.71357,23.832796,44.251396,50.391735,69.563896,16.295135
1976-11-01,10.881336,62.633053,24.452734,38.53911,37.464874,63.628563,20.965992
1976-12-01,12.262257,39.869186,38.119255,47.8595,35.17045,41.46659,18.778168
1977-01-01,9.872654,18.367203,17.15532,35.31894,51.573765,18.930908,21.117496
1977-02-01,11.700226,29.506453,25.95203,38.618317,61.40691,11.883793,24.230053
