,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7
1976-11-01,0.022761561,0.44235072,1.0091144,-1.2327058,0.53558034,-0.10251732,0.3228078
1976-12-01,-0.14211066,0.33868724,1.1681558,-1.2427187,0.6899531,0.08304025,0.21161057
1977-01-01,-0.06985652,-0.532153,1.020367,-0.8704786,0.8044018,0.36245492,0.13591707
1977-02-01,-0.050554942,0.0020350274,1.4755404,-1.0196886,0.86904216,0.17039455,0.042035356
1977-03-01,-0.22676007,1.3373154,0.8920393,-1.0992969,0.5321675,0.15379158,0.012549663
1977-04-01,-0.1705759,0.63978577,0.82630503,-1.0265584,0.53409505,0.28229758,0.16140158
1977-05-01,-0.025516767,0.6048506,0.7357837,-0.702254,0.32573682,0.058565613,0.32151583
1977-06-01,-0.035379175,0.25765288,1.1021055,-1.4500355,0.32541898,-0.065101504,0.38524127
1977-07-01,0.043274958,1.3268535,0.70690805,-1.7021812,0.43700254,-0.14576668,0.6220965
1977-08-01,0.19517398,0.7727712,0.7212677,-1.25477,0.30160344,-0.25201228,0.7760555
1977-09-01,0.21781033,0.502688,0.41836584,-1.1600595,0.2277013,-0.22028972,0.6222212
1977-10-01,0.20044744,1.0788835,0.8254604,-0.98459405,0.31033316,-0.2762738,0.58673906
1977-11-01,0.04046341,0.6364659,0.88522965,-1.0334218,0.4936112,-0.12569356,0.40821338
1977-12-01,-0.24865957,-0.21277471,0.882206,-1.2067412,0.6829128,0.2645514,0.25813174
1978-01-01,-0.236176,-0.38203272,1.0809731,-0.9443882,0.8540001,0.5082838,0.13917701
1978-02-01,-0.22453517,-0.433436,1.0732296,-0.6470103,0.7587686,0.30942243,0.081156954
1978-03-01,-0.1723217,0.31438756,0.845534,-0.8501725,0.6087789,0.36727625,0.124221176
1978-04-01,-0.09547478,0.7719212,0.6249644,-0.86262447,0.51165783,0.2610532,0.2624282
1978-05-01,-0.053869992,1.079642,0.660002,-1.0414566,0.3664853,0.06817878,0.32956436
1978-06-01,0.1672485,0.74770266,0.64336526,-1.4300685,0.2805461,-0.2252014,0.6228195
1978-07-01,0.22655903,1.0616459,0.57841474,-1.5770341,0.22880605,-0.4036383,0.6957982
1978-08-01,0.18761991,0.9973484,0.5577906,-1.3548756,0.27106538,-0.17324324,0.79349434
1978-09-01,0.2954693,1.0934898,0.6526899,-0.9895706,0.041597456,-0.18091515,0.7066395
1978-10-01,0.1451056,0.86253583,0.57287246,-0.88219184,0.23922968,-0.1684116,0.5703468
1978-11-01,-0.021656442,0.5178156,0.68515307,-1.2671584,0.4602715,0.07360319,0.50403214
1978-12-01,-0.11222465,0.7540967,0.8638658,-1.3603727,0.5204731,-0.014584401,0.46480605
