,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1975-06-01,1.5654755,2.8001633,2.5631027,2.633892,2.0280724,2.5120697,1.7268066
1975-07-01,1.3596954,2.6223679,2.7557144,2.7672348,2.1712952,2.3342743,1.7827797
1975-08-01,1.3382912,2.9055214,3.0553284,3.0685005,2.3770752,2.6931534,1.8403969
1975-09-01,1.6609573,3.2841568,3.4273834,3.402687,2.6042595,3.0536842,2.0379486
1975-10-01,1.9770355,3.2660484,3.3368378,3.3549461,2.5795631,3.0833168,2.158123
1975-11-01,2.31781,3.5722504,3.504757,3.9443054,4.0529556,3.4224434,3.8883324
1975-12-01,1.7597313,3.6759644,4.686764,3.4389076,4.0381393,3.7681541,2.9598465
1976-01-01,2.1415215,4.3736267,4.6573563,4.7360764,3.5470428,4.301464,2.936943
1976-02-01,1.8364716,4.3490257,6.661495,4.3031044,5.0476875,4.562233,3.6159248
1976-03-01,1.7233086,4.562233,5.4412994,4.3687057,3.4830818,4.6573563,2.2694435
1976-04-01,1.9037132,4.021015,4.965683,3.8602905,3.6536446,4.9197617,2.8155823
1976-05-01,1.4625435,3.8799706,3.1911507,2.5908928,2.5613747,4.5310707,2.144802
1976-06-01,1.4576225,3.1698303,2.72538,2.464611,2.0660782,3.5470428,1.7446289
1976-07-01,1.2050552,3.12883,2.5006905,2.5056114,1.9561958,3.542122,1.6216278
1976-08-01,1.282135,3.4273186,2.6089363,2.6400948,1.9889984,3.8586502,1.6003075
1976-09-01,1.5625839,3.8652115,2.858223,3.0583076,2.2415657,4.6524353,1.9447174
1976-10-01,2.0841217,4.818081,3.5650826,3.6274033,2.666336,6.315445,2.4990501
1976-11-01,2.2940445,6.661495,4.3523064,4.699997,3.8373299,9.156006,3.5798454
1976-12-01,2.376049,8.431107,5.8201485,5.8152275,5.590542,10.049831,4.729519
1977-01-01,2.2147255,10.090336,7.4115257,7.6080894,5.4133797,12.606701,4.6303673
1977-02-01,2.036026,7.7705383,5.036495,6.1703987,5.085228,9.684212,4.2047462
1977-03-01,2.6435928,5.4832344,4.1170235,4.0796585,3.2300415,6.800709,2.4648972
1977-04-01,1.5990334,4.7798195,3.1796799,2.8336601,2.5217552,6.0745544,2.4015427
1977-05-01,1.4057198,3.9708176,2.760559,2.755684,2.1887321,4.8545494,1.9369316
1977-06-01,1.2124023,3.4818382,2.4584007,2.5103836,1.9044418,4.1738815,1.6607666
1977-07-01,1.2530136,3.3535042,2.4145393,2.5087585,1.9661751,3.9074593,1.6737633
1977-08-01,1.3374901,2.9473763,2.4941406,2.5786133,2.1091309,3.3827438,1.7257462
1977-09-01,1.4674492,3.7255173,2.8336601,2.9490013,2.3463097,4.2258644,1.9499283
1977-10-01,2.5315018,4.7310867,3.5598145,4.0747833,2.9376297,4.610874,2.5250053
1977-11-01,3.3908691,5.767521,4.4484215,5.5352173,3.829483,5.145336,3.866848
1977-12-01,2.8856468,6.025818,5.600197,6.5521584,5.884487,5.285042,5.0429916
1978-01-01,2.1264,5.850464,6.818306,6.9529495,6.267063,5.0156784,4.5119553
1978-02-01,2.1723366,5.8346214,6.875332,7.6055717,5.6572113,5.2770424,4.363056
1978-03-01,2.1945152,4.8446007,6.6947517,5.351494,6.6884155,4.478691,5.12339
1978-04-01,2.0297737,5.110718,5.359413,4.144459,4.3171196,4.3662224,3.297001
1978-05-01,1.8460274,4.08902,3.0879097,4.12545,2.6047783,3.8609161,2.1723366
1978-06-01,1.454773,3.149685,2.9437637,2.7901115,2.3402443,3.04039,1.9489899
1978-07-01,1.2884483,2.9421768,2.6618042,2.7014046,2.185009,2.9897003,1.8286018
1978-08-01,1.304287,3.4712448,2.9136658,3.1100845,2.2974777,3.4110527,1.7779121
1978-09-01,1.4595222,3.648655,3.1781998,3.216217,2.508152,3.7595406,2.1343231
1978-10-01,2.4194489,4.7242165,3.742115,4.0256577,2.916832,4.6877823,2.7837753
1978-11-01,2.9548492,4.7780724,3.921112,4.4945297,3.300171,4.974491,3.4379807
1978-12-01,2.9342575,4.740055,4.8129196,4.095356,4.060505,4.8683624,3.7056808
1979-01-01,1.3301392,5.59507,5.1355705,5.1420403,2.9157333,6.2341614,2.3122368
1979-02-01,1.592247,7.886097,5.993088,4.8766975,3.5580635,8.335888,2.6487732
1979-03-01,2.0080605,5.8005486,5.164692,4.4382324,3.393032,6.3150597,2.575962
1979-04-01,1.7233009,4.758587,3.7214775,2.7782097,2.611557,4.9155273,2.1002846
1979-05-01,1.3851471,3.5742416,2.6892204,3.10989,2.0841064,4.3702774,1.6747627
1979-06-01,1.142456,3.2150574,2.3785744,2.4125519,1.9255447,4.1065483,1.6148987
1979-07-01,1.1052399,3.2846298,2.388279,2.4351997,1.8478851,4.0402145,1.5226746
1979-08-01,1.1133308,3.1875496,2.3316536,2.4481468,1.791256,3.902687,1.5113487
1979-09-01,1.360878,3.682644,2.611557,2.7523193,2.0549812,4.491623,1.8074341
1979-10-01,2.4174042,5.4494553,3.4270096,3.918869,2.643917,6.8862,2.5662575
1979-11-01,2.3057632,6.085312,3.5742416,4.062866,2.6778946,7.5172005,2.4335823
1979-12-01,2.524189,6.0076485,4.224659,4.6291504,3.659996,7.1952286,3.3444939
1980-01-01,1.5788422,5.711666,4.4910507,5.1331367,4.20586,6.503685,3.4936981
1980-02-01,1.2838745,6.5965767,5.328697,6.181011,4.3069,7.044731,3.286728
1980-03-01,2.370861,6.6112404,5.873005,6.14027,4.5725327,6.992584,3.053688
1980-04-01,1.6733627,5.079357,4.285713,4.197712,3.2573967,5.168991,2.5794563
1980-05-01,1.419136,3.5735512,3.2280617,3.1726532,2.4344177,3.055317,2.0481873
1980-06-01,1.1632805,2.8092384,2.7684975,2.7049408,2.1264114,2.4751587,1.7141037
1980-07-01,1.088314,2.251892,2.2470055,2.2127838,1.8151436,2.0237427,1.4810638
1980-08-01,1.169796,2.1590042,2.242115,2.1981163,1.8004761,1.9683342,1.4826927
1980-09-01,1.4060974,2.5191574,2.5403442,2.5778275,2.1850777,2.3643417,1.8086243
1980-10-01,1.9976654,3.4464378,2.9216843,3.2411003,2.2975235,3.2802124,2.2486343
1980-11-01,1.8477364,4.3069,3.3796196,3.7414055,2.8793144,3.976078,2.7864227
1980-12-01,1.518547,4.359047,4.1520805,4.466606,3.8603706,4.217266,3.4920654
1981-01-01,0.9274521,4.7317696,5.4622765,5.4289207,3.5592842,4.388195,2.4735298
1981-02-01,2.1016006,6.326214,8.034069,7.5504,4.6350327,5.8742294,3.2907639
1981-03-01,2.059906,5.6674194,6.6747894,6.429619,3.3274574,5.4472656,2.3184204
1981-04-01,1.5712318,4.7351036,5.4506035,3.1573372,3.2090416,4.78347,2.2984047
1981-05-01,1.2576828,4.57666,3.3024406,3.6259995,2.4902077,4.6400375,1.9148064
1981-06-01,1.1709557,3.387497,2.763729,2.968872,2.2984047,3.901188,1.8731117
1981-07-01,1.140934,3.0322495,2.4351692,2.5068855,1.9348183,3.379158,1.6179314
1981-08-01,1.1626167,3.2323914,2.4902077,2.6436462,1.9915276,3.5476112,1.6396141
1981-09-01,1.4444771,4.2597733,2.9355164,3.2490692,2.255043,4.900219,1.8347511
1981-10-01,2.57193,4.9702682,3.2040367,3.769432,2.4735298,6.089382,2.1883278
1981-11-01,2.255043,5.5540085,3.5259285,4.1313515,3.5175896,6.9583206,3.1540031
1981-12-01,2.5118866,6.10606,3.991253,4.883541,4.883541,7.4853554,4.4916
1982-01-01,2.239605,7.676605,6.2530136,5.8042183,4.866417,8.892693,3.9640007
1982-02-01,2.112526,7.6524773,6.0905457,5.434246,4.0942955,8.606365,3.2481842
1982-03-01,1.7538147,5.691616,3.8497925,4.3388023,3.447647,6.9881325,2.508236
1982-04-01,1.5495224,4.8004646,3.1629295,3.4154778,2.9200325,5.7640038,2.2717743
1982-05-01,1.3999252,3.9334412,2.7189598,2.8283463,2.0900078,4.5929565,1.7136002
1982-06-01,1.0894699,2.8106499,2.192955,2.2926865,1.7103806,3.1243248,1.4208374
1982-07-01,1.1425514,2.4873238,2.053009,2.1784782,1.7666817,2.762394,1.5028763
1982-08-01,1.2229805,2.355423,2.273384,2.295906,1.9629288,2.180088,1.6186905
1982-09-01,1.4481812,2.4583702,2.6851807,2.6739197,2.06427,1.9211044,1.8117218
1982-10-01,1.843895,3.3607864,3.5682907,3.622982,2.807434,2.7093086,2.5484505
1982-11-01,2.3280754,3.7339745,3.9446983,3.5393372,3.1018028,3.0165482,2.6610527
1982-12-01,1.7071648,3.796711,4.1184273,4.586521,3.1677551,3.3688278,2.4149399
1983-01-01,1.6652489,5.2967224,5.3303185,6.331772,4.304867,4.306465,3.0378494
