,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7
1980-09-01,-0.012441616,-0.0419379,-0.40331227,0.29749453,0.09786679,-0.11447857,-0.051223785
1980-10-01,0.12918325,-0.19137098,-0.049489137,-0.4569178,-0.040563185,0.04343777,0.3735974
1980-11-01,0.1977923,-0.40724716,-0.08566123,-0.49288282,-0.057766676,-0.0419103,0.3830186
1980-12-01,0.18080772,-0.5846361,-0.26973024,-0.4764202,-0.008836532,-0.092905335,0.38297853
1981-01-01,0.26793584,-0.61012334,-0.28837743,-0.6038896,0.06448608,-0.25294212,0.36613777
1981-02-01,0.17859434,-0.39252114,-0.4113285,-0.116561286,-0.12658471,-0.09285683,0.31664792
1981-03-01,0.2736217,-0.2889336,-0.31660685,-0.441844,-0.12566558,0.032692794,0.36280492
1981-04-01,0.072482295,-0.12399155,-0.2526354,-0.258613,-0.13389426,0.08082452,0.39038834
1981-05-01,0.042180248,-0.20490195,0.008209286,-0.26997852,-0.03203861,0.044411566,0.16736448
1981-06-01,0.0013014151,-0.2257,-0.058670565,-0.30131635,0.061235465,-0.054595996,0.05222586
1981-07-01,0.008558834,0.07476356,-0.16897804,0.1651696,0.061231688,-0.12616499,-0.033940997
1981-08-01,0.06966771,0.0041201143,0.10619284,-0.06859016,0.047237765,-0.14751767,0.07146297
1981-09-01,0.035248026,0.051962215,0.0425127,-0.3054246,0.061797787,-0.06092802,0.11111458
1981-10-01,-0.05174138,-0.031078974,-0.18851349,0.14583492,0.011526765,0.0481097,0.1348721
1981-11-01,0.049603462,-0.0028292104,-0.21897206,-0.21555609,0.034306213,0.019842789,0.08325166
1981-12-01,0.2227029,-0.24752182,-0.08879316,-0.3090121,-0.05492302,-0.11684587,0.3329342
1982-01-01,0.18542843,-0.3766582,-0.2604468,0.030701464,-0.23440546,0.016819607,0.5728291
1982-02-01,0.100630395,0.026052615,-0.33667907,-0.023369778,-0.114072554,-0.12652338,0.35090387
1982-03-01,-0.13121505,0.3644903,-0.42358604,0.23747717,-0.06757714,0.12174632,0.1897743
1982-04-01,-0.06859568,0.1092342,-0.097007014,0.2557037,-0.09976337,0.18497154,0.15741353
1982-05-01,-0.0005691495,-0.3040765,-0.24004838,-0.011402331,-0.02550355,0.10930891,0.17891072
1982-06-01,-0.063892715,0.15690367,-0.1838491,-0.089706466,0.12893948,-0.049947258,0.0035702446
1982-07-01,0.05230297,0.1776653,-0.3670708,-0.0026112408,0.019823842,-0.09610723,-0.054987486
1982-08-01,0.013847279,0.101807594,-0.15208569,0.075855196,0.05228117,-0.087293856,-0.07356225
1982-09-01,-0.0049677244,-0.08361558,-0.13756831,0.23169896,0.057944436,-0.04569537,-0.14740814
1982-10-01,-0.030537726,0.14637262,-0.093374446,0.027346598,0.05483394,-0.061377294,0.032575786
1982-11-01,-0.07857948,-0.063105635,-0.120123774,-0.22889253,-0.0709914,0.10003296,0.20501858
1982-12-01,0.095526055,-0.19152462,-0.17690799,-0.5152551,-0.022860514,-0.09351409,0.38338423
1983-01-01,0.23666707,-0.55753314,-0.08472775,-0.54087764,0.014893521,-0.1859595,0.14521824
1983-02-01,0.15253575,-0.3358244,-0.20819452,-0.57167196,0.16092353,-0.31479752,-0.07326116
1983-03-01,0.08607876,-0.22017702,-0.036645748,-0.6347733,0.09767564,-0.16878664,-0.049768858
1983-04-01,-0.017158523,0.124447785,-0.06630717,-0.01873725,-0.13766415,0.17101665,0.19733204
1983-05-01,-0.057276577,-0.042079914,-0.08467073,-0.02362533,-0.07449411,0.10636821,0.24758096
1983-06-01,-0.018639056,-0.11035815,-0.2619136,-0.2423196,0.05334034,-0.009393379,-0.005230283
1983-07-01,0.038981576,0.19624028,-0.20669115,0.0105668185,0.08479427,-0.13881814,-0.25278777
1983-08-01,0.06013888,0.21689221,-0.039741945,-0.074858226,0.046151653,-0.11984406,-0.19745222
1983-09-01,0.026853863,-0.0063885124,-0.55594885,0.2940915,0.033160158,-0.044450298,-0.19109124
1983-10-01,-0.050860234,0.064763635,-0.21435912,-0.2038817,0.04870083,0.04910293,0.11209234
1983-11-01,0.13311043,-0.25312266,-0.10710903,-0.38168862,-0.03501055,-0.02778602,0.20885463
1983-12-01,0.19059914,-0.26130265,-0.35048094,0.0426752,-0.09843477,-0.1132231,0.25102758
1984-01-01,0.33050168,-0.712651,-0.37253097,-0.25937405,-0.23641716,-0.07088296,0.65464324
1984-02-01,0.29213935,-0.39039326,-0.25911403,-0.4612226,-0.23323688,0.034806848,0.30792573
1984-03-01,0.23748946,-0.54950166,-0.42792138,-0.34573436,-0.13230114,-0.017553912,0.40770215
1984-04-01,-0.002501133,-0.16254584,-0.19831938,-0.31439996,-0.13348292,0.17054226,0.3670858
1984-05-01,0.02686932,-0.21632467,-0.052443363,-0.40077046,-0.011155737,0.02318969,0.11788186
1984-06-01,-0.029980147,-0.075954035,-0.0332956,-0.0946251,0.044463858,-0.045385677,-0.10046815
1984-07-01,0.07566584,-0.0021524767,0.020580743,-0.11116811,-0.0071789464,-0.1077696,0.020849155
1984-08-01,0.038259614,0.11777161,-0.19807471,0.027118176,0.053820927,-0.11221533,-0.0566518
1984-09-01,0.008406415,0.08826875,-0.1583008,0.022513077,0.082595736,-0.09488635,-0.031908996
1984-10-01,-0.034533463,-0.34118575,0.07080461,-0.17848288,-0.07059945,0.08607419,0.3169353
1984-11-01,0.01354336,0.07387271,-0.18138865,-0.32866603,-0.040428106,0.05871764,0.1440313
1984-12-01,-0.0025124364,-0.29166785,-0.30356357,-0.035600618,-0.1807516,0.11986674,0.3762395
1985-01-01,0.32413957,-0.8409912,-0.45018762,-0.34092066,-0.075606436,-0.18432255,0.7045166
1985-02-01,0.16371202,-0.33258292,-0.49181527,0.010856434,-0.21826026,-0.068870135,0.61655456
1985-03-01,0.008919369,-0.06133939,-0.36724198,0.08030704,-0.19194597,0.21752621,0.32209384
1985-04-01,0.008908629,0.010062825,-0.049799517,-0.18308197,-0.07189524,0.032328833,0.2273538
1985-05-01,-0.041800864,0.13861248,-0.3203187,0.086275995,-0.011899546,0.10983874,-0.059110988
1985-06-01,0.053345922,0.0106102675,-0.26001334,-0.26909095,0.06623283,-0.10441965,0.09572508
1985-07-01,0.101923,0.31333226,-0.13181713,-0.20847099,0.007843073,-0.18901299,0.02416127
1985-08-01,0.037701745,0.16749097,-0.20331043,0.27803344,0.04730731,-0.16022879,-0.07997489
1985-09-01,-0.012540749,0.11890897,-0.70401645,0.27947763,0.04738257,-0.014226373,-0.13390295
1985-10-01,-0.045139715,-0.010380715,-0.23468228,0.03223469,-0.024964985,0.08029825,0.19798565
1985-11-01,0.014257388,-0.069943495,-0.42628956,0.28946084,-0.016786061,-0.058911458,0.14353572
1985-12-01,0.2559106,-0.64970857,-0.5087474,-0.16553336,-0.03877723,-0.14108458,0.4846047
1986-01-01,0.24777634,-0.44024616,-0.09244871,-0.615763,0.02143575,-0.16884856,0.20575944
1986-02-01,0.18337056,-0.473681,-0.37672308,-0.20218907,0.056397818,-0.21302575,0.2259804
1986-03-01,0.061420143,-0.20140474,-0.06681332,-0.5688065,-0.03581811,-0.027723016,0.23846665
1986-04-01,0.06998982,-0.1953784,-0.027082568,-0.08932174,-0.22585851,0.2559363,0.1805689
1986-05-01,0.02351788,-0.10345198,0.21125582,-0.25823098,-0.09222792,0.08677457,0.14340135
1986-06-01,0.012001593,-0.013348327,-0.11806805,-0.07297896,0.051814035,-0.024195677,-0.11197456
1986-07-01,0.0011772345,-0.058276694,-0.12465766,0.12768663,0.041651487,-0.054915704,-0.08596675
1986-08-01,0.022988696,-0.061266184,0.08026631,0.045144293,-0.0048337355,-0.093839295,0.01831969
1986-09-01,-0.031613,-0.0047567883,-0.51692843,0.42115933,0.051713012,0.002316238,-0.16209356
1986-10-01,0.025967384,-0.26526755,-0.18931589,-0.31493053,-0.01858839,0.09795364,0.2303249
1986-11-01,0.050989326,-0.4028808,-0.4188527,-0.055895537,-0.15463555,0.13339363,0.5254148
1986-12-01,0.25651398,-0.47894627,-0.41053674,-0.5435437,-0.13706903,-0.052603826,0.37669715
1987-01-01,0.3019656,-0.43882063,-0.30467913,-0.39185172,-0.12562679,-0.076188244,0.43047953
1987-02-01,0.24065322,-0.3730574,-0.5267023,-0.3130165,0.0057867765,-0.2018576,0.35394362
1987-03-01,0.18819484,-0.3034694,-0.4072849,-0.20976354,-0.063673235,-0.023359299,0.15454108
1987-04-01,0.10034954,-0.06384541,-0.12035598,-0.57848567,0.0012704182,-0.008245306,0.1672546
1987-05-01,-0.034794617,0.0950055,-0.09706859,-0.1423103,-0.032874618,0.047485657,0.08073611
1987-06-01,-0.00626249,0.026807949,-0.051604755,-0.18619637,0.08444592,0.012823729,-0.14580722
1987-07-01,0.014910444,0.122165985,-0.5268848,0.12505041,0.08709519,-0.1271383,-0.19946194
1987-08-01,0.0071148667,-0.03872984,-0.2194478,0.039115243,0.017608615,-0.06409148,0.037528757
1987-09-01,-0.04887705,0.071256325,0.14079146,-0.13924082,0.06566682,-0.034874287,0.17380702
1987-10-01,-0.050163575,-0.086726755,-0.1773172,-0.09690695,0.031457245,0.11872993,0.10869887
1987-11-01,0.09893764,-0.1928606,-0.14469312,-0.40836516,-0.04063885,0.053794432,0.2505218
1987-12-01,0.14975643,0.021081114,-0.23878637,-0.3250254,-0.078721315,-0.068818785,0.41716352
1988-01-01,0.15469304,-0.29902998,-0.28469905,-0.27450573,-0.070431106,-0.11291576,0.32412574
1988-02-01,0.28874475,-0.9080197,-0.55999154,-0.22388376,-0.25765753,0.11197324,0.55843806
1988-03-01,0.2172751,-0.44781426,-0.39750746,-0.27404353,-0.1261855,-0.021193491,0.4720353
1988-04-01,0.10923239,-0.13968726,-0.057501256,-0.42730272,-0.13006385,0.13221733,0.2894911
1988-05-01,0.030086523,0.13837875,-0.14423367,-0.31638923,-0.053281423,0.05336334,0.04015552
1988-06-01,0.072468124,0.05599376,-0.18678053,-0.40857148,0.09491883,-0.09045643,-0.16118325
1988-07-01,0.048127946,-0.016309397,0.0041699405,-0.18228754,0.011605349,-0.08714475,0.09133215
1988-08-01,0.062322386,0.035397947,0.005862521,0.1252736,0.04506529,-0.1216768,-0.12881854
1988-09-01,0.0037316564,-0.12269907,0.0625801,0.011098282,0.042939715,-0.058725264,0.09033701
1988-10-01,0.079701886,-0.0881563,-0.28012213,-0.32232392,-0.02717162,0.046320513,0.4451591
1988-11-01,0.05508003,-0.035847086,-0.18825717,-0.13490541,-0.10130113,0.032865264,0.33384004
1988-12-01,0.24299534,-0.4908679,-0.61608833,-0.19348967,-0.21777567,0.08184635,0.6416663
1989-01-01,0.17066893,-0.4317633,-0.503474,-0.21586229,-0.30277237,0.13850954,0.77101195
1989-02-01,0.13252658,-0.055597425,-0.44853276,0.2560287,-0.2592291,0.050137095,0.33760935
1989-03-01,0.05383464,-0.03497763,0.020379018,-0.21898286,-0.113930196,-0.02002581,0.05436493
1989-04-01,0.035341267,0.03392157,-0.01653459,-0.1434024,-0.009882686,-0.03917901,0.18422954
1989-05-01,-0.07748732,-0.031081185,-0.3547473,0.32169312,-0.010624637,0.09898387,-0.041951653
1989-06-01,0.0024088034,-0.07723598,-0.21236913,0.005790359,0.040293895,-0.03376557,-0.11894342
1989-07-01,0.073392496,0.2649328,-0.12812516,-0.105945,0.0058045043,-0.14149871,-0.0414678
1989-08-01,0.041496266,0.029769255,-0.13233238,0.22381109,0.05847928,-0.1016925,-0.09910456
1989-09-01,0.002441291,-0.1641653,-0.10094871,0.33204624,0.06764384,-0.06271879,-0.23950796
1989-10-01,-0.03434854,0.10642942,-0.024233479,-0.018914856,0.054415137,0.021230325,-0.015544269
1989-11-01,0.098241486,-0.3355661,-0.043356284,-0.11226885,-0.0828469,-0.007360101,0.6006761
1989-12-01,0.36316055,-0.7023832,-0.48163944,-0.17700975,-0.08761797,-0.11465961,0.66314864
1990-01-01,0.18230882,-0.22675692,-0.49286407,-0.19196433,-0.21146603,0.03929125,0.5231421
