,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1968-09-01,-10.086355209350586,2.4109662643500736,-11.504516778168854,-2.7043819427490234,-3.507598068403161,0.10905340313911438,1.8506210072096005
1968-10-01,-14.72785472869873,1.4581928827932902,-15.885134096498842,-5.142809823155403,-3.631093709365181,-1.0409348631558353,1.7871244563612827
1968-11-01,-19.756075143814087,-0.13116005408976758,-20.693814312970197,-7.423621416091919,-3.7419873735179072,-2.2548210130978936,1.618389029835546
1968-12-01,-24.733881950378418,-2.5106552456106455,-24.443548697012442,-10.679341107606888,-3.353321033975352,-4.823014834155775,1.3940198061078095
1969-01-01,-27.161760330200195,-3.8010584456580023,-26.528361991599752,-12.709487974643707,-2.4763659290645434,-6.361202997704075,1.2894220407619033
1969-02-01,-29.130306243896484,-4.177013997520719,-28.033805776525426,-13.806985318660736,-2.3381738559059473,-7.321053988313022,0.9270096102426219
1969-03-01,-31.119201183319092,-5.191353602068764,-29.206689198811848,-14.485211670398712,-0.6945522583049276,-7.929074274350519,0.286479301230852
1969-04-01,-30.692453384399414,-4.615203610488346,-29.073715209960934,-14.176243543624878,-0.9602384722751119,-7.8005117912815045,0.3632943609426188
1969-05-01,-27.86318063735962,-3.413431133542742,-27.146915153220846,-12.359277158975601,-1.11469989237578,-6.537068380068426,1.0831827202508617
1969-06-01,-22.899248600006104,-1.1083081364631653,-23.59552913241916,-9.90496501326561,-1.0958744132000466,-4.257892909115308,1.7931610484455909
1969-07-01,-16.542917490005493,1.3518286602837697,-16.82380746912073,-6.549461185932159,-2.799347172612729,-2.364883357531404,2.023188402486402
1969-08-01,-13.41683030128479,2.3651013416903357,-12.085416581895615,-5.032498016953468,-3.90960289084393,-1.1813245407522541,2.145383358001709
1969-09-01,-12.620413303375244,2.253536773579461,-12.35479160591408,-4.655585438013077,-5.018867617068083,-1.023609507573794,1.7679553530937018
1969-10-01,-15.64188838005066,1.1116895292486462,-17.35995963767723,-5.848371982574463,-4.914260428884755,-1.926891281180186,1.4168933657712715
1969-11-01,-20.691120624542236,-0.8058331374611173,-21.43570052252875,-8.479778468608856,-4.426377752552861,-3.469770901823697,1.273896472398625
1969-12-01,-24.575531482696533,-2.511711950813021,-24.81941646999783,-11.120882630348206,-4.260363267815631,-5.052457770256147,0.5966710351234259
1970-01-01,-27.848172187805176,-3.974944885287966,-27.158431653623225,-13.186679780483246,-3.9101890895677647,-6.468723244863014,0.16452499253805294
1970-02-01,-29.155654907226562,-4.832377178328377,-27.905570136176213,-14.158874750137329,-3.137780013291732,-7.229897094099489,-0.28233935666638754
1970-03-01,-30.21949529647827,-5.35319766827992,-28.907443858959056,-14.621390402317047,-3.2891651858454165,-7.657908740108961,-0.5735835190429244
1970-04-01,-29.366750717163086,-4.743771042142595,-28.447059348777486,-13.582392036914825,-2.716642359028692,-7.266243189981539,-0.10970026947731196
1970-05-01,-26.57839298248291,-3.5071449620383124,-26.12070154260706,-11.630678921937943,-3.9938926696777344,-6.088187596569322,0.3346261486064556
1970-06-01,-21.479127407073975,-0.9050099977425166,-21.74992384733977,-8.906815201044083,-4.97485295585964,-4.2729991756073415,1.1730538967043855
1970-07-01,-14.520437717437744,1.0564540645905902,-15.407014776159215,-5.723998695611954,-6.81758859883184,-2.508973912016986,1.2348348318144333
1970-08-01,-10.356272459030151,2.1035397159201756,-10.675399391739456,-3.5929039120674133,-7.487762492635976,-0.6922405060023478,1.4104138557301011
1970-09-01,-10.87430477142334,1.977332415325301,-11.008520479555482,-3.259408101439476,-6.86833029207976,-0.5388843278362326,1.1055221997721252
1970-10-01,-14.662338495254517,0.9479126493845667,-14.819434837058738,-5.461879074573517,-6.754044864488685,-1.4284055526942423,0.7965688927229061
1970-11-01,-19.05726909637451,-0.9639775646584373,-19.091413639209886,-7.747713476419449,-7.562734769738238,-2.982213072580834,0.04417887607286143
1970-12-01,-22.393476963043213,-2.471070098025458,-22.405299433955438,-9.552499651908875,-7.789963224659795,-4.337397013625053,-0.48121053119038426
1971-01-01,-26.345744132995605,-3.837212281567709,-25.38373028790509,-11.894207447767258,-6.407118880230447,-6.005718283457299,-0.6397990362588749
1971-02-01,-27.70744800567627,-4.214479880673545,-26.263427734375,-13.131728768348694,-5.017778147821841,-6.748671727637722,-0.8515484596407691
1971-03-01,-28.921868801116943,-4.484306488718305,-27.277981793438943,-13.639591634273529,-4.028326013813848,-7.245312651542768,-1.141817943994389
1971-04-01,-28.99019718170166,-4.434173873492649,-27.500890802454062,-13.515971601009369,-2.3559261923250943,-7.230893226519023,-0.6012640206879655
1971-05-01,-26.833651065826416,-3.2728047243186404,-25.738802662602176,-11.805616319179535,-3.7045901236326797,-5.935064733844914,0.028453545514927354
1971-06-01,-21.134119033813477,-1.1832096480897494,-21.37415497391312,-8.60866829752922,-4.138418643370918,-4.155397088560339,0.5692753403685814
1971-07-01,-14.346425533294678,0.8568125643900462,-14.30048589353208,-5.540794879198074,-3.795016589372054,-2.0624936443485624,1.5207547365232956
1971-08-01,-10.365287065505981,1.900570946080344,-11.093990891068069,-3.3901911228895187,-5.195005043693211,-0.5489976847008483,1.5875321765278663
1971-09-01,-10.247433185577393,1.8020024789231162,-11.68940332200792,-3.1957563012838364,-6.631171185037364,-0.36560190867071285,0.9391066085460574
1971-10-01,-14.353280067443848,1.0500545214329446,-15.581975159821686,-5.068626254796982,-5.776092798813529,-1.402773432535668,0.8338823013527449
