,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11
1971-08-01,23.093292,15.68573,11.370453,27.946686,21.673157,15.54541,24.989777,19.712433,25.515045,17.098969,13.97406
1971-09-01,22.85907,15.361084,11.264709,27.916046,20.960602,15.551819,24.916168,19.644226,25.628693,17.325256,13.243225
1971-10-01,23.701569,16.157623,11.690155,28.197693,21.265503,16.4393,24.727386,20.233246,26.080841,18.03189,14.104004
1971-11-01,24.179413,17.344543,12.411591,28.69281,21.449799,17.34552,24.86972,21.344543,26.966309,18.990997,15.283997
1971-12-01,25.21164,18.936646,13.655334,28.707153,21.82138,18.982086,24.816345,22.890686,27.478241,20.688354,16.872162
1972-01-01,26.2052,20.042084,15.329041,28.918732,23.44046,21.543762,25.363007,24.499786,27.70401,23.10617,17.97467
1972-02-01,26.63272,20.582977,15.853668,29.265442,25.684387,22.294617,26.408905,25.29892,28.515564,23.767578,18.564331
1972-03-01,26.758026,20.499298,15.845062,29.077515,26.856537,21.887634,27.21283,24.98471,28.533264,23.31662,18.283112
1972-04-01,26.29892,19.407959,15.585846,29.45102,27.320435,21.707794,28.154968,24.570068,28.82309,22.893372,17.11621
1972-05-01,25.65857,17.68103,13.897644,29.261139,26.907715,20.168335,28.08612,23.4682,28.17218,21.672424,15.3333435
1972-06-01,24.615509,16.687714,12.909119,28.675781,26.235321,19.332397,27.604523,22.320435,27.576294,20.522736,14.507874
1972-07-01,23.667175,16.252045,12.224762,28.076538,25.552856,17.562408,27.134888,21.27835,26.667175,18.943573,14.271637
1972-08-01,23.5672,15.202759,11.235748,28.22815,25.38739,16.769012,26.920624,21.02298,26.246796,18.287903,13.38736
1972-09-01,23.141083,15.274017,10.051636,28.22528,24.428528,16.781921,26.867065,21.110962,26.305145,18.647064,13.526062
1972-10-01,23.51651,15.885712,10.966034,28.64566,24.347687,17.141571,26.664307,21.249176,26.462006,18.947388,13.790039
1972-11-01,24.058838,17.444763,11.81778,28.986633,24.713074,18.41272,26.92398,22.039215,26.859894,20.338135,15.245331
1972-12-01,24.85559,18.224304,14.040161,29.469666,25.499786,19.96463,27.1875,22.70398,27.97754,21.25586,15.753693
1973-01-01,25.923767,20.114136,16.207886,29.534912,26.0466,20.98111,27.561615,23.555359,28.164032,22.158295,17.653015
1973-02-01,26.420868,21.29712,16.933594,29.40625,26.545135,21.345673,27.853851,24.43689,28.440735,22.894684,18.749115
1973-03-01,26.527649,20.937439,15.960297,29.377136,26.825226,21.040344,27.874237,24.2471,28.638794,22.43451,18.877258
1973-04-01,26.47815,19.916565,14.644287,29.368896,26.18155,20.447144,27.575714,23.888367,28.971313,22.15976,17.706879
1973-05-01,25.847565,18.598633,13.34964,29.135864,25.075256,19.468018,27.463074,22.996155,28.022797,21.17868,16.200104
