,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1968-10-01,-0.024518311,0.027555496,1.2219429,0.01888892,-0.066809714,-0.39234543,-0.42935503,-0.061416328
1968-11-01,-0.035528213,0.023389608,0.84641623,0.032762885,-0.0026101172,-0.1141969,-0.26867014,-0.08726728
1968-12-01,-0.073839664,0.024989009,1.0870717,0.025472552,0.015280962,0.0376727,-0.26182616,-0.09336734
1969-01-01,-0.05970651,0.031554878,0.12729782,0.052231252,0.011387706,0.06689829,-0.35482913,-0.057007372
1969-02-01,-0.07330406,0.018161058,0.52783954,0.017549932,0.009961784,-0.002820909,-0.1414445,-0.056549013
1969-03-01,-0.037247658,0.0050727725,0.67878747,0.031300247,0.021063864,-0.01789534,-0.34112972,-0.053085983
1969-04-01,-0.025789082,0.021929622,1.4918387,0.029466867,-0.022529721,-0.17449623,-0.17897779,-0.050335944
1969-05-01,0.004207015,0.019536078,2.1660118,0.023253739,-0.01025629,-0.30374926,-0.38380665,-0.05741477
1969-06-01,0.0048181415,0.031096518,1.630055,0.031300247,-0.0014968514,-0.4154833,-0.26677614,-0.04096532
1969-07-01,0.025698245,0.022031486,2.565484,0.048870087,-0.07101232,-0.26117414,-0.15840322,-0.11873108
1969-08-01,0.011184037,0.028244615,1.6171196,0.046527445,-0.031340122,-0.33420366,-0.22980303,-0.05695647
1969-09-01,0.009197891,0.019281447,2.014402,0.04204583,0.012202561,-0.16828305,-0.24350244,-0.115115225
1969-10-01,-0.025483489,0.023253739,1.4554768,0.020452738,0.006498754,-0.13640279,-0.47542447,-0.05899352
1969-11-01,-0.019830585,0.025901973,1.1039779,0.012457192,0.024985254,-0.16767198,-0.32956928,-0.051812828
1969-12-01,-0.057465732,0.019994438,0.26439363,0.033642888,0.010216415,0.038379073,-0.40178388,-0.052220225
1970-01-01,-0.052436292,0.030774295,0.7329223,0.012452722,0.03526491,-0.0404464,-0.4621125,-0.059800804
1970-02-01,-0.05113399,0.020625591,0.29154262,0.018245578,0.038587928,0.09539384,-0.4336421,-0.1440891
1970-03-01,-0.029085219,0.0012711287,0.5843737,0.028484106,0.007557988,-0.018352747,-0.32766432,-0.05598384
1970-04-01,-0.025717258,0.0254305,0.89476305,0.01514703,-0.027872741,0.009084761,-0.35644895,-0.075966954
1970-05-01,0.007962108,0.03468108,1.4899902,0.020445943,-0.00021076202,-0.3077261,-0.3583799,-0.032812417
1970-06-01,0.00926441,0.030415058,2.153205,0.01514703,-0.02050817,-0.43992895,-0.2233929,-0.046643436
1970-07-01,0.015506327,0.020670474,1.6685808,0.028394282,-0.02136141,-0.35945767,-0.16276997,-0.060698926
1970-08-01,0.0037858486,0.028618813,1.450563,0.027226746,-0.009326637,-0.24907905,-0.395562,-0.066940844
1970-09-01,-0.0048360825,0.020086706,1.1680152,0.034321845,-0.042601883,-0.22694045,-0.5535857,-0.054995894
1970-10-01,-0.021226704,0.02394861,0.85785043,0.01954782,-0.028636158,-0.35344023,-0.64806765,-0.08050245
1970-11-01,-0.017858744,0.019233465,0.68177456,0.025699914,0.015281796,-0.17682552,-0.5941805,-0.07673031
1970-12-01,-0.06388724,0.02183801,1.3941611,0.021523714,0.04429096,0.037330568,-0.16268015,-0.088360965
1971-01-01,-0.08920705,-0.014536023,0.6795396,0.03313923,0.053491294,-0.0143021345,-0.3048454,-0.04457289
1971-02-01,-0.13683558,0.02041334,0.50619614,0.023267329,0.03285855,-0.038303494,-0.4135301,-0.047941506
1971-03-01,-0.04887724,0.02158302,0.48008937,0.026776314,-0.0002194047,-0.122706115,-0.36028725,-0.09655255
1971-04-01,-0.026419759,0.030753136,0.6669073,0.020694077,-0.018559694,-0.16977322,-0.41081655,-0.088926375
