,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8
1970-02-01,-5.4121003e-05,-1.4156511e-05,-9.100171e-05,-6.291321e-05,-3.9574734e-06,-7.556579e-05,-4.0382554e-05,-2.2858472e-05
1970-03-01,-5.0839288e-05,-1.7851482e-05,-9.5506985e-05,-6.379644e-05,-1.710865e-05,-7.287559e-05,-3.389205e-05,-2.6901871e-05
1970-04-01,-5.2338342e-05,-5.7618017e-06,-8.410606e-05,-5.740317e-05,-5.055954e-07,-6.6198714e-05,-4.0244802e-05,-2.6942384e-05
1970-05-01,-5.6227782e-05,-1.2949164e-05,-0.000103917904,-6.3569554e-05,-1.7696657e-06,-7.497427e-05,-4.0601335e-05,-2.45601e-05
1970-06-01,-3.9608523e-05,-9.440562e-06,-9.651176e-05,-6.1851715e-05,3.91054e-06,-8.819027e-05,-4.5082295e-05,-3.3262728e-05
1970-07-01,-3.311802e-05,-1.42051285e-05,-8.930819e-05,-6.156001e-05,1.8361716e-06,-7.665969e-05,-3.261988e-05,-2.290709e-05
1970-08-01,-4.9510396e-05,-1.2163171e-05,-8.58077e-05,-6.5263084e-05,-1.105218e-06,-8.056534e-05,-3.068326e-05,-2.3255518e-05
1970-09-01,-5.219249e-05,-1.1685097e-05,-8.820618e-05,-5.8181056e-05,2.2170134e-06,-7.3548144e-05,-4.017998e-05,-2.318259e-05
1970-10-01,-5.8966598e-05,-7.730829e-06,-8.9907815e-05,-7.6429016e-05,4.2508655e-06,-6.853238e-05,-3.8543174e-05,-2.8344202e-05
1970-11-01,-6.478456e-05,-1.0696531e-05,-8.055694e-05,-7.279887e-05,-1.9768049e-07,-7.871786e-05,-4.1306295e-05,-2.8838487e-05
1970-12-01,-5.719204e-05,-2.7858689e-05,-8.930819e-05,-5.9558566e-05,-1.0553318e-05,-6.2827865e-05,-3.9434504e-05,-2.8473853e-05
1971-01-01,-5.7188186e-05,-2.4535679e-05,-9.0172005e-05,-6.447373e-05,-1.0630669e-05,-6.899102e-05,-4.497535e-05,-2.8440332e-05
1971-02-01,-5.601073e-05,-1.7694827e-05,-8.707911e-05,-7.004592e-05,-1.29358305e-05,-7.2125375e-05,-4.104497e-05,-2.6591228e-05
1971-03-01,-5.2478365e-05,-1.732169e-05,-9.3065886e-05,-6.535268e-05,-7.007093e-06,-9.559986e-05,-4.4278826e-05,-2.373051e-05
1971-04-01,-5.929434e-05,-1.2877208e-05,-9.301613e-05,-6.492979e-05,3.0639785e-07,-8.473742e-05,-4.758731e-05,-3.266093e-05
1971-05-01,-4.7055433e-05,-1.0621803e-05,-9.0097376e-05,-5.9382484e-05,-1.2939454e-06,-8.142894e-05,-3.405486e-05,-2.6914615e-05
