,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8
1973-06-01,5.80151,40.21458,16.075344,48.859314,20.223633,36.393097,48.01849,17.970486
1973-07-01,8.346977,44.09683,32.29243,30.114826,21.514431,43.932606,25.711988,9.941589
1973-08-01,9.366806,52.01077,17.341507,48.064472,14.828888,32.003395,33.81807,17.596054
1973-09-01,8.250088,45.914787,15.940681,39.585606,18.055882,35.30265,38.51651,13.204716
1973-10-01,8.177826,51.818626,41.37893,54.98486,15.415165,28.95048,47.21215,18.072304
1973-11-01,16.347954,59.586407,63.690353,45.942703,33.118477,39.570824,32.405746,23.55409
1973-12-01,16.929306,34.76728,49.98589,31.04926,25.65451,32.719414,44.20193,51.163372
1974-01-01,25.940144,22.286324,45.884945,24.708982,24.813095,34.14843,46.947544,46.76907
1974-02-01,19.106789,26.7499,59.554962,33.1602,20.28672,35.804302,55.5855,47.29954
1974-03-01,22.84489,41.64942,47.172295,41.033016,17.047695,37.87992,52.954617,44.24891
1974-04-01,13.112938,56.562164,37.72293,52.055622,17.943382,36.399223,58.416344,14.910927
1974-05-01,7.7735023,43.29703,27.450588,42.629395,27.817457,34.462418,58.964996,9.212883
1974-06-01,8.237873,62.184193,18.229279,53.36115,16.269337,22.074795,47.23344,12.119747
1974-07-01,12.633694,56.895985,8.979874,45.86181,13.957397,37.40564,28.962685,7.8875275
1974-08-01,6.5357285,58.044518,6.4878044,52.95627,22.506115,29.048618,31.520855,5.466522
1974-09-01,12.271782,56.13415,15.973526,40.819836,18.305294,38.241837,37.483307,9.090595
1974-10-01,9.85408,58.08418,16.855995,54.3279,21.797165,46.02376,44.562897,11.384354
1974-11-01,12.430428,50.641026,53.28513,46.579025,42.78804,36.27198,52.55139,36.174477
1974-12-01,19.25552,45.175995,47.160725,46.460037,28.05708,28.754461,51.20951,45.68994
1975-01-01,25.618816,45.903896,59.54636,30.648108,29.9929,33.02694,81.29166,46.848843
1975-02-01,18.735851,40.654007,49.792336,40.211166,24.212921,45.4413,61.77538,22.838303
1975-03-01,21.172298,42.32495,58.975113,53.41079,19.033821,37.55906,69.050156,32.646652
1975-04-01,15.165138,53.517796,52.60248,42.47476,24.31005,38.73448,54.09563,16.241783
1975-05-01,6.714943,59.89866,48.677826,42.50933,30.918093,24.275478,50.92166,9.179375
1975-06-01,5.942852,64.10482,16.69944,48.272846,19.242893,29.30806,30.259592,5.5082397
1975-07-01,13.532059,57.66305,18.816517,42.33812,10.537533,29.51055,45.7047,6.85981
1975-08-01,10.089752,53.774612,9.77861,47.033222,11.294807,33.030228,39.307377,8.351311
1975-09-01,7.269726,52.373653,10.277424,43.65018,15.23922,45.864388,41.459023,9.139866
1975-10-01,6.410385,54.843025,17.066555,44.626404,19.335087,45.922005,22.897568,23.411198
1975-11-01,13.943619,50.156155,32.11821,38.25707,19.172108,38.360783,60.10279,28.394392
1975-12-01,20.73769,41.625294,48.83751,34.740685,22.38723,41.235134,58.305088,48.96098
1976-01-01,42.667107,33.705887,53.26346,34.760437,22.368233,42.84751,71.64839,44.687645
1976-02-01,27.03253,35.21965,45.038616,41.646996,24.242807,48.418755,80.148766,54.221245
1976-03-01,24.247728,39.841305,33.459877,40.904057,35.30001,50.403214,59.740005,39.223007
1976-04-01,24.191967,47.078835,34.343864,34.763718,23.786875,19.649033,59.354595,25.03823
1976-05-01,8.104736,55.669407,33.88793,40.3284,29.846851,30.251944,60.1861,15.507912
1976-06-01,7.043625,53.33562,23.371943,42.366978,21.325165,25.482685,46.929592,10.6369705
1976-07-01,6.7402153,46.88203,9.344612,42.567062,28.595495,17.598972,58.2,7.0518265
1976-08-01,7.360153,56.0745,16.74123,48.167828,24.702023,21.840137,50.101444,9.511898
1976-09-01,4.0866203,55.27252,6.969822,41.02214,23.842636,23.99024,41.091022,7.340473
1976-10-01,7.758686,53.524223,29.322037,51.382324,29.914095,48.394154,44.930374,11.2224655
1976-11-01,6.3138046,54.28029,36.161037,42.611347,20.473976,38.37838,51.771015,15.893326
1976-12-01,14.451721,52.187588,59.585842,34.466866,23.004572,25.213717,57.917915,31.805069
1977-01-01,9.667965,47.8374,51.508785,38.21544,28.941124,19.64569,82.3257,50.251415
1977-02-01,29.769623,38.832752,47.445892,31.79376,9.185486,31.420124,52.754784,38.615067
1977-03-01,31.467234,38.130966,60.308743,32.11054,25.95203,24.386005,62.626915,36.181557
1977-04-01,12.999832,45.53547,33.619705,32.484177,22.451216,23.39343,53.87732,34.753613
1977-05-01,6.625263,53.234013,33.71393,53.404587,27.841333,34.86733,60.820465,15.605541
