,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11,ssta20_cluster12
1972-06-01,0.4172058,1.983429,-0.15908813,-3.5880737,-8.205017,-0.60336304,-1.0749207,1.8270569,1.3182068,1.1699524,-4.469452,0.2947693
1972-07-01,0.37579346,1.8482971,-0.09716797,-4.314789,-3.927887,-0.16653442,-1.6323242,2.895172,1.916687,1.8033447,-2.0082397,0.9917908
1972-08-01,0.49368286,1.5941162,0.0121154785,-4.855896,-2.3460999,0.5735779,-1.6057739,3.308136,2.2368774,2.0393677,-0.5436096,0.81411743
1972-09-01,0.6079407,1.5802307,-0.11895752,-5.7172546,-3.7349548,0.89871216,-2.5747375,2.5931396,2.6868591,2.1976318,-0.97836304,0.7523804
1972-10-01,0.888855,1.2537537,-0.9217529,-5.69223,-5.755829,0.5354309,-3.0527954,2.33313,1.9003296,1.6760254,-3.5468445,0.77838135
1972-11-01,1.3200073,1.6576538,-0.6312256,-5.668518,-8.204651,-0.3988037,-2.5843506,1.8355408,1.6021729,0.96035767,-4.899048,0.09811401
1972-12-01,2.0999756,1.4620056,-0.4031372,-4.259674,-11.211884,-0.9899597,-1.5064392,1.4299622,1.1477966,0.59399414,-6.151123,-0.30749512
1973-01-01,2.579773,1.3011475,0.050201416,-3.3890686,-12.69577,-1.4954224,-1.1410522,1.2035828,0.75164795,-0.10513306,-7.5414734,-0.4614563
1973-02-01,2.3088074,1.2112427,0.3467102,-2.2683105,-13.422546,-2.1081238,-0.77124023,0.8496094,0.63116455,-0.17755127,-8.209015,-0.8358154
1973-03-01,2.132904,1.9169006,0.16012573,-1.9384155,-12.887787,-2.371399,-0.49520874,0.5270996,0.67370605,-0.16415405,-8.466003,-0.49813843
1973-04-01,1.6497498,2.3070068,-0.109954834,-2.2225342,-12.786987,-2.5439148,-1.4793396,0.028411865,1.3681946,0.0050964355,-8.379761,-0.30944824
1973-05-01,1.3105469,1.750824,-0.24429321,-2.7034912,-11.034454,-2.1088562,-2.811737,0.5289917,1.5318909,0.55422974,-7.292267,0.034820557
1973-06-01,1.5672913,1.5109863,-0.27926636,-3.1671143,-7.11026,-1.1778259,-3.6374817,0.37701416,1.96875,1.7590332,-4.5078735,1.022644
1973-07-01,1.4055481,1.7565308,-0.60510254,-4.2671814,-4.2526245,-0.15072632,-5.0715637,0.9099426,2.4147644,2.3638,-2.1958618,1.690033
1973-08-01,1.5881958,1.7542114,-0.87002563,-4.896179,-2.5282593,0.82559204,-6.0155945,0.23239136,2.967804,2.9134216,-1.0535278,1.6751099
1973-09-01,1.7829285,1.7125549,-1.31073,-5.287384,-2.9034119,1.0717773,-6.5373535,-0.35488892,3.310089,2.921753,0.08682251,1.8208008
1973-10-01,2.3337402,1.6007385,-1.3934021,-5.4540405,-5.3292847,0.66192627,-6.3477173,-0.5594177,3.0167542,2.414795,-1.805542,1.8162842
1973-11-01,2.6759949,1.4444275,-1.2880554,-4.909851,-7.606415,0.07940674,-5.481201,-1.0846558,2.912384,2.2512207,-3.9559937,1.2978516
1973-12-01,3.2075195,1.5944214,-1.1157227,-4.1195984,-9.0035095,-0.817688,-4.692871,-1.59729,2.6011963,2.0308228,-5.6438293,1.0541382
1974-01-01,3.2237854,1.3182678,-0.88583374,-2.7688293,-10.895538,-1.0527344,-3.552948,-2.0448914,2.359375,1.5811157,-6.7472534,0.70007324
1974-02-01,2.4368286,1.435852,-0.6737671,-2.018341,-11.537628,-1.2293091,-1.579773,-1.5915222,1.8646545,1.2395935,-7.691345,0.0932312
1974-03-01,2.1807556,1.5938721,-0.8231201,-1.9078064,-11.779999,-1.4756165,0.13378906,-1.5769348,1.6907959,0.49453735,-8.378632,-0.72720337
1974-04-01,1.826294,1.7616882,-0.67785645,-2.076294,-12.476624,-1.7488098,0.039215088,-0.72387695,1.7411194,0.9011841,-8.14624,-1.1315918
1974-05-01,1.338623,1.6322937,-0.41223145,-2.8556824,-10.659332,-1.6691895,-1.0441284,0.0072631836,1.7027893,1.0826416,-6.484619,-0.5864868
1974-06-01,1.2008972,1.3873901,-0.4838562,-3.3869324,-7.4299927,-1.0961914,-2.1965332,0.64779663,2.3325806,1.8695374,-4.2464294,0.2669983
1974-07-01,1.3477478,1.515625,-0.70706177,-3.929779,-4.3561096,-0.11627197,-3.4814148,0.64682007,2.8156738,2.4891968,-2.3145142,1.3262024
1974-08-01,1.507721,1.5811157,-0.83688354,-4.604828,-2.3625488,0.8346863,-4.7178955,1.3868103,2.9619446,2.9394226,-0.90734863,1.1464844
1974-09-01,1.5960388,1.1907654,-0.9967041,-5.3588867,-3.7984314,1.0179749,-5.0417175,0.9161682,2.862793,3.1623535,-1.2164612,1.2406921
1974-10-01,2.5177612,1.2382812,-0.79696655,-5.6226807,-6.063202,0.52853394,-5.642273,0.00039672852,2.770813,3.0742798,-2.705902,1.3165894
1974-11-01,2.9508667,1.7037048,-0.7779236,-5.4700317,-8.9878845,-0.08337402,-5.067688,0.10800171,2.697815,2.1970825,-4.03833,0.9880676
1974-12-01,3.0990906,1.7221985,-0.59643555,-4.4867554,-10.305115,-0.7946472,-4.412842,-0.4671936,2.2190247,1.7427673,-5.4573975,0.925354
1975-01-01,2.9806213,1.530365,-0.15322876,-3.6802979,-11.042725,-1.7086182,-3.4341736,-0.77508545,1.8684082,0.98349,-6.8377075,0.5619812
1975-02-01,2.3893127,1.2808838,-0.048187256,-2.6803894,-11.9574585,-1.8081665,-1.5493469,-0.51919556,1.5382996,0.41055298,-8.024017,0.0569458
1975-03-01,2.3944702,1.6943359,-0.12600708,-1.8025513,-12.390778,-2.4178162,-0.44613647,-0.41973877,1.2742615,0.69247437,-7.873169,-0.28112793
1975-04-01,1.9997253,2.171814,-0.24447632,-2.201538,-11.260803,-2.3783264,-0.31188965,-0.26004028,1.041687,0.3816223,-7.52536,-0.40524292
1975-05-01,1.7846069,1.8345947,-0.44308472,-2.9027405,-9.432098,-2.222412,-2.250702,-0.19696045,1.769043,1.0953064,-5.961609,-0.079589844
1975-06-01,1.4024048,1.5047302,-0.62301636,-3.8351135,-7.2362976,-1.3528442,-3.30896,0.40524292,2.1228027,1.6376648,-4.0039062,0.69992065
1975-07-01,1.4894104,1.8684692,-0.5487366,-4.8504333,-3.7868042,-0.6246643,-4.0602417,0.48660278,2.5384216,2.4389343,-1.2224731,1.1183777
