,mgu50_cluster1,mgu50_cluster2,mgu50_cluster3,mgu50_cluster4,mgu50_cluster5,mgu50_cluster6,mgu50_cluster7,mgu50_cluster8,mgu50_cluster9,mgu50_cluster10,mgu50_cluster11,mgu50_cluster12
1971-07-01,0.054219056,-0.77148134,0.40664405,-1.1163933,-1.6589123,-0.31323013,-2.827891,0.700277,0.75776255,-0.07316284,-0.31812972,0.84823686
1971-08-01,-0.76364154,-0.8965767,0.6643486,-0.9132347,-1.6902676,-0.7460043,-1.6562992,0.8570549,1.1128006,-0.33805388,-0.46837577,0.8711006
1971-09-01,-0.58106005,-0.8077362,0.48503342,-0.74829066,-1.6112248,-0.4876461,-1.4090464,0.8420311,1.3166122,-0.088841245,0.17147636,0.77442014
1971-10-01,-0.0816555,-0.96582067,0.45139122,-0.51998174,-1.1973953,0.4752346,-1.5027869,0.8590153,1.1281517,-0.26554337,0.46314964,0.4265682
1971-11-01,-0.035928346,-1.0187336,0.605883,-0.3331539,-1.5677845,0.77115405,-0.36940917,0.62613374,1.5200974,0.05552559,0.7910778,-0.28938675
1971-12-01,-0.48993263,-0.6509571,0.24823228,-0.78977126,-1.3411089,1.5400217,-0.02678299,0.5180222,1.1941292,-0.23092155,1.0203663,0.124443054
1972-01-01,-0.612281,-0.7020861,0.72848207,-0.92674255,-1.2644436,1.4767624,-0.20371112,0.32106057,1.5766094,0.011476899,1.1545544,0.074885175
1972-02-01,-0.9970371,-1.1852547,0.4693962,-0.7941872,-1.076513,1.540745,-0.2671198,-0.14604111,1.308342,-0.15780449,1.4601212,0.33138925
1972-03-01,-1.0986058,-0.67999345,0.48001176,-0.6926178,-0.93994063,1.2865366,0.6943394,0.08205833,1.1674659,-0.22953339,1.9295177,0.008033752
1972-04-01,-1.1582844,-0.78701365,0.16009979,-0.7772587,-1.3069074,1.1950098,0.16325608,0.33970985,1.049543,-0.222361,1.7017053,0.1801838
1972-05-01,-0.6030998,-0.31819114,-0.06369553,-0.9201431,-1.8130295,0.94539183,-0.6002306,0.02266655,0.5064087,0.097551726,1.2968655,0.17014161
1972-06-01,-0.022953415,-0.114766695,0.107307054,-1.3806454,-0.59592706,0.32048646,-1.658094,0.24445343,0.23842812,0.14489365,0.1331295,0.44127846
1972-07-01,-0.6613442,0.29552537,-0.33052826,-1.6526428,-0.50870436,-0.81886137,-1.3117851,0.415456,0.043898392,0.1985466,-0.8472664,0.5144421
1972-08-01,-0.6903225,0.3047058,0.03701248,-0.91153604,-0.41373444,-0.9740833,-0.84956205,0.75545275,0.087509535,0.08062439,-0.62834895,0.73909837
1972-09-01,-0.49407157,0.5996567,-0.32421646,-1.0331886,-0.03529129,-0.31474838,-0.40512696,0.610273,-0.62834895,0.50899124,-0.6358086,0.8911644
1972-10-01,-0.34831733,0.95055616,-0.23182908,-0.73737717,0.34688264,-0.1015686,-0.12366104,0.27199745,-0.48976746,0.8105408,-0.6237572,0.2731453
1972-11-01,-0.10185585,1.3531014,-0.6432686,-0.75057524,0.6917572,-0.021231841,0.064842984,0.9657631,-0.6894623,1.059872,-0.51300734,-0.11476688
1972-12-01,-0.53366584,1.3619957,-0.7204491,-0.851857,0.9092407,-0.025823211,0.07115555,0.47140503,-0.64298093,0.8119755,-0.32880706,-0.27171078
1973-01-01,-0.65876997,1.5844879,-0.72694016,-1.0298859,0.408387,0.47528228,0.34149018,0.31982842,-0.40297088,0.987199,0.04969406,0.09492912
1973-02-01,-0.91902846,0.78714716,-0.5517357,-1.0499542,0.4743271,0.8989601,0.5176506,0.29052144,0.105760194,0.8610519,0.7536995,-0.117227934
1973-03-01,-0.9046936,0.567345,-0.44820556,-1.1560329,-0.19431801,1.0429462,0.67374194,0.74446106,0.50586396,1.2987454,1.3793396,0.02006874
1973-04-01,-0.84161985,-0.013060761,-0.55619586,-0.56734467,-0.9750942,0.700819,0.45043564,0.3319336,0.54854965,0.18953972,1.376791,-0.0012741089
1973-05-01,-0.5835913,-0.41794282,-0.04969444,-0.97222745,-1.8683201,0.5472759,-0.47528285,0.5679821,0.78714716,0.29306984,1.2296193,0.29912263
1973-06-01,-0.6157652,-0.6973152,0.37302703,-0.9572552,-1.9989274,0.15641002,-1.6290859,0.7721752,0.91233903,0.1901764,1.1776946,0.46317786
1973-07-01,-0.7390455,-0.6473015,0.6839355,-1.256696,-2.0266414,-0.71802104,-2.2461252,0.6138538,1.265934,-0.024528503,0.9244442,0.6772461
1973-08-01,-0.98050976,-0.7237549,0.3720711,-0.9951633,-1.7415352,-0.38959178,-2.5299568,0.71069413,1.0257442,-0.12869568,0.8307892,0.87602425
1973-09-01,-0.8569107,-0.8750679,0.56638944,-0.6297817,-1.808432,-0.35104674,-2.115518,1.1181252,1.6861073,0.06657791,1.096782,0.7189766
1973-10-01,-0.70018196,-0.4462944,0.49025458,-0.8024376,-1.5121765,0.1818945,-1.0601485,0.7078274,1.6462879,0.0041412353,1.6262188,0.63264847
1973-11-01,-0.60302275,-0.42017287,0.17329368,-0.8225071,-1.1684567,0.64953196,-0.52656996,0.38322067,1.3994083,0.2596218,1.6306785,0.33352622
1973-12-01,-0.82027704,-0.026758194,0.31664276,-0.69827044,-1.0789429,0.44884282,0.22808476,0.6883953,1.5131321,0.05606575,1.2646602,0.046827696
1974-01-01,-0.86485064,0.03352928,0.7008209,-0.81225586,-1.0285509,0.58938676,0.689974,-0.21465111,1.5801353,0.07659073,1.5328007,0.24587937
1974-02-01,-0.8178444,-0.3458088,0.7087105,-0.7925331,-1.194223,0.766893,0.5923454,0.24193458,1.715895,0.039774705,1.59427,0.105846025
1974-03-01,-0.9276352,-0.6235733,0.3490959,-1.035125,-0.8231037,0.97727126,0.6682789,-0.026625823,1.3201214,0.031556703,1.289222,-0.36158714
1974-04-01,-0.38788414,-0.28006554,0.15548249,-0.9703682,-1.7481086,0.88457334,0.23798981,0.3490959,0.9660946,0.23536034,1.5613987,0.035172652
1974-05-01,-0.9378252,-0.11636505,0.39314383,-0.51279604,-1.5038735,0.5302181,-0.65250015,0.5433666,0.28598252,0.2383194,0.99140584,0.30932158
1974-06-01,-0.8694525,-0.062784575,0.1646862,-0.74486923,-0.7281052,-0.4375202,-1.2159188,0.4536274,0.36553153,0.29255676,-0.09138298,0.38591155
1974-07-01,-0.7521011,0.05653839,0.011833573,-1.2080295,-0.7787277,-0.8076542,-1.2093445,0.53054655,0.26625937,0.21366501,-0.55487216,0.4605301
1974-08-01,-0.84216917,0.10748978,-0.30439073,-1.1869919,-0.7123268,-0.3842682,-0.7392815,0.7313919,-0.16238555,0.1992012,-0.52594453,0.9023247
1974-09-01,-0.42502937,0.25146714,0.30767745,-0.9177734,-0.6041786,-0.12162475,-0.09795685,0.62488824,-0.003944397,0.36881867,-0.30143204,0.8069965
1974-10-01,-0.638694,0.5298897,-0.22385482,-0.5857704,-0.16895981,0.08809586,-0.060154725,0.7918755,-0.2928856,0.7918755,-0.10946274,0.05522423
1974-11-01,0.3267433,0.85268784,-0.60779494,-0.7024647,-0.08250733,0.19821548,-0.04404831,1.2287384,-0.11143494,0.7419106,0.24029084,-0.11899491
1974-12-01,-0.3040619,1.0939652,-0.7172569,-1.0347965,0.015778352,0.22582702,0.26231462,0.9049538,-0.048978426,0.82639086,0.28828353,-0.084479906
1975-01-01,-0.19318084,1.2205269,-0.5228561,-0.7724091,0.27077025,0.5494591,0.37907943,0.3280918,0.051937103,0.89433515,0.4668022,0.04718704
1975-02-01,-0.67645186,1.0453964,-0.43449935,-1.0130936,0.48960418,0.6308487,0.59284514,0.6507996,0.16942978,0.9988426,0.41898194,-0.38889655
1975-03-01,-1.1305863,1.3456192,-0.5383743,-1.157188,0.8056618,0.49435502,0.37559587,0.37369537,-0.04180298,0.7233219,0.29832307,-0.27140388
1975-04-01,-0.73788947,1.1470547,-0.7277557,-0.9253704,0.58967894,0.18494721,0.10007401,0.17956391,-0.40979767,0.98205835,0.14757767,-0.10387459
1975-05-01,-0.36482772,1.1084182,-0.75214005,-0.98237497,-0.28438872,0.23023453,-0.5253906,0.424049,-0.4085312,0.8363808,-0.26538697,0.42689896
1975-06-01,-0.10419121,0.38002855,-0.116858676,-1.1847404,-1.4574112,0.15074463,-0.7556244,0.42278212,-0.18431397,0.7568909,0.077589415,0.3971302
1975-07-01,-0.5247568,-0.50322115,0.06460495,-0.82117957,-2.0090866,-0.4395668,-0.73978996,0.8563324,0.5209564,0.04877014,0.063338086,0.7261726
1975-08-01,-0.73947334,-0.99662626,0.47883683,-0.9073189,-1.974884,-0.02406845,-0.79521066,1.0248115,0.9199867,-0.27520448,0.48548698,1.0096099
1975-09-01,-0.3163742,-1.0197442,0.5865116,-0.72617227,-2.09586,0.06555481,-0.044970322,1.0007427,1.2892482,-0.18684693,0.42278212,1.0206947
1975-10-01,-0.51177216,-1.2825978,0.4414673,-0.7939442,-1.9498653,0.38414612,-0.37527865,0.9852249,1.3776047,0.10292511,0.79742736,0.72363853
1975-11-01,-0.43861693,-1.0694649,0.39269638,-0.8550655,-1.4764125,0.57986104,-0.20014858,0.7781094,1.4691292,-0.41169816,1.325351,0.3565937
1975-12-01,-0.39206353,-0.49593812,0.20679931,-0.7220551,-0.8620323,1.1790397,0.3081402,0.5364742,1.149588,-0.13712731,0.8192795,-0.049087144
1976-01-01,-0.64420164,-0.7215729,0.67279434,-0.7858246,-0.75958556,0.7750599,0.44000778,0.24859771,1.6971257,-0.11908455,0.582304,0.31184044
1976-02-01,-0.8702599,-0.8739605,0.5469826,-0.75083923,-0.99203604,1.1074203,0.102601245,0.45480958,1.7018349,-0.20352058,0.8598324,0.10630188
1976-03-01,-0.9224018,-0.7410839,0.6505928,-0.8248466,-0.9049093,0.854113,0.04373169,0.3831566,1.5427192,-0.396949,1.1276047,-0.039022066
