,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9
1971-03-01,-0.0001403612110820808,-0.00026066407170017355,-0.0001538563744609498,-0.001876113674370572,-7.042391416689497e-05,-0.0002683469372439302,-0.0009595358278602362,-5.226031197676564e-05,-5.720421675087877e-05
1971-04-01,-0.00015006517060101032,-0.00017356291613800245,-0.0001570542372064665,-0.000553327572561102,-7.510702744184528e-05,-0.0003193928124447767,-0.0020731436961796135,-5.484438588609919e-05,-5.7161699960935774e-05
1971-05-01,-0.00016669599025757339,-0.00018190518555153784,-0.00016083962691482157,0.0009568489076627884,-7.28255171826972e-05,-0.0003197132173227146,0.004167370934737846,-5.084024325759825e-05,-5.762168473397577e-05
1971-06-01,-0.00015599774885732606,-2.8337616539728416e-05,-0.00015134550763336432,-0.0017511751138954423,-7.223828989106763e-05,-0.0002751552933154421,0.004384619387565181,-5.574287507474294e-05,-5.7377936501012064e-05
1971-07-01,-0.00016202546397167049,-0.00023464154866006641,-0.0001749374165559526,0.0002573872052380466,-7.573790780417552e-05,-0.00031342612298127886,0.0072270973760169,-5.0995144631777856e-05,-5.646393622212555e-05
1971-08-01,-0.00014924828844544078,-0.00014973992519015964,-0.0001580362401331182,0.00028955730613233754,-7.385614320382421e-05,-0.00041555831558071077,0.005836538184667006,-5.378297797067027e-05,-5.7020918083268405e-05
1971-09-01,-0.0001581894306285421,-0.00016145838041362975,-0.00015223722915503788,-0.00029994239412189927,-7.448036419244838e-05,-0.00045893151157846057,0.00490452439407818,-5.5529354571702026e-05,-5.5787417310415044e-05
1971-10-01,-0.0001525950507612481,-0.00015017493650601763,-0.0001543917063496668,-0.0014371626093634404,-7.531116085267379e-05,-0.00034584655723948445,-0.0032232357625616714,-5.3622979662734374e-05,-5.6143354249499805e-05
1971-11-01,-0.00014302436005780283,-0.00016175845303223468,-0.00015856153120032764,-0.002333942939003464,-7.353595559406505e-05,-0.0001829444146197703,0.006850642239442095,-5.5023284121175654e-05,-5.729804633731084e-05
1971-12-01,-0.00014801060350858893,-0.00013444040531693544,-0.00014930489256089044,-0.003042552270926535,-6.756368975402438e-05,-0.0003214617916253499,0.006965900684008375,-5.881610408762534e-05,-5.586789620420099e-05
1972-01-01,-0.00013893421760722234,-0.00018851939482071128,-0.00016047371239189735,-0.002900336039601825,-7.102405026457477e-05,-0.0003161837109170544,1.1057273496817288e-05,-5.57517580154095e-05,-5.686793926662311e-05
1972-02-01,-0.00014501323564719334,-0.0002747287807222973,-0.00015018357688942075,-0.002517641223676037,-7.339711454037836e-05,-0.00020477505636841265,-0.0010358489817008376,-5.5161020507763045e-05,-5.649142469307857e-05
1972-03-01,-0.00015201536482390093,-0.0002331388613028038,-0.00014712309083816678,-0.001777588295226451,-6.783188502916292e-05,-0.00022413009396081584,-0.0019516686734277755,-5.7132477603114116e-05,-5.806573881272925e-05
