,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv850_cluster7,zgv850_cluster8
1970-10-01,0.023966502,0.03968229,0.28969374,0.370106,-0.123630606,0.29113433,-0.29375362,0.16305096
1970-11-01,-0.31156486,-0.016108608,0.4797234,0.36578417,-0.14013213,-0.4014066,-0.87576044,0.01951375
1970-12-01,-0.10634325,0.0085127,0.9644235,0.35845014,-0.15702657,0.011917782,-0.70354193,0.07124472
1971-01-01,0.2417059,0.1003389,1.044273,0.22414298,-0.010364985,-0.16943881,-1.3169299,-0.55596673
1971-02-01,0.08507929,-0.066796616,1.0334761,0.272225,-0.0830639,-0.010940838,-1.003245,-0.3521219
1971-03-01,0.13517678,-0.03167081,1.1569923,0.2974177,-0.11646221,0.08565514,-0.7671534,-0.35644057
1971-04-01,-0.036277473,0.011516666,0.761539,0.24199376,-0.21464172,0.68552905,-0.3263533,-0.25250283
1971-05-01,0.013963938,0.010221029,0.56604373,0.23090902,-0.1544672,0.74930257,0.14942864,-0.50687695
1971-06-01,-0.08320786,0.039444566,0.49622402,0.31570038,-0.24919169,1.6316227,-0.31656414,-0.40005994
1971-07-01,-0.008781457,0.058734942,0.6285216,0.20672402,-0.09745975,0.9370241,0.0538404,-0.24775214
1971-08-01,-0.13762407,-0.017131042,0.42755595,0.24804005,0.004750633,0.97474116,0.2430015,0.1078248
1971-09-01,-0.072554946,0.028503705,-0.029367495,0.032678507,-0.14467803,0.8460425,-0.04664247,-0.06550102
1971-10-01,0.17203006,0.09083764,0.06377351,0.23609146,0.0024472952,0.6147016,-0.36119118,-0.2919473
1971-11-01,0.14986053,0.0024472952,0.50097466,0.23868278,-0.028935611,0.43230647,-0.7334672,-0.3800498
1971-12-01,0.40351486,0.013963938,1.1261852,0.21219444,-0.17649281,0.38091347,-0.9037698,-0.11012802
1972-01-01,0.18268737,-0.017624283,0.98748505,0.2551573,-0.030382132,0.037352942,-1.0879695,-0.40917236
1972-02-01,0.093513824,0.056555487,1.1572831,0.20741396,-0.16664138,0.1854494,-1.1204563,-0.1770318
1972-03-01,0.14638665,-0.03130281,0.8960756,0.16019669,-0.13139287,0.20662479,-0.528728,-0.649862
1972-04-01,0.13099833,0.00605011,1.0683725,0.21964574,-0.20859766,0.8734533,-0.2141217,-0.22753716
1972-05-01,-0.023805905,0.010127401,0.5288595,0.23029919,-0.06392083,0.8267622,0.00013151168,-0.42061496
1972-06-01,0.037484456,-0.020123195,0.31815746,0.09693346,-0.19044733,0.8621422,0.14033651,-0.028935337
1972-07-01,-0.09877479,0.021438455,0.86898154,0.17505896,-0.19807573,1.1612287,-0.053530432,-0.20465192
1972-08-01,-0.07628415,0.101273775,0.69931513,0.242794,-0.1769003,1.2175211,-0.12455358,-0.28290892
1972-09-01,0.00960126,0.008549118,0.57831275,0.20530954,-0.24647665,0.7784928,0.04327152,0.013678551
1972-10-01,0.38444576,0.08233428,0.5143918,0.22595885,-0.08601694,0.7464008,-0.17242846,-0.17768946
1972-11-01,0.07799395,-0.037089873,0.5443794,0.29829732,-0.071286224,-0.22293384,-0.60593283,-0.28540793
1972-12-01,0.001709795,0.04879556,0.95302564,0.17637417,-0.02038629,0.06102729,-0.90672904,-0.6567012
1973-01-01,0.15721497,0.098345935,1.2887471,0.2090197,-0.10582576,-0.07715307,-0.9327625,-0.1324207
1973-02-01,0.11289003,0.046679664,1.3444303,0.20998931,-0.14197828,-0.13782282,-1.0427438,0.30321017
1973-03-01,-0.03601402,-0.01786847,0.9241746,0.14530268,-0.16746509,0.4120833,-0.5787173,-0.38867417
