,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8
1970-08-01,-0.2239708,0.5241505,0.54445076,-0.4096691,-0.30617064,-0.11880799,0.5058468,0.6343052
1970-09-01,-0.123133086,0.20167312,0.43229905,0.2522579,0.05790596,-0.053912353,-0.72981703,0.0056575774
1970-10-01,-0.07787399,0.40767288,-0.059902955,0.3041733,-0.22563438,0.0009983063,-0.48854142,-0.30350798
1970-11-01,-0.098839566,0.28819925,-0.7191677,0.95644987,0.28587016,0.04126625,0.012313461,0.14776058
1970-12-01,-0.2965191,0.09617748,-0.21731453,1.3075473,-0.14077187,-0.39868698,-0.0545784,-0.780069
1971-01-01,0.0032663345,0.012084961,-0.01829071,0.33478737,0.05911865,0.29918557,0.027109528,-0.45269775
1971-02-01,-0.1460003,-0.2792616,0.33478737,0.62580717,-0.55035746,0.2430067,0.0777359,-0.5575434
1971-03-01,-0.471315,0.21622352,0.47654095,1.4103523,-0.5059372,0.45237103,0.2351677,-0.89135075
1971-04-01,-0.0045726774,0.14338684,0.5944519,0.7247734,-0.12444325,0.25803107,0.17898865,0.10059967
1971-05-01,-0.15808526,0.48111382,0.7851988,0.97888565,-0.49646512,0.23647423,-0.38149413,-0.15122585
1971-06-01,-0.08492164,-0.02253685,0.6261341,0.07381668,-0.22667542,0.07218361,0.18944053,0.3282547
1971-07-01,-0.117910765,0.4396332,0.3880268,-0.43244743,-0.1649437,-0.08100204,-0.31453687,0.27860832
1971-08-01,-0.1851944,-0.1495926,1.3313105,-0.3638565,0.14861298,-0.30408478,0.2292883,-0.0016330719
1971-09-01,0.09962006,0.24137345,0.75416964,0.046053696,0.019597625,-0.28481406,-0.44289914,-0.39194602
1971-10-01,-0.025149917,0.55819666,0.1920536,0.27142295,-0.32956123,-0.18486786,-0.7930376,-0.68002665
1971-11-01,-0.19825974,0.35177153,0.3733284,1.2937489,-0.18388787,-0.05127983,-0.12411652,-0.421669
1971-12-01,-0.119543456,0.3024517,-0.29167327,0.74992335,-0.45171815,-0.3638567,0.11399078,-0.71791476
1972-01-01,-0.09984703,0.5913361,-0.042463683,0.855587,-0.4579197,-0.31130522,0.19510345,0.017501831
1972-02-01,-0.066277884,-0.30040208,0.35061264,0.51673776,-0.3861904,0.45705873,0.6561798,-0.5878929
1972-03-01,-0.35118675,-0.026683044,0.60109174,0.9339153,-0.42119408,0.31187898,0.3179043,0.17272416
1972-04-01,0.030413438,0.65589255,0.77926695,1.1023353,-0.45906717,0.2131794,0.022953033,-0.77754533
1972-05-01,0.03328247,0.3333977,0.69118327,0.014058685,-0.3577858,-0.21461411,-0.4693962,0.26281625
1972-06-01,-0.08923149,0.42894095,1.1456602,-0.24129716,-0.35692483,-0.058244325,0.36180228,-0.5046875
1972-07-01,-0.14661483,0.2355589,1.2589924,-0.2602337,-0.2585121,-0.35147324,0.22035217,0.10185547
1972-08-01,-0.17961045,0.49120218,1.3246963,-0.6424074,-0.11017609,-0.3339714,0.075172424,-0.019223403
1972-09-01,0.16669884,0.12739125,0.20227642,0.14288445,-0.2639637,-0.35376891,-0.5617836,0.2639637
1972-10-01,-0.067712404,0.3316761,0.9832649,0.29236832,-0.23613282,-0.4008232,-0.14661446,0.0553751
