,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8
1976-04-01,0.06828842,-0.3515354,0.70138854,-0.6115707,0.8426758,-0.52814406,0.08611794,1.0855548
1976-05-01,-0.03162117,-0.38954812,0.7518486,-0.13691369,0.8457035,-0.9378761,0.079726025,0.013792038
1976-06-01,-0.14229622,-0.06526108,0.6583298,0.019847488,1.0196209,-0.2314415,0.08342628,0.18199119
1976-07-01,-0.15945244,0.22504997,0.25498885,0.13254051,0.7067711,-0.47802085,0.05483284,1.8807983
1976-08-01,0.005382538,0.19040108,0.36532745,0.021865845,0.1029377,-0.21630363,0.023884201,1.6073074
1976-09-01,0.05853348,0.49921378,0.34043425,0.14229622,0.6704403,0.20352021,0.08477211,1.19152
1976-10-01,0.16718979,-0.35759085,0.5049324,-0.21193047,0.9546963,0.55808336,0.04541359,0.84435767
1976-11-01,0.2923294,-0.18972817,0.97790754,-0.28963813,0.97084314,0.17694512,0.012783051,1.2069943
1976-12-01,-0.042049788,-0.47061998,1.4939415,-0.91365546,0.8820343,-0.9684887,0.056851197,0.68557835
1977-01-01,-0.03149109,-0.119241714,1.5013123,-0.54313356,0.35560188,-0.4026615,0.075366594,-0.65635985
1977-02-01,0.21442261,-0.6365452,1.6410763,-0.94473344,0.8488449,-0.5045654,0.08810425,0.13551788
1977-03-01,0.10154991,-0.9783474,0.8226616,-0.440168,0.78763163,-0.5328724,0.1128727,1.0438064
1977-04-01,-0.06333618,0.14401016,0.64751357,-0.33437157,0.40443078,-0.4490139,0.09305801,0.8983814
1977-05-01,-0.19354668,0.2225605,0.88635063,-0.16382484,1.1425259,-0.54490244,0.07501259,0.55410194
1977-06-01,-0.2487442,0.17585488,1.0165619,-0.06828956,0.5880703,-0.36657065,0.08279686,-0.37010917
1977-07-01,-0.14259453,-0.47625884,0.46210557,0.12348747,1.174017,-0.7119114,0.073243335,0.98223954
1977-08-01,0.0017692565,0.44406015,0.13127136,-0.015922546,1.2454914,-0.67688215,0.04033699,0.8361065
1977-09-01,0.17727013,0.3039421,0.14117889,0.23494491,0.77418596,0.17833176,0.023352813,0.33366433
1977-10-01,0.11428833,0.22256088,0.46670532,-0.24980584,1.3222729,-0.793293,0.01415329,1.319796
1977-11-01,0.26608238,-0.43769112,0.58134687,-0.18930054,0.87113607,-0.66414416,0.03396797,0.49713477
1977-12-01,-0.03396797,-0.54101026,1.0211613,-0.80673826,0.49253502,-0.5374721,0.057674408,-0.2890812
1978-01-01,-0.04148941,-0.4625042,1.5599304,-0.5784699,0.83046687,-0.23737335,0.04591026,0.29654694
1978-02-01,0.002380371,0.2207096,2.0458999,-0.5414017,-0.27512187,-0.56452715,0.08195839,-0.5169163
1978-03-01,-0.18704224,-0.28702432,1.170203,-0.1741188,1.1242927,-0.45774308,0.08433914,0.6951164
