,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1975-01-01,7.0013885,1.8963699,4.853035,6.04327,3.916317,8.022064,3.0536842
1975-02-01,6.701771,1.8091202,4.4184227,5.465439,3.503109,7.37344,2.7178497
1975-03-01,6.2342377,2.0445328,4.18301,5.2859955,3.35001,6.8318253,2.7343102
1975-04-01,5.047291,2.3243942,3.554142,4.220875,3.038868,5.727192,2.6832771
1975-05-01,4.026615,1.7827797,3.4850006,3.8274193,3.1096573,3.664444,2.577919
1975-06-01,3.3121452,1.4123726,2.9993591,3.292389,2.7194939,2.9186897,2.3375664
1975-07-01,3.0256958,1.539135,3.1047173,3.3088531,2.6503525,2.370491,2.1861115
1975-08-01,3.7533379,1.646141,3.6759644,3.9508896,3.2232475,3.0042953,2.5351143
1975-09-01,4.174778,1.3481712,4.232399,4.5649414,3.1573982,3.4175034,2.263485
1975-10-01,3.76157,1.7827797,3.084961,3.5162811,2.729374,3.401043,2.3062859
1975-11-01,4.2752,1.8288765,3.76651,4.06942,3.1606903,3.926197,2.5417023
1975-12-01,4.546833,2.2503128,4.2933083,4.645607,3.6710281,4.087528,3.1541061
1976-01-01,5.17725,1.9873581,4.8722,5.513462,3.9160538,4.808239,3.1157112
1976-02-01,5.2740135,2.2218857,4.882042,5.329773,4.065296,4.937805,3.3141556
1976-03-01,5.2543335,1.9430771,4.4113464,5.1001663,3.4174805,5.000126,2.617134
1976-04-01,5.203491,2.5252914,4.316227,4.9935646,3.4141998,4.9738846,2.951706
1976-05-01,3.6815262,2.0447578,3.2649536,3.5257225,2.9812279,3.6700478,2.671257
1976-06-01,2.6876564,1.9135551,2.4219704,2.577774,2.3744087,3.1255493,2.2661667
1976-07-01,2.40065,1.6855888,2.03656,2.0988808,1.9233932,2.9549866,1.7561111
1976-08-01,2.390808,1.1115723,1.8938751,2.0529594,1.7544708,3.1173515,1.4182587
1976-09-01,3.0238686,1.016449,2.1628418,2.5744934,1.8692741,3.8668518,1.4379425
1976-10-01,3.9554138,0.9295273,2.789341,3.3174362,2.2481232,5.7709465,1.6035843
1976-11-01,6.4466476,2.1907234,4.4080696,5.1100082,3.6159248,9.034645,2.9533463
1976-12-01,8.698433,1.9545555,5.7561874,7.064945,4.5409126,10.486084,3.5109634
1977-01-01,11.534523,2.4535255,7.619461,9.503891,5.4491196,13.657757,3.8798447
1977-02-01,8.811848,2.016533,6.012821,7.528488,4.4695396,9.526634,3.2462845
1977-03-01,7.231205,2.0344048,5.216812,6.215885,4.1495132,7.765667,3.1130753
1977-04-01,6.0583076,2.3771744,4.165756,5.0234985,3.6394157,6.6723747,3.1553154
1977-05-01,4.917904,2.0425262,3.2089233,3.925331,2.794674,5.4280014,2.4324074
1977-06-01,4.014679,1.9937897,3.1147003,3.385994,2.8580284,4.5231476,2.4129143
1977-07-01,3.6670341,1.1652908,2.3966675,2.961998,2.1156273,4.0439186,1.6916313
1977-08-01,3.3827438,1.3147469,2.182232,2.812542,1.9011955,3.7336388,1.595787
1977-09-01,4.185253,1.0808182,2.5331268,3.3242607,1.9986649,4.479286,1.5048141
1977-10-01,5.403633,1.0467033,3.6572876,4.492283,2.9116364,5.564457,2.0116615
1977-11-01,6.227257,1.7777328,4.6319923,5.5579605,3.589058,6.0436897,2.8401604
1977-12-01,6.5342903,2.0636444,5.158333,6.695114,4.0617905,5.567707,3.1195755
1978-01-01,6.2258797,2.0218544,5.2580338,6.1371727,4.21891,5.4893036,3.1417656
1978-02-01,6.588623,2.1327362,5.473461,6.4175453,4.472355,6.4809074,3.331852
1978-03-01,5.300804,2.0915527,4.6149178,5.4275246,3.6549911,5.0156784,2.9057465
1978-04-01,4.9634056,2.3529167,4.3773117,4.774906,3.6470718,4.8065834,3.2605705
1978-05-01,4.114361,2.2103539,3.9670486,3.6660805,3.6122246,4.060505,3.0023727
1978-06-01,3.3160095,2.0060158,3.1005821,3.067318,2.862976,3.0229645,2.4162788
1978-07-01,3.239975,1.3993301,2.7505112,2.893074,2.476471,3.0784035,1.9125557
1978-08-01,3.678753,1.5022926,2.9263382,3.1702805,2.5556755,3.4791641,1.9838371
1978-09-01,4.095356,1.2963676,3.1417656,3.5108452,2.509739,3.949623,1.8571167
1978-10-01,4.393154,1.21875,3.4664917,3.7278595,2.9992027,4.828762,2.099472
