,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7
1974-10-01,1014.0511,1017.1811,1010.4387,1023.7312,1014.5238,1019.0524,1016.9162
1974-11-01,1012.66266,1016.0372,1008.52734,1022.78156,1010.85516,1017.9649,1016.88763
1974-12-01,1012.16547,1015.00946,1007.2768,1019.09656,1009.7092,1016.1703,1013.13336
1975-01-01,1011.30444,1013.8183,1007.1779,1019.1633,1010.34344,1014.077,1007.921
1975-02-01,1011.94525,1014.32263,1010.2341,1020.1078,1013.34357,1017.0661,1018.3953
1975-03-01,1011.1993,1014.16693,1009.64594,1019.66705,1012.61084,1019.2443,1020.6309
1975-04-01,1012.0815,1015.1951,1009.3962,1017.22595,1017.7477,1018.8423,1019.2913
1975-05-01,1014.1337,1017.0876,1010.104,1020.24133,1018.569,1013.3214,1015.6234
1975-06-01,1014.57385,1017.63007,1010.7441,1020.6863,1017.7477,1013.1035,1010.9662
1975-07-01,1015.6892,1018.9558,1011.33905,1021.82587,1020.0829,1018.65546,1015.0941
1975-08-01,1015.4,1019.8511,1011.63245,1024.8059,1017.19617,1021.44604,1016.57623
1975-09-01,1015.22217,1019.3017,1011.7944,1025.2231,1019.91064,1023.447,1020.67456
1975-10-01,1014.295,1017.73724,1011.06366,1023.32526,1014.6022,1025.8784,1017.7491
1975-11-01,1014.1269,1017.6266,1009.98846,1023.19446,1012.7291,1018.3296,1014.7143
1975-12-01,1013.1651,1015.4187,1009.3,1021.0938,1012.93115,1022.086,1014.8374
1976-01-01,1011.2146,1013.52954,1008.49945,1019.228,1009.12164,1019.54315,1013.8082
1976-02-01,1011.6531,1014.3269,1009.22034,1019.9958,1012.6354,1021.0132,1015.8734
1976-03-01,1010.52325,1013.42834,1008.7042,1019.46295,1010.4857,1018.2229,1020.54083
1976-04-01,1012.4609,1015.5429,1009.7241,1018.3918,1017.8708,1020.3479,1017.18195
1976-05-01,1013.5714,1016.6825,1010.55225,1015.97766,1021.12115,1014.8973,1015.19885
1976-06-01,1013.57697,1017.3546,1010.2557,1018.3918,1019.0683,1017.3047,1014.0271
1976-07-01,1013.582,1017.4853,1010.32654,1018.9308,1022.1609,1013.1342,1013.027
1976-08-01,1014.2775,1018.5115,1011.08014,1022.4389,1018.0915,1013.7478,1012.4812
1976-09-01,1013.95624,1017.8486,1011.11896,1020.66486,1017.1351,1008.6228,1011.0814
1976-10-01,1014.2251,1017.4015,1010.15894,1019.0776,1011.30646,1014.3152,1011.34784
1976-11-01,1012.64954,1015.4868,1008.9219,1019.6917,1008.89417,1018.1754,1011.52905
1976-12-01,1010.5991,1013.1947,1006.92944,1016.2631,1009.5157,1015.47815,1008.817
1977-01-01,1010.59283,1012.8555,1007.5068,1017.10455,1011.03204,1016.5366,1012.6272
1977-02-01,1010.984,1013.87726,1008.7352,1020.1711,1012.8235,1018.6504,1017.2765
1977-03-01,1009.87524,1012.6209,1008.0413,1017.34607,1012.98773,1015.7112,1017.0538
1977-04-01,1012.40796,1015.1342,1008.82086,1017.09686,1018.29193,1016.8547,1011.483
1977-05-01,1013.61273,1016.0689,1010.0103,1016.1191,1015.7028,1018.8014,1010.8727
1977-06-01,1014.3491,1017.30853,1010.1049,1020.0089,1018.649,1012.3976,1013.3351
1977-07-01,1014.0178,1017.7742,1008.9802,1024.9025,1021.4316,1016.9403,1015.1878
1977-08-01,1014.74097,1018.48126,1010.2399,1024.2837,1021.28467,1015.865,1016.4127
1977-09-01,1014.4939,1017.9328,1011.3675,1020.85736,1018.0991,1015.66876,1007.13513
1977-10-01,1014.3679,1017.48944,1010.3193,1020.98193,1019.2997,1018.47217,1015.5156
1977-11-01,1013.4297,1016.3111,1009.1612,1021.43225,1014.8537,1020.29016,1016.776
1977-12-01,1012.2514,1015.1203,1006.78784,1019.0812,1012.4247,1018.214,1015.2915
1978-01-01,1012.8532,1015.8758,1008.657,1021.0845,1012.7559,1019.0943,1021.0891
1978-02-01,1011.3836,1014.26154,1007.50726,1018.7864,1012.6453,1016.21643,1015.2559
1978-03-01,1012.6133,1015.5772,1009.62537,1019.9321,1014.52545,1018.9584,1020.0934
1978-04-01,1012.84924,1015.8445,1009.78204,1018.36444,1014.7781,1017.07544,1014.60547
1978-05-01,1013.52966,1016.21704,1009.7447,1018.7157,1017.35406,1013.8156,1016.39166
1978-06-01,1014.78406,1017.6447,1010.032,1021.1958,1013.8469,1012.83057,1008.63165
1978-07-01,1014.1362,1017.8159,1010.0786,1020.4839,1015.7212,1010.60516,1009.02893
1978-08-01,1014.6501,1018.42975,1010.3625,1024.4049,1019.4202,1015.93243,1017.8886
1978-09-01,1014.5828,1018.28986,1010.44385,1022.96735,1016.42896,1016.73755,1018.6724
1978-10-01,1013.99493,1017.0235,1010.1386,1019.6175,1019.6115,1013.31506,1016.9688
1978-11-01,1012.4393,1014.93335,1009.0222,1018.7757,1015.35065,1020.3606,1019.09827
1978-12-01,1012.65796,1015.34595,1008.32837,1020.062,1009.82666,1020.9645,1012.8505
