,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10,abs_vo500_cluster11,abs_vo500_cluster12
1970-04-01,5.861873e-05,1.265914e-05,4.0363786e-05,0.0001088138,2.7152033e-05,-7.1627437e-07,6.455747e-05,7.389231e-05,6.18896e-05,3.5873578e-05,7.9010955e-05,-4.9393653e-05
1970-05-01,5.8108242e-05,1.743991e-05,6.639063e-05,8.846716e-05,3.6956666e-05,7.095019e-06,6.0044098e-05,7.061059e-05,7.13215e-05,3.204896e-05,9.523317e-05,-4.0861196e-05
1970-06-01,5.5231678e-05,1.1557131e-05,5.0751838e-05,9.1716465e-05,4.0700255e-05,3.91054e-06,6.289635e-05,7.445952e-05,6.8866284e-05,2.99989e-05,9.516024e-05,-5.129786e-05
1970-07-01,6.356966e-05,1.4190606e-05,5.1319046e-05,7.1458955e-05,3.904724e-05,2.1359847e-06,6.757179e-05,7.666354e-05,6.189771e-05,3.563859e-05,7.58994e-05,-4.4475135e-05
1970-08-01,7.676135e-05,1.2942743e-05,5.372564e-05,8.4188774e-05,4.403059e-05,-7.648923e-07,5.646257e-05,8.458017e-05,6.637866e-05,3.0768686e-05,8.062345e-05,-4.6176763e-05
1970-09-01,7.040049e-05,6.1929422e-06,5.2429157e-05,0.00010120508,4.497864e-05,-9.1884795e-07,7.0270085e-05,6.7101995e-05,6.595731e-05,3.5687208e-05,9.42608e-05,-5.0730654e-05
1970-10-01,7.890865e-05,8.542815e-06,5.259932e-05,0.00010327135,3.5060566e-05,-2.426008e-06,5.4323376e-05,8.5576845e-05,8.02348e-05,3.13521e-05,8.674932e-05,-3.8535632e-05
1970-11-01,6.0903778e-05,1.36233975e-05,4.4326156e-05,9.737236e-05,4.0951447e-05,-2.612378e-06,6.444403e-05,9.367174e-05,5.4288987e-05,1.9432584e-05,8.8126835e-05,-4.2643856e-05
1970-12-01,5.5653036e-05,1.49847e-05,4.2065418e-05,9.7177886e-05,3.213538e-05,-2.8392606e-06,5.7524063e-05,7.772504e-05,6.2035455e-05,3.590599e-05,7.6766424e-05,-4.0885505e-05
1971-01-01,9.6710515e-05,1.3904602e-05,3.4094326e-05,8.85211e-05,2.8365783e-05,2.4006295e-07,4.998492e-05,7.71005e-05,5.2572177e-05,2.7801045e-05,0.00011097567,-6.442936e-05
1971-02-01,8.548323e-05,7.13838e-06,4.1996547e-05,0.000101879414,2.8092149e-05,1.102424e-06,4.4752698e-05,8.5690954e-05,5.349258e-05,1.6175745e-05,0.00011724438,-5.2953314e-05
1971-03-01,7.529244e-05,1.0405405e-05,4.3033036e-05,9.201201e-05,3.057144e-05,-3.99712e-06,4.4794164e-05,9.178553e-05,6.0739738e-05,2.063681e-05,8.956588e-05,-4.2903484e-05
1971-04-01,5.638681e-05,1.2246215e-05,6.018906e-05,9.631552e-05,3.529785e-05,-2.1480155e-06,7.270483e-05,8.60558e-05,6.25225e-05,2.1548924e-05,7.6788005e-05,-5.9280064e-05
1971-05-01,5.768035e-05,1.2826651e-05,5.7461013e-05,0.00010216964,3.223812e-05,1.5004371e-06,7.739807e-05,8.375064e-05,6.549102e-05,3.034667e-05,8.590914e-05,-2.8782306e-05
1971-06-01,6.3493004e-05,7.27105e-06,4.5611832e-05,7.752598e-05,4.231283e-05,3.5236699e-06,5.8708036e-05,7.355155e-05,6.400676e-05,2.3439483e-05,8.4391715e-05,-4.335954e-05
1971-07-01,7.2937524e-05,8.108538e-06,5.728688e-05,7.5867596e-05,4.4526776e-05,-3.0518386e-06,6.263841e-05,7.996951e-05,6.718257e-05,3.5214038e-05,8.943321e-05,-4.394827e-05
1971-08-01,6.898227e-05,4.9410155e-06,4.9865597e-05,9.6755e-05,4.29596e-05,1.110715e-06,6.621225e-05,8.0417274e-05,7.0640315e-05,2.4276971e-05,7.918437e-05,-5.2522133e-05
1971-09-01,6.2738436e-05,1.0679039e-05,5.202979e-05,0.00010037028,3.9311144e-05,-5.9706e-06,6.1336585e-05,7.107226e-05,8.719932e-05,4.610136e-05,8.0129656e-05,-5.8550373e-05
1971-10-01,6.958758e-05,7.4285963e-06,5.2718024e-05,0.00010396069,4.4095596e-05,1.1568409e-07,6.659367e-05,7.464609e-05,6.888242e-05,3.5031615e-05,9.814804e-05,-3.7621518e-05
1971-11-01,5.7348676e-05,1.3854853e-05,4.0164025e-05,9.923428e-05,4.6400753e-05,4.759171e-06,5.7505706e-05,7.573233e-05,5.981933e-05,3.1184158e-05,9.2998744e-05,-4.0614905e-05
1971-12-01,7.1561066e-05,1.9087067e-05,3.9135823e-05,0.00010527082,3.7893224e-05,-5.0156814e-08,5.9512357e-05,5.5956058e-05,7.206653e-05,3.065347e-05,6.901845e-05,-4.413069e-05
1972-01-01,6.6853085e-05,1.6015045e-05,4.0977353e-05,9.9091594e-05,3.710075e-05,-7.2659896e-07,6.240702e-05,6.9834154e-05,6.498912e-05,2.4017561e-05,9.647879e-05,-3.905007e-05
1972-02-01,6.845823e-05,1.1734679e-05,4.126271e-05,9.020984e-05,3.7296933e-05,-1.2081364e-06,6.7677225e-05,8.695562e-05,6.813697e-05,1.1747175e-05,8.8453104e-05,-4.062846e-05
1972-03-01,9.5870404e-05,1.3232806e-05,5.0929204e-05,9.148503e-05,3.3819142e-05,-3.1699747e-06,5.2250078e-05,8.667918e-05,5.3325122e-05,1.7070884e-05,0.0001058956,-4.6861744e-05
1972-04-01,6.51677e-05,1.6023965e-05,4.4223296e-05,0.0001022662,3.931228e-05,3.5359335e-06,6.42351e-05,7.481008e-05,7.247976e-05,2.9546365e-05,8.1060556e-05,-2.9722447e-05
1972-05-01,6.168098e-05,1.8663522e-05,5.2400577e-05,9.407108e-05,3.482681e-05,-6.4633787e-07,5.4194075e-05,8.755309e-05,6.742358e-05,2.8824052e-05,9.584565e-05,-4.5666813e-05
1972-06-01,6.83958e-05,1.105696e-05,5.033173e-05,8.254085e-05,3.7555543e-05,-5.069385e-06,6.75613e-05,7.45158e-05,8.157554e-05,2.8208753e-05,7.966944e-05,-4.843121e-05
1972-07-01,7.6225304e-05,1.6808699e-05,5.7385423e-05,8.263894e-05,3.918743e-05,8.788302e-06,7.098559e-05,7.935797e-05,8.052328e-05,2.4026474e-05,8.2754865e-05,-4.627319e-05
1972-08-01,6.523903e-05,7.026276e-06,5.179419e-05,8.042742e-05,4.3699652e-05,4.311747e-06,5.9312675e-05,6.950421e-05,6.488211e-05,3.2515865e-05,8.519824e-05,-4.094057e-05
1972-09-01,6.443646e-05,1.0780517e-05,5.9748538e-05,8.363769e-05,3.9651135e-05,3.0633091e-06,6.5599466e-05,7.703052e-05,8.363547e-05,3.2328604e-05,0.00010008143,-5.5591903e-05
1972-10-01,8.254776e-05,1.0664589e-05,4.943999e-05,9.332202e-05,4.000783e-05,3.3219185e-06,6.5528126e-05,7.550564e-05,7.536009e-05,2.8217666e-05,9.957314e-05,-4.108325e-05
1972-11-01,6.9528316e-05,1.4320736e-05,3.8881753e-05,0.00011597229,3.2517197e-05,2.519344e-06,6.118534e-05,0.00010371147,5.2406627e-05,2.3339835e-05,9.748646e-05,-3.8880644e-05
1972-12-01,8.406372e-05,1.0691343e-05,3.8266455e-05,0.000106448475,2.6203652e-05,1.7791972e-06,5.9954735e-05,7.084182e-05,5.649081e-05,2.0397081e-05,0.00011881695,-4.9305112e-05
1973-01-01,6.623041e-05,6.809554e-06,3.9283386e-05,9.801044e-05,2.7230268e-05,-8.7571243e-07,5.0487186e-05,9.0447094e-05,6.590473e-05,1.7020018e-05,0.0001155296,-3.6147787e-05
1973-02-01,6.892907e-05,8.74728e-06,4.1849325e-05,8.5056876e-05,2.053229e-05,6.9924135e-07,4.852291e-05,9.09072e-05,8.621103e-05,7.4552627e-06,9.492246e-05,-2.760056e-05
1973-03-01,5.4763317e-05,1.3312878e-05,4.7087375e-05,0.00010746016,2.0541138e-05,-2.7404167e-07,6.384776e-05,8.687248e-05,5.6578872e-05,1.1339562e-05,7.087343e-05,-3.2316573e-05
1973-04-01,6.245229e-05,8.490686e-06,4.072562e-05,0.000108521934,3.0645624e-05,1.7344646e-06,5.530053e-05,0.00010694873,6.727618e-05,2.0382282e-05,9.909875e-05,-3.2573167e-05
1973-05-01,5.4497876e-05,9.375493e-06,5.063545e-05,9.0463036e-05,3.3715896e-05,-1.1146112e-06,7.018297e-05,8.010371e-05,7.646047e-05,1.9630195e-05,7.2474926e-05,-5.294141e-05
1973-06-01,5.2958312e-05,5.5973724e-06,5.5218745e-05,8.8702276e-05,3.922824e-05,1.256667e-06,5.1080002e-05,7.6299046e-05,6.954129e-05,2.8195125e-05,8.575587e-05,-5.4896824e-05
1973-07-01,6.116932e-05,1.5976148e-05,5.4333937e-05,8.724234e-05,3.7617898e-05,6.6982284e-06,7.009449e-05,7.050356e-05,6.339188e-05,3.39906e-05,7.7474084e-05,-4.4880828e-05
1973-08-01,7.9334386e-05,1.060537e-05,5.4705557e-05,7.62442e-05,4.682873e-05,4.1765306e-06,6.0724393e-05,7.9271995e-05,7.339019e-05,3.0141699e-05,8.045588e-05,-4.9614537e-05
1973-09-01,6.178868e-05,9.5612995e-06,5.1104395e-05,9.735568e-05,3.508735e-05,-3.1231175e-06,5.813191e-05,6.868971e-05,6.555966e-05,3.0079758e-05,8.400395e-05,-3.6253965e-05
1973-10-01,7.621987e-05,6.51757e-06,4.9405568e-05,9.4816285e-05,4.2254276e-05,-3.9106017e-06,5.192057e-05,8.087349e-05,6.809905e-05,3.260146e-05,8.8835e-05,-5.0207353e-05
1973-11-01,7.637913e-05,1.4781661e-05,4.150425e-05,9.6833646e-05,3.663576e-05,2.9289513e-06,5.8919388e-05,6.586718e-05,5.2588402e-05,2.4248886e-05,8.027892e-05,-3.9810882e-05
1973-12-01,6.662857e-05,6.7210713e-06,4.4123273e-05,9.712563e-05,3.9219394e-05,-1.9109357e-06,5.899017e-05,9.04294e-05,4.4474727e-05,1.593171e-05,0.00011360072,-3.3422584e-05
1974-01-01,0.00010080726,3.290399e-05,3.5879737e-05,9.885942e-05,3.9810646e-05,-2.0984226e-06,5.3560383e-05,6.559373e-05,6.438552e-05,2.2691293e-05,0.00011451189,-4.1610823e-05
1974-02-01,6.728124e-05,1.0895223e-05,4.2252188e-05,8.5371474e-05,2.512737e-05,-1.7995844e-06,5.031358e-05,0.00010274614,5.9725317e-05,1.678729e-05,8.3941915e-05,-3.6328718e-05
1974-03-01,6.959115e-05,6.8003865e-06,4.591089e-05,8.763293e-05,3.939874e-05,-3.3745237e-06,4.5144552e-05,7.691714e-05,6.235829e-05,2.4015852e-05,0.000106096064,-4.1158535e-05
