,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7
1971-11-01,-0.046354543,-0.38494432,0.0059022903,0.14223075,0.09270916,-0.13560867,0.20312509
1971-12-01,-0.4426716,-0.012524366,0.30130452,-0.0558558,-0.82775986,0.047074318,0.103218056
1972-01-01,0.14743881,-0.14204633,-0.003025055,0.056160904,-0.412592,0.030382108,0.37129334
1972-02-01,0.010521936,-0.07615264,0.14415069,-0.053661965,-0.41719532,0.40351683,-0.0653676
1972-03-01,-0.36721605,-0.20978136,-0.34604064,0.0044718506,0.10035305,0.16124889,-0.37418684
1972-04-01,0.23187748,0.13586469,0.02498963,-0.22227618,-0.36866283,0.26449552,-0.3468298
1972-05-01,0.2946146,0.3609029,0.046954215,-0.2781741,-0.14928012,0.120739385,-0.43218914
1972-06-01,-0.2875123,-0.014730716,0.16453695,0.100747705,-0.2906689,0.28277743,-0.23477101
1972-07-01,-0.21596304,0.027620126,-0.080229856,0.16387936,-0.08299188,-0.023674393,-0.19649744
1972-08-01,0.27212396,0.100221574,0.04682269,-0.048006438,-0.36234966,-0.19518217,0.052346565
1972-09-01,-0.03393326,0.101668335,-0.0038142204,0.24581909,-0.15585637,-0.57936496,0.19136801
1972-10-01,-0.13126135,0.08167665,0.031039763,0.0023674488,0.011574125,-0.14914866,0.34130573
1972-11-01,0.13954744,-0.014073109,-0.22056636,0.3160531,-0.039194297,-0.13928431,-0.2001801
1972-12-01,0.03064518,-0.085622355,0.47664443,-0.04892707,0.048532486,0.0077599525,-0.2762012
1973-01-01,-0.25237504,0.076044954,-0.022300983,-0.18838093,-0.19890809,0.031442996,-0.18491808
1973-02-01,-0.3521061,-0.11372113,-0.0052635847,-0.12701862,-0.41208324,0.43452278,0.12646455
1973-03-01,0.07216652,-0.042247187,0.04723375,-0.06634887,-0.52220297,-0.11039674,0.0648252
1973-04-01,0.27412194,0.0038784326,0.26027042,-0.24835809,-0.2169151,-0.2827099,-0.11579885
1973-05-01,0.21885435,-0.021054316,-0.18187068,-0.28700387,-0.06413263,0.15333652,-0.1610934
1973-06-01,-0.083940364,0.30639604,0.119538784,0.20264801,0.07992339,-0.405019,-0.122586116
1973-07-01,0.37994775,0.11690698,-0.27606115,0.19322897,-0.6242889,-0.28367954,-0.513061
1973-08-01,0.05360546,0.017729972,-0.022300959,-0.033382215,-0.06884217,-0.27758485,-0.3339606
1973-09-01,0.14599514,0.11330558,0.10402505,-0.26054746,-0.16441779,-0.04266274,-0.078676745
1973-10-01,-0.29018974,-0.09128164,-0.16053931,0.008033896,0.085463986,-0.065933324,-0.037537683
1973-11-01,-0.08698769,-0.05069661,-0.24184787,-0.09432898,-0.17646861,0.14765741,0.36415696
1973-12-01,0.2507128,-0.3658191,-0.3521061,-0.046679687,-0.28478765,0.05928459,-0.102639936
1974-01-01,-0.21679652,-0.25791064,0.06749456,-0.1341472,0.3464535,-0.04756894,-0.3994949
1974-02-01,-0.19827405,0.10860872,-0.57026595,-0.22647867,-0.3056199,0.48102158,0.06510911
1974-03-01,0.019925643,-0.057391427,0.051076986,-0.08405249,0.20949975,0.05304147,-0.44594127
1974-04-01,0.09078791,-0.015014386,-0.17399845,-0.1571599,-0.18606608,-0.3044973,-0.09092822
1974-05-01,0.036202908,0.025678813,-0.13344562,-0.017961133,-0.27390727,0.15547606,-0.2287238
1974-06-01,0.08896379,0.082929924,-0.7213921,0.29621837,-0.15996632,0.08307018,-0.46221852
1974-07-01,0.20978041,0.18578549,0.038728714,-0.19434504,0.16361468,0.12628922,-0.13414721
1974-08-01,0.2128675,0.19490637,0.19378379,-0.40174,-0.014172459,-0.41815758,0.061601065
1974-09-01,0.24023016,-0.07535255,0.044201232,0.1104329,0.36974677,-0.36160812,-0.17862909
1974-10-01,-0.0019644736,0.04883182,0.10538135,0.01894338,0.11955377,-0.038869094,-0.101452276
1974-11-01,-0.5395356,0.034799695,0.01220789,0.31403917,-0.25005266,0.3203537,0.0945766
1974-12-01,-0.29257002,-0.12179893,-0.56830156,0.18971446,-0.16207114,0.39304012,-0.15603733
1975-01-01,0.042682745,-0.0876473,-0.16791233,0.10778065,-0.068319276,0.39984876,0.053420614
1975-02-01,-0.18039504,0.05838678,0.27730367,0.07261439,-0.21730618,0.110330865,-0.03261609
1975-03-01,-0.35904512,0.051675655,-0.15193984,-0.03127384,-0.19569635,0.20254174,0.527226
1975-04-01,-0.01919384,-0.03154228,-0.35018653,-0.04040096,-0.04134054,-0.19999151,-0.13019581
1975-05-01,0.015838241,0.12361894,-0.048454333,0.14576562,0.01167736,-0.38817143,-0.21757463
1975-06-01,0.2637472,0.089257956,-0.47300005,0.1575772,-0.2869677,0.14039671,-0.23193645
1975-07-01,0.093821526,0.11073353,0.08724465,-0.052480984,-0.28763884,-0.14979231,-0.02509961
1975-08-01,-0.35837403,0.09704287,0.089526415,-0.119726494,-0.0053689005,0.13073273,-0.07650683
1975-09-01,0.19314614,0.081204616,-0.12442424,-0.19703865,-0.22589645,0.09502952,-0.16173811
1975-10-01,-0.093955755,-0.0034897805,-0.03194499,-0.069527246,0.053017903,-0.10227756,-0.098250866
1975-11-01,-0.07878856,0.0044293404,0.2285809,-0.0048320293,-0.07811749,-0.44360527,0.0014764309
1975-12-01,-0.26428407,-0.14308116,-0.054225873,0.04134052,0.0076506855,-0.056776047,-0.02295208
1976-01-01,0.0096550705,-0.091052696,-0.32961345,-0.2667214,0.036340635,-0.1292707,0.039156687
1976-02-01,-0.044386484,0.17714377,-0.28750664,0.09239368,0.12216349,0.1508605,-0.018505573
1976-03-01,-0.18425103,0.21536179,-0.31472856,0.08421369,-0.5578487,0.4871789,0.23185587
1976-04-01,-0.29206595,-0.024808168,-0.3250541,-0.1442897,-0.25478667,-0.032183576,-0.3737318
1976-05-01,0.32907706,0.12645462,-0.24660663,0.015957695,-0.22206669,0.37306127,-0.40765867
1976-06-01,0.07496095,0.38445964,0.015823554,0.055248477,0.16990247,-0.15863821,-0.16641593
1976-07-01,-0.0009387016,0.034731437,-0.41181564,0.15796772,-0.06289208,0.27221942,-0.28536102
1976-08-01,-0.37507272,0.2043657,0.07952027,0.15273789,0.00040230752,0.36675873,-0.25679815
1976-09-01,0.27758336,0.021589827,-0.07858157,0.16158839,-0.04358194,-0.28576335,-0.12766162
1976-10-01,0.10231695,-0.0046934364,-0.059539605,0.07268123,-0.2971617,0.19336967,-0.10379203
1976-11-01,0.08434779,-0.0379498,0.0028160573,0.025612783,0.1422782,-0.08421369,0.01863966
1976-12-01,0.10875366,-0.1591746,-0.27114663,0.09386878,0.1660136,-0.07429042,-0.00013408661
1977-01-01,0.06490676,-0.18362507,-0.15450025,0.27266383,0.3424247,-0.27460545,-0.18847923
1977-02-01,0.033424187,0.027737927,-0.3665567,-0.13619323,-0.4913774,0.1848733,0.100411296
1977-03-01,-0.08043995,-0.011233861,-0.287781,-0.15907703,-0.5439407,0.09084171,0.31787664
1977-04-01,0.16670494,-0.08931612,-0.044519376,-0.058249645,-0.005686283,-0.5146772,0.07073174
1977-05-01,0.26212344,0.06920613,0.15158777,0.0058249473,0.18223815,-0.26156873,-0.012204695
1977-06-01,-0.10207556,0.23785272,-0.005547583,0.3346581,0.12731715,-0.1977714,-0.28320423
1977-07-01,-0.60551894,-0.02746055,-0.27377334,0.23702058,0.010540438,0.017474746,-0.56876624
1977-08-01,-0.06629372,0.0536729,-0.08543281,0.32578197,-0.43465334,-0.7049596,-0.20304164
1977-09-01,0.40927315,0.16129604,0.13480635,0.15047827,-0.04327116,-0.3880536,-0.2736346
1977-10-01,0.31884748,0.07461505,-0.22093257,0.14257295,0.1485366,-0.3051172,-0.22509328
1977-11-01,-0.08057868,-0.07475374,-0.22204208,0.32605934,0.07683406,-0.42563844,0.19901963
1977-12-01,0.0047154427,0.003883314,0.03342422,0.19374943,0.08862267,-0.3518556,-0.13175516
1978-01-01,0.10395988,0.17082444,-0.42630535,0.044537622,-0.3754882,0.53956807,0.40816468
1978-02-01,-0.016977787,0.15814927,0.27920324,0.05093336,-0.30362335,-0.06791115,-0.3335089
1978-03-01,0.029420424,-0.060468834,-0.22164154,-0.101750456,-0.47502923,0.30385596,0.33199722
1978-04-01,0.5755006,0.059538554,-0.3858377,-0.14617178,-0.33118317,0.067213446,-0.13117084
1978-05-01,0.20384975,0.22640929,-0.25292253,-0.032327555,-0.20059371,-0.12535655,-0.020233821
1978-06-01,-0.10314588,0.20536146,0.19815174,0.1089602,-0.083377264,-0.05907335,-0.08767981
1978-07-01,0.22954893,0.10663448,0.10233188,0.06732973,-0.18349966,-0.7690009,-0.31467053
1978-08-01,0.11605368,0.17594106,-0.2709469,-0.34316063,-0.4628192,-0.031978704,0.111285925
1978-09-01,0.018489504,0.05035194,-0.23513074,0.07128346,-0.09709899,-0.3399047,0.21931581
1978-10-01,0.113960505,0.02895527,0.27036548,0.26990035,-0.3226943,-0.44549257,-0.05197992
1978-11-01,0.19512829,0.21896696,0.0008140087,0.021396661,-0.33804408,-0.2786218,0.25094566
1978-12-01,0.24234052,-0.14675322,-0.18094139,-0.024885248,0.2129201,-0.2167575,0.011744904
1979-01-01,-0.087301515,0.009220934,-0.52202475,0.101133004,-0.03227334,-0.0069900514,0.11050272
1979-02-01,-0.053689696,-0.020672787,-0.15660743,-0.15437655,0.040453147,-0.3686893,-0.38058734
1979-03-01,0.0761472,-0.07971661,-0.5951975,0.22130279,0.21981554,-0.16895162,-0.37597683
1979-04-01,0.2272518,0.11198994,-0.14366837,-0.10262027,-0.019482994,0.01204673,0.10440495
1979-05-01,0.44409284,0.20985098,0.2917984,-0.1670182,-0.4443903,-0.53005594,-0.10618963
1979-06-01,0.39813685,0.13429868,-0.28867525,0.035694003,-0.5389794,0.33656472,-0.15065844
