,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7
1971-11-01,0.1985859,0.0029396056,0.07348995,0.7002773,0.60327035,-1.2947285,-0.99815637
1971-12-01,-0.023189927,0.0032665252,-0.58661234,0.057159044,0.099946596,-0.80512273,0.050299834
1972-01-01,0.18707009,0.095256425,0.1500576,-0.104437634,-0.43611392,-0.7112675,-0.93621063
1972-02-01,-0.47656935,-0.47226563,-0.64441586,0.5333786,-0.3001156,-0.6926182,-0.92588156
1972-03-01,-0.55604553,-0.38676453,-1.6032928,0.758609,-0.865629,0.014919663,-0.5190331
1972-04-01,-0.5428473,0.57985955,-0.6983563,-0.06914711,0.3709839,-1.2050521,-1.212225
1972-05-01,0.41832542,-0.040455244,1.2503847,-1.2222668,-0.76549494,-1.931813,-1.0452392
1972-06-01,0.78271025,-0.3701229,0.83234674,-1.8399994,-0.30126303,-2.5681953,0.24875717
1972-07-01,0.93534964,-0.27084962,0.07574616,-0.6553186,0.28175277,-2.7575605,-0.3345453
1972-08-01,1.1640228,-0.3483177,1.4322907,-1.7854853,0.955434,-2.8551126,-0.66564786
1972-09-01,0.7956211,0.07631989,1.635141,-1.3135067,-1.0136782,-1.997804,-0.5979353
1972-10-01,0.31073132,0.31847802,0.46824875,-1.4704502,-0.38733807,-1.621082,-1.7031403
1972-11-01,-0.38905963,-0.11419296,0.6527365,-1.8377043,0.92789,-0.9746574,-0.5901886
1972-12-01,-0.7812754,-0.16555099,-0.7241789,0.15895195,-0.84152794,-0.92989844,-0.8581694
1973-01-01,-0.7667599,-0.31568718,-1.3232739,-0.14940186,-0.5966522,-0.0774086,-0.114997864
1973-02-01,-0.15640983,-0.5632038,-1.3783836,0.12742195,-0.3494541,-0.5026783,0.49885598
1973-03-01,0.2213951,-0.28638,0.06785202,-0.6523987,-0.51319045,-1.1971264,-0.3749382
1973-04-01,0.75656605,-0.08951378,1.4277598,-0.9253998,-0.3319336,-0.854681,-0.8100832
1973-05-01,-0.62149906,-0.13411102,0.5275253,-1.1343712,-0.51956195,-1.1649525,-1.2688011
