,r800_cluster1,r800_cluster2,r800_cluster3,r800_cluster4,r800_cluster5,r800_cluster6,r800_cluster7,r800_cluster8,r800_cluster9,r800_cluster10
1976-01-01,64.563385,36.67273,73.93298,63.715485,56.259827,55.73173,69.05712,51.006752,70.502,53.406143
1976-02-01,67.208786,51.446285,67.897606,61.325935,53.502903,53.968678,66.34284,38.229137,66.070595,69.38349
1976-03-01,61.86551,45.748756,74.85633,55.585766,59.76133,53.233936,79.66987,58.81174,71.64839,75.18434
1976-04-01,66.21164,52.21055,75.85184,45.878323,57.762108,43.829903,80.588295,58.80026,74.19375,70.96613
1976-05-01,74.25443,39.01964,74.77597,40.551445,58.81174,56.37299,77.66245,62.093475,75.63043,69.90666
1976-06-01,70.72833,53.9982,79.738754,58.84946,58.680534,49.825916,80.220924,56.36807,75.55827,70.9891
1976-07-01,73.91658,73.84606,76.296295,59.87777,73.07359,60.966763,81.59529,71.47127,74.131424,65.02588
1976-08-01,75.12202,60.481308,75.97156,66.73973,72.90959,65.14233,77.08679,64.01069,77.40332,64.99308
1976-09-01,74.06747,54.35901,66.05747,55.433243,72.81447,59.25947,75.13022,68.04193,76.38486,63.484238
1976-10-01,63.97297,53.125694,78.561195,51.30524,54.070362,48.88125,70.857895,65.786865,73.78046,63.446514
1976-11-01,71.02682,47.17888,72.62586,61.48174,59.90401,45.209183,72.97192,65.39161,74.60376,56.541912
1976-12-01,62.89382,41.192703,76.02077,60.88804,51.484005,57.540703,77.88058,53.72431,75.25158,62.204998
1977-01-01,43.665665,53.586533,72.70861,65.34147,31.20244,50.88335,84.06392,55.072956,65.02469,75.48003
1977-02-01,49.13051,36.595802,79.68587,64.69654,51.680984,52.59558,81.3315,56.35307,49.370934,58.456806
1977-03-01,59.39902,33.341915,78.38789,54.358173,58.51529,41.74874,77.95577,48.329624,64.63643,54.592102
1977-04-01,55.020973,47.70094,82.4183,54.527122,56.928143,50.98407,80.719055,53.95367,63.577255,58.088043
1977-05-01,63.68772,47.350044,79.65501,59.091988,52.925358,56.445663,75.86665,65.4828,77.14352,74.54105
1977-06-01,68.593735,58.572144,83.88847,55.37024,59.2918,53.476063,76.38,60.26813,77.88267,78.5942
