,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5
1979-05-01,-3.9516907,2.8385315,-9.650604,-0.23190308,-7.7092285
1979-06-01,-4.449585,2.371582,-10.799316,-0.95947266,-8.381195
1979-07-01,-4.8808594,1.9814148,-11.103912,-1.5657654,-8.770874
1979-08-01,-5.233673,1.9830322,-12.0572815,-1.6565247,-9.353851
1979-09-01,-5.2128906,2.1290283,-12.726501,-1.8866882,-9.779358
1979-10-01,-5.2869263,2.254242,-11.971252,-1.5632629,-9.163879
1979-11-01,-4.29953,2.96698,-10.868317,-0.42837524,-7.759674
1979-12-01,-3.2313538,3.2677917,-9.029846,0.5552063,-6.318207
1980-01-01,-1.446991,3.5899658,-7.276245,0.8196106,-5.613922
1980-02-01,-0.95965576,3.3958435,-6.880493,1.0149536,-4.8346252
1980-03-01,-1.0159912,3.196991,-6.636902,1.0289001,-5.5832825
1980-04-01,-2.1625366,3.277771,-8.580719,0.6800842,-6.5378113
1980-05-01,-3.2502747,3.088745,-9.7387085,-0.012207031,-7.460266
1980-06-01,-3.8164673,2.5888367,-10.931946,-0.64276123,-8.867279
1980-07-01,-4.6015625,2.3857422,-11.330505,-1.4550476,-9.242584
1980-08-01,-5.5303345,1.870697,-12.234558,-1.451477,-9.956116
1980-09-01,-5.925232,1.7737122,-12.87442,-1.6167297,-9.701691
1980-10-01,-5.3177795,2.111969,-12.048218,-1.3551941,-9.035858
1980-11-01,-5.0289307,2.4186401,-11.303101,-1.1940308,-8.301117
1980-12-01,-3.0463257,2.7799683,-9.2482605,-0.22399902,-6.884186
1981-01-01,-1.630249,2.7113953,-7.780548,0.4664917,-5.085541
1981-02-01,-2.00531,2.9069214,-7.272827,0.46463013,-3.7514343
1981-03-01,-1.9538879,2.9875793,-7.8642883,0.5986023,-4.4100037
1981-04-01,-2.7207642,3.0107117,-8.887482,0.26748657,-5.739258
1981-05-01,-3.8621216,2.9822998,-10.540985,-0.31918335,-7.43277
1981-06-01,-5.002014,2.5293884,-11.508606,-0.97561646,-8.293762
1981-07-01,-5.584381,2.2925415,-12.097137,-1.1535339,-9.000183
1981-08-01,-5.64682,1.4211121,-12.5737915,-1.5338135,-9.610657
1981-09-01,-5.651123,1.121521,-12.864685,-1.7401123,-9.897949
1981-10-01,-5.462097,1.6950378,-12.193237,-1.5080261,-9.30188
1981-11-01,-4.6436157,2.6309204,-11.399353,-1.1463013,-8.876068
1981-12-01,-3.5679016,2.655182,-9.777679,-0.7739563,-6.625366
1982-01-01,-2.339203,3.050171,-7.5598755,-0.17123413,-4.535736
1982-02-01,-1.380249,3.006775,-7.2853394,0.22146606,-3.8276062
1982-03-01,-1.8881836,2.7166138,-7.966034,0.12957764,-4.4346924
1982-04-01,-2.4925842,2.9143372,-9.022034,-0.09729004,-5.8461914
1982-05-01,-3.4653015,2.8708801,-10.009796,-0.74057007,-7.2695312
1982-06-01,-4.371399,2.402893,-11.475647,-0.8390503,-8.485565
1982-07-01,-4.6375427,2.2794495,-12.51236,-1.1091919,-8.995026
1982-08-01,-5.143799,2.4441223,-12.835846,-1.2704773,-8.933472
1982-09-01,-5.6049194,2.6478882,-13.2229,-1.3976746,-9.612946
1982-10-01,-5.4265137,3.0290833,-12.999908,-1.0810547,-9.559692
1982-11-01,-5.088684,3.3263855,-12.329102,-0.6005249,-7.9470825
1982-12-01,-4.776886,3.7963562,-10.118713,-0.04840088,-6.559845
1983-01-01,-3.1011353,4.0317383,-7.6068726,0.40090942,-5.227173
1983-02-01,-1.8706055,3.994751,-7.217987,0.9730835,-4.2474365
1983-03-01,-2.7111816,2.9381104,-8.172363,1.002594,-4.140747
1983-04-01,-3.8360596,3.0054932,-8.911407,0.20281982,-5.539093
1983-05-01,-4.786621,2.3312988,-9.881256,-0.5803833,-7.0336914
1983-06-01,-5.353882,2.0346375,-11.585297,-1.0671082,-8.611877
1983-07-01,-5.8638916,1.6828003,-12.274261,-1.5650635,-9.040863
1983-08-01,-6.4561768,1.6220398,-12.872803,-2.0898132,-9.181702
1983-09-01,-6.4645996,1.6878662,-13.101166,-2.2096558,-9.320831
1983-10-01,-6.1407776,2.0006104,-12.514984,-2.0884094,-8.91745
1983-11-01,-5.3997498,2.728119,-10.476044,-1.4906311,-7.790558
1983-12-01,-3.5693665,2.9297485,-8.219788,-0.13482666,-6.8611145
1984-01-01,-2.147461,3.3182068,-7.1380005,1.135498,-6.256012
1984-02-01,-0.8551941,3.3102722,-7.282593,0.79641724,-5.2513123
1984-03-01,-1.6482239,3.120575,-7.839508,0.5785217,-5.469208
1984-04-01,-2.8213806,3.1046143,-9.00769,0.20721436,-6.1073303
1984-05-01,-3.84964,2.9013977,-10.80661,-0.010864258,-7.284088
1984-06-01,-4.635742,2.592926,-11.85257,-0.330719,-8.133545
1984-07-01,-5.4259644,2.0838318,-13.30304,-0.76605225,-8.431793
1984-08-01,-5.5750427,1.8065796,-13.344696,-1.2917786,-8.479401
1984-09-01,-5.8564453,1.9092407,-13.243011,-1.2217712,-8.960754
1984-10-01,-5.8526,1.9635925,-12.532379,-1.1115112,-8.915314
1984-11-01,-5.0855713,2.3237915,-11.762878,-0.550354,-7.5414734
1984-12-01,-3.446045,2.4329224,-9.839752,0.012634277,-5.621826
1985-01-01,-0.84976196,2.7243958,-7.617462,0.38549805,-4.656372
1985-02-01,-0.8810425,2.5181885,-7.375458,0.38043213,-4.723938
1985-03-01,-2.0853882,2.8510742,-7.7388306,0.25958252,-4.975891
1985-04-01,-3.159027,2.9284973,-9.495148,-0.3779602,-5.6063538
1985-05-01,-4.0076904,2.6505737,-10.898407,-0.48898315,-6.890625
1985-06-01,-4.5774536,2.1786194,-11.137909,-1.0506897,-8.0225525
1985-07-01,-5.492157,2.156311,-11.896332,-1.4576721,-8.526337
1985-08-01,-5.9076233,1.8588562,-12.097992,-1.6684265,-9.08902
1985-09-01,-6.510498,1.7435303,-12.483093,-2.1412354,-9.197296
1985-10-01,-6.4826965,1.7546692,-12.218811,-1.5527649,-8.666321
1985-11-01,-5.7861633,2.0231628,-11.654388,-1.0644836,-7.9687805
1985-12-01,-4.713257,2.3861694,-9.836273,-0.32885742,-6.774872
1986-01-01,-2.2614746,2.6533813,-8.344574,0.17523193,-4.830902
1986-02-01,-2.2966614,2.502777,-7.5456543,0.40811157,-3.9333496
1986-03-01,-2.2519226,2.7080383,-7.9038086,0.36364746,-4.527069
1986-04-01,-3.0006104,2.9214478,-9.072693,-0.44692993,-5.95874
1986-05-01,-4.0782776,2.5593262,-10.247406,-0.5567322,-7.0474243
1986-06-01,-4.948822,2.3848877,-11.381836,-0.99975586,-8.358124
1986-07-01,-5.6992493,1.8815613,-11.897736,-1.5214233,-9.207153
1986-08-01,-6.2103577,1.8609314,-12.585663,-2.222992,-9.516296
1986-09-01,-6.598633,1.8157349,-12.554779,-1.8269958,-9.46759
1986-10-01,-6.3237915,1.7904968,-12.039673,-1.5201416,-8.956696
1986-11-01,-5.726288,2.662384,-11.429565,-0.65719604,-8.306183
1986-12-01,-4.995575,3.1323547,-10.140198,-0.28271484,-6.7351074
1987-01-01,-3.1977844,3.4945679,-8.399994,-0.009735107,-4.9499207
1987-02-01,-1.7895203,3.6685486,-6.796234,0.8786316,-4.9555664
1987-03-01,-1.954773,3.4224243,-6.9579163,0.9298096,-6.5505676
1987-04-01,-3.0263672,3.163971,-8.453217,0.4559021,-7.241974
1987-05-01,-4.773712,3.104309,-10.4062805,-0.47573853,-8.457123
1987-06-01,-5.4503174,2.9716492,-11.796753,-1.0674133,-8.999664
1987-07-01,-6.0443115,2.634552,-12.365662,-1.6224976,-9.632019
1987-08-01,-6.407959,2.4423523,-13.138672,-1.620758,-9.658936
1987-09-01,-6.587036,2.2791138,-13.377136,-1.7671204,-9.917358
1987-10-01,-6.1161804,2.2290344,-12.806976,-1.4804382,-9.079071
1987-11-01,-4.921356,2.8666077,-11.099426,-1.2133789,-8.708618
1987-12-01,-3.5879517,2.9339905,-9.720459,-0.70028687,-7.4509583
1988-01-01,-1.930603,3.0940247,-8.326141,-0.3027649,-5.765503
1988-02-01,-1.4753723,3.0960083,-8.313538,0.24804688,-5.3532715
1988-03-01,-1.6605835,3.1440125,-7.928131,0.38354492,-5.840973
1988-04-01,-2.6053772,3.3621826,-8.848633,0.017456055,-6.682556
1988-05-01,-3.8164368,2.9412842,-10.212952,-0.5349426,-7.2420654
1988-06-01,-4.3725586,2.5677795,-11.085236,-1.1487427,-8.295441
1988-07-01,-5.508026,2.3398132,-12.347687,-2.0596008,-8.947327
1988-08-01,-6.148773,1.923645,-12.715759,-2.0159302,-8.869232
1988-09-01,-6.2306824,1.6383972,-12.730896,-2.2384949,-9.042206
