,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10
1979-10-01,-0.071982905,0.0056515457,0.006692624,0.001189804,-0.024242174,0.006097722,-0.023944736,-0.014128876,-0.0037181259,-0.005205375
1979-11-01,-0.04625349,-0.0660339,0.04327898,0.055474423,-0.015467405,0.0208215,-0.007882428,0.004610473,0.025878156,-0.02959628
1979-12-01,-0.16196153,-0.06469538,0.035396557,-0.009220934,-0.0056515457,-0.0636543,0.03182714,-0.0077337027,0.016508471,0.090870984
1980-01-01,-0.041904926,-0.17907271,-0.018729204,-0.04055748,0.08300135,0.057400286,0.0048507275,0.010914147,-0.033011902,0.09822727
1980-02-01,-0.019537652,-0.12962225,-0.043791316,-0.036245726,0.06292472,0.0006737113,-0.008623516,-0.0269485,-0.012935269,0.12814006
1980-03-01,0.029508602,0.055379152,0.012126828,-0.004176998,0.042578626,-0.05537914,-0.03179922,0.018459726,-0.029104376,0.059421442
1980-04-01,-0.00808456,-0.042713366,0.019807136,0.058208752,-0.3007452,0.027487468,-0.025601065,-0.009701455,0.047294606,0.052010596
1980-05-01,-0.020346116,0.05699606,0.030047571,0.0016169071,-0.26840702,0.0056591867,-0.015764857,-0.0014821648,0.016169101,0.00404228
1980-06-01,-0.004042268,0.04527347,-0.042309128,0.022367258,0.03880583,0.011453104,-0.023579944,0.020211374,0.0010779381,0.020480847
1980-07-01,0.017516518,0.011318361,0.13918898,0.017112296,-0.06710176,0.021963025,-0.085022494,-0.053896982,0.08367507,0.007815051
1980-08-01,0.017381787,-0.018594462,0.03341613,0.030317057,-0.02492736,0.022771478,-0.1014611,0.009162486,0.016438592,0.037862636
