,zgv500_cluster1,zgv500_cluster2,zgv500_cluster3,zgv500_cluster4,zgv500_cluster5,zgv500_cluster6
1978-09-01,-0.03628131,-0.09849443,0.11337908,0.4035132,-0.38804716,-0.53235835
1978-10-01,0.20280318,-0.0022094368,-0.03221128,-0.38618657,0.105704166,0.33222976
1978-11-01,0.12861256,-0.07895837,0.06721343,0.5141014,0.070469454,-0.040583897
1978-12-01,0.02418754,-0.1088439,-0.13082199,-0.0681437,0.29711133,0.14442751
1979-01-01,0.03390932,-0.042535353,-0.02602687,1.036762,-0.6118547,-0.10053811
1979-02-01,-0.13697574,-0.11139504,-0.031529687,-1.040034,0.28317243,-0.48975143
1979-03-01,0.08343472,-0.116302945,0.0056515695,0.08968117,0.25298125,0.113477185
1979-04-01,-0.04967413,-0.04446878,0.15839213,-0.18070088,-0.012046719,-0.30250663
1979-05-01,0.014277602,-0.108271815,-0.21877448,0.24227305,-0.3984343,-0.38222328
1979-06-01,-0.060977258,0.009964585,-0.02052405,0.12820096,0.12849844,-0.0029745102
1979-07-01,0.04625348,-0.14426325,0.13905787,0.79642236,-0.58315074,-0.5009058
1979-08-01,-0.012641621,-0.13905789,-0.1564587,0.14426327,-0.62702465,0.10901544
1979-09-01,0.025729418,-0.09354802,-0.08120386,0.1885833,-0.16805926,0.39322895
1979-10-01,0.17296718,0.09726616,0.011303091,0.40691155,0.18590629,-0.19468108
1979-11-01,-0.0029745102,0.13548848,0.07956788,-0.18203945,-0.45257014,-0.16672078
1979-12-01,0.122251965,0.0041643144,-0.09027608,-0.18709606,-0.21237934,-0.2682999
1980-01-01,0.2719103,0.032607697,-0.19780195,0.19470282,0.16991024,-0.5523094
1980-02-01,0.2758178,-0.17732105,-0.18176761,0.53667915,0.2848456,-0.4683648
1980-03-01,0.13649416,-0.12989175,0.09674511,0.28605825,-0.38037798,-0.32607678
1980-04-01,0.0068718614,-0.13177812,0.02048086,0.06871865,-0.10159578,0.6021641
1980-05-01,0.07316516,-0.040557493,-0.008488774,-0.08259716,0.30317056,-0.31785747
1980-06-01,0.02883489,-0.06831443,0.0489115,0.49450484,-0.049989462,-0.3679817
1980-07-01,-0.027487468,-0.1709882,0.13326028,-0.08461831,-0.43535295,0.6402962
1980-08-01,0.0040422915,-0.08340559,-0.030047584,0.22299878,-0.37822214,-0.32702
1980-09-01,0.04109645,-0.12234616,0.039075326,0.9220427,-0.72774404,-0.61038345
1980-10-01,0.040961713,-0.11170151,0.020076632,0.03085599,-0.060768843,0.106716014
1980-11-01,0.08812158,-0.049585246,0.01589961,-0.46890378,0.46944275,-0.1968588
1980-12-01,0.12126821,-0.055513907,-0.04567769,-0.5392394,-0.03287716,0.21275838
1981-01-01,0.6263663,-0.2247591,0.051997565,-0.23645505,-0.5715505,-0.5881784
1981-02-01,0.26181975,-0.010145855,0.025646497,1.0415013,-0.24420539,-0.8158968
1981-03-01,-0.12344136,0.50743425,0.027337456,-0.2523784,0.06312986,0.02902851
1981-04-01,-0.012259578,0.14894696,0.076234914,0.79870516,0.11808662,-0.52617586
1981-05-01,0.10300875,-0.06890736,-0.050447512,0.16022015,-0.09074917,0.43880874
1981-06-01,0.061438847,-0.089340016,0.0015501023,0.34467763,-0.20066261,-0.64130324
1981-07-01,0.016627932,-0.29000267,0.18826222,0.47558746,-0.41654414,-0.4623415
1981-08-01,0.025082875,-0.031987667,0.04777012,0.19868985,-0.4561413,-0.3303043
1981-09-01,-0.07637582,-0.11808662,0.0019728183,0.17135239,-0.21447234,0.08764901
1981-10-01,-0.087226294,-0.07609396,0.076375864,0.9174962,-0.6570857,-0.004086542
1981-11-01,0.11963673,-0.1434513,-0.029592086,-0.32029933,-0.58226,0.40752563
1981-12-01,0.37567893,-0.17980728,-0.100613214,-0.08539438,-0.23152299,-0.38117456
1982-01-01,0.25747216,-0.09926319,0.16672488,-0.35819906,-0.39705276,0.049365424
1982-02-01,0.24163799,-0.004790187,0.01144321,0.037789155,-0.19067578,-0.20930429
1982-03-01,-0.20504633,0.017031718,0.006653023,0.6735526,-0.26931456,0.19333696
1982-04-01,-0.07092128,-0.086356305,-0.10910964,0.2520167,-0.06626415,0.12015362
1982-05-01,0.094473004,-0.039385937,-0.018096257,0.66650033,0.122947976,-0.30417648
1982-06-01,-0.051095247,-0.09500523,-0.082896754,0.039518975,-0.2907373,-0.07730822
1982-07-01,0.081832215,-0.13026628,0.108045146,0.67302024,-0.7595097,-0.23804536
1982-08-01,-0.06772785,-0.055353213,-0.014237451,0.5643098,-0.5152105,-0.35234433
1982-09-01,0.076110646,-0.11057334,0.009580374,0.18269214,-0.3379738,0.21782017
1982-10-01,0.04723649,-0.2202152,0.05508709,-0.507626,0.22207808,-0.3539411
1982-11-01,-0.047236513,-0.05961113,-0.020890523,-0.47702208,-0.21236467,0.23817845
1982-12-01,0.014902783,-0.0078505995,0.039252877,-0.6511985,0.29659194,0.07118742
1983-01-01,0.5313225,-0.23796168,-0.14889368,-0.043997478,-1.0222692,1.0177085
1983-02-01,0.09429935,0.07780037,-0.090811744,0.18470868,0.026693583,-0.33641928
1983-03-01,0.1700876,-0.02857151,-0.37451455,-0.10127449,-0.5863192,-0.67659444
1983-04-01,0.04050982,-0.041717064,-0.04694847,0.33588278,-0.059423257,-0.22199914
1983-05-01,0.13816263,0.024010789,-0.005231404,0.45808285,-0.2775325,-0.02588873
1983-06-01,0.055935748,-0.061167143,0.09255557,-0.12233429,-0.5173721,0.090543464
1983-07-01,0.009523821,-0.065996125,-0.019852495,0.45835114,-0.5688813,-0.18605013
1983-08-01,0.00509727,0.049631227,0.0017437935,0.1256878,-0.3910136,0.2798128
1983-09-01,0.043997418,-0.09161658,0.039034296,0.3416507,-0.57129574,0.13776019
