,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6
1990-01-01,0.75442517,-8.688057,-1.6847054,-4.9843144,0.9425273,-17.86649
1990-02-01,0.29061386,-9.3436575,-2.549269,-5.861241,1.5033574,-18.215675
1990-03-01,0.32667205,-9.352876,-2.833983,-6.020827,1.6064546,-18.453064
1990-04-01,0.67209303,-9.339068,-2.4677339,-5.915452,1.63052,-16.709713
1990-05-01,1.3440944,-8.11139,-1.3236141,-4.8817625,1.4940116,-13.0303
1990-06-01,1.8888197,-5.5507636,0.18475501,-2.574761,0.7269508,-8.188647
1990-07-01,2.2448912,-2.8092976,1.2585604,-0.13202238,-0.066218235,-2.9735188
1990-08-01,2.8050838,-1.7119262,2.281694,0.922211,-0.4022666,-0.7199293
1990-09-01,3.1269765,-1.6100336,2.707481,1.0555676,-0.09387198,-2.1389267
1990-10-01,2.699932,-3.4708936,1.8658412,-0.3954901,0.31103143,-6.0229683
1990-11-01,2.1238806,-5.4428673,0.57383424,-2.0940049,0.6074607,-10.617479
1990-12-01,1.3996857,-7.3598614,-0.68045247,-3.7992578,0.94807774,-13.726116
1991-01-01,0.81927633,-8.637249,-1.8575318,-4.9505253,1.2214843,-15.891595
1991-02-01,0.34460765,-9.303196,-2.4831877,-5.526897,1.783882,-17.618631
1991-03-01,0.2850793,-9.579055,-2.8642719,-5.92299,2.2281435,-17.855087
1991-04-01,0.5434962,-9.513409,-2.50347,-5.923037,1.6509057,-16.409256
1991-05-01,1.1470878,-8.409392,-1.3884575,-4.892104,1.7218237,-12.410529
1991-06-01,1.7311836,-5.775442,-0.10448567,-2.6851428,1.2346082,-7.8417053
1991-07-01,2.0143404,-3.5099819,1.1767262,-0.33771956,0.3982034,-3.569655
1991-08-01,2.4879742,-1.6617845,2.1337988,1.2712392,0.15634729,-2.0355558
1991-09-01,2.6812382,-1.8484135,2.4550889,0.8645056,0.12814184,-3.7589817
1991-10-01,2.501437,-3.8496065,1.713707,-0.55448544,0.15088765,-6.989954
1991-11-01,1.9875066,-5.48825,0.505674,-2.2024136,0.42988837,-11.052975
1991-12-01,1.2940547,-7.041409,-0.8757421,-3.7858853,0.78679776,-13.294096
1992-01-01,0.7867283,-8.231172,-2.0106015,-5.2321153,1.2972646,-16.452648
1992-02-01,0.494173,-8.930108,-2.54909,-5.9500628,2.0377407,-18.633339
