,zgu50_cluster1,zgu50_cluster2,zgu50_cluster3,zgu50_cluster4,zgu50_cluster5,zgu50_cluster6
1979-02-01,0.078591354,0.056985117,-0.004078792,-0.058527127,-0.057380237,0.03910598
1979-03-01,0.020029996,0.034612384,-0.010379568,0.027574481,-0.050444048,0.086897634
1979-04-01,-0.038814787,-0.023130337,0.014662791,0.039036512,-0.04305562,0.10457083
1979-05-01,0.007239518,-0.033594273,0.020067513,0.0037959549,0.053532485,0.0074217296
1979-06-01,0.008762256,0.00074955524,0.021347845,0.009469666,-0.0021286777,-0.007431212
1979-07-01,-0.0132949585,0.021536265,0.012110068,0.012824343,-0.009701884,-0.016702233
1979-08-01,-0.0044030063,0.007834973,0.014346628,-0.008900978,-0.021000627,0.0016885753
1979-09-01,-0.00033352,0.042059798,0.013670888,0.027445,-0.036954023,0.0267813
1979-10-01,-0.008920884,0.10037973,-0.003712971,0.05812554,-0.03009775,-0.012201425
1979-11-01,-0.004911742,0.037634496,-0.000331882,0.014673257,-0.02011138,0.16978334
1979-12-01,0.040848464,0.13698761,0.016468707,0.026117694,-0.10223333,0.15504086
1980-01-01,0.021791136,0.25374138,-0.034818172,0.0614423,-0.20790409,0.2019009
1980-02-01,0.04840721,0.43712273,-0.040286005,-0.14850052,-0.43574524,0.14376979
1980-03-01,-0.002510841,0.06754421,0.008044293,0.052829444,-0.032325376,0.13549705
1980-04-01,-0.008689525,0.053956885,-0.0068233763,0.05626887,-0.023797527,0.043076526
1980-05-01,0.0055263,0.076100014,0.008013465,-0.000565279,-0.040970482,0.03460243
1980-06-01,-0.003058649,0.028486729,0.0072048716,0.021145158,-0.03616777,0.01841203
1980-07-01,0.0017695867,0.012291342,0.012516248,0.0021777141,-0.010154388,0.014329666
1980-08-01,0.0016277262,0.00043493754,0.0072181537,-0.009819511,-0.040175293,0.02060982
1980-09-01,-0.00090487575,0.0006903535,0.0037333514,0.017611684,-0.04060567,0.04207767
1980-10-01,0.015417251,0.102867395,-0.022439959,0.04363206,-0.064498946,0.09570977
1980-11-01,-0.025942497,0.14725344,-0.02012387,-0.022290733,-0.087946646,0.14252225
1980-12-01,0.05538026,0.24401352,-0.049051493,0.015223144,-0.27249405,0.22357917
1981-01-01,0.12423995,0.411406,0.020326251,-0.047211222,-0.19502409,0.25829726
1981-02-01,0.06598299,0.073686734,-0.06887623,0.08152971,-0.09925509,0.15309513
1981-03-01,0.03428357,0.17856593,0.008733902,-0.08839448,-0.10980355,0.047384057
1981-04-01,-0.07278215,0.026501097,0.046332672,0.096778475,-0.04406299,0.013856686
1981-05-01,-0.040285874,0.0057063517,0.012188759,0.0396331,0.02331312,-0.026387768
1981-06-01,0.0019162339,-0.015221603,0.0068400954,0.005573425,-0.003146165,0.01954011
1981-07-01,-0.008240766,0.03197459,-0.001211952,0.0067954753,-0.010859945,0.012989147
1981-08-01,-0.008842532,0.023554629,-0.008650859,0.01252488,-0.019760113,0.011340497
1981-09-01,-0.003556084,0.017859474,0.0009600001,0.0035291086,0.008951064,-0.0054491283
1981-10-01,-0.015666034,-0.07672059,0.00035760895,0.055588156,-0.0019666268,0.03829791
1981-11-01,0.021469314,0.16547891,-0.014465629,0.058550257,-0.10429939,0.17166583
1981-12-01,0.020711752,0.25364515,-0.03445443,0.108658135,-0.097955815,0.21033607
1982-01-01,0.023649586,0.22133681,-0.05820564,0.035304777,-0.29922178,0.16330746
1982-02-01,0.040771697,0.17788777,-0.01869969,-0.022888908,-0.25921646,0.030880893
1982-03-01,0.01792699,0.15963396,-0.01651171,0.014520658,-0.16711552,0.12713186
1982-04-01,-0.010939303,0.011398006,-0.0012243416,0.06468835,-0.006742979,0.044153422
1982-05-01,0.0067238063,0.044203743,0.01786394,-0.020738637,0.024242189,-0.044247597
1982-06-01,-0.009275669,-0.019027803,-0.0051880474,-0.016861213,0.004562556,-0.01452012
1982-07-01,-0.010131372,0.026095275,-0.0061407145,-0.0073124487,-0.018541623,-0.03525732
1982-08-01,-0.007105656,0.030395016,-0.0076289857,-0.010132894,-0.048323624,0.029031409
1982-09-01,-0.0027102886,-0.0064045005,-0.0027674066,0.019587804,0.024009116,-0.0256708
1982-10-01,0.013568207,0.11096048,0.013638659,0.0030124178,-0.0065169903,0.059914418
1982-11-01,0.013778946,0.012009423,-0.021115497,0.11583083,-0.056418143,0.16833457
1982-12-01,-0.0453361,0.13868815,0.015883584,0.10847383,0.023511343,0.166674
1983-01-01,0.15012582,0.27446255,-0.12000783,-0.00018794922,-0.14030215,0.14874081
1983-02-01,0.114672385,0.23059317,-0.17917526,0.052066933,-0.121151716,0.32476538
1983-03-01,0.11056213,0.034062386,-0.1817994,0.08563763,-0.06695305,0.35197148
1983-04-01,-0.062639244,-0.033781346,-0.02868444,0.12795988,0.04966681,0.003390781
1983-05-01,-0.05668836,-0.0279243,0.0071813855,0.070466526,0.028471671,-0.083256006
1983-06-01,0.032879908,0.0058478713,-0.013925353,0.029392662,-0.016108911,0.020750638
1983-07-01,-0.0038651337,0.01520336,-0.0031724256,0.023650037,-0.016885651,-0.020616768
1983-08-01,-0.008177976,0.06478659,0.0014546923,0.0074520526,-0.02813424,0.016529264
1983-09-01,-0.00077076664,-0.06651943,-0.018332234,0.0037965754,-0.010729298,0.03266015
1983-10-01,0.0026620636,0.044505708,0.0040081306,0.011494733,-0.06452076,0.0921653
1983-11-01,-0.00835708,0.07998891,-0.009356354,0.08587497,0.006186754,0.05965715
1983-12-01,0.01880929,0.29622352,-0.05056184,0.034555517,-0.2038324,0.11815227
