,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7
2003-06-01,8.5774176e-05,3.8266558e-06,5.8544625e-05,0.00014026403,5.1766998e-05,0.00015789509,2.9630604e-05
2003-07-01,7.946026e-05,3.111834e-06,6.230475e-05,0.00013468022,5.6534867e-05,9.750135e-05,3.0270769e-05
2003-08-01,8.379162e-05,2.7875853e-06,6.105533e-05,0.00012918013,5.6451496e-05,7.585948e-05,3.0101452e-05
2003-09-01,8.510416e-05,3.6644763e-06,6.066764e-05,0.00012933748,5.3870903e-05,8.9781315e-05,3.0516861e-05
2003-10-01,8.527845e-05,4.2464894e-06,6.1847815e-05,0.00013579987,4.478899e-05,0.00015841314,3.224755e-05
2003-11-01,9.1944654e-05,1.0563875e-05,6.248157e-05,0.00015840447,3.561612e-05,0.00024104162,2.6767662e-05
2003-12-01,9.335017e-05,1.3130893e-05,6.4817345e-05,0.00015608742,3.5392983e-05,0.00021783088,2.4085313e-05
2004-01-01,9.263518e-05,7.232467e-06,6.727057e-05,0.00015755811,4.0003637e-05,0.0002509557,2.0617095e-05
2004-02-01,9.017721e-05,1.0928878e-05,6.5807544e-05,0.00018173069,3.7008274e-05,0.00024530425,2.371957e-05
2004-03-01,8.643899e-05,9.964345e-06,6.36101e-05,0.00017609511,3.7092923e-05,0.00026545534,2.7666914e-05
2004-04-01,8.9351546e-05,8.824042e-06,6.603927e-05,0.00014628265,3.9254297e-05,0.00022599881,2.385588e-05
2004-05-01,9.0658614e-05,5.804995e-06,6.197307e-05,0.00015092702,4.3717046e-05,0.0002510328,3.5219677e-05
2004-06-01,8.7821645e-05,2.3693028e-06,6.0630093e-05,0.00013006579,5.278249e-05,0.00015505883,3.1123913e-05
2004-07-01,8.418132e-05,5.4149273e-06,6.0823128e-05,0.00012509781,5.6437348e-05,0.00011964681,3.0451898e-05
2004-08-01,8.329161e-05,4.588211e-06,6.0430124e-05,0.000130365,5.861607e-05,4.8065e-05,2.7634165e-05
2004-09-01,8.35448e-05,3.2965008e-06,6.01723e-05,0.0001306678,5.1870877e-05,9.335714e-05,3.140886e-05
2004-10-01,8.734408e-05,5.927203e-06,6.1215826e-05,0.00013750693,4.4573466e-05,0.0001339186,2.8549022e-05
2004-11-01,8.808335e-05,1.152739e-05,6.414641e-05,0.00015475576,3.9500548e-05,0.00017073107,2.4666531e-05
2004-12-01,9.164746e-05,1.0585484e-05,6.6112734e-05,0.0001691238,3.4662142e-05,0.00024708215,2.3451044e-05
2005-01-01,9.4597446e-05,1.1375485e-05,6.930984e-05,0.00015432964,3.540941e-05,0.00028350268,1.9810848e-05
2005-02-01,9.766043e-05,1.0827453e-05,6.8015645e-05,0.00015611021,3.33891e-05,0.00034759357,1.9462801e-05
2005-03-01,9.14884e-05,9.184875e-06,6.690303e-05,0.00014721419,3.849639e-05,0.00025462164,2.2732738e-05
2005-04-01,9.110092e-05,1.0802591e-05,6.196569e-05,0.00013996175,4.200951e-05,0.0002623758,2.5502857e-05
2005-05-01,9.20908e-05,9.630203e-06,6.3765074e-05,0.00014174139,4.0979077e-05,0.0002452816,2.9784875e-05
2005-06-01,8.435791e-05,4.43563e-06,6.0600265e-05,0.0001283348,5.2242645e-05,0.0001622717,3.2306656e-05
2005-07-01,8.282949e-05,3.8570083e-06,6.3951185e-05,0.000118872704,5.7573696e-05,5.4934226e-05,2.9053139e-05
2005-08-01,8.5469714e-05,5.671226e-06,6.1834675e-05,0.00013306558,5.5833512e-05,9.203653e-05,2.7723901e-05
2005-09-01,8.115698e-05,5.1959105e-06,6.0207796e-05,0.00013141158,5.475517e-05,4.3253465e-05,3.106735e-05
2005-10-01,8.529663e-05,5.266231e-06,5.7839465e-05,0.00015499548,4.6352e-05,0.00016052068,3.1883766e-05
2005-11-01,9.3695126e-05,9.802966e-06,6.162167e-05,0.0001539439,3.4687888e-05,0.00026239792,3.1234245e-05
2005-12-01,9.337776e-05,1.1076446e-05,6.565482e-05,0.00014668936,3.676213e-05,0.00023733961,2.6522921e-05
2006-01-01,9.546238e-05,1.1797302e-05,6.569815e-05,0.00017092461,3.1578333e-05,0.0003112129,2.0828085e-05
2006-02-01,8.878905e-05,8.024979e-06,6.19017e-05,0.0001779352,3.8917697e-05,0.000269992,2.3890176e-05
2006-03-01,9.100695e-05,1.0728782e-05,6.72568e-05,0.00016059334,4.041418e-05,0.00025766846,2.289984e-05
2006-04-01,8.8811605e-05,9.698878e-06,6.602158e-05,0.00016154749,3.9004153e-05,0.00024537623,2.7323646e-05
2006-05-01,8.63626e-05,4.4820436e-06,5.9415728e-05,0.00016243127,4.6957754e-05,0.00017173309,3.043047e-05
2006-06-01,8.7036846e-05,5.6075005e-06,6.104025e-05,0.00012393588,5.3428532e-05,0.00015520892,3.1325177e-05
2006-07-01,8.1083934e-05,5.9899226e-06,6.434105e-05,0.00011943855,5.9606304e-05,1.9468003e-05,2.6122194e-05
2006-08-01,8.1462844e-05,3.1838072e-06,6.4572545e-05,0.000106736275,6.058947e-05,2.3732891e-06,2.728424e-05
2006-09-01,8.49274e-05,1.9180047e-06,6.1888495e-05,0.00012889104,5.293946e-05,8.712664e-05,3.0452811e-05
2006-10-01,8.322308e-05,3.735154e-06,5.9048543e-05,0.00015189346,4.653755e-05,0.00014330668,2.8524364e-05
2006-11-01,8.8636545e-05,5.191287e-06,6.3797e-05,0.00015008458,3.863052e-05,0.00020761086,2.4189467e-05
2006-12-01,9.57805e-05,1.310335e-05,6.969432e-05,0.0001467477,3.1770862e-05,0.00026323146,2.278552e-05
2007-01-01,9.350549e-05,1.41943e-05,7.03159e-05,0.00013436365,3.1496835e-05,0.00030635606,2.1325743e-05
2007-02-01,9.198133e-05,6.776225e-06,6.902561e-05,0.00014352195,3.93392e-05,0.00023357093,2.0896501e-05
2007-03-01,9.35728e-05,1.1240405e-05,6.775444e-05,0.00016685024,3.5460464e-05,0.00026609594,2.2415175e-05
2007-04-01,8.564803e-05,1.1250151e-05,6.2144565e-05,0.00014811296,4.173718e-05,0.00019232533,2.4631563e-05
2007-05-01,8.6128464e-05,5.130618e-06,6.281829e-05,0.00012744423,4.7599853e-05,0.00014100557,3.0551753e-05
2007-06-01,8.4614454e-05,2.4416663e-06,6.0771723e-05,0.000134116,5.3483294e-05,0.00016134465,3.214543e-05
2007-07-01,8.482991e-05,4.852332e-06,6.3508756e-05,0.00012861533,5.4443266e-05,0.000112316455,2.8622444e-05
2007-08-01,8.480649e-05,1.1887172e-06,6.040664e-05,0.00012990746,5.7961654e-05,6.749083e-05,2.79062e-05
2007-09-01,8.4646614e-05,2.751364e-06,6.2794825e-05,0.00012618373,5.5117558e-05,8.8328416e-05,3.071946e-05
2007-10-01,8.8502245e-05,2.3056516e-06,5.9722563e-05,0.00014612923,4.5043947e-05,0.00016495981,3.3281925e-05
2007-11-01,8.525073e-05,5.7028647e-06,5.938344e-05,0.00016096837,4.0768147e-05,0.00018333728,2.841156e-05
2007-12-01,9.547378e-05,1.264591e-05,6.3481406e-05,0.00015880949,3.4479028e-05,0.00028152223,2.5077552e-05
2008-01-01,9.917948e-05,1.1135514e-05,6.842624e-05,0.00015723569,3.2803433e-05,0.00033753808,1.9501033e-05
2008-02-01,9.339181e-05,1.4093867e-05,6.5756445e-05,0.00017146181,3.602886e-05,0.00028750638,2.1860755e-05
2008-03-01,8.748042e-05,1.2380369e-05,6.336075e-05,0.00015530961,4.0906656e-05,0.00026562126,2.6054257e-05
2008-04-01,9.064718e-05,1.0690176e-05,6.54454e-05,0.00015640844,3.744949e-05,0.0002643835,2.684388e-05
2008-05-01,8.680531e-05,4.4842e-06,6.20446e-05,0.00012917869,4.5015808e-05,0.00018380789,2.9383167e-05
2008-06-01,8.310048e-05,2.666101e-06,6.395734e-05,0.00012524097,5.38378e-05,7.860946e-05,2.8591865e-05
2008-07-01,8.280182e-05,4.676197e-06,6.540167e-05,0.00011970371,5.567783e-05,7.541948e-05,3.015512e-05
2008-08-01,8.357336e-05,4.325414e-06,6.496181e-05,0.000121806945,5.598399e-05,9.673897e-05,2.8665028e-05
2008-09-01,8.2617364e-05,3.2397954e-06,5.9431855e-05,0.00013794878,5.3115153e-05,0.00010283067,2.9930232e-05
2008-10-01,8.621146e-05,6.22366e-06,5.9507558e-05,0.00015977511,4.493997e-05,0.00015074483,3.212058e-05
2008-11-01,9.365692e-05,1.01158685e-05,6.0666487e-05,0.000155775,3.7249105e-05,0.0002217016,3.0576557e-05
2008-12-01,9.053864e-05,1.0300188e-05,6.5514214e-05,0.00016648945,3.562108e-05,0.00024163541,2.5339312e-05
2009-01-01,9.345216e-05,1.2473831e-05,6.9107635e-05,0.00014294147,3.5144556e-05,0.0002746399,2.0560956e-05
2009-02-01,9.565814e-05,1.3574336e-05,6.211589e-05,0.00017754358,3.343782e-05,0.00032617935,2.1275499e-05
2009-03-01,8.918238e-05,9.48915e-06,6.636169e-05,0.0001620285,3.6498262e-05,0.0002540154,2.5055962e-05
2009-04-01,9.099534e-05,8.550419e-06,6.368618e-05,0.00015126835,3.8898557e-05,0.00023331812,2.7700262e-05
2009-05-01,8.7635286e-05,5.5349697e-06,5.972884e-05,0.00015558137,4.152918e-05,0.0002070297,3.3939654e-05
2009-06-01,9.170809e-05,3.4753382e-06,6.070099e-05,0.0001325376,4.763508e-05,0.00017639075,3.3722954e-05
2009-07-01,8.429617e-05,3.0542176e-06,6.170667e-05,0.00012825265,5.8842183e-05,9.333098e-05,2.6401427e-05
2009-08-01,8.1127124e-05,4.494227e-06,5.8419548e-05,0.00013570699,5.4383934e-05,9.46685e-05,2.9554298e-05
2009-09-01,8.467096e-05,2.3593782e-06,5.8863443e-05,0.00013993052,5.2553365e-05,5.9513808e-05,3.1342694e-05
2009-10-01,9.126773e-05,5.3562712e-06,6.1227285e-05,0.000135606,4.5548906e-05,0.00017137502,2.9188614e-05
2009-11-01,9.256864e-05,8.2937595e-06,6.1621016e-05,0.00015361694,3.8138434e-05,0.00024370503,2.751389e-05
2009-12-01,9.190075e-05,1.0153424e-05,6.629495e-05,0.00015149867,3.92828e-05,0.00025620157,2.1772228e-05
2010-01-01,8.9086854e-05,9.154375e-06,6.331649e-05,0.00017333927,4.2162534e-05,0.00025077516,2.0968715e-05
2010-02-01,9.4736504e-05,7.92362e-06,6.4429405e-05,0.00017746177,4.1450778e-05,0.00029905693,1.921408e-05
2010-03-01,8.918539e-05,9.678277e-06,6.2105515e-05,0.0001744762,3.928e-05,0.00028040592,2.221884e-05
2010-04-01,8.9588226e-05,1.13825445e-05,6.5569424e-05,0.00017101574,3.7041274e-05,0.00027953266,2.4700325e-05
2010-05-01,9.041546e-05,9.276608e-06,6.182378e-05,0.0001624866,4.2279087e-05,0.00024918577,2.9238287e-05
2010-06-01,9.00063e-05,6.3704465e-06,6.017598e-05,0.000121362915,5.147731e-05,0.00020517365,3.1458487e-05
2010-07-01,8.4071544e-05,4.4923495e-06,5.9421654e-05,0.000111940666,5.742922e-05,9.703484e-05,3.047004e-05
2010-08-01,8.3892475e-05,4.4436056e-06,6.213264e-05,0.0001190511,5.649349e-05,8.5028165e-05,3.1780473e-05
2010-09-01,8.688317e-05,6.0729703e-06,6.1749764e-05,0.00013629728,5.2759573e-05,0.00010786906,3.085028e-05
2010-10-01,8.454565e-05,5.3074264e-06,5.992565e-05,0.0001406809,4.7761583e-05,0.00014655414,3.2344626e-05
2010-11-01,8.901119e-05,8.69576e-06,6.542802e-05,0.00012561619,4.009117e-05,0.00020283076,2.9443083e-05
2010-12-01,9.215359e-05,1.35455875e-05,6.6062246e-05,0.0001585947,3.8326183e-05,0.00024396207,2.6734411e-05
2011-01-01,9.5267984e-05,1.1865729e-05,6.596873e-05,0.00017075428,3.2636268e-05,0.00032874834,2.1819033e-05
2011-02-01,9.490937e-05,1.0004009e-05,6.797627e-05,0.00016126108,3.6609454e-05,0.00026569466,2.339559e-05
2011-03-01,9.2024944e-05,1.1040515e-05,6.50026e-05,0.0001699511,3.5730616e-05,0.0002772909,2.785992e-05
2011-04-01,8.735791e-05,8.931309e-06,6.392933e-05,0.00012770959,4.190651e-05,0.00021002733,2.632233e-05
2011-05-01,8.530388e-05,7.1489976e-06,5.979345e-05,0.00015991113,4.4870696e-05,0.00017448989,3.0390542e-05
2011-06-01,8.496627e-05,3.4015486e-06,6.1443585e-05,0.00013412423,5.3681546e-05,0.00011879066,3.0189827e-05
2011-07-01,8.4162515e-05,4.3494197e-06,6.229316e-05,0.00012292199,5.6508612e-05,9.449212e-05,3.063633e-05
2011-08-01,8.089175e-05,1.9119213e-06,6.469771e-05,0.000109168264,5.733651e-05,1.4331753e-05,2.9297686e-05
2011-09-01,8.463616e-05,4.731406e-06,6.1430146e-05,0.00013348047,5.4514516e-05,6.310538e-05,2.8542685e-05
2011-10-01,8.7066255e-05,4.2796414e-06,6.042348e-05,0.00015013089,4.3848522e-05,0.00015036704,3.0284285e-05
2011-11-01,8.504052e-05,8.214998e-06,6.0333034e-05,0.00017295475,3.8012928e-05,0.00017899077,2.9038118e-05
2011-12-01,9.556106e-05,1.2797365e-05,6.3720676e-05,0.00015246125,3.234095e-05,0.00029636553,2.868898e-05
