,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1979-04-01,2.366797,-14.054014,1.6784554,-3.921758,-0.77399033,1.6397529,1.4260408
1979-05-01,2.0994802,-9.684282,2.2915874,-0.7180672,1.0766155,2.4320657,2.1158993
1979-06-01,2.1380699,-4.6363735,1.835205,2.6836302,2.4791818,2.78805,1.1473376
1979-07-01,2.0423,-2.4788344,0.44104025,4.348076,1.6415776,2.6247609,-1.008085
1979-08-01,1.8778646,-1.1344961,-0.08365274,6.0389256,0.79314476,2.3605175,-1.9570919
1979-09-01,1.821856,-3.004128,0.8098929,5.633464,1.2526363,2.8275685,-0.69928813
1979-10-01,1.7773094,-6.8415623,1.2471731,4.1174183,1.4648125,2.4329379,0.48770982
1979-11-01,1.5138685,-10.802781,1.0719212,0.90250105,0.27707854,1.5677137,0.4433343
1979-12-01,1.3544204,-13.513607,0.26867557,-2.9878983,-1.6632518,0.15282448,-0.55474925
1980-01-01,1.2275745,-16.127789,-0.122412495,-6.892935,-2.8862891,-0.5676375,-0.99109197
1980-02-01,1.2378528,-16.845453,0.0011373479,-8.176133,-3.3955863,-0.36484405,-0.7584204
1980-03-01,1.4960449,-17.203041,0.29760513,-7.4714317,-2.601903,0.39149857,-0.27614582
1980-04-01,1.9160277,-15.201906,1.5213082,-4.1467977,-0.52581424,1.3783188,1.2338239
1980-05-01,2.3068073,-11.184708,2.6671457,-0.6268002,1.7804481,2.6410058,2.3739135
1980-06-01,2.1950953,-5.6980314,1.5626364,2.3592362,2.8774228,3.0798671,0.61144495
1980-07-01,2.1648731,-0.76191396,0.6925273,5.9017234,1.7352202,2.5301847,-0.6725625
1980-08-01,2.1953518,0.38849512,0.43737915,6.7073793,0.84122,2.325473,-1.2999107
1980-09-01,2.0870378,-3.4661188,0.747398,6.109162,0.8506836,2.6682937,-0.68880284
1980-10-01,1.9420903,-6.942061,1.7083464,4.2073326,1.6220117,2.5603347,0.8051824
1980-11-01,1.8172796,-9.617643,1.6491747,0.6842228,1.0555675,1.5194535,1.04513
1980-12-01,1.4945235,-12.668746,0.7181819,-3.6716118,-1.1857111,0.26642826,-0.083952025
1981-01-01,1.3690264,-14.939374,0.1759401,-6.1936574,-2.3117018,-0.6140683,-0.5202165
1981-02-01,1.460826,-16.799887,0.11069164,-6.5893745,-2.7681518,-0.34183002,-0.52660686
1981-03-01,1.7697396,-16.903439,0.830523,-6.060917,-1.9924452,0.67493236,0.27170753
1981-04-01,2.2964063,-13.738746,1.7975867,-3.3987777,-0.2539072,1.9631385,1.5711823
1981-05-01,2.2866669,-9.454763,2.21334,-1.1546566,1.0953559,2.5624433,1.9982446
1981-06-01,1.9071238,-3.9712148,1.4436959,1.895977,2.1820726,2.5606372,0.6715686
1981-07-01,1.9378308,-0.20201957,0.48623055,4.3180404,1.4876937,2.3582456,-1.0500544
1981-08-01,2.0706873,1.0859927,0.32273063,6.7016487,0.9931794,2.5037405,-1.3689618
1981-09-01,1.9261897,-0.8264953,0.6722459,6.2254844,1.4509755,2.7186618,-0.41329673
1981-10-01,1.8729078,-4.38314,1.4047114,3.8053184,1.6410447,2.7470849,0.89842653
1981-11-01,1.3566885,-8.841164,0.7636368,0.42276973,-0.2601691,1.5895495,0.51265895
1981-12-01,1.1402655,-12.012702,0.038368985,-3.0653386,-1.7441022,0.10978289,-0.6393642
1982-01-01,1.0449209,-14.407316,-0.3581852,-5.558409,-2.7629063,-0.91934353,-1.102687
1982-02-01,1.1926974,-16.454756,0.04103553,-7.7625947,-3.0381124,-0.40393484,-0.6647404
1982-03-01,1.7251022,-17.249878,0.59812325,-8.100123,-2.6074579,0.7174233,0.15519258
1982-04-01,2.3409038,-14.97333,1.5185078,-5.019618,-1.0467793,1.2103688,1.3830736
1982-05-01,2.5793023,-9.672996,2.7008724,-0.94020057,1.1362991,2.1628416,2.2102594
1982-06-01,2.0422854,-3.9217,1.839774,2.7407417,2.6589568,2.4758744,0.8823001
1982-07-01,2.0681472,-1.0740514,1.2211773,4.828567,2.4408686,2.3582602,-0.3407471
