,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11
1973-05-01,0.028020442,0.045929372,0.10871017,0.0006098151,-0.08963144,0.12040079,0.0060819387,0.023493469,-0.283446,0.22118837,-0.017100155
1973-06-01,-0.012523472,0.00911653,-0.065703094,0.00837034,-0.07848805,0.15552223,0.07498169,-0.014861584,-0.2981214,0.015334904,-0.15783465
1973-07-01,-0.02560693,-0.028044522,-0.09286499,0.0042910576,-0.04515755,0.027821422,0.051501036,-0.028193772,-0.08714408,-0.07251841,-0.24752867
1973-08-01,-0.003519237,-0.086099386,-0.07833886,0.018021286,-0.055106938,0.02622956,0.055132568,-0.07221997,0.07035518,-0.009538591,-0.22743082
1973-09-01,0.0127978325,-0.027646542,-0.049187064,0.02409041,-0.050729215,0.050356865,0.05901289,-0.029437423,0.015832365,0.005186498,-0.085353196
1973-10-01,0.019911647,0.06115198,0.037223637,0.017026305,-0.07838857,0.21800452,0.05652553,0.04150188,0.09264189,0.0966714,-0.08047795
1973-11-01,0.019364417,0.066375434,0.15716386,0.02443862,-0.08739281,0.2014885,-0.04351586,0.10657108,0.14308542,0.435847,-0.0758515
1973-12-01,0.048914194,0.045581162,0.23755515,0.032298684,-0.12002689,0.15492523,-0.006305039,0.15273637,0.19969761,0.29093376,-0.224446
1974-01-01,-0.0031855702,0.07391322,0.43916267,0.019540727,-0.23832119,0.29101518,-0.09785253,0.28612864,0.71032685,0.1973953,-0.24859846
1974-02-01,0.0152359605,0.017175019,0.65409285,0.036100686,-0.3020401,0.2866328,-0.041773677,0.2362937,0.58552617,0.3272764,-0.62160426
1974-03-01,0.0026317835,0.056926668,0.39983764,0.014072478,-0.16700095,0.4600662,-0.029440999,0.17978823,0.116612256,0.35655686,-0.11604136
1974-04-01,0.085974395,0.023729205,0.12638533,0.038194895,-0.03591758,0.12308884,-0.09238428,0.02310872,-0.15168208,0.71373963,-0.030526876
1974-05-01,0.026831746,0.03307569,-0.0044653416,0.01690358,-0.08032304,0.024039447,0.06522602,-0.07675511,-0.2711308,0.0888055,0.025862217
1974-06-01,0.009379864,0.023418963,-0.1329503,0.011939466,-0.06643909,-0.00795573,0.0694145,-0.10196346,-0.3554818,0.0037564635,-0.08765286
1974-07-01,0.004842341,-0.014975309,-0.09250063,0.009069562,-0.07516503,0.0065099597,0.062123477,-0.07935351,-0.11879486,-0.057596803,-0.20900196
1974-08-01,0.00096416473,0.009069562,-0.113132715,0.01325804,-0.042743266,0.03811735,0.07077187,-0.09098816,-0.056627214,0.013529539,-0.22730708
1974-09-01,0.02043271,0.021285951,-0.048793256,0.0036401153,-0.08668333,-0.01807785,0.04936415,-0.025756717,-0.11041796,0.03617823,-0.0036897063
1974-10-01,0.04882121,0.03392887,-0.0041550994,0.020936906,-0.14252949,0.26646614,0.004376948,-0.032155752,0.1223132,-0.020016968,-0.003922403
1974-11-01,0.023225069,0.114169,0.31416807,0.016399384,-0.13120514,0.43160015,-0.019435227,0.07100457,0.07802409,0.2957466,-0.09281087
1974-12-01,0.018997788,0.03672117,0.6087566,0.020200014,-0.23490834,0.3489168,-0.060854495,0.31568056,0.54205143,0.25017768,-0.3219741
1975-01-01,0.030585408,0.056708694,0.5287939,0.019719005,-0.18030345,0.20349672,-0.042735398,0.2430475,0.5020852,0.32708842,-0.5485906
1975-02-01,0.0222435,0.06680679,0.48185244,0.035012484,-0.21085376,0.3417233,-0.07485902,0.32778355,0.5337331,0.5115613,-0.5102106
1975-03-01,0.054659843,0.025353432,0.44303337,0.020706832,-0.17379093,0.26126796,-0.07474923,0.24184012,0.21213129,0.5143785,-0.5226137
1975-04-01,0.025426626,0.006986618,0.21205813,0.021950841,-0.11580014,0.18758127,-0.0230515,0.07609993,0.08663708,0.14360338,-0.18429142
1975-05-01,0.02004826,0.032926977,0.12600493,0.011560023,-0.10145795,0.15282339,0.05144012,-0.008636117,-0.3039317,0.17539772,-0.03589362
1975-06-01,0.0012424588,0.030548811,-0.092677,0.01704812,-0.13120335,0.22146106,0.09274715,-0.11814171,-0.14397234,0.0036206245,-0.3846066
1975-07-01,-0.011124015,-0.041271925,-0.10859245,0.012621105,-0.07299304,0.09929624,0.074709654,-0.056602,-0.11254388,-0.10994619,-0.16735154
1975-08-01,-0.011014283,-0.04544288,-0.05374819,0.021255672,-0.03574723,0.14590839,0.05729407,-0.036881447,0.10544291,0.00069361925,-0.29917538
1975-09-01,0.007572055,-0.016978025,-0.039771855,0.010242879,-0.07818848,0.18933746,0.066660404,-0.038125396,0.0306952,-0.0121484995,-0.34311664
1975-10-01,0.025572956,-0.023490548,0.015401721,0.014706552,-0.12952036,0.12282184,-0.007136047,0.061208963,0.21472898,0.15143308,-0.061211944
1975-11-01,0.019828737,0.067867815,0.38456696,0.027329147,-0.12860566,0.183703,-0.05019921,0.12966365,0.2073018,0.2915622,0.0021936893
1975-12-01,0.0101697445,0.08674681,0.34962615,0.03409779,-0.1308375,0.31044123,-0.064065754,0.24374267,0.43911853,0.30839232,0.095710695
1976-01-01,0.03766316,0.012244701,0.30595344,0.032821536,-0.10516429,0.21061099,-0.07141268,0.18905652,0.39487144,0.39617497,-0.2492953
1976-02-01,0.025372922,0.029283464,0.42354867,0.02490741,-0.2023223,0.17630076,-0.13961416,0.23928821,0.6203321,0.32685617,-0.42564148
1976-03-01,-0.00088346004,0.01257062,0.5363488,0.027793705,-0.2414276,0.25227678,-0.059494853,0.24678338,0.5390955,0.1424095,-0.2940336
1976-04-01,0.05102414,0.013268888,0.3013446,0.029190361,-0.069224656,0.51726174,-0.041571617,0.11773592,0.04920852,0.3870504,-0.13011718
1976-05-01,0.015875936,0.04604286,-0.047158062,0.0049822927,-0.11019212,0.120948136,0.03030765,-0.043852746,-0.22955638,0.32881144,-0.0382663
1976-06-01,-0.0021870136,0.016620815,-0.119270146,0.0038184524,-0.0844478,0.071321666,0.09059501,-0.07797676,-0.10092789,-0.015734196,-0.06894535
1976-07-01,0.013129234,-0.009868383,-0.077697456,0.012943029,-0.0069354773,-0.015594542,0.08486885,-0.06298643,-0.14543343,-0.10143995,-0.19566512
1976-08-01,0.011267066,-0.03598517,-0.07062125,0.013408542,-0.02937448,0.038175285,0.051675916,-0.07215756,0.08403087,-0.13086206,-0.32164007
1976-09-01,0.012105048,0.01876229,-0.07248342,0.022440016,-0.052325547,0.21219385,0.045065224,-0.018760204,-0.005957842,-0.0017214417,-0.065314114
1976-10-01,0.033240557,0.043528974,0.004423678,0.019739926,-0.046506345,0.24538678,-0.04636669,0.12872267,-0.10251069,0.22220296,0.15181339
1976-11-01,0.042411685,0.00028038025,0.27727622,0.030726612,-0.19240636,0.3873297,0.0031201243,0.18896341,0.13766098,0.17350751,0.1420371
1976-12-01,0.0276075,0.015875936,0.5553894,0.036266565,-0.21647471,0.57531446,-0.06089151,0.33193055,0.27667105,0.18640298,-0.21140033
1977-01-01,0.02010268,0.020569414,0.51880443,0.022016287,-0.22852477,0.282592,-0.09998712,0.35913584,0.49901503,0.38457265,-0.3723245
1977-02-01,0.065235525,-0.024143398,0.33435243,0.04124558,-0.24238667,0.46293673,-0.041599125,0.17888445,0.2519278,0.25304794,-0.30875573
1977-03-01,0.010488033,0.028690517,0.3252512,0.01683557,-0.08995241,0.4966347,-0.036978483,0.08913213,0.060801595,0.43810666,-0.050467014
1977-04-01,0.004420519,0.02673024,0.21766977,0.024303257,-0.10446775,0.2885195,0.00035998225,0.06383535,-0.048460066,0.21528944,-0.036185056
1977-05-01,0.024443269,0.017675668,0.06649572,0.011374801,-0.04117906,0.21150893,0.017442316,0.0039537847,-0.3839461,0.15928176,-0.06353545
1977-06-01,-0.0038405955,0.012028247,-0.051353782,-0.025823623,-0.082718104,-0.045846373,0.086471766,-0.060875088,-0.37899873,-0.01546219,-0.07441029
1977-07-01,-0.015835583,-0.030117542,-0.108388275,0.007967681,-0.07520372,0.18835908,0.077510536,-0.037211835,-0.11804959,-0.08421162,-0.30371508
1977-08-01,-0.0061742663,-0.024843484,-0.092752814,0.014268547,-0.05457422,-0.07576379,0.049646735,-0.09919369,-0.060641736,-0.06899622,-0.15314773
1977-09-01,0.0007800162,0.012775004,-0.08486506,0.027056962,-0.01546219,0.037511736,0.05590093,-0.0700697,0.11442894,0.024769992,-0.17424396
1977-10-01,0.018749148,0.057627827,0.04003209,0.0150619745,-0.045146257,0.20049408,-0.0556477,0.076250374,0.10285401,0.2812385,0.08656514
1977-11-01,0.043159157,0.015155345,0.18821907,0.021969587,-0.032404512,0.14710009,-0.05009362,0.12861755,0.1250704,0.13053116,0.14121929
1977-12-01,0.017628998,0.08026427,0.29215997,0.021782905,-0.11114201,0.40916938,-0.09545985,0.24632703,0.404222,0.5895141,-0.06572908
1978-01-01,0.092541814,0.034855127,0.30503255,0.032573223,-0.20523179,0.10315573,-0.07468045,0.2629484,0.44481796,0.32657886,-0.25899124
1978-02-01,0.015643954,-0.011474609,0.4961893,0.03772092,-0.31073415,0.32827705,-0.045386076,0.29781508,0.18594438,0.53386873,-0.443249
1978-03-01,0.043558598,0.003437996,0.53137445,0.032997727,-0.25930965,0.06356585,-0.08709884,0.17931068,0.24485165,0.2730847,-0.40965593
1978-04-01,0.038835406,0.020844817,0.15272284,0.034112215,-0.12674177,0.14248037,-0.06661391,0.042868733,-0.12684798,0.60646796,-0.054195642
1978-05-01,0.02684164,0.028274536,-0.07542348,0.008585691,4.1484833e-05,0.27244782,-0.023309112,-0.029305935,-0.42133117,0.18620974,0.021693945
1978-06-01,-0.012058377,0.00014770031,-0.101162195,-0.008184314,-0.0859313,0.023073673,0.04032135,-0.05796361,-0.081048846,0.035651207,-0.058706522
1978-07-01,-0.025325775,-0.044589996,-0.09320176,0.012619019,-0.020549536,0.009700179,0.050829172,-0.044855356,0.07869065,-0.022990704,-0.1497209
1978-08-01,0.007895827,-0.04055679,-0.04421854,0.011239171,-0.05902493,0.09705281,0.044195414,-0.06396043,0.079539776,0.017766714,-0.30786836
1978-09-01,0.011133075,0.021057129,-0.10047233,0.019040465,-0.07351291,0.15468633,0.06414962,0.009806275,0.004499316,0.059426427,-0.15163147
1978-10-01,0.037614822,0.036234975,0.023816705,0.029070616,-0.06852448,0.26082557,-0.012270689,0.0686605,0.06616628,0.074285865,0.07492268
1978-11-01,0.024241209,0.042868733,0.28263718,0.026204824,-0.09580219,0.21513265,-0.07282305,0.13420153,0.3991781,0.28794414,-0.02888143
1978-12-01,0.05905497,0.04690194,0.2782855,0.02949512,-0.085559726,0.3834164,-0.111457705,0.24962789,0.19050837,0.8322792,-0.06608319
1979-01-01,0.0410223,-0.019333959,0.4298942,0.022534788,-0.20402765,0.4656458,-0.075883925,0.2508645,0.2913286,0.29590517,-0.4011371
1979-02-01,0.058014512,0.007173896,0.45477077,0.033319175,-0.1770215,0.117283285,-0.092966735,0.16318482,0.42595202,0.5198848,-0.46307933
1979-03-01,0.033545732,0.04016137,0.46165827,0.018909812,-0.17647767,0.39165047,-0.053771436,0.26917076,0.3124895,0.1666739,-0.5457746
1979-04-01,0.035539508,0.046278536,0.23772389,0.022761405,-0.10175741,0.63275826,-0.08417612,0.11905044,-0.1366027,0.46600828,-0.034287095
1979-05-01,0.039662957,0.016508222,0.061684787,0.016462922,-0.13855112,0.45150828,-0.0089120865,-0.06414801,-0.027218342,0.14066452,-0.16401672
1979-06-01,-0.016388655,0.032730103,-0.13723707,-0.002523005,-0.07316518,0.040977,0.056292653,-0.09115428,-0.31739962,0.082981706,-0.03319955
1979-07-01,-0.0003026724,-0.017023027,-0.06700271,0.009711385,-0.07330114,0.21058172,0.07518792,-0.032655835,-0.059390187,-0.15490896,-0.15282458
1979-08-01,0.01338166,-0.00782454,-0.07194173,0.013291061,-0.027988613,0.078223884,0.030237913,-0.061066747,0.11859733,-0.10148549,-0.09681833
1979-09-01,0.026930153,0.03286606,-0.04946673,0.0067207217,-0.09776986,0.30093485,0.06979573,-0.02010423,-0.0033839345,-0.03406048,-0.014576137
