,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1994-09-01,1478.7707342617755,1363.1549373335902,1673.8798047675461,1541.1031087239583,1374.0560170766469
1994-10-01,1477.174178413723,1361.3367191879204,1675.5108442462858,1543.1703509706438,1370.8208238756336
1994-11-01,1472.927591075068,1359.3314542898684,1669.6359603131405,1540.851847330729,1368.3478690482475
1994-12-01,1473.1558537137682,1359.7251721027187,1671.7130567206711,1541.1945689808238,1367.7640760267104
1995-01-01,1470.019000509511,1358.4243021738368,1670.423864145748,1541.987286191998,1364.5262022276183
1995-02-01,1470.2747731968977,1357.8316042776064,1669.7986039959017,1542.9147431344695,1364.1990867820946
1995-03-01,1473.313925922781,1358.0283673889435,1670.7008737032531,1547.506621389678,1366.795266641153
1995-04-01,1473.2649651126587,1358.5059195890556,1673.2885642129868,1545.7236550071023,1368.0702415672508
1995-05-01,1478.0739604562955,1360.173821556194,1674.561547451332,1543.0503151633523,1372.4762787690033
1995-06-01,1477.0101796025817,1360.8962260019618,1673.1118624327612,1540.3648607658617,1374.2411020639781
1995-07-01,1475.8970841117527,1360.622443639644,1674.8980913005892,1534.5188950047348,1373.734798946896
1995-08-01,1481.427886520607,1362.0660756200953,1676.6823690445697,1538.9441287878788,1375.8658744193413
1995-09-01,1478.0544557433197,1361.8800689286716,1679.424948770492,1542.1136104699337,1372.3507442989865
1995-10-01,1473.5882302989132,1359.4968787223233,1672.6751108638575,1541.5896329012783,1369.8607161238388
1995-11-01,1472.000343212183,1358.5916151380325,1669.845030737705,1536.4083030007102,1367.5679387273015
1995-12-01,1471.5544327445652,1358.6430981554793,1671.2923644018956,1544.1246263908617,1365.635804872255
1996-01-01,1468.3394280032837,1356.5715430563341,1669.9210245101178,1540.3843735203598,1363.1902333852406
1996-02-01,1469.521342844203,1356.3451929477299,1668.7034231717469,1541.2175958806818,1363.286322516364
1996-03-01,1471.4979973392212,1357.0087244692404,1672.7656630219008,1545.0485691879735,1365.2356534390835
1996-04-01,1475.4453354987547,1358.276969328055,1672.7609102843237,1542.6808675130208,1368.8250567461994
1996-05-01,1478.6307956861415,1361.2359153850196,1673.4576115842726,1542.3557165897253,1373.5362284892315
1996-06-01,1475.1850957455842,1360.5515826443386,1668.563792744621,1531.94404370857,1372.4935583166175
1996-07-01,1477.4194689764495,1361.2597546769898,1670.5314261014344,1527.0077792080965,1373.7634607263515
1996-08-01,1477.3532148720562,1361.5927110338425,1674.2965448098105,1536.5898363517992,1374.176767710093
1996-09-01,1472.204103331635,1359.663452695838,1665.4585040983607,1527.4095939867423,1370.0368520375844
1996-10-01,1476.7346368319747,1359.7002106397142,1677.8235763799948,1543.0446740352745,1370.2811163824958
1996-11-01,1471.3104248046875,1358.3634859777887,1668.241807280994,1536.355498342803,1366.8423626873944
1996-12-01,1469.9042278787365,1356.8793189899804,1670.1133352811219,1540.2340975674715,1364.154052734375
1997-01-01,1469.7811845420065,1357.802373090667,1674.8589187371927,1543.8753070253313,1363.7133211702915
1997-02-01,1467.8432298743207,1356.1620874789799,1673.8066126088627,1540.7077673709753,1362.0114300702069
1997-03-01,1474.3209175441577,1359.9593226685117,1673.5376076620134,1547.9195334694602,1368.3670456345017
1997-04-01,1475.3739951313407,1361.03882383338,1672.0925252945697,1544.3788470643938,1371.2978053737331
1997-05-01,1476.7634737318842,1360.6467482220432,1672.4562347912397,1540.6070593631628,1371.6080124313767
1997-06-01,1479.1215094967165,1362.9097019075814,1677.7427298123719,1542.7781538529828,1376.3572899070946
1997-07-01,1483.938731317935,1363.15734589581,1679.2771636462603,1546.7130718809185,1377.7001458245354
1997-08-01,1480.397763459579,1364.3384172242854,1679.3542580526384,1543.9848003965435,1376.424840978674
1997-09-01,1478.4403040789177,1364.243032686379,1674.9766865714653,1541.154433741714,1374.2149559227196
1997-10-01,1479.1460120159647,1363.2389906810538,1674.0811707543546,1544.1613399621212,1373.1203233873523
1997-11-01,1472.254789048347,1361.2486971867993,1666.1333928342726,1538.683712121212,1369.1566261085304
1997-12-01,1472.5263512652855,1359.493895389574,1671.3705094134223,1543.4586958451703,1367.3270560599663
1998-01-01,1471.187071869339,1358.9386670578756,1673.8252233286373,1542.863233161695,1365.8255912162163
1998-02-01,1472.9401077049367,1360.72814667706,1672.5082147316855,1545.6812078302555,1367.2171102987754
1998-03-01,1473.2326783995697,1359.732534639504,1671.9907666816086,1547.2501812559185,1367.9695747994087
1998-04-01,1476.552062103714,1359.849733087514,1676.8576700179303,1549.6845592151988,1369.9309065535263
1998-05-01,1475.4993825718977,1359.734724241522,1670.154308881916,1537.8960811730587,1371.4669304925042
1998-06-01,1477.297265978827,1360.6857231379624,1671.8492851882684,1536.9334827769885,1373.89386151288
1998-07-01,1480.1772407863452,1360.9189157528729,1680.438232421875,1544.4939815636837,1374.5468552048142
1998-08-01,1479.5548148777175,1361.6882050518498,1674.7291439869366,1538.030450994318,1374.5121723896748
