,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5
1978-04-01,-0.4975319,0.15303421,-0.16425705,-0.050671387,0.42645568
1978-05-01,0.03128662,0.31048965,-0.271381,0.19622421,-0.5471832
1978-06-01,0.28804475,0.09046097,-0.29382628,0.1911232,-0.83080673
1978-07-01,0.14011154,0.045910645,0.59513396,0.23737335,-0.018704224
1978-08-01,0.0034004212,0.016663361,0.24043426,0.3220524,-0.63934404
1978-09-01,-0.6066963,0.20472641,0.31219023,-0.039448928,0.4091118
1978-10-01,-0.27410203,0.07855759,-0.010542298,0.1809208,-0.3791855
1978-11-01,-0.2996071,-0.028566742,0.106444165,0.2156086,-0.3128704
1978-12-01,0.08331871,-0.0472702,-0.2815834,0.28328362,-0.09114037
1979-01-01,0.5869015,-0.2432045,-0.14836064,0.15311775,-0.40910682
1979-02-01,0.1879036,0.26550332,0.0038650513,-0.16382103,-0.32496604
1979-03-01,0.10673676,-0.20098571,0.43616256,0.28839645,-0.21525688
1979-04-01,-0.29434282,0.04013748,0.23428497,-0.0026760101,-0.11892643
1979-05-01,-0.5776852,-0.0074329376,0.2292305,0.0124874115,-0.01843357
1979-06-01,-0.24647446,0.32466927,0.08384323,0.16382103,-0.47362405
1979-07-01,0.020217132,0.057084657,0.4031601,0.1156559,-0.7837246
1979-08-01,0.027947236,-0.2985054,0.34131852,-0.016947174,-0.6680689
1979-09-01,-0.12933198,0.2509346,0.12725143,-0.097222134,-0.33329123
1979-10-01,-0.26580048,-0.08681641,0.3062355,0.053219605,0.15817222
1979-11-01,0.04340744,0.05678749,0.05143585,0.114169315,-0.13795471
1979-12-01,0.22804108,0.20514794,-0.36332017,0.2039589,0.08830299
1980-01-01,0.23938484,-0.2886795,-0.52333736,0.080357745,-0.12830201
1980-02-01,-0.054697417,-0.41664428,0.19481659,0.29880905,-0.17354545
1980-03-01,0.04591904,0.037140656,-0.37038803,0.17016907,-0.56182826
1980-04-01,-0.06854057,0.28564072,-0.09217529,0.1566635,0.24174805
1980-05-01,0.18671341,0.32852095,0.39368477,-0.1269516,-0.34337693
1980-06-01,-0.03106308,0.18536301,0.30589905,-0.01553154,-0.25018921
1980-07-01,-0.019245148,0.21575013,0.3487793,-0.013842774,-1.1044114
1980-08-01,-0.2505272,0.04828186,0.8467941,-0.047269057,-0.7654236
1980-09-01,-0.38051757,0.22655411,0.21338654,0.23634568,-0.6144997
1980-10-01,-0.14180756,-0.029374694,0.24174842,-0.17253265,-0.23634568
1980-11-01,0.14518356,0.20325737,0.07934494,-0.006752777,-0.26133117
1980-12-01,-0.40820312,-0.009791565,0.04423046,0.3123142,-0.07900734
1981-01-01,-0.030831909,0.043312073,0.101306535,0.0660698,-0.010277557
1981-02-01,0.07120743,-0.27418822,0.22133236,0.103508756,0.041477203
1981-03-01,0.21839562,0.009176636,-0.6467457,0.034503173,-0.21178894
1981-04-01,0.104976654,0.12699966,-0.044046022,-0.14571953,-0.6071041
1981-05-01,-0.2811615,0.24078599,0.67794496,0.23968467,-0.116355516
1981-06-01,0.06056366,0.34356079,-0.17802048,0.23711547,-0.5557167
1981-07-01,-0.03817291,0.14241639,0.5223144,0.13911209,-0.38907546
1981-08-01,-0.09873734,-0.05982895,-0.008808899,0.1989418,-0.28666764
1981-09-01,-0.05175476,0.33438414,0.0066070557,0.103141405,-1.014899
1981-10-01,-0.21582642,0.11598816,0.24592514,-0.12846832,-0.79943925
1981-11-01,-0.60013044,0.047717284,0.94405746,0.048817825,0.47533226
1981-12-01,-0.18242455,0.073410794,-0.3461296,0.14168243,-0.12222824
1982-01-01,-0.1520607,0.05920639,-0.32709235,0.092854306,0.11032486
1982-02-01,0.15950203,0.0035591125,0.3422985,0.26659164,0.31318015
1982-03-01,-0.12132492,-0.10806008,0.75545084,0.004206085,-0.03785324
1982-04-01,-0.37238732,0.1847374,0.7072441,0.34715158,-0.13879585
1982-05-01,0.0019412994,0.14332542,0.46556473,-0.23876762,-0.21385536
1982-06-01,-0.30865097,0.27500305,0.6350967,0.33129844,-0.38209304
1982-07-01,0.16241455,-0.1433258,0.040765382,-0.27241516,-0.46524125
1982-08-01,0.0122940065,0.23456116,0.07538299,0.013264847,-0.4616825
1982-09-01,-0.046588898,0.13297272,0.508918,0.19994354,-0.44097632
1982-10-01,0.0488533,0.06341247,0.24426803,-0.18214913,-0.18700218
1982-11-01,-0.09511872,0.3403576,-0.1620903,-0.3429455,0.15238456
1982-12-01,-0.0129413605,0.06405945,0.40312272,0.22097321,-0.46718216
1983-01-01,0.25444183,0.084597014,-0.12722091,0.036441803,0.16919366
1983-02-01,0.030585479,0.041973114,0.14999695,0.20108071,0.16854325
1983-03-01,-0.17374954,-0.3019455,0.5254776,0.023101807,-0.07808952
1983-04-01,-0.21572228,0.098587796,0.47569543,0.24305344,0.11192818
1983-05-01,-0.28535232,0.07613754,0.39597893,-0.047829818,-0.44999123
1983-06-01,0.052059937,0.23784713,0.47276688,0.377433,-0.40020904
1983-07-01,-0.09077911,-0.059217833,0.014641571,0.01268959,-0.6731968
1983-08-01,0.14609298,0.11778488,0.0426239,0.44868964,-0.9129974
1983-09-01,-0.20921478,0.25444183,0.4480385,0.3240715,-0.84922373
1983-10-01,0.27038497,0.37645683,0.36246568,0.0741848,-0.48415488
1983-11-01,-0.16594009,-0.16951942,-0.30585098,0.39207458,0.29543877
1983-12-01,0.1890419,-0.013340759,-0.11876106,0.3504265,-0.0416481
1984-01-01,-0.16883163,-0.10863419,-0.21692124,0.06019821,-0.10240631
1984-02-01,-0.18647614,0.092027284,0.25739917,0.11970444,0.21588364
1984-03-01,-0.44110718,-0.0017295837,0.49473268,0.13804093,-0.22072677
1984-04-01,-0.10033035,0.18647614,-0.0013835907,-0.15879898,-0.09514084
1984-05-01,-0.12835388,0.3034134,0.55147094,0.26466483,-0.4926571
1984-06-01,0.2563614,0.5545853,-0.28507692,0.58157045,-0.5653099
1984-07-01,0.12523957,0.37502822,-0.3698387,0.14668998,-0.752478
1984-08-01,-0.35011825,-0.0245636,0.47293702,0.1895897,-0.6611427
1984-09-01,-0.61962664,-0.009687042,0.66633224,0.09341087,-0.17436734
1984-10-01,0.054663084,0.014530945,0.4798561,0.49715424,-0.594371
1984-11-01,-0.2899208,-0.032521058,-0.31794396,0.24494477,0.03321266
1984-12-01,-0.056046296,-0.026293183,0.1826706,0.11347656,0.52413976
1985-01-01,-0.033769988,0.10130844,-0.44076347,-0.026734162,-0.054875948
1985-02-01,0.20121078,0.15020446,-0.33875123,0.14844513,-0.418602
1985-03-01,-0.514283,0.13191223,-0.26101112,0.24060822,0.28000602
1985-04-01,-0.48790056,0.15266648,0.31483078,0.251865,0.033769608
1985-05-01,0.12382202,0.0970871,0.048895646,0.1456314,-0.3109619
1985-06-01,-0.054523468,0.2761368,-0.087590024,0.65323067,-0.6208679
1985-07-01,0.14000244,-0.024975587,-0.11502838,0.3777977,-0.90439224
1985-08-01,-0.10306778,-0.05593109,-0.016884994,0.30427855,-0.7823292
1985-09-01,0.023568725,-0.012663269,-0.01723671,0.3493046,-0.623682
1985-10-01,-0.38166657,0.16286774,0.4805134,0.4583519,-0.11713829
1985-11-01,-0.10693665,0.098143004,0.740469,0.0671875,-0.06542854
1985-12-01,0.06261444,-0.29161453,0.08653488,0.1115097,0.47101516
1986-01-01,0.11922531,0.20681381,-0.10390625,0.14653473,-0.1029068
1986-02-01,-0.0019981384,-0.13521194,0.2517727,0.268425,-0.29273605
1986-03-01,-0.14953156,0.10190811,0.3510166,-0.031970978,0.092250064
1986-04-01,0.22912674,0.13687667,0.09491463,0.056282423,-0.3966423
1986-05-01,-0.035967637,0.0079925535,0.25909957,-0.034968186,-0.3819887
1986-06-01,-0.15219574,0.1795044,0.663401,0.07160225,-0.52486
1986-07-01,-0.15352783,0.056282043,1.1213219,-0.14486961,-0.42395097
1986-08-01,-0.26076508,-0.12255631,0.72934186,0.05328522,-0.49288863
1986-09-01,-0.3430237,0.12755203,0.55050355,0.012655258,-0.61544454
1986-10-01,-0.18050385,0.012988281,0.7962818,-0.040296935,0.13887481
1986-11-01,0.15918961,0.14420395,0.38931543,0.1781723,0.04695778
1986-12-01,0.2018177,-0.045292664,-0.30405885,-0.02364502,0.23911743
1987-01-01,0.18472405,-0.076690294,-0.094696045,-0.005334854,-0.0783577
1987-02-01,0.6848793,-0.063352965,0.018339157,0.3737831,-0.0040008547
1987-03-01,0.08469315,0.005334854,0.20506363,-0.3717823,-0.41046065
1987-04-01,-0.08535995,0.19272652,-0.75790215,0.3697815,-0.63519746
