,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5
1973-07-01,0.34180832,1.8820177,0.012423706,-0.19718476,0.16915207
1973-08-01,0.96075934,0.80371207,0.10384865,-0.12869605,-0.49598885
1973-09-01,0.45871773,1.3573592,0.86137044,0.23318176,0.7091015
1973-10-01,0.4106163,0.7699453,0.75752145,-0.047782898,0.67437935
1973-11-01,0.016883468,0.6377455,1.1168506,0.064984895,0.63997537
1973-12-01,0.6122612,0.31282005,0.86137044,-0.031855393,1.5290598
1974-01-01,1.041042,-1.0564916,1.482507,-0.04503403,0.48814258
1974-02-01,0.08908157,1.3723872,1.7951155,-0.12622681,0.78365785
1974-03-01,0.45001143,-0.23667546,1.1768017,0.014792251,1.0147448
1974-04-01,-0.5440243,1.221178,1.0436714,0.0009860992,1.1827183
1974-05-01,-0.24982376,1.696172,0.5170692,0.13871765,0.58642846
1974-06-01,0.60648,2.0459251,0.9674095,-0.0023010254,-0.024653625
1974-07-01,0.23766136,2.0262024,0.14200516,-0.17586288,-0.077905655
1974-08-01,0.24916649,-0.16534385,0.42700157,-0.34219283,0.6679497
1974-09-01,0.77346766,0.26198617,0.53350484,-0.003287506,0.8609058
1974-10-01,0.3786804,1.3871794,0.76163405,-0.11373558,0.7100254
1974-11-01,0.15285262,1.710964,1.2123028,0.00756073,0.797464
1974-12-01,-0.42831612,1.3704151,1.1659539,-0.23437424,1.7793369
1975-01-01,-0.2292839,0.9364548,1.0694649,-0.092473604,0.948489
1975-02-01,-0.09627418,-0.17988053,0.9804748,-0.075372316,1.4026238
1975-03-01,-0.38129577,1.5688862,1.2103924,0.08233948,0.46395224
1975-04-01,0.49277115,1.0738983,1.8998283,0.007917022,0.23625107
1975-05-01,-0.49308777,1.5761703,1.1150684,-0.025335312,0.74675715
1975-06-01,0.46110192,1.4688122,0.58619463,-0.22516708,0.41106492
1975-07-01,-0.7293388,1.6898623,0.17671356,0.07188912,0.65048295
1975-08-01,-0.14156075,1.3361187,0.28470498,-0.31669083,-0.44685096
1975-09-01,0.19508132,0.15549508,0.7692421,0.04750366,0.51747286
1975-10-01,0.231818,1.9888184,0.72300494,0.19793205,0.7964775
1975-11-01,0.010767365,1.3886893,1.0650314,0.031985857,1.110635
1975-12-01,0.48833734,-0.21154937,1.2088089,0.00063323975,1.1318527
1976-01-01,0.0750164,-0.012783051,0.9701702,-0.22605935,1.2648548
1976-02-01,-0.20553894,1.46232,1.0583065,-0.019511033,0.7215729
1976-03-01,-0.37104645,1.309932,1.4862041,-0.09183655,0.152388
1976-04-01,-1.1723454,2.0796094,0.9923725,0.025566483,1.2382793
1976-05-01,0.074007414,1.5238804,0.77203256,-0.107983395,0.734692
1976-06-01,0.14465103,1.4929321,0.75420344,-0.17829056,0.06795235
1976-07-01,-0.055169296,1.9770081,0.1507061,-0.5675026,0.07468033
1976-08-01,0.6129162,1.4175789,0.35792693,-0.47061998,-0.22807732
1976-09-01,0.31083107,1.9709533,0.73502845,-0.3575905,0.19511071
1976-10-01,0.46422845,0.7380562,1.2958031,0.01614685,0.6061882
1976-11-01,0.57120323,0.5008957,0.6704403,-0.110674664,1.0085198
1976-12-01,0.47465667,0.11841202,1.4182518,-0.099573515,1.1077572
1977-01-01,1.5664173,-1.2518604,1.2511524,-0.24025269,1.4347916
1977-02-01,1.158802,-1.0190384,0.97693217,-0.26678926,2.4626756
1977-03-01,-1.1046658,1.7235191,1.6948589,-0.19248505,0.7646324
1977-04-01,-0.4720127,1.1358029,0.5477333,0.043167878,0.7823242
1977-05-01,-0.71014214,1.2369992,0.9656097,-0.16453171,1.1276646
1977-06-01,-0.27315903,1.0505291,0.44158363,-0.19708481,0.63229907
1977-07-01,0.58913153,1.6155999,0.46493608,-0.36515504,-0.41504556
1977-08-01,0.85485953,1.2171848,0.4543213,-0.36409378,0.3909851
1977-09-01,0.61248434,0.7823242,0.32623369,-0.08385849,0.088811874
1977-10-01,0.28271255,1.4004695,0.9610096,-0.040690612,0.9022732
1977-11-01,0.29721946,0.71014214,0.8311531,-0.04387512,1.5554485
1977-12-01,0.6793591,-1.0997124,1.5225422,-0.008491516,1.3385493
1978-01-01,1.2593029,-1.3664268,1.137896,-0.16289672,1.4259408
1978-02-01,1.2895699,-0.77775496,0.46556473,-0.15813522,1.4184589
1978-03-01,0.23703346,0.18874244,0.7063389,-0.05577278,1.0226101
1978-04-01,-0.4121727,1.3133751,0.8556324,-0.07719727,0.26491967
1978-05-01,0.051351547,1.5164009,0.7655121,-0.17649993,0.17615966
1978-06-01,0.30198783,0.67913246,0.67811203,-0.20268555,0.13467026
1978-07-01,0.20472641,0.9964241,0.6502266,-0.23431244,-0.3461979
1978-08-01,0.6339027,1.5010974,0.29790726,-0.2890648,-0.39278793
1978-09-01,0.4016304,1.9370756,0.5359604,-0.1288887,0.28464395
1978-10-01,0.52405816,1.2616838,0.7063385,-0.23873368,0.22989158
1978-11-01,0.6451248,0.7672127,1.298412,-0.12208748,-0.06903534
1978-12-01,0.0663147,0.7131405,1.3337799,0.06699524,0.35061914
1979-01-01,0.51911354,0.09543838,1.5231498,-0.18255195,0.7198021
1979-02-01,0.29553223,1.3090823,0.76766986,-0.088897325,0.21287803
1979-03-01,0.29434282,0.18701172,0.9264364,-0.22447357,0.113277435
1979-04-01,-0.32853395,1.352788,0.8904613,0.030623626,-0.45519066
1979-05-01,-0.22031097,1.2891619,0.9166252,0.023190688,0.73228914
1979-06-01,0.20425606,0.75339854,0.6868,-0.060949706,-0.030028915
1979-07-01,0.07135582,0.89908373,0.5375473,-0.22625694,0.4037552
1979-08-01,0.7367489,0.042218782,0.17720032,-0.11625023,0.68412435
1979-09-01,0.60771406,1.4639841,0.548251,-0.027352905,0.8654865
1979-10-01,0.12219696,1.1437746,1.0905552,0.014865875,1.2960002
1979-11-01,0.109709546,0.21168919,0.9740074,-0.10643921,0.85210764
1979-12-01,0.9790615,-0.37223968,0.8628109,-0.07581558,1.0420926
1980-01-01,1.5656233,-1.3775594,0.7745396,-0.055035017,-0.21541214
1980-02-01,2.220977,-1.5852064,1.2853844,-0.20123176,0.76103437
1980-03-01,-0.45986176,1.8543034,1.5700128,-0.38051683,0.5800606
1980-04-01,-0.37714082,1.618295,0.8052643,-0.19515458,1.393766
1980-05-01,0.080695346,1.4531902,0.80053747,-0.07799454,0.61247367
1980-06-01,0.80019987,0.8906868,0.33696136,-0.23938522,-0.6955326
1980-07-01,1.0270923,1.2658017,0.4865349,-0.26639557,-0.55406266
1980-08-01,0.1640915,0.58208656,0.39030877,-0.324807,-0.33831254
1980-09-01,0.6374588,1.3340046,0.28530312,-0.2778755,-0.5398819
1980-10-01,-0.12931518,1.0108856,1.4467751,-0.1566639,1.2229217
1980-11-01,0.3437149,0.21068534,1.0544407,-0.15531273,1.9106884
1980-12-01,1.7432206,-1.4650075,0.949773,-0.041867066,1.2607368
1981-01-01,2.0698063,-1.8671932,0.5226822,-0.25473404,1.5056473
1981-02-01,1.1118,-0.7631008,1.1958554,-0.117456816,1.0714248
1981-03-01,-0.084788896,0.24922828,0.9939766,-0.18095703,1.4469188
1981-04-01,-0.4059597,0.6269249,0.79907227,0.019820403,0.5325924
1981-05-01,-0.64821357,0.30612144,0.9132252,0.1681099,1.2215488
1981-06-01,-0.54800797,1.2270546,0.5703991,-0.105343625,1.18778
1981-07-01,0.6210518,0.8684448,0.44193038,-0.15819931,-0.33511811
1981-08-01,0.5135063,0.92203444,0.5843468,-0.34906617,0.35640755
1981-09-01,0.44009477,1.645127,0.6397713,-0.2382164,0.4870781
1981-10-01,0.56195676,1.0119625,0.8071476,-0.09396515,-0.28740197
1981-11-01,0.38503724,0.4940521,1.4256302,-0.08992767,1.602182
1981-12-01,-0.073410794,-0.051387023,0.66216165,-0.14278336,1.947945
1982-01-01,0.18764916,0.2737093,1.3714586,-0.09641266,0.5778309
1982-02-01,0.97383595,-0.77712744,1.3174282,-0.0016178131,-0.12423687
1982-03-01,0.0135883335,1.0560133,1.1925446,0.026529694,-0.21450272
1982-04-01,0.07053032,0.8026865,1.415459,0.18764953,-0.3672104
