,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5
1974-11-01,0.02590102,0.10866195,0.044361293,0.017601669,0.024427295
1974-12-01,0.038892984,0.22950682,0.045602262,0.010969937,0.027335942
1975-01-01,0.037354052,0.6394703,0.06003815,0.009803891,0.019755602
1975-02-01,0.044159293,0.32072222,0.044415414,0.01554805,0.030987859
1975-03-01,0.01759696,0.6152129,0.045805693,0.0315367,0.028609693
1975-04-01,-0.0028918982,0.7229989,0.041854262,0.033109963,0.02169472
1975-05-01,0.021511793,0.07968551,0.0009497404,0.028682888,0.023121595
1975-06-01,0.030109763,0.06607503,0.0038767457,0.035378337,0.026377857
1975-07-01,0.018840909,-0.041015804,0.015511453,0.027402341,0.016462743
1975-08-01,0.027255952,-0.03603995,0.007608652,0.028609693,0.024072886
1975-09-01,0.031573296,0.0011692643,0.031683028,0.03029269,0.02099955
1975-10-01,0.03303677,0.39642122,0.025536358,0.02564615,0.017414033
1975-11-01,0.018182337,0.5057073,0.03409779,0.017816484,0.024768054
1975-12-01,-0.022685587,0.23258355,0.0432446,0.02864629,0.022316694
1976-01-01,0.022346914,0.20590907,-0.0015817881,0.016713917,0.012524068
1976-02-01,0.011313617,0.819257,-0.020668924,0.03263533,0.023790121
1976-03-01,0.023138344,0.86483335,0.08379811,0.03258878,0.02295214
1976-04-01,0.01182574,0.3019498,0.05996251,0.031704247,0.016527653
1976-05-01,0.009404957,0.0120584965,0.039711535,0.03836149,0.021369278
1976-06-01,0.014665544,0.08458954,0.025140166,0.027095437,-0.010008037
1976-07-01,0.02723509,-0.036497235,0.011872292,0.04031676,-0.008797646
1976-08-01,0.032821536,-0.053349733,0.023836672,0.0276075,0.010103226
1976-09-01,0.024209082,-0.05209279,0.020019233,0.024767756,0.024395287
1976-10-01,0.017412186,-0.005352676,0.046229064,0.025419474,0.023138344
1976-11-01,0.06517655,0.059729755,0.04650843,0.022021055,0.026397109
1976-12-01,0.006658256,0.29352355,0.041620255,0.017831206,0.024441838
1977-01-01,-0.015322179,0.094219506,0.009834588,0.04567951,0.033077776
1977-02-01,0.05888799,0.13393828,0.04339254,0.02901724,0.030324072
1977-03-01,0.025470078,0.5877872,0.055994272,0.023743182,0.02336979
1977-04-01,0.04021877,0.028643847,0.034151256,0.024349928,0.016928911
1977-05-01,0.018049061,0.25566167,0.023183107,0.016648859,0.033077776
1977-06-01,0.018469125,-0.0542942,0.03349784,0.024723321,0.022996396
1977-07-01,0.032611072,-0.05905485,0.032844424,0.023323119,0.01674223
1977-08-01,0.03228435,-0.0322645,0.018049061,0.022669703,0.014688611
1977-09-01,0.03009072,0.36749032,-0.018215925,0.025003344,0.026356876
1977-10-01,0.027523696,0.19297972,-0.0027204454,0.03681162,0.02467665
1977-11-01,0.030044049,0.5658042,-0.03422478,0.023603171,0.0311642
1977-12-01,0.024209917,0.76225114,0.020009339,0.01786238,0.017488986
1978-01-01,0.017448306,0.29054457,0.03634107,0.013627291,0.029972792
1978-02-01,0.020314097,0.21767998,0.046530485,0.01654613,0.00094366074
1978-03-01,0.0017927885,0.25334275,0.03453672,0.02551496,0.022808433
1978-04-01,0.0055607557,0.45320296,0.0553931,0.019146562,0.026257873
1978-05-01,0.034855127,0.13414848,0.032042503,0.021746993,0.0252496
1978-06-01,0.02418816,0.11355746,0.016493082,0.019571185,0.022330761
1978-07-01,0.0403744,-0.035939693,0.004817724,0.03400612,0.021163225
1978-08-01,0.001899004,-0.02967751,-0.017206073,0.024294376,0.023922801
1978-09-01,0.017979026,0.14492154,0.013043523,0.022967577,0.022967577
1978-10-01,0.03612888,0.08028281,0.03745556,0.023232937,0.027850032
1978-11-01,0.0021111965,0.35555482,0.051572084,0.022914529,0.01919961
1978-12-01,-0.014764905,0.76833034,0.033846855,0.014847994,0.024506569
1979-01-01,-0.010588646,0.5637927,0.04433012,0.010889471,-0.00052922964
1979-02-01,0.01582855,0.45916608,0.07052076,0.01823014,0.007264495
1979-03-01,0.006448865,0.3689489,0.05742544,0.022716045,0.022716045
1979-04-01,0.02887857,-0.012491763,0.045417607,0.01256609,0.018003583
1979-05-01,-0.0065557957,0.14950043,0.016825438,0.027745724,0.01818484
1979-06-01,0.020903587,0.009530127,0.027836382,0.03200513,0.017187953
1979-07-01,0.029195726,-0.066141784,0.018683255,0.031823874,0.023622334
1979-08-01,0.025253534,-0.043983936,0.004001975,0.027926981,0.026703537
1979-09-01,0.021764517,-0.0080964565,0.044012964,0.023622334,0.027926981
1979-10-01,0.025752008,0.1485489,0.027020752,0.022172332,0.016825438
1979-11-01,0.044919193,0.23278481,-0.049919903,0.018864512,0.023622334
1979-12-01,0.030962944,0.16291296,-0.00084644556,0.0199067,0.026069164
1980-01-01,0.036016583,1.1328673,-0.0054340363,0.018700063,0.023245096
1980-02-01,0.032471478,0.39161932,0.027062893,0.023381412,0.027290165
1980-03-01,-0.016023934,0.5619668,0.07287675,0.02992624,0.02560848
1980-04-01,0.0076556206,0.12046313,0.015791237,0.022790551,0.028789997
1980-05-01,0.026062965,0.3301251,0.026426613,0.028017342,0.02656293
1980-06-01,0.0025197864,0.22068095,0.038107276,0.030789793,0.016609311
1980-07-01,0.02624482,-0.03629476,0.028426409,0.015882134,0.027653754
1980-08-01,0.0182001,-0.04083979,0.02342689,0.014836788,0.015018582
1980-09-01,0.038970888,0.09851068,0.016291201,0.021517992,0.024017751
1980-10-01,0.019336343,0.13082582,0.015791237,0.020608962,0.016609311
1980-11-01,0.0318352,0.21163636,0.0072466135,0.02438134,0.020154476
1980-12-01,-0.0042523146,0.3923465,0.045606613,0.016836584,0.024426758
1981-01-01,0.019108057,0.20411742,0.020645976,0.029514492,0.021671236
1981-02-01,0.035717368,0.35119194,-0.0025763512,0.011572361,0.017313838
1981-03-01,0.03253907,0.29977477,0.0495072,0.024644494,0.021876276
1981-04-01,-0.0025763512,0.22272599,0.0489946,0.019466877,0.026182413
1981-05-01,0.037050247,0.14839417,0.03279537,0.027669013,0.026284933
1981-06-01,0.03499967,0.028950632,0.027617753,0.022850275,0.020235837
1981-07-01,0.025259674,-0.08152181,0.03059107,0.03284663,0.020184577
1981-08-01,0.026387453,-0.07331973,0.0141355395,0.015314579,0.022491455
1981-09-01,0.026438713,-0.025901139,0.0123925805,0.026746273,0.024080575
1981-10-01,0.03315419,0.3556518,0.03079611,0.017877758,0.019108057
1981-11-01,0.025362194,0.55152905,0.025054634,0.019364357,0.030078411
1981-12-01,0.028181672,0.42413962,0.044124544,0.021671236,0.009778142
1982-01-01,-0.0028610826,1.1119566,0.01051569,0.021878183,0.02394408
1982-02-01,0.023840785,0.33512208,-0.046916664,0.0327242,0.02373749
1982-03-01,0.024512231,0.68508756,0.021671593,0.019037545,0.024305642
1982-04-01,0.019399107,0.61500144,-0.039479375,0.021981478,0.021878183
1982-05-01,0.008398116,0.06634694,0.04377687,0.024667144,0.021361709
1982-06-01,0.016351879,0.17124361,0.038095593,0.013046443,0.013407946
1982-07-01,0.028695703,-0.012467623,0.029057205,0.026836395,0.004627824
1982-08-01,0.025441885,-0.07057136,0.0026135445,0.024305642,-0.03312671
1982-09-01,0.024305642,0.14593619,-0.033849776,0.025132,0.000857532
1982-10-01,0.029728651,0.34700108,0.018366158,0.016403496,-0.05316603
1982-11-01,0.001580596,0.5161476,-0.028013587,0.020483673,-0.10884237
1982-12-01,0.040006578,0.37432274,0.06583047,0.0023553371,-0.07160431
1983-01-01,0.06614125,0.07171285,0.066702425,-0.021080226,-0.056674242
1983-02-01,0.08297628,0.1821827,0.07656294,-0.015829295,-0.06344837
1983-03-01,0.06012875,0.16121906,0.039966792,-0.050461352,0.000364393
1983-04-01,0.009262919,0.3367042,0.033192694,-0.01995787,-0.06276697
1983-05-01,0.025416523,0.21060182,0.029064119,-0.026210874,-0.021962047
1983-06-01,0.011467516,0.059327066,0.035036534,0.01451385,0.025616944
1983-07-01,0.02237019,-0.029978722,0.038363457,0.02714011,0.023171872
1983-08-01,0.024735123,-0.056433797,0.011667937,0.01936394,0.026819438
1983-09-01,-0.0037240982,0.018081278,0.017880857,0.026378542,0.025897533
1983-10-01,0.018121362,0.21332748,0.046580553,0.023332179,0.020366013
1983-11-01,0.025616944,0.52064687,0.028703362,0.01731968,0.023773104
1983-12-01,0.030306697,0.8493307,0.04421565,0.01499483,0.015916765
1984-01-01,0.07016632,0.15598014,0.015730262,0.030006886,0.030879915
1984-02-01,0.048443228,0.2048699,0.046080917,0.025538981,0.022611797
1984-03-01,0.022663116,0.094816595,0.038942575,0.022714496,0.025693059
1984-04-01,0.05152452,0.3956529,0.020403504,0.026771545,0.017168164
1984-05-01,0.031444788,0.10724446,0.04171574,0.024357855,0.024255157
1984-06-01,0.034115255,0.083569914,0.045361936,0.018143892,0.022919893
1984-07-01,0.029287875,-0.043944,0.029801428,0.030160904,0.026103914
1984-08-01,0.034680128,-0.03197837,0.006897211,0.015473485,0.016962767
1984-09-01,0.031804264,0.15721264,0.01999271,0.028671622,0.028106749
1984-10-01,0.020917058,0.26464686,0.0037645698,0.02071166,0.026257992
1984-11-01,0.028568923,0.64210445,0.055170715,0.022252321,0.014497697
1984-12-01,-0.051082313,1.1530845,0.04022646,0.017681718,0.021122515
1985-01-01,-0.0020747185,0.15759641,0.034474492,0.029983103,0.020753086
1985-02-01,0.032702684,0.34726512,0.004847765,0.020959139,0.01523155
1985-03-01,0.012635589,0.8881691,0.0364936,0.01659137,0.01720941
1985-04-01,0.028829336,0.21652019,0.02503848,0.028211296,0.029447436
1985-05-01,-0.0045470595,0.079429686,0.035916686,0.020835519,0.029735863
1985-06-01,0.030189157,0.0033643842,0.022895753,0.0251621,0.025615335
1985-07-01,0.0251621,-0.06660247,0.020588279,0.02503848,0.028211296
1985-08-01,0.032414258,-0.03178388,0.0030759573,0.030230343,0.021865666
1985-09-01,0.0042297244,0.029447436,0.038512647,0.02157718,0.02417314
1985-10-01,0.006001532,0.2594151,0.007690966,0.023472667,0.021618426
1985-11-01,0.021783233,1.4815688,0.037276506,0.019104898,0.021412373
1985-12-01,0.047989905,0.28867096,0.049844146,0.03076601,0.030560017
1986-01-01,0.013797045,0.30915108,0.025408983,0.023994982,0.024380624
1986-02-01,0.049404085,1.0199633,0.04884708,0.03145063,0.019110262
1986-03-01,0.061016023,0.15793908,0.027037203,0.035478354,0.0293082
1986-04-01,-0.0055704117,0.44133842,-0.015468419,0.03093642,0.021295547
1986-05-01,0.025623202,0.17199337,-0.0017997622,0.01649648,0.025366127
1986-06-01,0.051160872,-0.07944107,0.016839325,0.030550778,0.025666058
1986-07-01,0.02900827,-0.06675792,0.00025695562,0.022880912,0.027294278
1986-08-01,0.026008844,-0.058959544,-0.06602949,0.014782548,0.026137412
1986-09-01,0.032821774,0.39030597,0.036292493,0.031407773,0.021766841
1986-10-01,0.018467546,0.053988874,0.038434863,0.019281626,0.016196549
1986-11-01,-0.0359928,0.41010192,0.029522419,0.022452414,0.025408983
1986-12-01,0.040020287,0.011654615,0.050389588,0.02056712,0.014611185
1987-01-01,0.035291433,0.4094906,0.09061657,0.016782641,-0.083758235
1987-02-01,0.052039847,0.027143538,0.07774089,0.004912883,-0.029388696
1987-03-01,0.06617291,0.28465694,0.06330606,-0.02752775,-0.013495296
1987-04-01,0.042735174,0.053900793,0.06053981,-0.0031343997,-0.050462544
1987-05-01,0.021761924,-0.025063276,0.03368196,0.012708694,-0.033462644
1987-06-01,0.02055481,-0.016060382,0.030865401,0.027847677,-0.005749762
1987-07-01,0.043288425,-0.016261548,0.046959996,0.021560729,-0.04286793
1987-08-01,0.021309257,-0.0806399,0.03800738,0.025081426,0.0068744123
1987-09-01,0.02085659,-0.034820616,-0.0018267035,0.0319719,0.026389092
1987-10-01,-0.008666903,0.09629996,0.020605117,0.028954178,0.028048873
1987-11-01,0.026338816,0.072912514,0.060841575,0.030815125,0.021560729
1987-12-01,0.027143538,0.4809606,-0.00016695261,0.022767812,0.022315174
1988-01-01,0.054484487,0.45237207,0.04330209,0.026726723,0.027440518
1988-02-01,0.012213409,0.37615722,0.048457086,0.019628674,0.019707978
1988-03-01,0.026568115,0.26956743,0.059480876,0.023633718,0.017725289
1988-04-01,0.05127251,0.15813988,0.045562357,0.029581815,0.02426818
