,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1971-01-01,28.552979,10.741425,20.127014,27.10962,26.918884,27.827087,14.830383,14.960358,18.345642
1971-02-01,28.338043,9.639008,18.515625,26.045258,26.981628,27.580017,13.801117,13.602478,17.297089
1971-03-01,28.587555,10.363922,18.219147,26.712341,26.955933,27.429321,13.789734,13.509552,16.693268
1971-04-01,28.78424,11.223694,20.506012,27.89331,27.128876,27.739136,15.03891,13.832733,18.362457
1971-05-01,28.940887,12.38147,22.219177,28.772858,28.01587,27.712463,14.545258,16.440765,19.71045
1971-06-01,29.144958,15.276093,24.644379,28.275269,28.443787,28.327667,17.358856,19.863129,22.730103
1971-07-01,29.321838,17.035706,26.815125,27.877502,29.052551,28.9888,21.383575,23.903168,25.948883
1971-08-01,29.52594,19.849792,27.917511,28.056885,29.313934,28.483795,23.171356,26.022034,27.88443
1971-09-01,29.238342,18.757751,27.373962,28.790161,28.868225,27.851318,22.697998,24.646362,26.179657
1971-10-01,29.204742,17.422607,25.964691,27.728271,28.72049,28.271332,20.438324,22.344177,24.709595
1971-11-01,29.344574,15.094269,23.845367,27.902191,27.980286,28.689362,18.200867,20.25943,22.653015
1971-12-01,28.951263,12.116119,21.243256,27.338898,27.13086,28.573242,15.648163,17.225464,20.401245
1972-01-01,28.20279,10.356262,19.044006,26.496918,26.28888,28.568176,14.157349,16.163086,18.77716
1972-02-01,28.444305,9.452881,18.204224,26.68631,26.186523,28.248718,13.245819,14.631744,17.979431
1972-03-01,28.445282,9.482544,17.408417,26.665253,26.0354,28.169312,13.898621,13.815399,17.099945
1972-04-01,28.384521,9.928741,17.856537,28.066498,25.818298,29.120056,14.252014,15.123871,17.782898
1972-05-01,28.813995,11.836426,21.11383,29.108582,26.50122,29.43283,15.564789,17.031555,20.018188
1972-06-01,28.566742,15.867523,23.806793,28.832153,27.186523,29.420868,18.199432,20.21521,22.540436
1972-07-01,28.49405,18.084167,26.28122,27.917297,27.892914,29.51892,21.2659,23.799164,25.808716
1972-08-01,28.25827,21.632233,27.136322,27.803467,28.313263,29.107147,23.012451,25.852234,26.862762
1972-09-01,28.672424,21.775238,26.400787,28.255402,28.619843,29.153076,22.520325,24.98999,26.785767
1972-10-01,28.720734,19.23053,23.841705,28.853699,28.4357,29.571533,20.0177,22.213776,24.175995
1972-11-01,28.822601,15.665222,22.184143,28.928284,27.638,29.777649,17.968933,19.623627,22.387878
1972-12-01,28.517487,13.512665,20.495941,28.42566,26.860382,29.612183,16.231476,16.715912,20.826874
1973-01-01,28.10434,11.232208,19.063171,27.558716,26.306793,28.884918,14.660797,14.95108,19.261719
1973-02-01,28.146576,10.494354,18.000092,27.08783,26.080078,28.92276,14.315674,14.544312,17.894745
1973-03-01,27.942688,9.840942,18.07727,27.95337,26.372314,28.631042,13.422943,14.461304,17.10736
1973-04-01,28.647034,10.976379,19.752502,28.504333,26.672302,28.709656,13.42926,15.206909,18.618042
1973-05-01,28.814514,12.564697,22.568481,29.630035,27.027649,29.198486,15.251099,17.286499,19.606384
1973-06-01,28.860626,15.402527,24.536407,29.460144,27.934906,28.581024,16.619507,20.213165,20.994232
