,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1971-09-01,-0.63888663,-0.29324293,0.37659463,-0.20427671,-0.25782916,0.116606236
1971-10-01,0.16137716,-0.024616862,0.26488322,0.0813364,-0.078025356,0.2143538
1971-11-01,0.28273395,0.47218305,0.24530485,-0.36896497,0.13143389,0.12812285
1971-12-01,0.35442513,0.43633738,0.020730019,-0.45390028,0.23493984,0.09933116
1972-01-01,0.19294624,0.501897,-0.6218473,-0.4787487,-0.05050535,-0.04603348
1972-02-01,0.13060379,0.50373834,0.62579304,-0.0009206772,0.1580923,0.1365223
1972-03-01,0.10877065,0.4519177,0.3407797,-0.24147873,-0.2351656,0.10009003
1972-04-01,-0.022753716,0.41574854,-0.17716336,-0.34235793,-0.077336356,0.101536825
1972-05-01,-0.024989653,0.09233012,-0.032618046,-0.026173353,-0.055240225,0.038799692
1972-06-01,-0.08496475,-0.048269413,-0.41469637,-0.13323422,0.17479591,0.5983044
1972-07-01,-0.5084733,0.08496475,-0.45204926,-0.45310146,-0.5036068,0.57765514
1972-08-01,-0.07654724,0.35195923,-0.57712895,0.041430186,-0.09851189,0.38628712
1972-09-01,-0.07536354,-0.03669529,-0.57923335,0.11639907,-0.16743052,0.39470464
1972-10-01,-0.18860598,-0.24187331,-0.57015824,0.22714257,0.083649516,-0.066419795
1972-11-01,0.30434737,0.09522362,-0.88305473,-0.03893123,0.11074352,0.15782924
1972-12-01,0.2417418,-0.0024989606,-0.26554775,-0.39062738,0.2060987,-0.012626362
1973-01-01,0.025348281,0.0912817,0.28063217,-0.17896184,0.20652647,-0.09806891
1973-02-01,0.07950783,0.35944748,0.12549496,-0.16441779,-0.010388637,0.0738287
1973-03-01,0.41291437,0.6072515,-0.010388652,-0.16427922,-0.043216787,0.30293313
1973-04-01,0.15001217,0.14003906,-0.26955095,-0.25002027,-0.14142421,-0.12812677
1973-05-01,-0.11289004,0.47469226,-0.0019392133,0.007895398,-0.31041297,-0.42579633
1973-06-01,-0.014682626,0.4356309,0.12923488,-0.08158553,-0.13976201,-0.07355163
1973-07-01,0.07355167,0.2930986,-0.09003496,-0.19835405,-0.1331133,0.37523818
1973-08-01,-0.08020041,0.11538334,-0.13671474,-0.0783997,-0.10762646,0.22550301
1973-09-01,-0.11621441,0.16358665,0.4356309,0.27038202,-0.29683846,0.15970823
1973-10-01,-0.24157086,0.08837282,0.44795877,-0.02146988,-0.44394183,0.13948499
1973-11-01,0.003462887,0.062886,0.5025338,-0.157492,0.07050433,-0.20541832
1973-12-01,0.12452531,0.24517226,0.40072504,-0.16871175,-0.15679947,0.04709525
1974-01-01,-0.13007793,0.41913986,0.6659652,-0.17315653,0.25496387,0.035080336
1974-02-01,-0.122360185,0.47442657,0.49771982,-0.27755564,0.12586823,-0.115765095
1974-03-01,0.5924367,0.68097943,0.40861577,-0.8495054,-0.0058934926,0.048410796
1974-04-01,0.29018456,0.514418,0.114923194,-0.2688557,-0.07942188,0.021609474
1974-05-01,0.17680487,0.3517856,0.14635515,-0.23756409,-0.034659363,-0.08770086
1974-06-01,-0.17273557,0.37592086,-0.022311116,-0.20753527,-0.15028414,0.15786152
