,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6
1973-08-01,1.911618164740503e-05,8.055051376325001e-05,7.021056861537169e-05,9.862273337172442e-05,4.155309707317597e-06,7.771984489475627e-05
1973-09-01,2.3423224774887785e-05,7.811947606492743e-05,6.937853920053902e-05,0.00012340818724815587,4.569051973881757e-06,6.202115888832274e-05
1973-10-01,2.5296401872765273e-05,8.156856049289815e-05,6.888535645567032e-05,0.0001216795441761956,5.035413665872202e-06,5.9015380939832186e-05
1973-11-01,2.9435639589792117e-05,9.765014499818615e-05,4.733941957640378e-05,0.0001323005371408439,1.3188215122034908e-05,5.2156455484048536e-05
1973-12-01,2.4075157853076234e-05,9.981160408379623e-05,3.926301937232294e-05,0.00014231554814614356,1.3471381140503188e-05,4.835586789739887e-05
1974-01-01,1.5821271517779678e-05,0.00010943216452633133,2.8557446708370802e-05,0.00013908743551981293,9.728763561537393e-06,7.363620481067678e-05
1974-02-01,1.8843253201339394e-05,0.0001003904284275395,3.781455515257303e-05,0.00013363596257189974,1.3500425900685477e-05,6.69449768682215e-05
1974-03-01,1.9214978237869218e-05,9.552695043665548e-05,4.1309136961685205e-05,0.00014000359346697989,1.3208088987703753e-05,6.511610724662272e-05
1974-04-01,2.52092067967169e-05,8.393762982450426e-05,5.587196021106064e-05,0.00012018603899234317,8.368958342825207e-06,6.581812180584388e-05
1974-05-01,2.4105142074404284e-05,8.470569042971425e-05,6.38961790809105e-05,0.00011360282913205753,4.286863427812032e-06,6.803550094468292e-05
1974-06-01,2.2841584723209962e-05,8.824294543802649e-05,6.556896610200648e-05,0.00012785645881912818,3.218643382517501e-06,6.338328026553116e-05
1974-07-01,2.052281161013525e-05,8.473692445017129e-05,6.658484062797019e-05,0.00012382653566371453,3.138989461486866e-06,7.201876830616285e-05
1974-08-01,1.9883866116288118e-05,8.68424200256501e-05,6.992088494031137e-05,0.00010565661221718121,1.932127731576197e-06,7.690528369361035e-05
1974-09-01,1.8696930055739358e-05,8.003406979828086e-05,6.856651275373268e-05,0.00011271812055431503,3.642671143416479e-06,6.893835411685315e-05
1974-10-01,2.865324859158136e-05,6.972568590721362e-05,7.115922334918192e-05,0.00012482175263453667,3.465875687249264e-06,5.161366460947093e-05
1974-11-01,3.117142478004098e-05,8.414729136457466e-05,6.181601829149162e-05,0.00012188215087486529,7.246490454657685e-06,5.054149014318771e-05
1974-12-01,2.7784830308519304e-05,9.221227836783931e-05,4.292020404558038e-05,0.00013859314908347043,1.5579035723781136e-05,4.498264965283253e-05
1975-01-01,2.0225765183568e-05,0.00010790744816031621,3.1978139836943096e-05,0.00014230672126072213,1.6376312843706344e-05,5.2170018046503755e-05
1975-02-01,1.83978263521567e-05,0.00010335365421116263,3.672876340626716e-05,0.00014210018937439216,1.11852377531906e-05,6.157091908190945e-05
1975-03-01,1.8147844457416795e-05,9.786120913249542e-05,4.2003916971181045e-05,0.0001383672688940638,1.1579955640889839e-05,6.933392220029107e-05
1975-04-01,2.2137035557534546e-05,9.376372292031904e-05,5.3970746571061814e-05,0.00012551980417859005,9.399162681614884e-06,6.620203504742056e-05
1975-05-01,2.3352191419689916e-05,8.911635840300426e-05,6.204335943216504e-05,0.00012737833266759192,5.110367749590839e-06,6.338923412840813e-05
1975-06-01,2.521363967389334e-05,8.70475757317281e-05,6.606494092166697e-05,0.00013381037493481447,3.4941661294031235e-06,5.9190922290393404e-05
1975-07-01,2.2006934159435332e-05,7.968505175436388e-05,6.957634468562901e-05,0.00011582204407252568,2.8625935528063714e-06,6.93512514017795e-05
1975-08-01,1.838242133089807e-05,8.569338852651866e-05,6.972290199284056e-05,0.00010325836085126196,4.083684655494469e-06,7.869505391615193e-05
1975-09-01,2.300204687344376e-05,7.909730340477573e-05,6.827733484645775e-05,0.0001041807799514285,4.644541909375718e-06,7.142975735449709e-05
1975-10-01,2.6381396310171112e-05,7.879985699777952e-05,6.730010275392059e-05,0.00012115821223951091,4.391736605537085e-06,6.09186072990003e-05
