,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1969-09-01,-0.13716668,-0.01718235,-0.052933216,-0.019677818,-0.08277649,-0.033071637,-0.09494805,0.0028319955,-0.09418416,-0.029710472,-0.025432587,0.0060912967
1969-10-01,-0.00908494,-0.03846991,0.002220869,0.0029338598,-0.0043996572,-0.013260961,-0.054766595,-0.0036357641,0.016989708,-0.04172921,-0.038062513,0.019383311
1969-11-01,-0.057312906,0.030638158,-0.054359138,0.013628542,0.08752376,0.08956087,-0.08751273,-0.012242436,0.2821672,-0.0020061135,-0.016214728,0.03114748
1969-12-01,-0.01927036,-0.069331706,-0.01855743,0.024730623,0.523307,0.05752772,-0.032562375,-0.034701288,0.37337762,0.0003874898,0.017295301,0.04041618
1970-01-01,-0.0031296015,-0.0023662448,-0.0051953197,0.025161088,0.2653625,0.07307559,-0.07816732,0.00019341707,0.44404292,0.013350844,0.015820622,-0.008159101
1970-02-01,-0.09496212,-0.012514949,0.010566652,0.03759998,0.65968084,0.067237854,-0.058633268,-0.023831248,0.56533366,0.038049042,0.0028428435,0.039306402
1970-03-01,0.017931223,-0.038201094,-0.0026356578,0.029427111,0.5180478,-0.06438124,-0.116651654,-0.061058164,0.59268135,0.024756908,0.029337287,-0.06846768
1970-04-01,-0.03371054,-0.029983342,-0.049696982,0.035624146,0.11914903,-0.01884669,-0.071161985,-0.013233423,0.24883714,0.015551209,0.025071263,0.004818678
1970-05-01,-0.033665597,-0.03748262,-0.07340729,0.031403005,-0.04233247,0.015326679,-0.03411466,0.006839454,0.11807126,0.0010915399,0.018425167,-0.09186363
1970-06-01,-0.060429513,-0.030746758,-0.08045751,0.024307847,-0.04273659,-0.010134935,-0.06712049,0.007557988,-0.07003939,-0.01170665,0.02246672,-0.08629531
1970-07-01,-0.03537202,-0.09837496,-0.050011337,-0.0059586763,-0.03501278,-0.073452234,-0.015164375,0.016269684,-0.1079399,-0.03348601,-0.022663653,-0.03914416
1970-08-01,-0.02764821,-0.0009741783,-0.044308305,-0.029848635,-0.044263422,0.013485551,-0.064875185,0.01600027,-0.0732277,-0.031240702,-0.035955787,0.010431945
1970-09-01,-0.015927792,0.018110812,-0.05553478,-0.0054198503,-0.10798484,0.0044594407,-0.018756866,0.023050487,-0.10695195,-0.009910405,-0.048888683,-0.038919628
1970-10-01,-0.067389905,-0.024145603,-0.039907515,0.008590817,-0.060070276,0.0020794272,-0.02387613,0.023858786,0.052598536,0.01891917,-0.05993557,-0.011571944
1970-11-01,-0.06262988,-0.014401019,-0.033845246,0.033333957,0.13342911,-0.0023662448,-0.045161545,0.023499548,0.24255034,0.0075130463,0.014608204,0.020131588
