,abs_vo850GLB_cluster1,abs_vo850GLB_cluster2,abs_vo850GLB_cluster3,abs_vo850GLB_cluster4,abs_vo850GLB_cluster5,abs_vo850GLB_cluster6,abs_vo850GLB_cluster7,abs_vo850GLB_cluster8
1974-02-01,7.440532e-05,-7.712694e-05,1.3906756e-06,2.7014705e-05,-5.686072e-05,4.4537865e-05,9.075857e-05,-3.0506457e-05
1974-03-01,6.677292e-05,-7.11664e-05,2.2548702e-06,2.902578e-05,-5.6876874e-05,4.3326374e-05,8.7237175e-05,-2.8656916e-05
1974-04-01,7.518875e-05,-6.577122e-05,-1.6057529e-06,2.6522035e-05,-5.713533e-05,4.2429874e-05,9.419921e-05,-2.9658415e-05
1974-05-01,7.038316e-05,-7.9671074e-05,-4.7152425e-06,3.1190313e-05,-5.207937e-05,4.7235455e-05,9.1832764e-05,-2.9698796e-05
1974-06-01,7.131197e-05,-8.845843e-05,-1.0700016e-05,3.436442e-05,-4.949485e-05,5.0918392e-05,0.00010020821,-3.0239931e-05
1974-07-01,7.4946445e-05,-7.9412624e-05,-7.3482224e-06,3.41302e-05,-5.0746727e-05,5.432672e-05,0.00010381038,-3.4673987e-05
1974-08-01,7.876669e-05,-8.8296896e-05,-2.1388041e-06,3.0907635e-05,-4.3154712e-05,5.0692248e-05,9.5661075e-05,-2.9294966e-05
1974-09-01,7.8475925e-05,-8.279672e-05,-4.028734e-06,3.0867253e-05,-5.9445236e-05,4.2874086e-05,9.152585e-05,-3.0038016e-05
1974-10-01,7.291922e-05,-7.774077e-05,-2.2114982e-06,2.9558838e-05,-5.4801185e-05,4.93273e-05,7.971784e-05,-3.0062245e-05
1974-11-01,6.298499e-05,-6.8759575e-05,9.545329e-07,2.6990476e-05,-5.6513425e-05,5.2428713e-05,8.519379e-05,-2.7186969e-05
1974-12-01,7.0803144e-05,-8.169831e-05,-2.1226515e-06,2.5883977e-05,-5.4066215e-05,5.1273764e-05,8.879596e-05,-2.905267e-05
1975-01-01,7.07342e-05,-7.8159064e-05,-9.666546e-07,2.9785346e-05,-5.744334e-05,5.0313956e-05,9.1932925e-05,-3.0120733e-05
1975-02-01,6.976273e-05,-7.243916e-05,-1.4607613e-06,3.15524e-05,-5.7376343e-05,4.9476486e-05,9.125458e-05,-2.9551255e-05
1975-03-01,6.99721e-05,-7.3033756e-05,4.5704292e-07,2.8914377e-05,-5.7284222e-05,4.123579e-05,9.712523e-05,-3.0405474e-05
1975-04-01,6.951987e-05,-8.35105e-05,-4.5928973e-06,2.8093657e-05,-5.1564304e-05,4.5347762e-05,8.715935e-05,-2.7725571e-05
1975-05-01,7.4368814e-05,-9.156695e-05,-3.6465572e-06,2.5874362e-05,-5.1907668e-05,4.3220592e-05,8.8273184e-05,-2.8839404e-05
1975-06-01,6.9109505e-05,-7.560479e-05,-7.984647e-06,2.9014873e-05,-5.266139e-05,4.8086287e-05,9.6103526e-05,-3.264989e-05
1975-07-01,7.7115714e-05,-8.093109e-05,-3.914549e-06,3.723045e-05,-5.1187446e-05,5.1921896e-05,0.00010436935,-2.9073897e-05
1975-08-01,7.724971e-05,-7.835169e-05,-7.004808e-06,3.0840558e-05,-5.007361e-05,5.578263e-05,0.00010629553,-2.9149269e-05
1975-09-01,7.855616e-05,-7.340225e-05,-1.1560642e-05,3.0245954e-05,-5.078546e-05,4.8806512e-05,9.9553894e-05,-2.7097467e-05
1975-10-01,7.024847e-05,-8.643327e-05,-4.9195114e-06,3.071494e-05,-6.0541977e-05,5.510428e-05,9.0894464e-05,-3.0665087e-05
1975-11-01,6.165603e-05,-7.9859135e-05,-1.6785052e-06,2.843702e-05,-5.1296316e-05,4.4351174e-05,8.7058856e-05,-3.031335e-05
1975-12-01,6.757694e-05,-7.4817566e-05,-7.070412e-07,3.1066673e-05,-5.2795385e-05,4.7742924e-05,9.242703e-05,-2.8102433e-05
1976-01-01,7.129171e-05,-6.952989e-05,-1.2980454e-06,3.0408248e-05,-6.156225e-05,4.4228556e-05,8.364366e-05,-3.033171e-05
1976-02-01,7.470166e-05,-7.391803e-05,3.3277902e-06,2.8131892e-05,-5.2840805e-05,4.322294e-05,9.544594e-05,-2.9993458e-05
1976-03-01,7.247102e-05,-7.649607e-05,1.5359619e-06,2.672403e-05,-5.9450453e-05,5.360822e-05,8.7529e-05,-2.9600353e-05
1976-04-01,6.598936e-05,-7.5216194e-05,-1.0969234e-06,2.4648803e-05,-6.323523e-05,5.901112e-05,9.214569e-05,-3.0103165e-05
1976-05-01,7.589926e-05,-7.808677e-05,-4.8634174e-06,3.1011616e-05,-4.9631977e-05,5.064622e-05,9.241081e-05,-3.1858417e-05
