,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8
1973-05-01,0.17854632,0.13629913,-0.052497316,0.16414073,-0.455023,0.28298697,0.004848027,0.15998526
1973-06-01,-0.07909231,0.25653046,0.08006189,0.08144705,-0.30168653,-0.0060946704,-0.10582576,0.1295119
1973-07-01,0.069950245,-0.015652228,0.09626822,-0.03462882,-0.17549899,-0.48743564,-0.3162306,-0.108457565
1973-08-01,0.17799225,-0.088372804,0.04404788,-0.19544518,-0.05388248,-0.4216408,-0.11870766,-0.023963165
1973-09-01,0.017868424,0.23325984,0.046264134,-0.061223794,0.07452128,-0.2910208,-0.09183569,-0.021331359
1973-10-01,-0.045433052,0.35196757,0.27495304,-0.16067782,-0.2947607,-0.14613375,-0.17078947,-0.21303663
1973-11-01,-0.14890404,0.17175908,0.12868083,-0.13532951,-0.4486513,0.33423766,-0.13962351,-0.015375209
1973-12-01,-0.74756753,0.34102488,-0.28464913,-0.046679687,0.32703483,-0.31636915,-0.0802004,0.14904256
1974-01-01,0.99543965,0.22381255,-0.35122433,-0.082789615,-0.17512104,0.24359787,0.13807622,-0.1415842
1974-02-01,-0.09148951,0.19013543,-0.21623525,-0.08124606,-0.03900938,-0.2123063,-0.11099412,-0.003508091
1974-03-01,-1.7333896,0.06300428,-0.15687934,0.024977207,0.26829442,0.5645127,-0.21202557,0.11562471
1974-04-01,0.13428752,0.24415913,-0.10047009,-0.12600856,0.5614258,-0.3728338,-0.17441943,0.09850557
1974-05-01,-0.09457658,0.120956995,0.07647514,0.08208799,0.18424194,0.15730026,-0.025117492,-0.030730367
1974-06-01,0.11394093,-0.00224514,0.12460536,0.12993757,-0.31993267,-0.2656283,-0.32287946,0.13667297
1974-07-01,0.008840275,-0.257209,0.13302463,0.049814083,-0.12530695,-0.6583878,-0.051778603,0.17399845
1974-08-01,0.028344918,-0.1389182,0.30197152,-0.033396434,0.04518347,-0.24584301,-0.3341051,-0.22774163
