,r600GLB_cluster1,r600GLB_cluster2,r600GLB_cluster3,r600GLB_cluster4,r600GLB_cluster5,r600GLB_cluster6,r600GLB_cluster7,r600GLB_cluster8
1976-09-01,69.77382,16.693668,35.97243,68.625786,34.684994,50.055523,36.869537,34.319263
1976-10-01,66.105034,18.412437,48.64344,72.22569,36.080673,31.145771,34.880157,20.432976
1976-11-01,45.374825,13.492294,40.398922,72.21585,48.25639,20.326374,35.406616,56.47959
1976-12-01,53.99164,20.729824,38.90648,69.49993,52.266308,15.545635,29.09079,73.55741
1977-01-01,34.781227,19.744785,38.595573,75.078766,58.388577,16.310577,26.788652,63.219864
1977-02-01,26.84226,21.99473,30.64036,68.89102,63.856667,8.82972,25.333094,69.40923
1977-03-01,23.586746,18.804195,37.445423,75.538506,55.198044,15.105194,24.285286,71.09385
1977-04-01,40.749672,23.914898,38.423378,71.435,44.667984,35.421288,33.525486,67.92606
1977-05-01,58.461678,13.760101,38.148834,68.08039,24.63293,24.524088,33.510864,63.3352
1977-06-01,63.83555,17.038357,46.185272,70.95415,14.23608,34.678886,26.5466,45.559837
1977-07-01,64.85087,8.727375,46.247005,70.2556,19.32891,43.38787,18.216125,26.637573
1977-08-01,70.60812,16.568874,36.57631,73.30968,30.77032,50.228672,24.507843,26.111233
1977-09-01,67.15117,14.6308365,38.624817,72.00357,33.923492,56.921646,33.402023,48.350742
1977-10-01,59.995213,14.021645,39.13491,71.906105,37.645237,38.686546,27.358854,59.936733
1977-11-01,26.237944,13.865692,38.030243,76.683784,55.09245,14.249077,27.737364,58.728096
1977-12-01,50.542202,16.429165,37.565636,74.8952,60.255135,18.640121,36.8606,59.01726
1978-01-01,56.845238,14.683029,38.80627,71.86821,60.69127,32.69507,25.82195,55.28655
1978-02-01,19.354343,20.44099,44.294945,70.95739,64.78758,11.941071,27.303022,57.642006
1978-03-01,19.95311,28.39442,35.311893,73.42531,59.9341,16.785042,27.196892,58.049103
1978-04-01,36.910183,12.848721,33.45224,71.619514,47.303024,18.685883,29.161093,68.78726
1978-05-01,62.848724,11.117371,36.682083,68.798355,25.528904,32.265797,29.512749,57.501026
1978-06-01,68.85854,10.952633,43.73895,73.45065,21.717722,36.864246,23.442734,45.782352
1978-07-01,66.61397,13.910023,45.60811,67.2555,20.304764,38.460953,21.991758,24.472355
1978-08-01,71.3138,13.761124,30.887688,74.439095,24.079515,48.6843,25.780766,29.962614
1978-09-01,67.58974,12.6142845,31.552982,69.30207,29.77253,49.15476,24.204653,33.20513
1978-10-01,53.862503,13.418972,42.874065,75.595436,40.548706,21.258352,28.969425,51.54348
1978-11-01,57.600822,22.590523,38.435608,75.98986,48.03643,25.552666,23.935368,55.14874
1978-12-01,43.35086,16.368443,41.475365,72.463806,64.90163,14.378895,31.473782,54.29019
1979-01-01,49.823517,17.551765,36.78926,76.286804,73.28712,28.584608,32.071304,58.33073
1979-02-01,11.940693,23.488047,38.452522,77.275375,57.194923,13.1622505,37.26818,45.446945
1979-03-01,41.16098,20.79253,43.19637,64.31232,58.69639,29.278711,35.150276,66.70042
1979-04-01,40.746784,15.018047,43.929302,74.704445,37.515724,11.023312,31.744476,66.20694
1979-05-01,51.257027,16.915909,44.95347,71.99275,26.953709,18.59211,31.954811,58.280575
1979-06-01,75.69463,12.3532715,50.784584,70.15799,27.050785,38.408836,24.882725,42.177055
1979-07-01,72.96191,8.699928,38.395893,63.221813,21.494724,39.12559,23.842379,40.86004
1979-08-01,72.37944,10.026653,42.7304,67.18742,23.329487,43.411556,30.681479,23.159601
1979-09-01,65.618004,22.80527,43.144592,62.029377,30.369213,48.226593,26.656004,42.757904
1979-10-01,62.852917,17.726505,38.25675,73.02663,41.35837,33.50805,36.004555,44.66871
1979-11-01,53.007656,16.53407,39.187073,69.96384,40.842243,22.509182,29.416237,52.49962
1979-12-01,43.793396,8.87952,41.228935,73.057365,63.221813,18.739346,28.561956,63.865757
1980-01-01,32.96778,12.688255,37.2489,67.37648,65.1471,19.923958,20.905014,69.429855
1980-02-01,26.959211,23.364176,31.712938,68.30539,55.597275,17.285534,32.36154,78.055664
1980-03-01,42.72131,15.708019,39.15072,67.13366,55.605423,22.262524,28.328129,76.02184
1980-04-01,49.564266,16.00462,35.402496,67.98109,37.63839,25.13236,30.44995,78.12573
1980-05-01,74.97071,14.502068,37.89262,73.38505,22.816608,17.251312,25.968376,61.165833
1980-06-01,68.00716,14.15332,34.46218,68.253235,18.995049,32.62718,22.190819,47.217552
1980-07-01,65.901634,12.393284,40.25726,73.22045,19.097717,41.841293,21.353172,44.26949
1980-08-01,75.60791,22.32934,39.993256,66.42802,24.138266,44.396603,28.262941,39.87755
1980-09-01,72.98089,12.052685,41.774475,74.263435,32.67118,53.095745,28.541615,43.45303
1980-10-01,56.284996,13.38575,39.950882,71.38871,39.48154,32.80481,30.35706,57.17805
1980-11-01,46.104492,20.44545,40.754307,75.7562,42.44101,29.015846,32.795036,44.02993
1980-12-01,48.772247,14.819855,40.804825,65.08681,48.583206,22.163115,30.502098,62.052372
1981-01-01,54.41472,10.882721,40.82525,62.57374,66.401405,10.300648,35.98855,78.53319
1981-02-01,42.52143,4.801819,32.05414,59.383183,64.07145,29.322235,24.815762,68.159294
1981-03-01,15.227413,11.272991,42.009407,75.86633,47.46988,12.513859,32.97478,58.610977
1981-04-01,60.709106,18.71151,35.344765,72.76584,46.07224,30.406324,29.890965,67.5422
1981-05-01,69.93053,15.974602,41.834286,71.623375,21.96711,28.007986,28.893604,64.12649
1981-06-01,70.59266,13.959866,41.02539,66.45144,20.30095,48.997612,24.12695,44.871403
1981-07-01,73.1928,9.848667,44.13923,72.33221,18.10442,47.288086,17.825893,38.0283
1981-08-01,76.573494,13.11261,42.975082,77.38072,26.928902,47.05626,31.00007,36.70071
1981-09-01,72.43728,9.95541,42.58648,72.55235,25.064268,47.673355,24.166977,45.8254
1981-10-01,64.68521,20.841328,40.113087,74.14013,38.39022,28.00465,23.61159,58.697704
1981-11-01,47.728394,16.563347,39.477646,69.13998,46.575924,20.137505,30.069424,67.63727
1981-12-01,30.86164,13.219349,33.12155,68.09926,54.4364,12.308716,29.19715,67.252
1982-01-01,24.709864,11.115749,40.17636,63.65681,59.10453,11.136662,26.86697,65.63376
1982-02-01,38.80907,11.617626,35.799416,65.25896,61.710426,19.916294,32.976357,68.82679
1982-03-01,36.685745,12.401005,33.906116,61.110428,58.53509,26.860535,30.692173,70.67665
1982-04-01,57.50399,17.215488,40.654114,72.90132,42.19996,19.61388,35.632126,65.939384
1982-05-01,63.68255,11.894302,40.966175,71.04019,27.011742,30.08574,26.133457,53.21873
1982-06-01,68.590324,18.296452,42.098618,67.31472,17.691628,44.151165,23.627289,44.03052
1982-07-01,67.83912,15.80637,48.97047,69.671295,15.3334465,40.966175,23.006376,48.594063
1982-08-01,74.619286,15.018166,42.690575,71.517944,19.723263,45.240173,21.098598,35.870193
1982-09-01,67.5737,15.452484,45.04232,68.850914,27.787077,48.4879,29.667507,43.065372
1982-10-01,66.560295,23.764017,37.808533,76.5351,35.71416,39.91738,31.800486,53.451977
1982-11-01,42.447678,17.503422,41.283066,75.64877,43.411217,18.02782,31.666973,56.9249
1982-12-01,47.56779,15.524868,39.211216,70.69917,51.96404,13.747387,30.18547,63.010162
1983-01-01,29.317236,22.854174,37.828003,70.62804,59.06812,16.245533,27.541494,59.32088
1983-02-01,36.906532,18.651585,37.69362,62.56681,49.429516,20.009789,26.152895,44.85578
1983-03-01,39.224598,22.515024,42.744087,69.47621,41.576256,18.59719,24.281168,66.91018
1983-04-01,47.89534,22.977356,42.264156,65.631966,37.351273,26.903187,33.730995,72.2646
1983-05-01,71.6119,24.404348,45.55328,64.43054,31.489721,33.983757,32.995102,62.261253
1983-06-01,67.631676,15.783199,43.396793,68.45076,25.527386,36.996124,29.851559,48.98318
1983-07-01,64.7185,15.880787,42.363342,68.92269,26.867992,41.790627,27.621483,28.60374
1983-08-01,67.790054,10.443176,41.389084,74.753845,22.81418,46.65072,21.9775,28.710924
1983-09-01,71.14477,27.819853,43.678352,70.94479,34.510082,34.361305,33.099087,40.17646
1983-10-01,50.406975,12.110134,36.65857,78.4909,38.427914,17.787708,27.71267,50.59255
1983-11-01,34.433296,20.942451,38.130356,74.128334,49.60709,20.497715,34.67326,60.01358
1983-12-01,43.249615,16.61028,35.529137,67.06056,56.353313,7.817955,27.440708,68.293976
1984-01-01,33.26612,11.253227,39.482586,66.46603,69.141716,22.845697,31.732931,62.880928
1984-02-01,24.066996,15.206028,40.87132,63.23057,64.0973,13.96339,26.089357,66.29695
1984-03-01,50.635128,23.658255,37.409336,64.66855,65.05431,29.544775,31.289719,70.47628
1984-04-01,52.112503,17.609222,36.02717,70.83742,36.321003,20.437576,27.839228,77.91076
1984-05-01,62.53949,20.824978,39.8191,63.205948,20.166725,31.83963,29.426584,65.49096
1984-06-01,68.68373,9.652737,38.783295,69.06292,19.352528,39.622116,23.027908,46.583836
