,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8
1974-12-01,21.779205,27.535889,24.82373,14.31131,25.837433,20.28189,15.209503,19.284851
1975-01-01,23.3497,27.829102,23.485474,12.909027,25.797546,19.292694,17.433716,20.128601
1975-02-01,23.940918,27.47879,22.821655,12.56955,26.81781,18.721283,17.876404,20.668457
1975-03-01,24.3591,27.387817,23.034271,12.526184,27.313324,18.953247,17.681702,20.542084
1975-04-01,23.250671,27.300598,23.38739,13.081116,27.029022,19.055542,16.945251,19.325226
1975-05-01,21.395935,27.70935,24.41333,14.649689,26.317566,20.186127,15.331421,18.898071
1975-06-01,20.072968,27.834778,26.329834,16.278137,25.009247,21.766022,13.696838,18.078674
1975-07-01,19.13617,27.986572,26.802246,18.781616,23.726868,24.14978,12.80719,16.896698
1975-08-01,19.02066,27.83902,27.766876,21.941406,23.435486,25.32843,12.392761,16.271545
1975-09-01,19.10788,27.657013,27.825806,21.000824,22.999847,24.7641,12.476227,15.899078
1975-10-01,19.394073,27.632019,26.97293,19.515228,23.90744,23.641052,12.49176,15.852875
1975-11-01,20.51947,27.752716,26.198303,17.020233,24.88385,22.188446,13.877899,17.34555
1975-12-01,21.966858,27.981384,24.329407,14.117401,24.950317,20.544922,15.322479,18.430847
1976-01-01,23.882263,27.361542,23.137848,12.570679,25.361603,19.119537,16.956482,19.641174
1976-02-01,24.424255,26.993591,22.580444,12.600006,26.252167,18.23294,17.864471,20.389038
1976-03-01,23.52472,26.908539,22.758453,12.539337,26.627106,18.332367,18.078278,20.51236
1976-04-01,23.38153,27.318298,23.111023,13.490112,26.426727,18.872894,16.333923,19.48352
1976-05-01,21.869873,27.167633,24.232819,14.300629,25.487885,19.895264,15.499512,18.311981
1976-06-01,21.16623,27.70465,25.740509,16.78543,25.02295,22.443695,13.780487,17.456207
1976-07-01,20.44223,27.558472,27.703674,20.456665,24.438202,25.402863,12.943115,16.515411
1976-08-01,19.671997,27.310822,27.405304,22.589874,23.579437,24.952362,12.253937,15.689453
1976-09-01,19.27069,27.36853,27.230774,22.388,23.552063,23.977722,12.536377,15.5780945
1976-10-01,20.220459,27.230286,27.14624,18.919647,24.08017,22.816132,13.500061,15.990295
1976-11-01,21.081207,27.226288,26.68628,15.721802,24.824066,22.022522,13.842651,16.844604
1976-12-01,22.200043,27.178558,25.348175,13.892395,25.850403,20.779877,16.171295,19.183197
1977-01-01,23.484009,26.881592,24.106293,12.067047,26.331787,19.558502,17.37387,20.522339
1977-02-01,24.469757,26.643677,23.894653,11.439392,26.796936,19.253906,18.185913,20.872192
1977-03-01,24.430817,27.018799,23.849884,11.23941,27.002258,18.763947,17.787445,20.637177
1977-04-01,23.636292,27.43869,23.621704,12.265076,26.84024,18.752289,16.968079,20.170074
1977-05-01,22.695312,27.741333,24.6279,13.604553,25.84961,20.591919,15.66803,18.754211
1977-06-01,21.998077,27.820648,26.481659,15.513794,25.473022,22.06958,14.579102,17.966003
1977-07-01,20.974365,27.813354,27.082062,19.1026,24.621063,24.281952,13.566101,16.802673
1977-08-01,20.640106,27.687317,27.371552,21.264343,23.760376,25.177216,13.292664,16.32486
1977-09-01,20.142365,27.67273,27.796326,21.694946,23.484985,25.600983,14.140228,16.277191
1977-10-01,21.157318,27.30783,27.631866,19.604706,24.391907,23.81778,13.80307,16.404663
1977-11-01,21.299377,27.67273,26.312317,16.051422,25.325592,22.165436,14.828705,17.86966
1977-12-01,22.18393,27.74765,25.028809,14.035645,25.979034,20.509216,15.452484,19.291382
1978-01-01,23.363281,27.547241,23.732513,13.255951,26.275665,18.980682,17.509033,20.416107
1978-02-01,23.928253,27.14804,23.512146,12.2777405,26.836304,18.79123,18.417145,21.28653
1978-03-01,23.501495,27.356354,23.218292,11.5590515,27.29544,18.561157,17.492584,21.234802
1978-04-01,23.640228,27.55014,23.833527,12.83548,26.67633,19.150787,16.849792,19.77185
1978-05-01,22.757202,27.736694,24.765839,13.884735,26.332214,19.927948,15.462219,18.940552
1978-06-01,21.40155,28.196808,25.78656,16.84497,25.49466,21.238678,14.144745,17.907745
1978-07-01,20.545135,27.843018,26.327393,20.302032,24.579285,23.246307,13.423157,17.140747
1978-08-01,20.346497,27.723663,27.355377,22.931702,23.531952,25.270386,13.292664,16.55545
1978-09-01,19.620087,27.359222,27.92566,23.256958,22.709839,25.881775,13.161224,16.258698
