,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8
1971-08-01,-7.094452,1.7288208,-2.6151123,-14.1284485,-1.9682922,-10.829102,1.4876709,-2.8834534
1971-09-01,-7.328644,1.4194946,-3.2085571,-13.805267,-1.7054138,-11.255524,1.2554321,-2.8814392
1971-10-01,-6.6948547,1.2285767,-7.0115967,-14.054504,-2.6578064,-10.595551,0.6721802,-2.698822
1971-11-01,-5.704468,1.3394165,-9.397125,-12.683136,-4.5328674,-9.747467,-0.7260742,-2.0246582
1971-12-01,-3.8839722,1.3291321,-11.376038,-11.257935,-5.958832,-7.7233887,-1.9627686,-1.5566101
1972-01-01,-2.4230347,1.0155334,-12.3446045,-10.004089,-7.415863,-5.5693665,-3.1174316,-0.46606445
1972-02-01,-2.1311035,0.4413452,-13.178009,-9.638062,-8.553894,-5.841797,-3.7384949,-0.35446167
1972-03-01,-2.4502258,-0.17190552,-14.237427,-10.785004,-9.0069275,-6.182434,-4.100647,0.22457886
1972-04-01,-3.4765015,0.20645142,-14.131714,-12.042755,-8.506622,-7.1766357,-3.828003,-0.27035522
1972-05-01,-4.68573,0.57873535,-12.872284,-13.167358,-7.869385,-8.541321,-3.3050537,-1.3275452
1972-06-01,-5.6990356,1.1436462,-10.067291,-14.023285,-5.6550293,-9.0954895,-1.6837158,-1.4364624
1972-07-01,-6.144043,1.4370117,-6.482666,-14.521881,-3.355896,-9.83847,-0.22583008,-1.9584961
1972-08-01,-6.4518127,1.2521973,-4.296356,-14.309296,-1.4876709,-10.650757,0.77871704,-2.5091858
1972-09-01,-6.4695435,0.73565674,-5.0946045,-14.40213,-1.6617737,-10.51355,0.98480225,-2.855957
1972-10-01,-6.7869263,0.7616577,-7.96579,-15.147522,-4.333069,-10.427765,0.42495728,-1.9413757
1972-11-01,-5.973175,0.42523193,-10.5729065,-13.592041,-5.6656494,-9.261078,-1.268219,-1.2337952
1972-12-01,-5.395508,0.5576477,-12.43808,-11.890503,-7.2606506,-7.095642,-2.469635,-0.020080566
1973-01-01,-4.3293457,0.7788391,-13.521973,-10.961334,-8.295349,-6.0812683,-3.0842285,0.29534912
1973-02-01,-3.2217102,0.5996094,-14.420593,-9.917725,-9.108032,-5.597412,-3.9226685,0.61901855
1973-03-01,-3.717987,0.19894409,-14.580994,-10.231506,-9.475708,-6.1883545,-4.0165405,0.6911621
1973-04-01,-4.595337,0.49246216,-14.526276,-11.290894,-9.183624,-7.171509,-4.028351,0.09005737
1973-05-01,-5.5364685,0.8833618,-13.137848,-12.499023,-8.361694,-8.230621,-2.8272705,-0.7093506
1973-06-01,-5.7068787,1.4969177,-10.536926,-13.125732,-5.886505,-8.792786,-0.8399658,-0.93655396
1973-07-01,-6.602112,1.994873,-5.9977417,-13.460297,-3.5482788,-9.578796,0.022064209,-1.4293518
1973-08-01,-6.402008,1.881897,-2.7078552,-13.989288,-2.094757,-9.963593,0.8125,-1.9957275
1973-09-01,-6.536377,1.8795471,-3.2941895,-13.919312,-0.97772217,-10.258179,1.4644775,-2.2650757
1973-10-01,-6.6394653,1.4900513,-6.9520874,-13.555878,-2.2628174,-9.653503,0.92889404,-2.0273743
1973-11-01,-5.697235,1.4444275,-9.024384,-12.637421,-4.4734497,-8.577301,-0.1982727,-1.4327087
1973-12-01,-4.1773376,1.739563,-10.807373,-10.543304,-5.7516174,-7.2690735,-1.9147644,-0.9006958
1974-01-01,-2.5422058,1.6971436,-12.041901,-9.178955,-7.038025,-5.627838,-2.9758606,0.2732544
1974-02-01,-2.1852722,1.0824585,-13.287994,-8.636505,-7.637512,-5.953705,-3.790741,0.10205078
1974-03-01,-2.8779297,0.14260864,-13.86026,-9.141235,-8.311096,-5.95282,-3.6503296,0.24636841
1974-04-01,-3.8565063,0.16500854,-13.623932,-10.814362,-8.663116,-7.187378,-3.8016663,0.18948364
1974-05-01,-5.1292725,0.578949,-12.884003,-12.507111,-7.0940247,-8.238403,-3.100891,-0.7113037
1974-06-01,-6.5455017,1.03302,-10.441711,-13.066742,-5.441742,-9.223907,-0.77264404,-1.1000977
1974-07-01,-6.794647,1.4833069,-5.788788,-14.198914,-3.485321,-9.948334,0.32229614,-1.7574768
1974-08-01,-6.9533386,1.4156799,-3.0664368,-14.188721,-2.2093506,-10.544098,0.75390625,-2.3292847
1974-09-01,-7.342224,1.2969666,-5.057373,-13.634399,-2.5223694,-10.134674,0.47024536,-2.290863
1974-10-01,-6.7430725,1.1594543,-7.4469604,-14.199219,-3.5409546,-10.104309,-0.09359741,-1.7998962
1974-11-01,-5.8498535,1.1168213,-10.454346,-12.795502,-4.9134827,-8.821442,-1.224823,-1.0853271
1974-12-01,-4.6497498,1.1069336,-12.117645,-11.219452,-6.147064,-7.144104,-1.6052246,-0.5915222
1975-01-01,-3.0805664,1.3988342,-13.52124,-8.9965515,-7.1375732,-6.3016663,-2.9447937,-0.63272095
1975-02-01,-2.7289429,0.80892944,-14.100311,-8.793457,-7.948578,-6.001404,-3.8482056,0.14794922
1975-03-01,-2.6016846,0.42703247,-14.434601,-9.279083,-8.007538,-6.418701,-3.9265137,0.35253906
1975-04-01,-3.9535217,0.09640503,-14.123077,-10.258942,-8.148651,-7.8789673,-3.816803,-0.1751709
1975-05-01,-5.677307,0.6361084,-12.423553,-11.741821,-6.8871155,-8.175171,-2.659912,-0.75567627
1975-06-01,-6.6582947,1.1035156,-10.453125,-13.034424,-4.9652405,-8.652588,-0.40142822,-1.7220154
1975-07-01,-7.2379456,1.6124573,-7.592499,-13.566925,-2.2243347,-9.477417,0.4281311,-2.6472473
1975-08-01,-7.076416,1.7419434,-4.15567,-13.704315,-0.76864624,-9.825531,1.6697998,-2.6615906
1975-09-01,-6.884796,1.6643372,-4.991852,-13.516449,-1.2285767,-10.093597,1.8331299,-2.9928284
1975-10-01,-6.7713623,1.4665833,-6.6502075,-13.673676,-2.5243835,-10.312561,0.8074951,-2.2579956
1975-11-01,-5.7693176,1.4639282,-9.268555,-12.410889,-4.100342,-8.943237,-0.09048462,-1.4049377
1975-12-01,-4.2502747,1.7642517,-12.099731,-10.894653,-5.6722107,-7.7862854,-1.8877258,-1.2668152
1976-01-01,-2.2801208,1.1991577,-13.591705,-9.205902,-7.0428467,-6.5212097,-3.0245361,-0.80078125
1976-02-01,-1.9836121,0.5857239,-13.807861,-8.543396,-8.174927,-6.0188293,-3.827423,-0.15570068
1976-03-01,-3.2130432,0.17077637,-14.198425,-8.659485,-8.4053955,-6.225403,-3.979309,-0.11065674
1976-04-01,-3.684967,0.25180054,-13.5763855,-10.732574,-8.1936035,-7.5829773,-3.9554749,-0.6397705
1976-05-01,-5.185547,0.112213135,-12.754791,-11.555908,-7.1601562,-8.743439,-2.8226013,-1.5675354
1976-06-01,-5.677063,0.86135864,-10.057861,-13.062805,-4.399597,-9.387085,-1.1027832,-1.820343
1976-07-01,-5.9849243,1.1313171,-5.9704895,-13.484039,-1.024292,-9.911743,1.2765198,-1.9889526
1976-08-01,-6.5803223,1.0585022,-3.662445,-13.998383,-1.2999573,-10.562866,1.1529846,-2.672882
1976-09-01,-7.0836487,1.0141907,-3.966339,-13.817963,-2.3766174,-10.776245,0.8764343,-2.8022766
1976-10-01,-6.4014893,0.6083374,-7.702301,-13.121887,-3.8058167,-10.631653,0.524292,-2.5417786
1976-11-01,-5.704834,0.44024658,-11.0642395,-12.94339,-4.7635193,-9.941437,-0.09976196,-1.9619751
1976-12-01,-4.541809,0.43670654,-12.849457,-10.570557,-5.961975,-7.558655,-1.3936768,-0.891449
1977-01-01,-3.3590088,0.03857422,-14.77597,-9.469147,-7.2845154,-6.3206787,-2.7367249,-0.51123047
1977-02-01,-2.4544373,-0.28051758,-15.484802,-8.738281,-7.670288,-6.052002,-3.029541,-0.1272583
1977-03-01,-2.712677,-0.124694824,-15.904083,-9.356049,-8.379547,-6.506317,-3.2936096,-0.14123535
1977-04-01,-3.7839966,0.0184021,-15.155212,-10.452209,-8.667999,-7.2502136,-3.798584,-0.5800476
1977-05-01,-4.631836,0.41418457,-13.722595,-11.659119,-6.7352295,-8.572937,-2.6992493,-1.4775391
1977-06-01,-5.0420227,0.7805481,-11.526306,-12.460999,-4.97052,-9.074097,-0.55844116,-1.5670776
1977-07-01,-5.6046143,1.234375,-7.4763794,-13.012878,-2.2970276,-9.776306,0.5030823,-1.9579163
1977-08-01,-5.6942444,1.3529663,-5.0700073,-13.041687,-1.157135,-10.009491,1.0372009,-2.5739746
1977-09-01,-6.2795715,1.2507935,-4.7269897,-12.281708,-0.82095337,-10.144745,1.3743896,-2.9369507
1977-10-01,-5.547821,0.60269165,-7.1004333,-12.902069,-2.8873596,-10.300476,0.9267273,-2.3132324
1977-11-01,-5.5399475,0.83340454,-10.787903,-12.01062,-4.673889,-8.969666,-0.52700806,-1.5137329
1977-12-01,-4.633026,0.9306946,-12.781311,-11.364471,-6.3077393,-7.5255737,-1.788147,-0.83792114
1978-01-01,-3.5345154,0.6494446,-13.641846,-9.388763,-7.9171143,-6.4816895,-3.1652832,-0.62213135
1978-02-01,-2.9900818,0.22970581,-14.6405945,-8.50119,-8.127106,-5.6318054,-3.406189,-0.08203125
1978-03-01,-3.6732483,0.1816101,-15.615692,-9.682159,-8.613586,-5.9399414,-3.9564514,0.12069702
1978-04-01,-3.7520752,0.15783691,-14.556824,-10.542511,-8.241516,-7.620453,-3.5587769,-0.7159729
1978-05-01,-4.5379944,0.4414978,-13.410461,-11.832977,-7.3672485,-8.354645,-2.529358,-0.9629822
1978-06-01,-5.575012,1.2202454,-10.131592,-12.831818,-5.7378845,-9.068817,-1.1900024,-1.4819031
1978-07-01,-6.0516357,1.2462463,-6.294739,-13.1736145,-3.3504639,-9.456024,-0.26937866,-2.0174866
1978-08-01,-5.902405,1.474762,-3.3171997,-12.956238,-0.9785156,-9.693451,1.1064758,-2.7169495
1978-09-01,-6.6189575,1.1201782,-2.9820862,-13.07782,-0.3572693,-9.980347,1.686615,-3.5292053
1978-10-01,-6.587921,0.85739136,-7.4680176,-12.814789,-2.8858032,-9.916443,1.1637878,-2.8635864
1978-11-01,-5.6587524,0.8088074,-9.659058,-11.306183,-4.287628,-9.161743,-0.10220337,-1.9556885
1978-12-01,-3.8667908,0.7202759,-11.871246,-10.102844,-6.1262207,-7.2426453,-1.5169373,-1.381134
1979-01-01,-2.5606995,0.63931274,-13.616638,-8.782776,-8.235901,-5.9454346,-2.6187134,-0.7082825
1979-02-01,-2.2566223,0.58026123,-13.951782,-8.998505,-9.004303,-5.602173,-3.9214172,-0.3239441
1979-03-01,-2.113922,0.22348022,-14.473938,-9.487762,-9.277924,-6.265045,-4.486603,-0.31082153
1979-04-01,-4.249542,0.20184326,-14.516846,-10.754486,-9.012329,-6.8374023,-4.4995117,-0.38708496
1979-05-01,-5.20282,0.65563965,-14.022919,-12.27301,-7.670288,-7.4526978,-3.2701416,-0.8607178
1979-06-01,-5.7866516,1.5427246,-11.217194,-12.709381,-5.7349243,-8.499268,-1.0451355,-1.4924011
1979-07-01,-5.926422,1.5218811,-6.7029724,-13.136353,-3.2409058,-9.528259,0.21829224,-2.1510315
1979-08-01,-5.9379272,1.4223633,-3.7726746,-13.471832,-1.6847839,-9.951233,1.0984192,-2.5909424
1979-09-01,-5.9480286,1.1265259,-4.772064,-12.8697815,-1.2732239,-10.546387,1.6429443,-2.581665
1979-10-01,-6.176941,0.7467346,-7.7706604,-12.8637085,-2.490509,-10.171387,0.84054565,-2.1829834
1979-11-01,-5.256439,1.1048889,-9.8993225,-11.848419,-4.3072815,-9.233978,-0.721405,-1.6792908
1979-12-01,-4.0397644,1.2084656,-12.246765,-10.561157,-6.01355,-7.360199,-1.815033,-0.9882202
1980-01-01,-2.2358704,1.1456909,-13.415863,-8.900024,-6.995697,-5.988098,-3.17865,-0.58444214
1980-02-01,-1.7667236,0.5097351,-14.419006,-9.078186,-8.017639,-5.601593,-3.3988647,-0.10293579
1980-03-01,-1.802887,0.21673584,-14.811462,-10.061554,-8.61795,-5.7372437,-4.007599,-0.22668457
1980-04-01,-3.216217,0.4385376,-15.451294,-11.142792,-8.660461,-6.5725403,-3.9506226,-0.42208862
1980-05-01,-4.1770325,0.8104248,-14.030212,-12.166962,-7.368561,-7.903534,-2.86557,-0.98846436
1980-06-01,-4.728668,1.0223999,-9.722076,-13.204102,-4.9033813,-9.015869,-0.5345154,-1.8157654
1980-07-01,-5.4625854,1.8033447,-5.793152,-13.2951355,-2.7728577,-9.713165,0.505249,-2.3195496
1980-08-01,-6.2218323,1.6928711,-3.7201843,-14.34491,-0.9220886,-9.942871,1.1871033,-2.4448547
1980-09-01,-6.4491577,1.2225647,-4.7714844,-14.156036,-1.0603333,-9.789154,1.4680176,-2.8483582
1980-10-01,-5.862854,0.9541931,-8.726257,-13.030792,-2.8336487,-9.794739,0.6508484,-2.1784363
1980-11-01,-5.7900696,0.90423584,-11.267487,-12.0642395,-4.515747,-9.2127075,-0.1671753,-2.0625916
1980-12-01,-3.7255554,0.93032837,-13.170959,-10.63269,-6.1495056,-7.791046,-1.373352,-1.648529
1981-01-01,-2.136322,1.0733948,-14.349274,-9.0269165,-6.9096375,-6.1550293,-2.3291016,-0.5640259
1981-02-01,-2.3122559,0.69241333,-14.917877,-8.793732,-8.033966,-6.161743,-3.3631897,-0.3277588
1981-03-01,-2.147644,0.71347046,-15.252075,-9.2022705,-8.290253,-6.5969543,-3.7071228,-0.5317688
1981-04-01,-3.306427,0.46310425,-14.591461,-10.826538,-8.914856,-7.302582,-3.9938965,-1.0466614
1981-05-01,-4.6615295,0.7310486,-14.265076,-11.827423,-8.026093,-8.264984,-2.7683105,-1.6107483
1981-06-01,-5.796814,1.3721313,-12.815552,-12.012726,-4.8038025,-8.539001,-0.5800476,-2.2066956
1981-07-01,-6.1852417,1.3851013,-7.557617,-11.988983,-3.438446,-9.278076,0.7991638,-2.773529
1981-08-01,-6.010895,1.471283,-4.449341,-12.935822,-2.1116638,-9.887054,1.4148865,-3.319458
1981-09-01,-6.329529,1.3264465,-5.266266,-13.420532,-1.7474365,-10.516876,1.9047241,-3.425354
1981-10-01,-6.1039124,1.2316284,-6.8944397,-13.577881,-2.8885498,-10.316895,0.8009949,-3.2515259
1981-11-01,-5.2876587,1.1174316,-10.201447,-12.599121,-5.1497498,-9.040283,-0.55688477,-2.284546
1981-12-01,-3.996643,1.0437622,-11.957642,-11.318878,-6.758301,-8.190674,-1.8717041,-1.6261292
1982-01-01,-2.902649,0.91760254,-13.466156,-9.429108,-7.737793,-6.4400024,-3.120453,-1.2123413
1982-02-01,-2.227356,0.5264282,-14.083618,-8.156982,-8.351257,-6.0896606,-3.750946,-1.0732727
1982-03-01,-2.4997864,0.4397583,-14.5448,-8.352325,-8.797913,-7.0865784,-4.0584106,-1.0467834
1982-04-01,-3.4667358,0.19528198,-13.828949,-10.476349,-9.187592,-8.402008,-3.960907,-1.0113525
1982-05-01,-4.4937134,0.7464905,-12.34848,-11.56543,-7.595459,-8.814148,-3.1648865,-1.4355164
1982-06-01,-5.309784,1.4019165,-10.827362,-12.65387,-4.6684265,-8.952301,-0.9758606,-1.9526978
1982-07-01,-5.3554688,0.89959717,-7.281128,-13.018494,-2.781952,-9.786041,0.50305176,-2.2477112
1982-08-01,-6.0427246,1.0549927,-3.751587,-13.4774475,-1.8910522,-10.233978,1.1225891,-3.0941772
1982-09-01,-6.421814,0.5597534,-6.3902893,-13.501556,-2.0278015,-10.645111,1.1410522,-2.9655762
1982-10-01,-6.1385193,0.17514038,-8.621918,-14.070892,-2.789917,-10.308228,-0.03213501,-2.7008057
1982-11-01,-5.853668,0.41192627,-10.019379,-13.678894,-4.7686768,-9.609314,-1.6503906,-2.4279785
1982-12-01,-5.4510803,0.6843567,-12.265411,-11.936462,-6.5460815,-7.6095276,-2.8450012,-1.3689575
1983-01-01,-4.1073,0.6034241,-14.2039795,-9.947113,-7.7304077,-5.5691833,-3.759552,-0.35446167
1983-02-01,-3.3334045,0.51831055,-15.264282,-9.015961,-8.688965,-5.9576416,-4.7721252,-0.40579224
1983-03-01,-3.6541443,0.76187134,-16.111725,-10.38623,-9.315002,-6.8822327,-4.716675,-0.18634033
1983-04-01,-4.885681,1.01297,-15.6657715,-10.714874,-9.3446045,-7.652191,-4.7819824,-0.5506592
1983-05-01,-6.1103516,1.0085144,-14.207367,-12.373138,-8.628021,-8.509857,-3.5734253,-1.0813293
1983-06-01,-6.479553,1.2976685,-12.042023,-13.479797,-6.529236,-9.540283,-1.536377,-1.5667725
1983-07-01,-6.712982,0.7782593,-8.342224,-13.948578,-4.351593,-10.060699,0.4237671,-1.9164124
1983-08-01,-7.047882,1.0177612,-3.783142,-13.757782,-2.7712402,-10.004913,0.60058594,-2.626068
1983-09-01,-7.164551,0.8909912,-3.9055786,-14.249207,-2.0824585,-10.516113,1.0279541,-2.9351807
1983-10-01,-7.0210266,0.8801575,-7.4604187,-14.055023,-3.4938965,-10.415527,0.3795166,-2.99469
1983-11-01,-6.373291,0.6949463,-10.581451,-13.307953,-5.576538,-9.314911,-0.50213623,-1.9828491
1983-12-01,-4.495514,0.7496033,-12.981262,-11.177429,-7.107239,-7.166565,-1.8948975,-1.0759583
1984-01-01,-2.9248352,0.5298767,-14.401642,-9.917938,-7.8193665,-5.1545715,-3.059967,0.22747803
1984-02-01,-1.5040894,0.26437378,-14.727539,-9.661285,-8.707031,-5.479492,-3.7372742,1.2008057
1984-03-01,-2.0371094,0.16589355,-15.2734375,-9.725586,-9.391998,-5.7882996,-4.0411377,0.91278076
1984-04-01,-3.4443665,0.15982056,-15.542328,-10.557739,-9.009033,-6.870392,-3.8789368,-0.12722778
1984-05-01,-4.704529,0.5621948,-14.659882,-12.286621,-7.8217163,-7.7845764,-2.9400635,-0.95184326
1984-06-01,-5.494873,0.91122437,-11.763367,-13.276886,-5.8482666,-8.603119,-1.1541748,-1.2709961
1984-07-01,-6.0850525,1.7469788,-7.5936584,-13.599823,-3.6311035,-9.199249,-0.61242676,-1.7537842
1984-08-01,-6.023102,1.6604309,-4.4868164,-13.526001,-2.200653,-9.708496,0.48294067,-2.0467224
1984-09-01,-6.24942,1.6637878,-3.5870972,-13.691925,-1.9814758,-10.029816,1.0505371,-2.7100525
